1,210,419,628,837,1046,1255,1464,1673,1882,2091,2300,2509,2718,2927,3136,3345,3554,3763,3972,4181,4390,4599,4808,5017,5226,5435,5644,5853,6062,6271,6480,6689,6898,7107,7316,7525,7734,7943,8152,8361,8570,8779,8988,9197,9406,9615,9824,10033,10242,10451,10660,10869,11078,11287,11496,11705,11914,12123,12332,12541,12750,12959,13168,13377,13586,13795,14004,14213,14422,14631,14840,15049,15258,15467,15676,15885,16094,16303,16512,16721,16930,17139,17348,17557,17766,17975,18184,18393,18602,18811,19020,19229,19438,19647,19856,20065,20274,20483,20692,20901,21110,21319,21528,21737,21946,22155,22364,22573,22782,22991,23200,23409,23618,23827,24036,24245,24454,24663,24872,25081,25290,25499,25708,25917,26126,26335,26544,26753,26962,27171,27380,27589,27798,28007,28216,28425,28634,28843,29052,29261,29470,29679,29888,30097,30306,30515,30724,30933,31142,31351,31560,31769,31978,32187,32396,32605,32814,33023,33232,33441,33650,33859,34068,34277,34486,34695,34904,35113,35322,35531,35740,35949,36158,36367,36576,36785,36994,37203,37412,37621,37830,38039,38248,38457,38666,38875,39084,39293,39502,39711,39920,40129,40338,40547,40756,40965,41174,41383,41592,41801,42010,42219,42428,42637,42846,43055,43264,43472,43473
2,211,420,629,838,1047,1256,1465,1674,1883,2092,2301,2510,2719,2928,3137,3346,3555,3764,3973,4182,4391,4600,4809,5018,5227,5436,5645,5854,6063,6272,6481,6690,6899,7108,7317,7526,7735,7944,8153,8362,8571,8780,8989,9198,9407,9616,9825,10034,10243,10452,10661,10870,11079,11288,11497,11706,11915,12124,12333,12542,12751,12960,13169,13378,13587,13796,14005,14214,14423,14632,14841,15050,15259,15468,15677,15886,16095,16304,16513,16722,16931,17140,17349,17558,17767,17976,18185,18394,18603,18812,19021,19230,19439,19648,19857,20066,20275,20484,20693,20902,21111,21320,21529,21738,21947,22156,22365,22574,22783,22992,23201,23410,23619,23828,24037,24246,24455,24664,24873,25082,25291,25500,25709,25918,26127,26336,26545,26754,26963,27172,27381,27590,27799,28008,28217,28426,28635,28844,29053,29262,29471,29680,29889,30098,30307,30516,30725,30934,31143,31352,31561,31770,31979,32188,32397,32606,32815,33024,33233,33442,33651,33860,34069,34278,34487,34696,34905,35114,35323,35532,35741,35950,36159,36368,36577,36786,36995,37204,37413,37622,37831,38040,38249,38458,38667,38876,39085,39294,39503,39712,39921,40130,40339,40548,40757,40966,41175,41384,41593,41802,42011,42220,42429,42638,42847,43056,43263,43265,43474
3,212,421,630,839,1048,1257,1466,1675,1884,2093,2302,2511,2720,2929,3138,3347,3556,3765,3974,4183,4392,4601,4810,5019,5228,5437,5646,5855,6064,6273,6482,6691,6900,7109,7318,7527,7736,7945,8154,8363,8572,8781,8990,9199,9408,9617,9826,10035,10244,10453,10662,10871,11080,11289,11498,11707,11916,12125,12334,12543,12752,12961,13170,13379,13588,13797,14006,14215,14424,14633,14842,15051,15260,15469,15678,15887,16096,16305,16514,16723,16932,17141,17350,17559,17768,17977,18186,18395,18604,18813,19022,19231,19440,19649,19858,20067,20276,20485,20694,20903,21112,21321,21530,21739,21948,22157,22366,22575,22784,22993,23202,23411,23620,23829,24038,24247,24456,24665,24874,25083,25292,25501,25710,25919,26128,26337,26546,26755,26964,27173,27382,27591,27800,28009,28218,28427,28636,28845,29054,29263,29472,29681,29890,30099,30308,30517,30726,30935,31144,31353,31562,31771,31980,32189,32398,32607,32816,33025,33234,33443,33652,33861,34070,34279,34488,34697,34906,35115,35324,35533,35742,35951,36160,36369,36578,36787,36996,37205,37414,37623,37832,38041,38250,38459,38668,38877,39086,39295,39504,39713,39922,40131,40340,40549,40758,40967,41176,41385,41594,41803,42012,42221,42430,42639,42848,43054,43057,43266,43475
4,213,422,631,840,1049,1258,1467,1676,1885,2094,2303,2512,2721,2930,3139,3348,3557,3766,3975,4184,4393,4602,4811,5020,5229,5438,5647,5856,6065,6274,6483,6692,6901,7110,7319,7528,7737,7946,8155,8364,8573,8782,8991,9200,9409,9618,9827,10036,10245,10454,10663,10872,11081,11290,11499,11708,11917,12126,12335,12544,12753,12962,13171,13380,13589,13798,14007,14216,14425,14634,14843,15052,15261,15470,15679,15888,16097,16306,16515,16724,16933,17142,17351,17560,17769,17978,18187,18396,18605,18814,19023,19232,19441,19650,19859,20068,20277,20486,20695,20904,21113,21322,21531,21740,21949,22158,22367,22576,22785,22994,23203,23412,23621,23830,24039,24248,24457,24666,24875,25084,25293,25502,25711,25920,26129,26338,26547,26756,26965,27174,27383,27592,27801,28010,28219,28428,28637,28846,29055,29264,29473,29682,29891,30100,30309,30518,30727,30936,31145,31354,31563,31772,31981,32190,32399,32608,32817,33026,33235,33444,33653,33862,34071,34280,34489,34698,34907,35116,35325,35534,35743,35952,36161,36370,36579,36788,36997,37206,37415,37624,37833,38042,38251,38460,38669,38878,39087,39296,39505,39714,39923,40132,40341,40550,40759,40968,41177,41386,41595,41804,42013,42222,42431,42640,42845,42849,43058,43267,43476
5,214,423,632,841,1050,1259,1468,1677,1886,2095,2304,2513,2722,2931,3140,3349,3558,3767,3976,4185,4394,4603,4812,5021,5230,5439,5648,5857,6066,6275,6484,6693,6902,7111,7320,7529,7738,7947,8156,8365,8574,8783,8992,9201,9410,9619,9828,10037,10246,10455,10664,10873,11082,11291,11500,11709,11918,12127,12336,12545,12754,12963,13172,13381,13590,13799,14008,14217,14426,14635,14844,15053,15262,15471,15680,15889,16098,16307,16516,16725,16934,17143,17352,17561,17770,17979,18188,18397,18606,18815,19024,19233,19442,19651,19860,20069,20278,20487,20696,20905,21114,21323,21532,21741,21950,22159,22368,22577,22786,22995,23204,23413,23622,23831,24040,24249,24458,24667,24876,25085,25294,25503,25712,25921,26130,26339,26548,26757,26966,27175,27384,27593,27802,28011,28220,28429,28638,28847,29056,29265,29474,29683,29892,30101,30310,30519,30728,30937,31146,31355,31564,31773,31982,32191,32400,32609,32818,33027,33236,33445,33654,33863,34072,34281,34490,34699,34908,35117,35326,35535,35744,35953,36162,36371,36580,36789,36998,37207,37416,37625,37834,38043,38252,38461,38670,38879,39088,39297,39506,39715,39924,40133,40342,40551,40760,40969,41178,41387,41596,41805,42014,42223,42432,42636,42641,42850,43059,43268,43477
6,215,424,633,842,1051,1260,1469,1678,1887,2096,2305,2514,2723,2932,3141,3350,3559,3768,3977,4186,4395,4604,4813,5022,5231,5440,5649,5858,6067,6276,6485,6694,6903,7112,7321,7530,7739,7948,8157,8366,8575,8784,8993,9202,9411,9620,9829,10038,10247,10456,10665,10874,11083,11292,11501,11710,11919,12128,12337,12546,12755,12964,13173,13382,13591,13800,14009,14218,14427,14636,14845,15054,15263,15472,15681,15890,16099,16308,16517,16726,16935,17144,17353,17562,17771,17980,18189,18398,18607,18816,19025,19234,19443,19652,19861,20070,20279,20488,20697,20906,21115,21324,21533,21742,21951,22160,22369,22578,22787,22996,23205,23414,23623,23832,24041,24250,24459,24668,24877,25086,25295,25504,25713,25922,26131,26340,26549,26758,26967,27176,27385,27594,27803,28012,28221,28430,28639,28848,29057,29266,29475,29684,29893,30102,30311,30520,30729,30938,31147,31356,31565,31774,31983,32192,32401,32610,32819,33028,33237,33446,33655,33864,34073,34282,34491,34700,34909,35118,35327,35536,35745,35954,36163,36372,36581,36790,36999,37208,37417,37626,37835,38044,38253,38462,38671,38880,39089,39298,39507,39716,39925,40134,40343,40552,40761,40970,41179,41388,41597,41806,42015,42224,42427,42433,42642,42851,43060,43269,43478
7,216,425,634,843,1052,1261,1470,1679,1888,2097,2306,2515,2724,2933,3142,3351,3560,3769,3978,4187,4396,4605,4814,5023,5232,5441,5650,5859,6068,6277,6486,6695,6904,7113,7322,7531,7740,7949,8158,8367,8576,8785,8994,9203,9412,9621,9830,10039,10248,10457,10666,10875,11084,11293,11502,11711,11920,12129,12338,12547,12756,12965,13174,13383,13592,13801,14010,14219,14428,14637,14846,15055,15264,15473,15682,15891,16100,16309,16518,16727,16936,17145,17354,17563,17772,17981,18190,18399,18608,18817,19026,19235,19444,19653,19862,20071,20280,20489,20698,20907,21116,21325,21534,21743,21952,22161,22370,22579,22788,22997,23206,23415,23624,23833,24042,24251,24460,24669,24878,25087,25296,25505,25714,25923,26132,26341,26550,26759,26968,27177,27386,27595,27804,28013,28222,28431,28640,28849,29058,29267,29476,29685,29894,30103,30312,30521,30730,30939,31148,31357,31566,31775,31984,32193,32402,32611,32820,33029,33238,33447,33656,33865,34074,34283,34492,34701,34910,35119,35328,35537,35746,35955,36164,36373,36582,36791,37000,37209,37418,37627,37836,38045,38254,38463,38672,38881,39090,39299,39508,39717,39926,40135,40344,40553,40762,40971,41180,41389,41598,41807,42016,42218,42225,42434,42643,42852,43061,43270,43479
8,217,426,635,844,1053,1262,1471,1680,1889,2098,2307,2516,2725,2934,3143,3352,3561,3770,3979,4188,4397,4606,4815,5024,5233,5442,5651,5860,6069,6278,6487,6696,6905,7114,7323,7532,7741,7950,8159,8368,8577,8786,8995,9204,9413,9622,9831,10040,10249,10458,10667,10876,11085,11294,11503,11712,11921,12130,12339,12548,12757,12966,13175,13384,13593,13802,14011,14220,14429,14638,14847,15056,15265,15474,15683,15892,16101,16310,16519,16728,16937,17146,17355,17564,17773,17982,18191,18400,18609,18818,19027,19236,19445,19654,19863,20072,20281,20490,20699,20908,21117,21326,21535,21744,21953,22162,22371,22580,22789,22998,23207,23416,23625,23834,24043,24252,24461,24670,24879,25088,25297,25506,25715,25924,26133,26342,26551,26760,26969,27178,27387,27596,27805,28014,28223,28432,28641,28850,29059,29268,29477,29686,29895,30104,30313,30522,30731,30940,31149,31358,31567,31776,31985,32194,32403,32612,32821,33030,33239,33448,33657,33866,34075,34284,34493,34702,34911,35120,35329,35538,35747,35956,36165,36374,36583,36792,37001,37210,37419,37628,37837,38046,38255,38464,38673,38882,39091,39300,39509,39718,39927,40136,40345,40554,40763,40972,41181,41390,41599,41808,42009,42017,42226,42435,42644,42853,43062,43271,43480
9,218,427,636,845,1054,1263,1472,1681,1890,2099,2308,2517,2726,2935,3144,3353,3562,3771,3980,4189,4398,4607,4816,5025,5234,5443,5652,5861,6070,6279,6488,6697,6906,7115,7324,7533,7742,7951,8160,8369,8578,8787,8996,9205,9414,9623,9832,10041,10250,10459,10668,10877,11086,11295,11504,11713,11922,12131,12340,12549,12758,12967,13176,13385,13594,13803,14012,14221,14430,14639,14848,15057,15266,15475,15684,15893,16102,16311,16520,16729,16938,17147,17356,17565,17774,17983,18192,18401,18610,18819,19028,19237,19446,19655,19864,20073,20282,20491,20700,20909,21118,21327,21536,21745,21954,22163,22372,22581,22790,22999,23208,23417,23626,23835,24044,24253,24462,24671,24880,25089,25298,25507,25716,25925,26134,26343,26552,26761,26970,27179,27388,27597,27806,28015,28224,28433,28642,28851,29060,29269,29478,29687,29896,30105,30314,30523,30732,30941,31150,31359,31568,31777,31986,32195,32404,32613,32822,33031,33240,33449,33658,33867,34076,34285,34494,34703,34912,35121,35330,35539,35748,35957,36166,36375,36584,36793,37002,37211,37420,37629,37838,38047,38256,38465,38674,38883,39092,39301,39510,39719,39928,40137,40346,40555,40764,40973,41182,41391,41600,41800,41809,42018,42227,42436,42645,42854,43063,43272,43481
10,219,428,637,846,1055,1264,1473,1682,1891,2100,2309,2518,2727,2936,3145,3354,3563,3772,3981,4190,4399,4608,4817,5026,5235,5444,5653,5862,6071,6280,6489,6698,6907,7116,7325,7534,7743,7952,8161,8370,8579,8788,8997,9206,9415,9624,9833,10042,10251,10460,10669,10878,11087,11296,11505,11714,11923,12132,12341,12550,12759,12968,13177,13386,13595,13804,14013,14222,14431,14640,14849,15058,15267,15476,15685,15894,16103,16312,16521,16730,16939,17148,17357,17566,17775,17984,18193,18402,18611,18820,19029,19238,19447,19656,19865,20074,20283,20492,20701,20910,21119,21328,21537,21746,21955,22164,22373,22582,22791,23000,23209,23418,23627,23836,24045,24254,24463,24672,24881,25090,25299,25508,25717,25926,26135,26344,26553,26762,26971,27180,27389,27598,27807,28016,28225,28434,28643,28852,29061,29270,29479,29688,29897,30106,30315,30524,30733,30942,31151,31360,31569,31778,31987,32196,32405,32614,32823,33032,33241,33450,33659,33868,34077,34286,34495,34704,34913,35122,35331,35540,35749,35958,36167,36376,36585,36794,37003,37212,37421,37630,37839,38048,38257,38466,38675,38884,39093,39302,39511,39720,39929,40138,40347,40556,40765,40974,41183,41392,41591,41601,41810,42019,42228,42437,42646,42855,43064,43273,43482
11,220,429,638,847,1056,1265,1474,1683,1892,2101,2310,2519,2728,2937,3146,3355,3564,3773,3982,4191,4400,4609,4818,5027,5236,5445,5654,5863,6072,6281,6490,6699,6908,7117,7326,7535,7744,7953,8162,8371,8580,8789,8998,9207,9416,9625,9834,10043,10252,10461,10670,10879,11088,11297,11506,11715,11924,12133,12342,12551,12760,12969,13178,13387,13596,13805,14014,14223,14432,14641,14850,15059,15268,15477,15686,15895,16104,16313,16522,16731,16940,17149,17358,17567,17776,17985,18194,18403,18612,18821,19030,19239,19448,19657,19866,20075,20284,20493,20702,20911,21120,21329,21538,21747,21956,22165,22374,22583,22792,23001,23210,23419,23628,23837,24046,24255,24464,24673,24882,25091,25300,25509,25718,25927,26136,26345,26554,26763,26972,27181,27390,27599,27808,28017,28226,28435,28644,28853,29062,29271,29480,29689,29898,30107,30316,30525,30734,30943,31152,31361,31570,31779,31988,32197,32406,32615,32824,33033,33242,33451,33660,33869,34078,34287,34496,34705,34914,35123,35332,35541,35750,35959,36168,36377,36586,36795,37004,37213,37422,37631,37840,38049,38258,38467,38676,38885,39094,39303,39512,39721,39930,40139,40348,40557,40766,40975,41184,41382,41393,41602,41811,42020,42229,42438,42647,42856,43065,43274,43483
