1,220,439,658,877,1096,1315,1534,1753,1972,2191,2410,2629,2848,3067,3286,3505,3724,3943,4162,4381,4600,4819,5038,5257,5476,5695,5914,6133,6352,6571,6790,7009,7228,7447,7666,7885,8104,8323,8542,8761,8980,9199,9418,9637,9856,10075,10294,10513,10732,10951,11170,11389,11608,11827,12046,12265,12484,12703,12922,13141,13360,13579,13798,14017,14236,14455,14674,14893,15112,15331,15550,15769,15988,16207,16426,16645,16864,17083,17302,17521,17740,17959,18178,18397,18616,18835,19054,19273,19492,19711,19930,20149,20368,20587,20806,21025,21244,21463,21682,21901,22120,22339,22558,22777,22996,23215,23434,23653,23872,24091,24310,24529,24748,24967,25186,25405,25624,25843,26062,26281,26500,26719,26938,27157,27376,27595,27814,28033,28252,28471,28690,28909,29128,29347,29566,29785,30004,30223,30442,30661,30880,31099,31318,31537,31756,31975,32194,32413,32632,32851,33070,33289,33508,33727,33946,34165,34384,34603,34822,35041,35260,35479,35698,35917,36136,36355,36574,36793,37012,37231,37450,37669,37888,38107,38326,38545,38764,38983,39202,39421,39640,39859,40078,40297,40516,40735,40954,41173,41392,41611,41830,42049,42268,42487,42706,42925,43144,43363,43582,43801,44020,44239,44458,44677,44896,45115,45334,45553,45772,45991,46210,46429,46648,46867,47086,47305,47524,47742,47743
2,221,440,659,878,1097,1316,1535,1754,1973,2192,2411,2630,2849,3068,3287,3506,3725,3944,4163,4382,4601,4820,5039,5258,5477,5696,5915,6134,6353,6572,6791,7010,7229,7448,7667,7886,8105,8324,8543,8762,8981,9200,9419,9638,9857,10076,10295,10514,10733,10952,11171,11390,11609,11828,12047,12266,12485,12704,12923,13142,13361,13580,13799,14018,14237,14456,14675,14894,15113,15332,15551,15770,15989,16208,16427,16646,16865,17084,17303,17522,17741,17960,18179,18398,18617,18836,19055,19274,19493,19712,19931,20150,20369,20588,20807,21026,21245,21464,21683,21902,22121,22340,22559,22778,22997,23216,23435,23654,23873,24092,24311,24530,24749,24968,25187,25406,25625,25844,26063,26282,26501,26720,26939,27158,27377,27596,27815,28034,28253,28472,28691,28910,29129,29348,29567,29786,30005,30224,30443,30662,30881,31100,31319,31538,31757,31976,32195,32414,32633,32852,33071,33290,33509,33728,33947,34166,34385,34604,34823,35042,35261,35480,35699,35918,36137,36356,36575,36794,37013,37232,37451,37670,37889,38108,38327,38546,38765,38984,39203,39422,39641,39860,40079,40298,40517,40736,40955,41174,41393,41612,41831,42050,42269,42488,42707,42926,43145,43364,43583,43802,44021,44240,44459,44678,44897,45116,45335,45554,45773,45992,46211,46430,46649,46868,47087,47306,47523,47525,47744
3,222,441,660,879,1098,1317,1536,1755,1974,2193,2412,2631,2850,3069,3288,3507,3726,3945,4164,4383,4602,4821,5040,5259,5478,5697,5916,6135,6354,6573,6792,7011,7230,7449,7668,7887,8106,8325,8544,8763,8982,9201,9420,9639,9858,10077,10296,10515,10734,10953,11172,11391,11610,11829,12048,12267,12486,12705,12924,13143,13362,13581,13800,14019,14238,14457,14676,14895,15114,15333,15552,15771,15990,16209,16428,16647,16866,17085,17304,17523,17742,17961,18180,18399,18618,18837,19056,19275,19494,19713,19932,20151,20370,20589,20808,21027,21246,21465,21684,21903,22122,22341,22560,22779,22998,23217,23436,23655,23874,24093,24312,24531,24750,24969,25188,25407,25626,25845,26064,26283,26502,26721,26940,27159,27378,27597,27816,28035,28254,28473,28692,28911,29130,29349,29568,29787,30006,30225,30444,30663,30882,31101,31320,31539,31758,31977,32196,32415,32634,32853,33072,33291,33510,33729,33948,34167,34386,34605,34824,35043,35262,35481,35700,35919,36138,36357,36576,36795,37014,37233,37452,37671,37890,38109,38328,38547,38766,38985,39204,39423,39642,39861,40080,40299,40518,40737,40956,41175,41394,41613,41832,42051,42270,42489,42708,42927,43146,43365,43584,43803,44022,44241,44460,44679,44898,45117,45336,45555,45774,45993,46212,46431,46650,46869,47088,47304,47307,47526,47745
4,223,442,661,880,1099,1318,1537,1756,1975,2194,2413,2632,2851,3070,3289,3508,3727,3946,4165,4384,4603,4822,5041,5260,5479,5698,5917,6136,6355,6574,6793,7012,7231,7450,7669,7888,8107,8326,8545,8764,8983,9202,9421,9640,9859,10078,10297,10516,10735,10954,11173,11392,11611,11830,12049,12268,12487,12706,12925,13144,13363,13582,13801,14020,14239,14458,14677,14896,15115,15334,15553,15772,15991,16210,16429,16648,16867,17086,17305,17524,17743,17962,18181,18400,18619,18838,19057,19276,19495,19714,19933,20152,20371,20590,20809,21028,21247,21466,21685,21904,22123,22342,22561,22780,22999,23218,23437,23656,23875,24094,24313,24532,24751,24970,25189,25408,25627,25846,26065,26284,26503,26722,26941,27160,27379,27598,27817,28036,28255,28474,28693,28912,29131,29350,29569,29788,30007,30226,30445,30664,30883,31102,31321,31540,31759,31978,32197,32416,32635,32854,33073,33292,33511,33730,33949,34168,34387,34606,34825,35044,35263,35482,35701,35920,36139,36358,36577,36796,37015,37234,37453,37672,37891,38110,38329,38548,38767,38986,39205,39424,39643,39862,40081,40300,40519,40738,40957,41176,41395,41614,41833,42052,42271,42490,42709,42928,43147,43366,43585,43804,44023,44242,44461,44680,44899,45118,45337,45556,45775,45994,46213,46432,46651,46870,47085,47089,47308,47527,47746
5,224,443,662,881,1100,1319,1538,1757,1976,2195,2414,2633,2852,3071,3290,3509,3728,3947,4166,4385,4604,4823,5042,5261,5480,5699,5918,6137,6356,6575,6794,7013,7232,7451,7670,7889,8108,8327,8546,8765,8984,9203,9422,9641,9860,10079,10298,10517,10736,10955,11174,11393,11612,11831,12050,12269,12488,12707,12926,13145,13364,13583,13802,14021,14240,14459,14678,14897,15116,15335,15554,15773,15992,16211,16430,16649,16868,17087,17306,17525,17744,17963,18182,18401,18620,18839,19058,19277,19496,19715,19934,20153,20372,20591,20810,21029,21248,21467,21686,21905,22124,22343,22562,22781,23000,23219,23438,23657,23876,24095,24314,24533,24752,24971,25190,25409,25628,25847,26066,26285,26504,26723,26942,27161,27380,27599,27818,28037,28256,28475,28694,28913,29132,29351,29570,29789,30008,30227,30446,30665,30884,31103,31322,31541,31760,31979,32198,32417,32636,32855,33074,33293,33512,33731,33950,34169,34388,34607,34826,35045,35264,35483,35702,35921,36140,36359,36578,36797,37016,37235,37454,37673,37892,38111,38330,38549,38768,38987,39206,39425,39644,39863,40082,40301,40520,40739,40958,41177,41396,41615,41834,42053,42272,42491,42710,42929,43148,43367,43586,43805,44024,44243,44462,44681,44900,45119,45338,45557,45776,45995,46214,46433,46652,46866,46871,47090,47309,47528,47747
6,225,444,663,882,1101,1320,1539,1758,1977,2196,2415,2634,2853,3072,3291,3510,3729,3948,4167,4386,4605,4824,5043,5262,5481,5700,5919,6138,6357,6576,6795,7014,7233,7452,7671,7890,8109,8328,8547,8766,8985,9204,9423,9642,9861,10080,10299,10518,10737,10956,11175,11394,11613,11832,12051,12270,12489,12708,12927,13146,13365,13584,13803,14022,14241,14460,14679,14898,15117,15336,15555,15774,15993,16212,16431,16650,16869,17088,17307,17526,17745,17964,18183,18402,18621,18840,19059,19278,19497,19716,19935,20154,20373,20592,20811,21030,21249,21468,21687,21906,22125,22344,22563,22782,23001,23220,23439,23658,23877,24096,24315,24534,24753,24972,25191,25410,25629,25848,26067,26286,26505,26724,26943,27162,27381,27600,27819,28038,28257,28476,28695,28914,29133,29352,29571,29790,30009,30228,30447,30666,30885,31104,31323,31542,31761,31980,32199,32418,32637,32856,33075,33294,33513,33732,33951,34170,34389,34608,34827,35046,35265,35484,35703,35922,36141,36360,36579,36798,37017,37236,37455,37674,37893,38112,38331,38550,38769,38988,39207,39426,39645,39864,40083,40302,40521,40740,40959,41178,41397,41616,41835,42054,42273,42492,42711,42930,43149,43368,43587,43806,44025,44244,44463,44682,44901,45120,45339,45558,45777,45996,46215,46434,46647,46653,46872,47091,47310,47529,47748
7,226,445,664,883,1102,1321,1540,1759,1978,2197,2416,2635,2854,3073,3292,3511,3730,3949,4168,4387,4606,4825,5044,5263,5482,5701,5920,6139,6358,6577,6796,7015,7234,7453,7672,7891,8110,8329,8548,8767,8986,9205,9424,9643,9862,10081,10300,10519,10738,10957,11176,11395,11614,11833,12052,12271,12490,12709,12928,13147,13366,13585,13804,14023,14242,14461,14680,14899,15118,15337,15556,15775,15994,16213,16432,16651,16870,17089,17308,17527,17746,17965,18184,18403,18622,18841,19060,19279,19498,19717,19936,20155,20374,20593,20812,21031,21250,21469,21688,21907,22126,22345,22564,22783,23002,23221,23440,23659,23878,24097,24316,24535,24754,24973,25192,25411,25630,25849,26068,26287,26506,26725,26944,27163,27382,27601,27820,28039,28258,28477,28696,28915,29134,29353,29572,29791,30010,30229,30448,30667,30886,31105,31324,31543,31762,31981,32200,32419,32638,32857,33076,33295,33514,33733,33952,34171,34390,34609,34828,35047,35266,35485,35704,35923,36142,36361,36580,36799,37018,37237,37456,37675,37894,38113,38332,38551,38770,38989,39208,39427,39646,39865,40084,40303,40522,40741,40960,41179,41398,41617,41836,42055,42274,42493,42712,42931,43150,43369,43588,43807,44026,44245,44464,44683,44902,45121,45340,45559,45778,45997,46216,46428,46435,46654,46873,47092,47311,47530,47749
8,227,446,665,884,1103,1322,1541,1760,1979,2198,2417,2636,2855,3074,3293,3512,3731,3950,4169,4388,4607,4826,5045,5264,5483,5702,5921,6140,6359,6578,6797,7016,7235,7454,7673,7892,8111,8330,8549,8768,8987,9206,9425,9644,9863,10082,10301,10520,10739,10958,11177,11396,11615,11834,12053,12272,12491,12710,12929,13148,13367,13586,13805,14024,14243,14462,14681,14900,15119,15338,15557,15776,15995,16214,16433,16652,16871,17090,17309,17528,17747,17966,18185,18404,18623,18842,19061,19280,19499,19718,19937,20156,20375,20594,20813,21032,21251,21470,21689,21908,22127,22346,22565,22784,23003,23222,23441,23660,23879,24098,24317,24536,24755,24974,25193,25412,25631,25850,26069,26288,26507,26726,26945,27164,27383,27602,27821,28040,28259,28478,28697,28916,29135,29354,29573,29792,30011,30230,30449,30668,30887,31106,31325,31544,31763,31982,32201,32420,32639,32858,33077,33296,33515,33734,33953,34172,34391,34610,34829,35048,35267,35486,35705,35924,36143,36362,36581,36800,37019,37238,37457,37676,37895,38114,38333,38552,38771,38990,39209,39428,39647,39866,40085,40304,40523,40742,40961,41180,41399,41618,41837,42056,42275,42494,42713,42932,43151,43370,43589,43808,44027,44246,44465,44684,44903,45122,45341,45560,45779,45998,46209,46217,46436,46655,46874,47093,47312,47531,47750
9,228,447,666,885,1104,1323,1542,1761,1980,2199,2418,2637,2856,3075,3294,3513,3732,3951,4170,4389,4608,4827,5046,5265,5484,5703,5922,6141,6360,6579,6798,7017,7236,7455,7674,7893,8112,8331,8550,8769,8988,9207,9426,9645,9864,10083,10302,10521,10740,10959,11178,11397,11616,11835,12054,12273,12492,12711,12930,13149,13368,13587,13806,14025,14244,14463,14682,14901,15120,15339,15558,15777,15996,16215,16434,16653,16872,17091,17310,17529,17748,17967,18186,18405,18624,18843,19062,19281,19500,19719,19938,20157,20376,20595,20814,21033,21252,21471,21690,21909,22128,22347,22566,22785,23004,23223,23442,23661,23880,24099,24318,24537,24756,24975,25194,25413,25632,25851,26070,26289,26508,26727,26946,27165,27384,27603,27822,28041,28260,28479,28698,28917,29136,29355,29574,29793,30012,30231,30450,30669,30888,31107,31326,31545,31764,31983,32202,32421,32640,32859,33078,33297,33516,33735,33954,34173,34392,34611,34830,35049,35268,35487,35706,35925,36144,36363,36582,36801,37020,37239,37458,37677,37896,38115,38334,38553,38772,38991,39210,39429,39648,39867,40086,40305,40524,40743,40962,41181,41400,41619,41838,42057,42276,42495,42714,42933,43152,43371,43590,43809,44028,44247,44466,44685,44904,45123,45342,45561,45780,45990,45999,46218,46437,46656,46875,47094,47313,47532,47751
10,229,448,667,886,1105,1324,1543,1762,1981,2200,2419,2638,2857,3076,3295,3514,3733,3952,4171,4390,4609,4828,5047,5266,5485,5704,5923,6142,6361,6580,6799,7018,7237,7456,7675,7894,8113,8332,8551,8770,8989,9208,9427,9646,9865,10084,10303,10522,10741,10960,11179,11398,11617,11836,12055,12274,12493,12712,12931,13150,13369,13588,13807,14026,14245,14464,14683,14902,15121,15340,15559,15778,15997,16216,16435,16654,16873,17092,17311,17530,17749,17968,18187,18406,18625,18844,19063,19282,19501,19720,19939,20158,20377,20596,20815,21034,21253,21472,21691,21910,22129,22348,22567,22786,23005,23224,23443,23662,23881,24100,24319,24538,24757,24976,25195,25414,25633,25852,26071,26290,26509,26728,26947,27166,27385,27604,27823,28042,28261,28480,28699,28918,29137,29356,29575,29794,30013,30232,30451,30670,30889,31108,31327,31546,31765,31984,32203,32422,32641,32860,33079,33298,33517,33736,33955,34174,34393,34612,34831,35050,35269,35488,35707,35926,36145,36364,36583,36802,37021,37240,37459,37678,37897,38116,38335,38554,38773,38992,39211,39430,39649,39868,40087,40306,40525,40744,40963,41182,41401,41620,41839,42058,42277,42496,42715,42934,43153,43372,43591,43810,44029,44248,44467,44686,44905,45124,45343,45562,45771,45781,46000,46219,46438,46657,46876,47095,47314,47533,47752
11,230,449,668,887,1106,1325,1544,1763,1982,2201,2420,2639,2858,3077,3296,3515,3734,3953,4172,4391,4610,4829,5048,5267,5486,5705,5924,6143,6362,6581,6800,7019,7238,7457,7676,7895,8114,8333,8552,8771,8990,9209,9428,9647,9866,10085,10304,10523,10742,10961,11180,11399,11618,11837,12056,12275,12494,12713,12932,13151,13370,13589,13808,14027,14246,14465,14684,14903,15122,15341,15560,15779,15998,16217,16436,16655,16874,17093,17312,17531,17750,17969,18188,18407,18626,18845,19064,19283,19502,19721,19940,20159,20378,20597,20816,21035,21254,21473,21692,21911,22130,22349,22568,22787,23006,23225,23444,23663,23882,24101,24320,24539,24758,24977,25196,25415,25634,25853,26072,26291,26510,26729,26948,27167,27386,27605,27824,28043,28262,28481,28700,28919,29138,29357,29576,29795,30014,30233,30452,30671,30890,31109,31328,31547,31766,31985,32204,32423,32642,32861,33080,33299,33518,33737,33956,34175,34394,34613,34832,35051,35270,35489,35708,35927,36146,36365,36584,36803,37022,37241,37460,37679,37898,38117,38336,38555,38774,38993,39212,39431,39650,39869,40088,40307,40526,40745,40964,41183,41402,41621,41840,42059,42278,42497,42716,42935,43154,43373,43592,43811,44030,44249,44468,44687,44906,45125,45344,45552,45563,45782,46001,46220,46439,46658,46877,47096,47315,47534,47753
