1,242,483,724,965,1206,1447,1688,1929,2170,2411,2652,2893,3134,3375,3616,3857,4098,4339,4580,4821,5062,5303,5544,5785,6026,6267,6508,6749,6990,7231,7472,7713,7954,8195,8436,8677,8918,9159,9400,9641,9882,10123,10364,10605,10846,11087,11328,11569,11810,12051,12292,12533,12774,13015,13256,13497,13738,13979,14220,14461,14702,14943,15184,15425,15666,15907,16148,16389,16630,16871,17112,17353,17594,17835,18076,18317,18558,18799,19040,19281,19522,19763,20004,20245,20486,20727,20968,21209,21450,21691,21932,22173,22414,22655,22896,23137,23378,23619,23860,24101,24342,24583,24824,25065,25306,25547,25788,26029,26270,26511,26752,26993,27234,27475,27716,27957,28198,28439,28680,28921,29162,29403,29644,29885,30126,30367,30608,30849,31090,31331,31572,31813,32054,32295,32536,32777,33018,33259,33500,33741,33982,34223,34464,34705,34946,35187,35428,35669,35910,36151,36392,36633,36874,37115,37356,37597,37838,38079,38320,38561,38802,39043,39284,39525,39766,40007,40248,40489,40730,40971,41212,41453,41694,41935,42176,42417,42658,42899,43140,43381,43622,43863,44104,44345,44586,44827,45068,45309,45550,45791,46032,46273,46514,46755,46996,47237,47478,47719,47960,48201,48442,48683,48924,49165,49406,49647,49888,50129,50370,50611,50852,51093,51334,51575,51816,52057,52298,52539,52780,53021,53262,53503,53744,53985,54226,54467,54708,54949,55190,55431,55672,55913,56154,56395,56636,56877,57118,57359,57600,57840,57841
2,243,484,725,966,1207,1448,1689,1930,2171,2412,2653,2894,3135,3376,3617,3858,4099,4340,4581,4822,5063,5304,5545,5786,6027,6268,6509,6750,6991,7232,7473,7714,7955,8196,8437,8678,8919,9160,9401,9642,9883,10124,10365,10606,10847,11088,11329,11570,11811,12052,12293,12534,12775,13016,13257,13498,13739,13980,14221,14462,14703,14944,15185,15426,15667,15908,16149,16390,16631,16872,17113,17354,17595,17836,18077,18318,18559,18800,19041,19282,19523,19764,20005,20246,20487,20728,20969,21210,21451,21692,21933,22174,22415,22656,22897,23138,23379,23620,23861,24102,24343,24584,24825,25066,25307,25548,25789,26030,26271,26512,26753,26994,27235,27476,27717,27958,28199,28440,28681,28922,29163,29404,29645,29886,30127,30368,30609,30850,31091,31332,31573,31814,32055,32296,32537,32778,33019,33260,33501,33742,33983,34224,34465,34706,34947,35188,35429,35670,35911,36152,36393,36634,36875,37116,37357,37598,37839,38080,38321,38562,38803,39044,39285,39526,39767,40008,40249,40490,40731,40972,41213,41454,41695,41936,42177,42418,42659,42900,43141,43382,43623,43864,44105,44346,44587,44828,45069,45310,45551,45792,46033,46274,46515,46756,46997,47238,47479,47720,47961,48202,48443,48684,48925,49166,49407,49648,49889,50130,50371,50612,50853,51094,51335,51576,51817,52058,52299,52540,52781,53022,53263,53504,53745,53986,54227,54468,54709,54950,55191,55432,55673,55914,56155,56396,56637,56878,57119,57360,57599,57601,57842
3,244,485,726,967,1208,1449,1690,1931,2172,2413,2654,2895,3136,3377,3618,3859,4100,4341,4582,4823,5064,5305,5546,5787,6028,6269,6510,6751,6992,7233,7474,7715,7956,8197,8438,8679,8920,9161,9402,9643,9884,10125,10366,10607,10848,11089,11330,11571,11812,12053,12294,12535,12776,13017,13258,13499,13740,13981,14222,14463,14704,14945,15186,15427,15668,15909,16150,16391,16632,16873,17114,17355,17596,17837,18078,18319,18560,18801,19042,19283,19524,19765,20006,20247,20488,20729,20970,21211,21452,21693,21934,22175,22416,22657,22898,23139,23380,23621,23862,24103,24344,24585,24826,25067,25308,25549,25790,26031,26272,26513,26754,26995,27236,27477,27718,27959,28200,28441,28682,28923,29164,29405,29646,29887,30128,30369,30610,30851,31092,31333,31574,31815,32056,32297,32538,32779,33020,33261,33502,33743,33984,34225,34466,34707,34948,35189,35430,35671,35912,36153,36394,36635,36876,37117,37358,37599,37840,38081,38322,38563,38804,39045,39286,39527,39768,40009,40250,40491,40732,40973,41214,41455,41696,41937,42178,42419,42660,42901,43142,43383,43624,43865,44106,44347,44588,44829,45070,45311,45552,45793,46034,46275,46516,46757,46998,47239,47480,47721,47962,48203,48444,48685,48926,49167,49408,49649,49890,50131,50372,50613,50854,51095,51336,51577,51818,52059,52300,52541,52782,53023,53264,53505,53746,53987,54228,54469,54710,54951,55192,55433,55674,55915,56156,56397,56638,56879,57120,57358,57361,57602,57843
4,245,486,727,968,1209,1450,1691,1932,2173,2414,2655,2896,3137,3378,3619,3860,4101,4342,4583,4824,5065,5306,5547,5788,6029,6270,6511,6752,6993,7234,7475,7716,7957,8198,8439,8680,8921,9162,9403,9644,9885,10126,10367,10608,10849,11090,11331,11572,11813,12054,12295,12536,12777,13018,13259,13500,13741,13982,14223,14464,14705,14946,15187,15428,15669,15910,16151,16392,16633,16874,17115,17356,17597,17838,18079,18320,18561,18802,19043,19284,19525,19766,20007,20248,20489,20730,20971,21212,21453,21694,21935,22176,22417,22658,22899,23140,23381,23622,23863,24104,24345,24586,24827,25068,25309,25550,25791,26032,26273,26514,26755,26996,27237,27478,27719,27960,28201,28442,28683,28924,29165,29406,29647,29888,30129,30370,30611,30852,31093,31334,31575,31816,32057,32298,32539,32780,33021,33262,33503,33744,33985,34226,34467,34708,34949,35190,35431,35672,35913,36154,36395,36636,36877,37118,37359,37600,37841,38082,38323,38564,38805,39046,39287,39528,39769,40010,40251,40492,40733,40974,41215,41456,41697,41938,42179,42420,42661,42902,43143,43384,43625,43866,44107,44348,44589,44830,45071,45312,45553,45794,46035,46276,46517,46758,46999,47240,47481,47722,47963,48204,48445,48686,48927,49168,49409,49650,49891,50132,50373,50614,50855,51096,51337,51578,51819,52060,52301,52542,52783,53024,53265,53506,53747,53988,54229,54470,54711,54952,55193,55434,55675,55916,56157,56398,56639,56880,57117,57121,57362,57603,57844
5,246,487,728,969,1210,1451,1692,1933,2174,2415,2656,2897,3138,3379,3620,3861,4102,4343,4584,4825,5066,5307,5548,5789,6030,6271,6512,6753,6994,7235,7476,7717,7958,8199,8440,8681,8922,9163,9404,9645,9886,10127,10368,10609,10850,11091,11332,11573,11814,12055,12296,12537,12778,13019,13260,13501,13742,13983,14224,14465,14706,14947,15188,15429,15670,15911,16152,16393,16634,16875,17116,17357,17598,17839,18080,18321,18562,18803,19044,19285,19526,19767,20008,20249,20490,20731,20972,21213,21454,21695,21936,22177,22418,22659,22900,23141,23382,23623,23864,24105,24346,24587,24828,25069,25310,25551,25792,26033,26274,26515,26756,26997,27238,27479,27720,27961,28202,28443,28684,28925,29166,29407,29648,29889,30130,30371,30612,30853,31094,31335,31576,31817,32058,32299,32540,32781,33022,33263,33504,33745,33986,34227,34468,34709,34950,35191,35432,35673,35914,36155,36396,36637,36878,37119,37360,37601,37842,38083,38324,38565,38806,39047,39288,39529,39770,40011,40252,40493,40734,40975,41216,41457,41698,41939,42180,42421,42662,42903,43144,43385,43626,43867,44108,44349,44590,44831,45072,45313,45554,45795,46036,46277,46518,46759,47000,47241,47482,47723,47964,48205,48446,48687,48928,49169,49410,49651,49892,50133,50374,50615,50856,51097,51338,51579,51820,52061,52302,52543,52784,53025,53266,53507,53748,53989,54230,54471,54712,54953,55194,55435,55676,55917,56158,56399,56640,56876,56881,57122,57363,57604,57845
6,247,488,729,970,1211,1452,1693,1934,2175,2416,2657,2898,3139,3380,3621,3862,4103,4344,4585,4826,5067,5308,5549,5790,6031,6272,6513,6754,6995,7236,7477,7718,7959,8200,8441,8682,8923,9164,9405,9646,9887,10128,10369,10610,10851,11092,11333,11574,11815,12056,12297,12538,12779,13020,13261,13502,13743,13984,14225,14466,14707,14948,15189,15430,15671,15912,16153,16394,16635,16876,17117,17358,17599,17840,18081,18322,18563,18804,19045,19286,19527,19768,20009,20250,20491,20732,20973,21214,21455,21696,21937,22178,22419,22660,22901,23142,23383,23624,23865,24106,24347,24588,24829,25070,25311,25552,25793,26034,26275,26516,26757,26998,27239,27480,27721,27962,28203,28444,28685,28926,29167,29408,29649,29890,30131,30372,30613,30854,31095,31336,31577,31818,32059,32300,32541,32782,33023,33264,33505,33746,33987,34228,34469,34710,34951,35192,35433,35674,35915,36156,36397,36638,36879,37120,37361,37602,37843,38084,38325,38566,38807,39048,39289,39530,39771,40012,40253,40494,40735,40976,41217,41458,41699,41940,42181,42422,42663,42904,43145,43386,43627,43868,44109,44350,44591,44832,45073,45314,45555,45796,46037,46278,46519,46760,47001,47242,47483,47724,47965,48206,48447,48688,48929,49170,49411,49652,49893,50134,50375,50616,50857,51098,51339,51580,51821,52062,52303,52544,52785,53026,53267,53508,53749,53990,54231,54472,54713,54954,55195,55436,55677,55918,56159,56400,56635,56641,56882,57123,57364,57605,57846
7,248,489,730,971,1212,1453,1694,1935,2176,2417,2658,2899,3140,3381,3622,3863,4104,4345,4586,4827,5068,5309,5550,5791,6032,6273,6514,6755,6996,7237,7478,7719,7960,8201,8442,8683,8924,9165,9406,9647,9888,10129,10370,10611,10852,11093,11334,11575,11816,12057,12298,12539,12780,13021,13262,13503,13744,13985,14226,14467,14708,14949,15190,15431,15672,15913,16154,16395,16636,16877,17118,17359,17600,17841,18082,18323,18564,18805,19046,19287,19528,19769,20010,20251,20492,20733,20974,21215,21456,21697,21938,22179,22420,22661,22902,23143,23384,23625,23866,24107,24348,24589,24830,25071,25312,25553,25794,26035,26276,26517,26758,26999,27240,27481,27722,27963,28204,28445,28686,28927,29168,29409,29650,29891,30132,30373,30614,30855,31096,31337,31578,31819,32060,32301,32542,32783,33024,33265,33506,33747,33988,34229,34470,34711,34952,35193,35434,35675,35916,36157,36398,36639,36880,37121,37362,37603,37844,38085,38326,38567,38808,39049,39290,39531,39772,40013,40254,40495,40736,40977,41218,41459,41700,41941,42182,42423,42664,42905,43146,43387,43628,43869,44110,44351,44592,44833,45074,45315,45556,45797,46038,46279,46520,46761,47002,47243,47484,47725,47966,48207,48448,48689,48930,49171,49412,49653,49894,50135,50376,50617,50858,51099,51340,51581,51822,52063,52304,52545,52786,53027,53268,53509,53750,53991,54232,54473,54714,54955,55196,55437,55678,55919,56160,56394,56401,56642,56883,57124,57365,57606,57847
8,249,490,731,972,1213,1454,1695,1936,2177,2418,2659,2900,3141,3382,3623,3864,4105,4346,4587,4828,5069,5310,5551,5792,6033,6274,6515,6756,6997,7238,7479,7720,7961,8202,8443,8684,8925,9166,9407,9648,9889,10130,10371,10612,10853,11094,11335,11576,11817,12058,12299,12540,12781,13022,13263,13504,13745,13986,14227,14468,14709,14950,15191,15432,15673,15914,16155,16396,16637,16878,17119,17360,17601,17842,18083,18324,18565,18806,19047,19288,19529,19770,20011,20252,20493,20734,20975,21216,21457,21698,21939,22180,22421,22662,22903,23144,23385,23626,23867,24108,24349,24590,24831,25072,25313,25554,25795,26036,26277,26518,26759,27000,27241,27482,27723,27964,28205,28446,28687,28928,29169,29410,29651,29892,30133,30374,30615,30856,31097,31338,31579,31820,32061,32302,32543,32784,33025,33266,33507,33748,33989,34230,34471,34712,34953,35194,35435,35676,35917,36158,36399,36640,36881,37122,37363,37604,37845,38086,38327,38568,38809,39050,39291,39532,39773,40014,40255,40496,40737,40978,41219,41460,41701,41942,42183,42424,42665,42906,43147,43388,43629,43870,44111,44352,44593,44834,45075,45316,45557,45798,46039,46280,46521,46762,47003,47244,47485,47726,47967,48208,48449,48690,48931,49172,49413,49654,49895,50136,50377,50618,50859,51100,51341,51582,51823,52064,52305,52546,52787,53028,53269,53510,53751,53992,54233,54474,54715,54956,55197,55438,55679,55920,56153,56161,56402,56643,56884,57125,57366,57607,57848
9,250,491,732,973,1214,1455,1696,1937,2178,2419,2660,2901,3142,3383,3624,3865,4106,4347,4588,4829,5070,5311,5552,5793,6034,6275,6516,6757,6998,7239,7480,7721,7962,8203,8444,8685,8926,9167,9408,9649,9890,10131,10372,10613,10854,11095,11336,11577,11818,12059,12300,12541,12782,13023,13264,13505,13746,13987,14228,14469,14710,14951,15192,15433,15674,15915,16156,16397,16638,16879,17120,17361,17602,17843,18084,18325,18566,18807,19048,19289,19530,19771,20012,20253,20494,20735,20976,21217,21458,21699,21940,22181,22422,22663,22904,23145,23386,23627,23868,24109,24350,24591,24832,25073,25314,25555,25796,26037,26278,26519,26760,27001,27242,27483,27724,27965,28206,28447,28688,28929,29170,29411,29652,29893,30134,30375,30616,30857,31098,31339,31580,31821,32062,32303,32544,32785,33026,33267,33508,33749,33990,34231,34472,34713,34954,35195,35436,35677,35918,36159,36400,36641,36882,37123,37364,37605,37846,38087,38328,38569,38810,39051,39292,39533,39774,40015,40256,40497,40738,40979,41220,41461,41702,41943,42184,42425,42666,42907,43148,43389,43630,43871,44112,44353,44594,44835,45076,45317,45558,45799,46040,46281,46522,46763,47004,47245,47486,47727,47968,48209,48450,48691,48932,49173,49414,49655,49896,50137,50378,50619,50860,51101,51342,51583,51824,52065,52306,52547,52788,53029,53270,53511,53752,53993,54234,54475,54716,54957,55198,55439,55680,55912,55921,56162,56403,56644,56885,57126,57367,57608,57849
10,251,492,733,974,1215,1456,1697,1938,2179,2420,2661,2902,3143,3384,3625,3866,4107,4348,4589,4830,5071,5312,5553,5794,6035,6276,6517,6758,6999,7240,7481,7722,7963,8204,8445,8686,8927,9168,9409,9650,9891,10132,10373,10614,10855,11096,11337,11578,11819,12060,12301,12542,12783,13024,13265,13506,13747,13988,14229,14470,14711,14952,15193,15434,15675,15916,16157,16398,16639,16880,17121,17362,17603,17844,18085,18326,18567,18808,19049,19290,19531,19772,20013,20254,20495,20736,20977,21218,21459,21700,21941,22182,22423,22664,22905,23146,23387,23628,23869,24110,24351,24592,24833,25074,25315,25556,25797,26038,26279,26520,26761,27002,27243,27484,27725,27966,28207,28448,28689,28930,29171,29412,29653,29894,30135,30376,30617,30858,31099,31340,31581,31822,32063,32304,32545,32786,33027,33268,33509,33750,33991,34232,34473,34714,34955,35196,35437,35678,35919,36160,36401,36642,36883,37124,37365,37606,37847,38088,38329,38570,38811,39052,39293,39534,39775,40016,40257,40498,40739,40980,41221,41462,41703,41944,42185,42426,42667,42908,43149,43390,43631,43872,44113,44354,44595,44836,45077,45318,45559,45800,46041,46282,46523,46764,47005,47246,47487,47728,47969,48210,48451,48692,48933,49174,49415,49656,49897,50138,50379,50620,50861,51102,51343,51584,51825,52066,52307,52548,52789,53030,53271,53512,53753,53994,54235,54476,54717,54958,55199,55440,55671,55681,55922,56163,56404,56645,56886,57127,57368,57609,57850
11,252,493,734,975,1216,1457,1698,1939,2180,2421,2662,2903,3144,3385,3626,3867,4108,4349,4590,4831,5072,5313,5554,5795,6036,6277,6518,6759,7000,7241,7482,7723,7964,8205,8446,8687,8928,9169,9410,9651,9892,10133,10374,10615,10856,11097,11338,11579,11820,12061,12302,12543,12784,13025,13266,13507,13748,13989,14230,14471,14712,14953,15194,15435,15676,15917,16158,16399,16640,16881,17122,17363,17604,17845,18086,18327,18568,18809,19050,19291,19532,19773,20014,20255,20496,20737,20978,21219,21460,21701,21942,22183,22424,22665,22906,23147,23388,23629,23870,24111,24352,24593,24834,25075,25316,25557,25798,26039,26280,26521,26762,27003,27244,27485,27726,27967,28208,28449,28690,28931,29172,29413,29654,29895,30136,30377,30618,30859,31100,31341,31582,31823,32064,32305,32546,32787,33028,33269,33510,33751,33992,34233,34474,34715,34956,35197,35438,35679,35920,36161,36402,36643,36884,37125,37366,37607,37848,38089,38330,38571,38812,39053,39294,39535,39776,40017,40258,40499,40740,40981,41222,41463,41704,41945,42186,42427,42668,42909,43150,43391,43632,43873,44114,44355,44596,44837,45078,45319,45560,45801,46042,46283,46524,46765,47006,47247,47488,47729,47970,48211,48452,48693,48934,49175,49416,49657,49898,50139,50380,50621,50862,51103,51344,51585,51826,52067,52308,52549,52790,53031,53272,53513,53754,53995,54236,54477,54718,54959,55200,55430,55441,55682,55923,56164,56405,56646,56887,57128,57369,57610,57851
