1,268,535,802,1069,1336,1603,1870,2137,2404,2671,2938,3205,3472,3739,4006,4273,4540,4807,5074,5341,5608,5875,6142,6409,6676,6943,7210,7477,7744,8011,8278,8545,8812,9079,9346,9613,9880,10147,10414,10681,10948,11215,11482,11749,12016,12283,12550,12817,13084,13351,13618,13885,14152,14419,14686,14953,15220,15487,15754,16021,16288,16555,16822,17089,17356,17623,17890,18157,18424,18691,18958,19225,19492,19759,20026,20293,20560,20827,21094,21361,21628,21895,22162,22429,22696,22963,23230,23497,23764,24031,24298,24565,24832,25099,25366,25633,25900,26167,26434,26701,26968,27235,27502,27769,28036,28303,28570,28837,29104,29371,29638,29905,30172,30439,30706,30973,31240,31507,31774,32041,32308,32575,32842,33109,33376,33643,33910,34177,34444,34711,34978,35245,35512,35779,36046,36313,36580,36847,37114,37381,37648,37915,38182,38449,38716,38983,39250,39517,39784,40051,40318,40585,40852,41119,41386,41653,41920,42187,42454,42721,42988,43255,43522,43789,44056,44323,44590,44857,45124,45391,45658,45925,46192,46459,46726,46993,47260,47527,47794,48061,48328,48595,48862,49129,49396,49663,49930,50197,50464,50731,50998,51265,51532,51799,52066,52333,52600,52867,53134,53401,53668,53935,54202,54469,54736,55003,55270,55537,55804,56071,56338,56605,56872,57139,57406,57673,57940,58207,58474,58741,59008,59275,59542,59809,60076,60343,60610,60877,61144,61411,61678,61945,62212,62479,62746,63013,63280,63547,63814,64081,64348,64615,64882,65149,65416,65683,65950,66217,66484,66751,67018,67285,67552,67819,68086,68353,68620,68887,69154,69421,69688,69955,70222,70489,70756,71022,71023
2,269,536,803,1070,1337,1604,1871,2138,2405,2672,2939,3206,3473,3740,4007,4274,4541,4808,5075,5342,5609,5876,6143,6410,6677,6944,7211,7478,7745,8012,8279,8546,8813,9080,9347,9614,9881,10148,10415,10682,10949,11216,11483,11750,12017,12284,12551,12818,13085,13352,13619,13886,14153,14420,14687,14954,15221,15488,15755,16022,16289,16556,16823,17090,17357,17624,17891,18158,18425,18692,18959,19226,19493,19760,20027,20294,20561,20828,21095,21362,21629,21896,22163,22430,22697,22964,23231,23498,23765,24032,24299,24566,24833,25100,25367,25634,25901,26168,26435,26702,26969,27236,27503,27770,28037,28304,28571,28838,29105,29372,29639,29906,30173,30440,30707,30974,31241,31508,31775,32042,32309,32576,32843,33110,33377,33644,33911,34178,34445,34712,34979,35246,35513,35780,36047,36314,36581,36848,37115,37382,37649,37916,38183,38450,38717,38984,39251,39518,39785,40052,40319,40586,40853,41120,41387,41654,41921,42188,42455,42722,42989,43256,43523,43790,44057,44324,44591,44858,45125,45392,45659,45926,46193,46460,46727,46994,47261,47528,47795,48062,48329,48596,48863,49130,49397,49664,49931,50198,50465,50732,50999,51266,51533,51800,52067,52334,52601,52868,53135,53402,53669,53936,54203,54470,54737,55004,55271,55538,55805,56072,56339,56606,56873,57140,57407,57674,57941,58208,58475,58742,59009,59276,59543,59810,60077,60344,60611,60878,61145,61412,61679,61946,62213,62480,62747,63014,63281,63548,63815,64082,64349,64616,64883,65150,65417,65684,65951,66218,66485,66752,67019,67286,67553,67820,68087,68354,68621,68888,69155,69422,69689,69956,70223,70490,70755,70757,71024
3,270,537,804,1071,1338,1605,1872,2139,2406,2673,2940,3207,3474,3741,4008,4275,4542,4809,5076,5343,5610,5877,6144,6411,6678,6945,7212,7479,7746,8013,8280,8547,8814,9081,9348,9615,9882,10149,10416,10683,10950,11217,11484,11751,12018,12285,12552,12819,13086,13353,13620,13887,14154,14421,14688,14955,15222,15489,15756,16023,16290,16557,16824,17091,17358,17625,17892,18159,18426,18693,18960,19227,19494,19761,20028,20295,20562,20829,21096,21363,21630,21897,22164,22431,22698,22965,23232,23499,23766,24033,24300,24567,24834,25101,25368,25635,25902,26169,26436,26703,26970,27237,27504,27771,28038,28305,28572,28839,29106,29373,29640,29907,30174,30441,30708,30975,31242,31509,31776,32043,32310,32577,32844,33111,33378,33645,33912,34179,34446,34713,34980,35247,35514,35781,36048,36315,36582,36849,37116,37383,37650,37917,38184,38451,38718,38985,39252,39519,39786,40053,40320,40587,40854,41121,41388,41655,41922,42189,42456,42723,42990,43257,43524,43791,44058,44325,44592,44859,45126,45393,45660,45927,46194,46461,46728,46995,47262,47529,47796,48063,48330,48597,48864,49131,49398,49665,49932,50199,50466,50733,51000,51267,51534,51801,52068,52335,52602,52869,53136,53403,53670,53937,54204,54471,54738,55005,55272,55539,55806,56073,56340,56607,56874,57141,57408,57675,57942,58209,58476,58743,59010,59277,59544,59811,60078,60345,60612,60879,61146,61413,61680,61947,62214,62481,62748,63015,63282,63549,63816,64083,64350,64617,64884,65151,65418,65685,65952,66219,66486,66753,67020,67287,67554,67821,68088,68355,68622,68889,69156,69423,69690,69957,70224,70488,70491,70758,71025
4,271,538,805,1072,1339,1606,1873,2140,2407,2674,2941,3208,3475,3742,4009,4276,4543,4810,5077,5344,5611,5878,6145,6412,6679,6946,7213,7480,7747,8014,8281,8548,8815,9082,9349,9616,9883,10150,10417,10684,10951,11218,11485,11752,12019,12286,12553,12820,13087,13354,13621,13888,14155,14422,14689,14956,15223,15490,15757,16024,16291,16558,16825,17092,17359,17626,17893,18160,18427,18694,18961,19228,19495,19762,20029,20296,20563,20830,21097,21364,21631,21898,22165,22432,22699,22966,23233,23500,23767,24034,24301,24568,24835,25102,25369,25636,25903,26170,26437,26704,26971,27238,27505,27772,28039,28306,28573,28840,29107,29374,29641,29908,30175,30442,30709,30976,31243,31510,31777,32044,32311,32578,32845,33112,33379,33646,33913,34180,34447,34714,34981,35248,35515,35782,36049,36316,36583,36850,37117,37384,37651,37918,38185,38452,38719,38986,39253,39520,39787,40054,40321,40588,40855,41122,41389,41656,41923,42190,42457,42724,42991,43258,43525,43792,44059,44326,44593,44860,45127,45394,45661,45928,46195,46462,46729,46996,47263,47530,47797,48064,48331,48598,48865,49132,49399,49666,49933,50200,50467,50734,51001,51268,51535,51802,52069,52336,52603,52870,53137,53404,53671,53938,54205,54472,54739,55006,55273,55540,55807,56074,56341,56608,56875,57142,57409,57676,57943,58210,58477,58744,59011,59278,59545,59812,60079,60346,60613,60880,61147,61414,61681,61948,62215,62482,62749,63016,63283,63550,63817,64084,64351,64618,64885,65152,65419,65686,65953,66220,66487,66754,67021,67288,67555,67822,68089,68356,68623,68890,69157,69424,69691,69958,70221,70225,70492,70759,71026
5,272,539,806,1073,1340,1607,1874,2141,2408,2675,2942,3209,3476,3743,4010,4277,4544,4811,5078,5345,5612,5879,6146,6413,6680,6947,7214,7481,7748,8015,8282,8549,8816,9083,9350,9617,9884,10151,10418,10685,10952,11219,11486,11753,12020,12287,12554,12821,13088,13355,13622,13889,14156,14423,14690,14957,15224,15491,15758,16025,16292,16559,16826,17093,17360,17627,17894,18161,18428,18695,18962,19229,19496,19763,20030,20297,20564,20831,21098,21365,21632,21899,22166,22433,22700,22967,23234,23501,23768,24035,24302,24569,24836,25103,25370,25637,25904,26171,26438,26705,26972,27239,27506,27773,28040,28307,28574,28841,29108,29375,29642,29909,30176,30443,30710,30977,31244,31511,31778,32045,32312,32579,32846,33113,33380,33647,33914,34181,34448,34715,34982,35249,35516,35783,36050,36317,36584,36851,37118,37385,37652,37919,38186,38453,38720,38987,39254,39521,39788,40055,40322,40589,40856,41123,41390,41657,41924,42191,42458,42725,42992,43259,43526,43793,44060,44327,44594,44861,45128,45395,45662,45929,46196,46463,46730,46997,47264,47531,47798,48065,48332,48599,48866,49133,49400,49667,49934,50201,50468,50735,51002,51269,51536,51803,52070,52337,52604,52871,53138,53405,53672,53939,54206,54473,54740,55007,55274,55541,55808,56075,56342,56609,56876,57143,57410,57677,57944,58211,58478,58745,59012,59279,59546,59813,60080,60347,60614,60881,61148,61415,61682,61949,62216,62483,62750,63017,63284,63551,63818,64085,64352,64619,64886,65153,65420,65687,65954,66221,66488,66755,67022,67289,67556,67823,68090,68357,68624,68891,69158,69425,69692,69954,69959,70226,70493,70760,71027
6,273,540,807,1074,1341,1608,1875,2142,2409,2676,2943,3210,3477,3744,4011,4278,4545,4812,5079,5346,5613,5880,6147,6414,6681,6948,7215,7482,7749,8016,8283,8550,8817,9084,9351,9618,9885,10152,10419,10686,10953,11220,11487,11754,12021,12288,12555,12822,13089,13356,13623,13890,14157,14424,14691,14958,15225,15492,15759,16026,16293,16560,16827,17094,17361,17628,17895,18162,18429,18696,18963,19230,19497,19764,20031,20298,20565,20832,21099,21366,21633,21900,22167,22434,22701,22968,23235,23502,23769,24036,24303,24570,24837,25104,25371,25638,25905,26172,26439,26706,26973,27240,27507,27774,28041,28308,28575,28842,29109,29376,29643,29910,30177,30444,30711,30978,31245,31512,31779,32046,32313,32580,32847,33114,33381,33648,33915,34182,34449,34716,34983,35250,35517,35784,36051,36318,36585,36852,37119,37386,37653,37920,38187,38454,38721,38988,39255,39522,39789,40056,40323,40590,40857,41124,41391,41658,41925,42192,42459,42726,42993,43260,43527,43794,44061,44328,44595,44862,45129,45396,45663,45930,46197,46464,46731,46998,47265,47532,47799,48066,48333,48600,48867,49134,49401,49668,49935,50202,50469,50736,51003,51270,51537,51804,52071,52338,52605,52872,53139,53406,53673,53940,54207,54474,54741,55008,55275,55542,55809,56076,56343,56610,56877,57144,57411,57678,57945,58212,58479,58746,59013,59280,59547,59814,60081,60348,60615,60882,61149,61416,61683,61950,62217,62484,62751,63018,63285,63552,63819,64086,64353,64620,64887,65154,65421,65688,65955,66222,66489,66756,67023,67290,67557,67824,68091,68358,68625,68892,69159,69426,69687,69693,69960,70227,70494,70761,71028
7,274,541,808,1075,1342,1609,1876,2143,2410,2677,2944,3211,3478,3745,4012,4279,4546,4813,5080,5347,5614,5881,6148,6415,6682,6949,7216,7483,7750,8017,8284,8551,8818,9085,9352,9619,9886,10153,10420,10687,10954,11221,11488,11755,12022,12289,12556,12823,13090,13357,13624,13891,14158,14425,14692,14959,15226,15493,15760,16027,16294,16561,16828,17095,17362,17629,17896,18163,18430,18697,18964,19231,19498,19765,20032,20299,20566,20833,21100,21367,21634,21901,22168,22435,22702,22969,23236,23503,23770,24037,24304,24571,24838,25105,25372,25639,25906,26173,26440,26707,26974,27241,27508,27775,28042,28309,28576,28843,29110,29377,29644,29911,30178,30445,30712,30979,31246,31513,31780,32047,32314,32581,32848,33115,33382,33649,33916,34183,34450,34717,34984,35251,35518,35785,36052,36319,36586,36853,37120,37387,37654,37921,38188,38455,38722,38989,39256,39523,39790,40057,40324,40591,40858,41125,41392,41659,41926,42193,42460,42727,42994,43261,43528,43795,44062,44329,44596,44863,45130,45397,45664,45931,46198,46465,46732,46999,47266,47533,47800,48067,48334,48601,48868,49135,49402,49669,49936,50203,50470,50737,51004,51271,51538,51805,52072,52339,52606,52873,53140,53407,53674,53941,54208,54475,54742,55009,55276,55543,55810,56077,56344,56611,56878,57145,57412,57679,57946,58213,58480,58747,59014,59281,59548,59815,60082,60349,60616,60883,61150,61417,61684,61951,62218,62485,62752,63019,63286,63553,63820,64087,64354,64621,64888,65155,65422,65689,65956,66223,66490,66757,67024,67291,67558,67825,68092,68359,68626,68893,69160,69420,69427,69694,69961,70228,70495,70762,71029
8,275,542,809,1076,1343,1610,1877,2144,2411,2678,2945,3212,3479,3746,4013,4280,4547,4814,5081,5348,5615,5882,6149,6416,6683,6950,7217,7484,7751,8018,8285,8552,8819,9086,9353,9620,9887,10154,10421,10688,10955,11222,11489,11756,12023,12290,12557,12824,13091,13358,13625,13892,14159,14426,14693,14960,15227,15494,15761,16028,16295,16562,16829,17096,17363,17630,17897,18164,18431,18698,18965,19232,19499,19766,20033,20300,20567,20834,21101,21368,21635,21902,22169,22436,22703,22970,23237,23504,23771,24038,24305,24572,24839,25106,25373,25640,25907,26174,26441,26708,26975,27242,27509,27776,28043,28310,28577,28844,29111,29378,29645,29912,30179,30446,30713,30980,31247,31514,31781,32048,32315,32582,32849,33116,33383,33650,33917,34184,34451,34718,34985,35252,35519,35786,36053,36320,36587,36854,37121,37388,37655,37922,38189,38456,38723,38990,39257,39524,39791,40058,40325,40592,40859,41126,41393,41660,41927,42194,42461,42728,42995,43262,43529,43796,44063,44330,44597,44864,45131,45398,45665,45932,46199,46466,46733,47000,47267,47534,47801,48068,48335,48602,48869,49136,49403,49670,49937,50204,50471,50738,51005,51272,51539,51806,52073,52340,52607,52874,53141,53408,53675,53942,54209,54476,54743,55010,55277,55544,55811,56078,56345,56612,56879,57146,57413,57680,57947,58214,58481,58748,59015,59282,59549,59816,60083,60350,60617,60884,61151,61418,61685,61952,62219,62486,62753,63020,63287,63554,63821,64088,64355,64622,64889,65156,65423,65690,65957,66224,66491,66758,67025,67292,67559,67826,68093,68360,68627,68894,69153,69161,69428,69695,69962,70229,70496,70763,71030
9,276,543,810,1077,1344,1611,1878,2145,2412,2679,2946,3213,3480,3747,4014,4281,4548,4815,5082,5349,5616,5883,6150,6417,6684,6951,7218,7485,7752,8019,8286,8553,8820,9087,9354,9621,9888,10155,10422,10689,10956,11223,11490,11757,12024,12291,12558,12825,13092,13359,13626,13893,14160,14427,14694,14961,15228,15495,15762,16029,16296,16563,16830,17097,17364,17631,17898,18165,18432,18699,18966,19233,19500,19767,20034,20301,20568,20835,21102,21369,21636,21903,22170,22437,22704,22971,23238,23505,23772,24039,24306,24573,24840,25107,25374,25641,25908,26175,26442,26709,26976,27243,27510,27777,28044,28311,28578,28845,29112,29379,29646,29913,30180,30447,30714,30981,31248,31515,31782,32049,32316,32583,32850,33117,33384,33651,33918,34185,34452,34719,34986,35253,35520,35787,36054,36321,36588,36855,37122,37389,37656,37923,38190,38457,38724,38991,39258,39525,39792,40059,40326,40593,40860,41127,41394,41661,41928,42195,42462,42729,42996,43263,43530,43797,44064,44331,44598,44865,45132,45399,45666,45933,46200,46467,46734,47001,47268,47535,47802,48069,48336,48603,48870,49137,49404,49671,49938,50205,50472,50739,51006,51273,51540,51807,52074,52341,52608,52875,53142,53409,53676,53943,54210,54477,54744,55011,55278,55545,55812,56079,56346,56613,56880,57147,57414,57681,57948,58215,58482,58749,59016,59283,59550,59817,60084,60351,60618,60885,61152,61419,61686,61953,62220,62487,62754,63021,63288,63555,63822,64089,64356,64623,64890,65157,65424,65691,65958,66225,66492,66759,67026,67293,67560,67827,68094,68361,68628,68886,68895,69162,69429,69696,69963,70230,70497,70764,71031
10,277,544,811,1078,1345,1612,1879,2146,2413,2680,2947,3214,3481,3748,4015,4282,4549,4816,5083,5350,5617,5884,6151,6418,6685,6952,7219,7486,7753,8020,8287,8554,8821,9088,9355,9622,9889,10156,10423,10690,10957,11224,11491,11758,12025,12292,12559,12826,13093,13360,13627,13894,14161,14428,14695,14962,15229,15496,15763,16030,16297,16564,16831,17098,17365,17632,17899,18166,18433,18700,18967,19234,19501,19768,20035,20302,20569,20836,21103,21370,21637,21904,22171,22438,22705,22972,23239,23506,23773,24040,24307,24574,24841,25108,25375,25642,25909,26176,26443,26710,26977,27244,27511,27778,28045,28312,28579,28846,29113,29380,29647,29914,30181,30448,30715,30982,31249,31516,31783,32050,32317,32584,32851,33118,33385,33652,33919,34186,34453,34720,34987,35254,35521,35788,36055,36322,36589,36856,37123,37390,37657,37924,38191,38458,38725,38992,39259,39526,39793,40060,40327,40594,40861,41128,41395,41662,41929,42196,42463,42730,42997,43264,43531,43798,44065,44332,44599,44866,45133,45400,45667,45934,46201,46468,46735,47002,47269,47536,47803,48070,48337,48604,48871,49138,49405,49672,49939,50206,50473,50740,51007,51274,51541,51808,52075,52342,52609,52876,53143,53410,53677,53944,54211,54478,54745,55012,55279,55546,55813,56080,56347,56614,56881,57148,57415,57682,57949,58216,58483,58750,59017,59284,59551,59818,60085,60352,60619,60886,61153,61420,61687,61954,62221,62488,62755,63022,63289,63556,63823,64090,64357,64624,64891,65158,65425,65692,65959,66226,66493,66760,67027,67294,67561,67828,68095,68362,68619,68629,68896,69163,69430,69697,69964,70231,70498,70765,71032
11,278,545,812,1079,1346,1613,1880,2147,2414,2681,2948,3215,3482,3749,4016,4283,4550,4817,5084,5351,5618,5885,6152,6419,6686,6953,7220,7487,7754,8021,8288,8555,8822,9089,9356,9623,9890,10157,10424,10691,10958,11225,11492,11759,12026,12293,12560,12827,13094,13361,13628,13895,14162,14429,14696,14963,15230,15497,15764,16031,16298,16565,16832,17099,17366,17633,17900,18167,18434,18701,18968,19235,19502,19769,20036,20303,20570,20837,21104,21371,21638,21905,22172,22439,22706,22973,23240,23507,23774,24041,24308,24575,24842,25109,25376,25643,25910,26177,26444,26711,26978,27245,27512,27779,28046,28313,28580,28847,29114,29381,29648,29915,30182,30449,30716,30983,31250,31517,31784,32051,32318,32585,32852,33119,33386,33653,33920,34187,34454,34721,34988,35255,35522,35789,36056,36323,36590,36857,37124,37391,37658,37925,38192,38459,38726,38993,39260,39527,39794,40061,40328,40595,40862,41129,41396,41663,41930,42197,42464,42731,42998,43265,43532,43799,44066,44333,44600,44867,45134,45401,45668,45935,46202,46469,46736,47003,47270,47537,47804,48071,48338,48605,48872,49139,49406,49673,49940,50207,50474,50741,51008,51275,51542,51809,52076,52343,52610,52877,53144,53411,53678,53945,54212,54479,54746,55013,55280,55547,55814,56081,56348,56615,56882,57149,57416,57683,57950,58217,58484,58751,59018,59285,59552,59819,60086,60353,60620,60887,61154,61421,61688,61955,62222,62489,62756,63023,63290,63557,63824,64091,64358,64625,64892,65159,65426,65693,65960,66227,66494,66761,67028,67295,67562,67829,68096,68352,68363,68630,68897,69164,69431,69698,69965,70232,70499,70766,71033
