1,286,571,856,1141,1426,1711,1996,2281,2566,2851,3136,3421,3706,3991,4276,4561,4846,5131,5416,5701,5986,6271,6556,6841,7126,7411,7696,7981,8266,8551,8836,9121,9406,9691,9976,10261,10546,10831,11116,11401,11686,11971,12256,12541,12826,13111,13396,13681,13966,14251,14536,14821,15106,15391,15676,15961,16246,16531,16816,17101,17386,17671,17956,18241,18526,18811,19096,19381,19666,19951,20236,20521,20806,21091,21376,21661,21946,22231,22516,22801,23086,23371,23656,23941,24226,24511,24796,25081,25366,25651,25936,26221,26506,26791,27076,27361,27646,27931,28216,28501,28786,29071,29356,29641,29926,30211,30496,30781,31066,31351,31636,31921,32206,32491,32776,33061,33346,33631,33916,34201,34486,34771,35056,35341,35626,35911,36196,36481,36766,37051,37336,37621,37906,38191,38476,38761,39046,39331,39616,39901,40186,40471,40756,41041,41326,41611,41896,42181,42466,42751,43036,43321,43606,43891,44176,44461,44746,45031,45316,45601,45886,46171,46456,46741,47026,47311,47596,47881,48166,48451,48736,49021,49306,49591,49876,50161,50446,50731,51016,51301,51586,51871,52156,52441,52726,53011,53296,53581,53866,54151,54436,54721,55006,55291,55576,55861,56146,56431,56716,57001,57286,57571,57856,58141,58426,58711,58996,59281,59566,59851,60136,60421,60706,60991,61276,61561,61846,62131,62416,62701,62986,63271,63556,63841,64126,64411,64696,64981,65266,65551,65836,66121,66406,66691,66976,67261,67546,67831,68116,68401,68686,68971,69256,69541,69826,70111,70396,70681,70966,71251,71536,71821,72106,72391,72676,72961,73246,73531,73816,74101,74386,74671,74956,75241,75526,75811,76096,76381,76666,76951,77236,77521,77806,78091,78376,78661,78946,79231,79516,79801,80086,80371,80656,80940,80941
2,287,572,857,1142,1427,1712,1997,2282,2567,2852,3137,3422,3707,3992,4277,4562,4847,5132,5417,5702,5987,6272,6557,6842,7127,7412,7697,7982,8267,8552,8837,9122,9407,9692,9977,10262,10547,10832,11117,11402,11687,11972,12257,12542,12827,13112,13397,13682,13967,14252,14537,14822,15107,15392,15677,15962,16247,16532,16817,17102,17387,17672,17957,18242,18527,18812,19097,19382,19667,19952,20237,20522,20807,21092,21377,21662,21947,22232,22517,22802,23087,23372,23657,23942,24227,24512,24797,25082,25367,25652,25937,26222,26507,26792,27077,27362,27647,27932,28217,28502,28787,29072,29357,29642,29927,30212,30497,30782,31067,31352,31637,31922,32207,32492,32777,33062,33347,33632,33917,34202,34487,34772,35057,35342,35627,35912,36197,36482,36767,37052,37337,37622,37907,38192,38477,38762,39047,39332,39617,39902,40187,40472,40757,41042,41327,41612,41897,42182,42467,42752,43037,43322,43607,43892,44177,44462,44747,45032,45317,45602,45887,46172,46457,46742,47027,47312,47597,47882,48167,48452,48737,49022,49307,49592,49877,50162,50447,50732,51017,51302,51587,51872,52157,52442,52727,53012,53297,53582,53867,54152,54437,54722,55007,55292,55577,55862,56147,56432,56717,57002,57287,57572,57857,58142,58427,58712,58997,59282,59567,59852,60137,60422,60707,60992,61277,61562,61847,62132,62417,62702,62987,63272,63557,63842,64127,64412,64697,64982,65267,65552,65837,66122,66407,66692,66977,67262,67547,67832,68117,68402,68687,68972,69257,69542,69827,70112,70397,70682,70967,71252,71537,71822,72107,72392,72677,72962,73247,73532,73817,74102,74387,74672,74957,75242,75527,75812,76097,76382,76667,76952,77237,77522,77807,78092,78377,78662,78947,79232,79517,79802,80087,80372,80655,80657,80942
3,288,573,858,1143,1428,1713,1998,2283,2568,2853,3138,3423,3708,3993,4278,4563,4848,5133,5418,5703,5988,6273,6558,6843,7128,7413,7698,7983,8268,8553,8838,9123,9408,9693,9978,10263,10548,10833,11118,11403,11688,11973,12258,12543,12828,13113,13398,13683,13968,14253,14538,14823,15108,15393,15678,15963,16248,16533,16818,17103,17388,17673,17958,18243,18528,18813,19098,19383,19668,19953,20238,20523,20808,21093,21378,21663,21948,22233,22518,22803,23088,23373,23658,23943,24228,24513,24798,25083,25368,25653,25938,26223,26508,26793,27078,27363,27648,27933,28218,28503,28788,29073,29358,29643,29928,30213,30498,30783,31068,31353,31638,31923,32208,32493,32778,33063,33348,33633,33918,34203,34488,34773,35058,35343,35628,35913,36198,36483,36768,37053,37338,37623,37908,38193,38478,38763,39048,39333,39618,39903,40188,40473,40758,41043,41328,41613,41898,42183,42468,42753,43038,43323,43608,43893,44178,44463,44748,45033,45318,45603,45888,46173,46458,46743,47028,47313,47598,47883,48168,48453,48738,49023,49308,49593,49878,50163,50448,50733,51018,51303,51588,51873,52158,52443,52728,53013,53298,53583,53868,54153,54438,54723,55008,55293,55578,55863,56148,56433,56718,57003,57288,57573,57858,58143,58428,58713,58998,59283,59568,59853,60138,60423,60708,60993,61278,61563,61848,62133,62418,62703,62988,63273,63558,63843,64128,64413,64698,64983,65268,65553,65838,66123,66408,66693,66978,67263,67548,67833,68118,68403,68688,68973,69258,69543,69828,70113,70398,70683,70968,71253,71538,71823,72108,72393,72678,72963,73248,73533,73818,74103,74388,74673,74958,75243,75528,75813,76098,76383,76668,76953,77238,77523,77808,78093,78378,78663,78948,79233,79518,79803,80088,80370,80373,80658,80943
4,289,574,859,1144,1429,1714,1999,2284,2569,2854,3139,3424,3709,3994,4279,4564,4849,5134,5419,5704,5989,6274,6559,6844,7129,7414,7699,7984,8269,8554,8839,9124,9409,9694,9979,10264,10549,10834,11119,11404,11689,11974,12259,12544,12829,13114,13399,13684,13969,14254,14539,14824,15109,15394,15679,15964,16249,16534,16819,17104,17389,17674,17959,18244,18529,18814,19099,19384,19669,19954,20239,20524,20809,21094,21379,21664,21949,22234,22519,22804,23089,23374,23659,23944,24229,24514,24799,25084,25369,25654,25939,26224,26509,26794,27079,27364,27649,27934,28219,28504,28789,29074,29359,29644,29929,30214,30499,30784,31069,31354,31639,31924,32209,32494,32779,33064,33349,33634,33919,34204,34489,34774,35059,35344,35629,35914,36199,36484,36769,37054,37339,37624,37909,38194,38479,38764,39049,39334,39619,39904,40189,40474,40759,41044,41329,41614,41899,42184,42469,42754,43039,43324,43609,43894,44179,44464,44749,45034,45319,45604,45889,46174,46459,46744,47029,47314,47599,47884,48169,48454,48739,49024,49309,49594,49879,50164,50449,50734,51019,51304,51589,51874,52159,52444,52729,53014,53299,53584,53869,54154,54439,54724,55009,55294,55579,55864,56149,56434,56719,57004,57289,57574,57859,58144,58429,58714,58999,59284,59569,59854,60139,60424,60709,60994,61279,61564,61849,62134,62419,62704,62989,63274,63559,63844,64129,64414,64699,64984,65269,65554,65839,66124,66409,66694,66979,67264,67549,67834,68119,68404,68689,68974,69259,69544,69829,70114,70399,70684,70969,71254,71539,71824,72109,72394,72679,72964,73249,73534,73819,74104,74389,74674,74959,75244,75529,75814,76099,76384,76669,76954,77239,77524,77809,78094,78379,78664,78949,79234,79519,79804,80085,80089,80374,80659,80944
5,290,575,860,1145,1430,1715,2000,2285,2570,2855,3140,3425,3710,3995,4280,4565,4850,5135,5420,5705,5990,6275,6560,6845,7130,7415,7700,7985,8270,8555,8840,9125,9410,9695,9980,10265,10550,10835,11120,11405,11690,11975,12260,12545,12830,13115,13400,13685,13970,14255,14540,14825,15110,15395,15680,15965,16250,16535,16820,17105,17390,17675,17960,18245,18530,18815,19100,19385,19670,19955,20240,20525,20810,21095,21380,21665,21950,22235,22520,22805,23090,23375,23660,23945,24230,24515,24800,25085,25370,25655,25940,26225,26510,26795,27080,27365,27650,27935,28220,28505,28790,29075,29360,29645,29930,30215,30500,30785,31070,31355,31640,31925,32210,32495,32780,33065,33350,33635,33920,34205,34490,34775,35060,35345,35630,35915,36200,36485,36770,37055,37340,37625,37910,38195,38480,38765,39050,39335,39620,39905,40190,40475,40760,41045,41330,41615,41900,42185,42470,42755,43040,43325,43610,43895,44180,44465,44750,45035,45320,45605,45890,46175,46460,46745,47030,47315,47600,47885,48170,48455,48740,49025,49310,49595,49880,50165,50450,50735,51020,51305,51590,51875,52160,52445,52730,53015,53300,53585,53870,54155,54440,54725,55010,55295,55580,55865,56150,56435,56720,57005,57290,57575,57860,58145,58430,58715,59000,59285,59570,59855,60140,60425,60710,60995,61280,61565,61850,62135,62420,62705,62990,63275,63560,63845,64130,64415,64700,64985,65270,65555,65840,66125,66410,66695,66980,67265,67550,67835,68120,68405,68690,68975,69260,69545,69830,70115,70400,70685,70970,71255,71540,71825,72110,72395,72680,72965,73250,73535,73820,74105,74390,74675,74960,75245,75530,75815,76100,76385,76670,76955,77240,77525,77810,78095,78380,78665,78950,79235,79520,79800,79805,80090,80375,80660,80945
6,291,576,861,1146,1431,1716,2001,2286,2571,2856,3141,3426,3711,3996,4281,4566,4851,5136,5421,5706,5991,6276,6561,6846,7131,7416,7701,7986,8271,8556,8841,9126,9411,9696,9981,10266,10551,10836,11121,11406,11691,11976,12261,12546,12831,13116,13401,13686,13971,14256,14541,14826,15111,15396,15681,15966,16251,16536,16821,17106,17391,17676,17961,18246,18531,18816,19101,19386,19671,19956,20241,20526,20811,21096,21381,21666,21951,22236,22521,22806,23091,23376,23661,23946,24231,24516,24801,25086,25371,25656,25941,26226,26511,26796,27081,27366,27651,27936,28221,28506,28791,29076,29361,29646,29931,30216,30501,30786,31071,31356,31641,31926,32211,32496,32781,33066,33351,33636,33921,34206,34491,34776,35061,35346,35631,35916,36201,36486,36771,37056,37341,37626,37911,38196,38481,38766,39051,39336,39621,39906,40191,40476,40761,41046,41331,41616,41901,42186,42471,42756,43041,43326,43611,43896,44181,44466,44751,45036,45321,45606,45891,46176,46461,46746,47031,47316,47601,47886,48171,48456,48741,49026,49311,49596,49881,50166,50451,50736,51021,51306,51591,51876,52161,52446,52731,53016,53301,53586,53871,54156,54441,54726,55011,55296,55581,55866,56151,56436,56721,57006,57291,57576,57861,58146,58431,58716,59001,59286,59571,59856,60141,60426,60711,60996,61281,61566,61851,62136,62421,62706,62991,63276,63561,63846,64131,64416,64701,64986,65271,65556,65841,66126,66411,66696,66981,67266,67551,67836,68121,68406,68691,68976,69261,69546,69831,70116,70401,70686,70971,71256,71541,71826,72111,72396,72681,72966,73251,73536,73821,74106,74391,74676,74961,75246,75531,75816,76101,76386,76671,76956,77241,77526,77811,78096,78381,78666,78951,79236,79515,79521,79806,80091,80376,80661,80946
7,292,577,862,1147,1432,1717,2002,2287,2572,2857,3142,3427,3712,3997,4282,4567,4852,5137,5422,5707,5992,6277,6562,6847,7132,7417,7702,7987,8272,8557,8842,9127,9412,9697,9982,10267,10552,10837,11122,11407,11692,11977,12262,12547,12832,13117,13402,13687,13972,14257,14542,14827,15112,15397,15682,15967,16252,16537,16822,17107,17392,17677,17962,18247,18532,18817,19102,19387,19672,19957,20242,20527,20812,21097,21382,21667,21952,22237,22522,22807,23092,23377,23662,23947,24232,24517,24802,25087,25372,25657,25942,26227,26512,26797,27082,27367,27652,27937,28222,28507,28792,29077,29362,29647,29932,30217,30502,30787,31072,31357,31642,31927,32212,32497,32782,33067,33352,33637,33922,34207,34492,34777,35062,35347,35632,35917,36202,36487,36772,37057,37342,37627,37912,38197,38482,38767,39052,39337,39622,39907,40192,40477,40762,41047,41332,41617,41902,42187,42472,42757,43042,43327,43612,43897,44182,44467,44752,45037,45322,45607,45892,46177,46462,46747,47032,47317,47602,47887,48172,48457,48742,49027,49312,49597,49882,50167,50452,50737,51022,51307,51592,51877,52162,52447,52732,53017,53302,53587,53872,54157,54442,54727,55012,55297,55582,55867,56152,56437,56722,57007,57292,57577,57862,58147,58432,58717,59002,59287,59572,59857,60142,60427,60712,60997,61282,61567,61852,62137,62422,62707,62992,63277,63562,63847,64132,64417,64702,64987,65272,65557,65842,66127,66412,66697,66982,67267,67552,67837,68122,68407,68692,68977,69262,69547,69832,70117,70402,70687,70972,71257,71542,71827,72112,72397,72682,72967,73252,73537,73822,74107,74392,74677,74962,75247,75532,75817,76102,76387,76672,76957,77242,77527,77812,78097,78382,78667,78952,79230,79237,79522,79807,80092,80377,80662,80947
8,293,578,863,1148,1433,1718,2003,2288,2573,2858,3143,3428,3713,3998,4283,4568,4853,5138,5423,5708,5993,6278,6563,6848,7133,7418,7703,7988,8273,8558,8843,9128,9413,9698,9983,10268,10553,10838,11123,11408,11693,11978,12263,12548,12833,13118,13403,13688,13973,14258,14543,14828,15113,15398,15683,15968,16253,16538,16823,17108,17393,17678,17963,18248,18533,18818,19103,19388,19673,19958,20243,20528,20813,21098,21383,21668,21953,22238,22523,22808,23093,23378,23663,23948,24233,24518,24803,25088,25373,25658,25943,26228,26513,26798,27083,27368,27653,27938,28223,28508,28793,29078,29363,29648,29933,30218,30503,30788,31073,31358,31643,31928,32213,32498,32783,33068,33353,33638,33923,34208,34493,34778,35063,35348,35633,35918,36203,36488,36773,37058,37343,37628,37913,38198,38483,38768,39053,39338,39623,39908,40193,40478,40763,41048,41333,41618,41903,42188,42473,42758,43043,43328,43613,43898,44183,44468,44753,45038,45323,45608,45893,46178,46463,46748,47033,47318,47603,47888,48173,48458,48743,49028,49313,49598,49883,50168,50453,50738,51023,51308,51593,51878,52163,52448,52733,53018,53303,53588,53873,54158,54443,54728,55013,55298,55583,55868,56153,56438,56723,57008,57293,57578,57863,58148,58433,58718,59003,59288,59573,59858,60143,60428,60713,60998,61283,61568,61853,62138,62423,62708,62993,63278,63563,63848,64133,64418,64703,64988,65273,65558,65843,66128,66413,66698,66983,67268,67553,67838,68123,68408,68693,68978,69263,69548,69833,70118,70403,70688,70973,71258,71543,71828,72113,72398,72683,72968,73253,73538,73823,74108,74393,74678,74963,75248,75533,75818,76103,76388,76673,76958,77243,77528,77813,78098,78383,78668,78945,78953,79238,79523,79808,80093,80378,80663,80948
9,294,579,864,1149,1434,1719,2004,2289,2574,2859,3144,3429,3714,3999,4284,4569,4854,5139,5424,5709,5994,6279,6564,6849,7134,7419,7704,7989,8274,8559,8844,9129,9414,9699,9984,10269,10554,10839,11124,11409,11694,11979,12264,12549,12834,13119,13404,13689,13974,14259,14544,14829,15114,15399,15684,15969,16254,16539,16824,17109,17394,17679,17964,18249,18534,18819,19104,19389,19674,19959,20244,20529,20814,21099,21384,21669,21954,22239,22524,22809,23094,23379,23664,23949,24234,24519,24804,25089,25374,25659,25944,26229,26514,26799,27084,27369,27654,27939,28224,28509,28794,29079,29364,29649,29934,30219,30504,30789,31074,31359,31644,31929,32214,32499,32784,33069,33354,33639,33924,34209,34494,34779,35064,35349,35634,35919,36204,36489,36774,37059,37344,37629,37914,38199,38484,38769,39054,39339,39624,39909,40194,40479,40764,41049,41334,41619,41904,42189,42474,42759,43044,43329,43614,43899,44184,44469,44754,45039,45324,45609,45894,46179,46464,46749,47034,47319,47604,47889,48174,48459,48744,49029,49314,49599,49884,50169,50454,50739,51024,51309,51594,51879,52164,52449,52734,53019,53304,53589,53874,54159,54444,54729,55014,55299,55584,55869,56154,56439,56724,57009,57294,57579,57864,58149,58434,58719,59004,59289,59574,59859,60144,60429,60714,60999,61284,61569,61854,62139,62424,62709,62994,63279,63564,63849,64134,64419,64704,64989,65274,65559,65844,66129,66414,66699,66984,67269,67554,67839,68124,68409,68694,68979,69264,69549,69834,70119,70404,70689,70974,71259,71544,71829,72114,72399,72684,72969,73254,73539,73824,74109,74394,74679,74964,75249,75534,75819,76104,76389,76674,76959,77244,77529,77814,78099,78384,78660,78669,78954,79239,79524,79809,80094,80379,80664,80949
10,295,580,865,1150,1435,1720,2005,2290,2575,2860,3145,3430,3715,4000,4285,4570,4855,5140,5425,5710,5995,6280,6565,6850,7135,7420,7705,7990,8275,8560,8845,9130,9415,9700,9985,10270,10555,10840,11125,11410,11695,11980,12265,12550,12835,13120,13405,13690,13975,14260,14545,14830,15115,15400,15685,15970,16255,16540,16825,17110,17395,17680,17965,18250,18535,18820,19105,19390,19675,19960,20245,20530,20815,21100,21385,21670,21955,22240,22525,22810,23095,23380,23665,23950,24235,24520,24805,25090,25375,25660,25945,26230,26515,26800,27085,27370,27655,27940,28225,28510,28795,29080,29365,29650,29935,30220,30505,30790,31075,31360,31645,31930,32215,32500,32785,33070,33355,33640,33925,34210,34495,34780,35065,35350,35635,35920,36205,36490,36775,37060,37345,37630,37915,38200,38485,38770,39055,39340,39625,39910,40195,40480,40765,41050,41335,41620,41905,42190,42475,42760,43045,43330,43615,43900,44185,44470,44755,45040,45325,45610,45895,46180,46465,46750,47035,47320,47605,47890,48175,48460,48745,49030,49315,49600,49885,50170,50455,50740,51025,51310,51595,51880,52165,52450,52735,53020,53305,53590,53875,54160,54445,54730,55015,55300,55585,55870,56155,56440,56725,57010,57295,57580,57865,58150,58435,58720,59005,59290,59575,59860,60145,60430,60715,61000,61285,61570,61855,62140,62425,62710,62995,63280,63565,63850,64135,64420,64705,64990,65275,65560,65845,66130,66415,66700,66985,67270,67555,67840,68125,68410,68695,68980,69265,69550,69835,70120,70405,70690,70975,71260,71545,71830,72115,72400,72685,72970,73255,73540,73825,74110,74395,74680,74965,75250,75535,75820,76105,76390,76675,76960,77245,77530,77815,78100,78375,78385,78670,78955,79240,79525,79810,80095,80380,80665,80950
11,296,581,866,1151,1436,1721,2006,2291,2576,2861,3146,3431,3716,4001,4286,4571,4856,5141,5426,5711,5996,6281,6566,6851,7136,7421,7706,7991,8276,8561,8846,9131,9416,9701,9986,10271,10556,10841,11126,11411,11696,11981,12266,12551,12836,13121,13406,13691,13976,14261,14546,14831,15116,15401,15686,15971,16256,16541,16826,17111,17396,17681,17966,18251,18536,18821,19106,19391,19676,19961,20246,20531,20816,21101,21386,21671,21956,22241,22526,22811,23096,23381,23666,23951,24236,24521,24806,25091,25376,25661,25946,26231,26516,26801,27086,27371,27656,27941,28226,28511,28796,29081,29366,29651,29936,30221,30506,30791,31076,31361,31646,31931,32216,32501,32786,33071,33356,33641,33926,34211,34496,34781,35066,35351,35636,35921,36206,36491,36776,37061,37346,37631,37916,38201,38486,38771,39056,39341,39626,39911,40196,40481,40766,41051,41336,41621,41906,42191,42476,42761,43046,43331,43616,43901,44186,44471,44756,45041,45326,45611,45896,46181,46466,46751,47036,47321,47606,47891,48176,48461,48746,49031,49316,49601,49886,50171,50456,50741,51026,51311,51596,51881,52166,52451,52736,53021,53306,53591,53876,54161,54446,54731,55016,55301,55586,55871,56156,56441,56726,57011,57296,57581,57866,58151,58436,58721,59006,59291,59576,59861,60146,60431,60716,61001,61286,61571,61856,62141,62426,62711,62996,63281,63566,63851,64136,64421,64706,64991,65276,65561,65846,66131,66416,66701,66986,67271,67556,67841,68126,68411,68696,68981,69266,69551,69836,70121,70406,70691,70976,71261,71546,71831,72116,72401,72686,72971,73256,73541,73826,74111,74396,74681,74966,75251,75536,75821,76106,76391,76676,76961,77246,77531,77816,78090,78101,78386,78671,78956,79241,79526,79811,80096,80381,80666,80951
