1,296,591,886,1181,1476,1771,2066,2361,2656,2951,3246,3541,3836,4131,4426,4721,5016,5311,5606,5901,6196,6491,6786,7081,7376,7671,7966,8261,8556,8851,9146,9441,9736,10031,10326,10621,10916,11211,11506,11801,12096,12391,12686,12981,13276,13571,13866,14161,14456,14751,15046,15341,15636,15931,16226,16521,16816,17111,17406,17701,17996,18291,18586,18881,19176,19471,19766,20061,20356,20651,20946,21241,21536,21831,22126,22421,22716,23011,23306,23601,23896,24191,24486,24781,25076,25371,25666,25961,26256,26551,26846,27141,27436,27731,28026,28321,28616,28911,29206,29501,29796,30091,30386,30681,30976,31271,31566,31861,32156,32451,32746,33041,33336,33631,33926,34221,34516,34811,35106,35401,35696,35991,36286,36581,36876,37171,37466,37761,38056,38351,38646,38941,39236,39531,39826,40121,40416,40711,41006,41301,41596,41891,42186,42481,42776,43071,43366,43661,43956,44251,44546,44841,45136,45431,45726,46021,46316,46611,46906,47201,47496,47791,48086,48381,48676,48971,49266,49561,49856,50151,50446,50741,51036,51331,51626,51921,52216,52511,52806,53101,53396,53691,53986,54281,54576,54871,55166,55461,55756,56051,56346,56641,56936,57231,57526,57821,58116,58411,58706,59001,59296,59591,59886,60181,60476,60771,61066,61361,61656,61951,62246,62541,62836,63131,63426,63721,64016,64311,64606,64901,65196,65491,65786,66081,66376,66671,66966,67261,67556,67851,68146,68441,68736,69031,69326,69621,69916,70211,70506,70801,71096,71391,71686,71981,72276,72571,72866,73161,73456,73751,74046,74341,74636,74931,75226,75521,75816,76111,76406,76701,76996,77291,77586,77881,78176,78471,78766,79061,79356,79651,79946,80241,80536,80831,81126,81421,81716,82011,82306,82601,82896,83191,83486,83781,84076,84371,84666,84961,85256,85551,85846,86141,86436,86730,86731
2,297,592,887,1182,1477,1772,2067,2362,2657,2952,3247,3542,3837,4132,4427,4722,5017,5312,5607,5902,6197,6492,6787,7082,7377,7672,7967,8262,8557,8852,9147,9442,9737,10032,10327,10622,10917,11212,11507,11802,12097,12392,12687,12982,13277,13572,13867,14162,14457,14752,15047,15342,15637,15932,16227,16522,16817,17112,17407,17702,17997,18292,18587,18882,19177,19472,19767,20062,20357,20652,20947,21242,21537,21832,22127,22422,22717,23012,23307,23602,23897,24192,24487,24782,25077,25372,25667,25962,26257,26552,26847,27142,27437,27732,28027,28322,28617,28912,29207,29502,29797,30092,30387,30682,30977,31272,31567,31862,32157,32452,32747,33042,33337,33632,33927,34222,34517,34812,35107,35402,35697,35992,36287,36582,36877,37172,37467,37762,38057,38352,38647,38942,39237,39532,39827,40122,40417,40712,41007,41302,41597,41892,42187,42482,42777,43072,43367,43662,43957,44252,44547,44842,45137,45432,45727,46022,46317,46612,46907,47202,47497,47792,48087,48382,48677,48972,49267,49562,49857,50152,50447,50742,51037,51332,51627,51922,52217,52512,52807,53102,53397,53692,53987,54282,54577,54872,55167,55462,55757,56052,56347,56642,56937,57232,57527,57822,58117,58412,58707,59002,59297,59592,59887,60182,60477,60772,61067,61362,61657,61952,62247,62542,62837,63132,63427,63722,64017,64312,64607,64902,65197,65492,65787,66082,66377,66672,66967,67262,67557,67852,68147,68442,68737,69032,69327,69622,69917,70212,70507,70802,71097,71392,71687,71982,72277,72572,72867,73162,73457,73752,74047,74342,74637,74932,75227,75522,75817,76112,76407,76702,76997,77292,77587,77882,78177,78472,78767,79062,79357,79652,79947,80242,80537,80832,81127,81422,81717,82012,82307,82602,82897,83192,83487,83782,84077,84372,84667,84962,85257,85552,85847,86142,86435,86437,86732
3,298,593,888,1183,1478,1773,2068,2363,2658,2953,3248,3543,3838,4133,4428,4723,5018,5313,5608,5903,6198,6493,6788,7083,7378,7673,7968,8263,8558,8853,9148,9443,9738,10033,10328,10623,10918,11213,11508,11803,12098,12393,12688,12983,13278,13573,13868,14163,14458,14753,15048,15343,15638,15933,16228,16523,16818,17113,17408,17703,17998,18293,18588,18883,19178,19473,19768,20063,20358,20653,20948,21243,21538,21833,22128,22423,22718,23013,23308,23603,23898,24193,24488,24783,25078,25373,25668,25963,26258,26553,26848,27143,27438,27733,28028,28323,28618,28913,29208,29503,29798,30093,30388,30683,30978,31273,31568,31863,32158,32453,32748,33043,33338,33633,33928,34223,34518,34813,35108,35403,35698,35993,36288,36583,36878,37173,37468,37763,38058,38353,38648,38943,39238,39533,39828,40123,40418,40713,41008,41303,41598,41893,42188,42483,42778,43073,43368,43663,43958,44253,44548,44843,45138,45433,45728,46023,46318,46613,46908,47203,47498,47793,48088,48383,48678,48973,49268,49563,49858,50153,50448,50743,51038,51333,51628,51923,52218,52513,52808,53103,53398,53693,53988,54283,54578,54873,55168,55463,55758,56053,56348,56643,56938,57233,57528,57823,58118,58413,58708,59003,59298,59593,59888,60183,60478,60773,61068,61363,61658,61953,62248,62543,62838,63133,63428,63723,64018,64313,64608,64903,65198,65493,65788,66083,66378,66673,66968,67263,67558,67853,68148,68443,68738,69033,69328,69623,69918,70213,70508,70803,71098,71393,71688,71983,72278,72573,72868,73163,73458,73753,74048,74343,74638,74933,75228,75523,75818,76113,76408,76703,76998,77293,77588,77883,78178,78473,78768,79063,79358,79653,79948,80243,80538,80833,81128,81423,81718,82013,82308,82603,82898,83193,83488,83783,84078,84373,84668,84963,85258,85553,85848,86140,86143,86438,86733
4,299,594,889,1184,1479,1774,2069,2364,2659,2954,3249,3544,3839,4134,4429,4724,5019,5314,5609,5904,6199,6494,6789,7084,7379,7674,7969,8264,8559,8854,9149,9444,9739,10034,10329,10624,10919,11214,11509,11804,12099,12394,12689,12984,13279,13574,13869,14164,14459,14754,15049,15344,15639,15934,16229,16524,16819,17114,17409,17704,17999,18294,18589,18884,19179,19474,19769,20064,20359,20654,20949,21244,21539,21834,22129,22424,22719,23014,23309,23604,23899,24194,24489,24784,25079,25374,25669,25964,26259,26554,26849,27144,27439,27734,28029,28324,28619,28914,29209,29504,29799,30094,30389,30684,30979,31274,31569,31864,32159,32454,32749,33044,33339,33634,33929,34224,34519,34814,35109,35404,35699,35994,36289,36584,36879,37174,37469,37764,38059,38354,38649,38944,39239,39534,39829,40124,40419,40714,41009,41304,41599,41894,42189,42484,42779,43074,43369,43664,43959,44254,44549,44844,45139,45434,45729,46024,46319,46614,46909,47204,47499,47794,48089,48384,48679,48974,49269,49564,49859,50154,50449,50744,51039,51334,51629,51924,52219,52514,52809,53104,53399,53694,53989,54284,54579,54874,55169,55464,55759,56054,56349,56644,56939,57234,57529,57824,58119,58414,58709,59004,59299,59594,59889,60184,60479,60774,61069,61364,61659,61954,62249,62544,62839,63134,63429,63724,64019,64314,64609,64904,65199,65494,65789,66084,66379,66674,66969,67264,67559,67854,68149,68444,68739,69034,69329,69624,69919,70214,70509,70804,71099,71394,71689,71984,72279,72574,72869,73164,73459,73754,74049,74344,74639,74934,75229,75524,75819,76114,76409,76704,76999,77294,77589,77884,78179,78474,78769,79064,79359,79654,79949,80244,80539,80834,81129,81424,81719,82014,82309,82604,82899,83194,83489,83784,84079,84374,84669,84964,85259,85554,85845,85849,86144,86439,86734
5,300,595,890,1185,1480,1775,2070,2365,2660,2955,3250,3545,3840,4135,4430,4725,5020,5315,5610,5905,6200,6495,6790,7085,7380,7675,7970,8265,8560,8855,9150,9445,9740,10035,10330,10625,10920,11215,11510,11805,12100,12395,12690,12985,13280,13575,13870,14165,14460,14755,15050,15345,15640,15935,16230,16525,16820,17115,17410,17705,18000,18295,18590,18885,19180,19475,19770,20065,20360,20655,20950,21245,21540,21835,22130,22425,22720,23015,23310,23605,23900,24195,24490,24785,25080,25375,25670,25965,26260,26555,26850,27145,27440,27735,28030,28325,28620,28915,29210,29505,29800,30095,30390,30685,30980,31275,31570,31865,32160,32455,32750,33045,33340,33635,33930,34225,34520,34815,35110,35405,35700,35995,36290,36585,36880,37175,37470,37765,38060,38355,38650,38945,39240,39535,39830,40125,40420,40715,41010,41305,41600,41895,42190,42485,42780,43075,43370,43665,43960,44255,44550,44845,45140,45435,45730,46025,46320,46615,46910,47205,47500,47795,48090,48385,48680,48975,49270,49565,49860,50155,50450,50745,51040,51335,51630,51925,52220,52515,52810,53105,53400,53695,53990,54285,54580,54875,55170,55465,55760,56055,56350,56645,56940,57235,57530,57825,58120,58415,58710,59005,59300,59595,59890,60185,60480,60775,61070,61365,61660,61955,62250,62545,62840,63135,63430,63725,64020,64315,64610,64905,65200,65495,65790,66085,66380,66675,66970,67265,67560,67855,68150,68445,68740,69035,69330,69625,69920,70215,70510,70805,71100,71395,71690,71985,72280,72575,72870,73165,73460,73755,74050,74345,74640,74935,75230,75525,75820,76115,76410,76705,77000,77295,77590,77885,78180,78475,78770,79065,79360,79655,79950,80245,80540,80835,81130,81425,81720,82015,82310,82605,82900,83195,83490,83785,84080,84375,84670,84965,85260,85550,85555,85850,86145,86440,86735
6,301,596,891,1186,1481,1776,2071,2366,2661,2956,3251,3546,3841,4136,4431,4726,5021,5316,5611,5906,6201,6496,6791,7086,7381,7676,7971,8266,8561,8856,9151,9446,9741,10036,10331,10626,10921,11216,11511,11806,12101,12396,12691,12986,13281,13576,13871,14166,14461,14756,15051,15346,15641,15936,16231,16526,16821,17116,17411,17706,18001,18296,18591,18886,19181,19476,19771,20066,20361,20656,20951,21246,21541,21836,22131,22426,22721,23016,23311,23606,23901,24196,24491,24786,25081,25376,25671,25966,26261,26556,26851,27146,27441,27736,28031,28326,28621,28916,29211,29506,29801,30096,30391,30686,30981,31276,31571,31866,32161,32456,32751,33046,33341,33636,33931,34226,34521,34816,35111,35406,35701,35996,36291,36586,36881,37176,37471,37766,38061,38356,38651,38946,39241,39536,39831,40126,40421,40716,41011,41306,41601,41896,42191,42486,42781,43076,43371,43666,43961,44256,44551,44846,45141,45436,45731,46026,46321,46616,46911,47206,47501,47796,48091,48386,48681,48976,49271,49566,49861,50156,50451,50746,51041,51336,51631,51926,52221,52516,52811,53106,53401,53696,53991,54286,54581,54876,55171,55466,55761,56056,56351,56646,56941,57236,57531,57826,58121,58416,58711,59006,59301,59596,59891,60186,60481,60776,61071,61366,61661,61956,62251,62546,62841,63136,63431,63726,64021,64316,64611,64906,65201,65496,65791,66086,66381,66676,66971,67266,67561,67856,68151,68446,68741,69036,69331,69626,69921,70216,70511,70806,71101,71396,71691,71986,72281,72576,72871,73166,73461,73756,74051,74346,74641,74936,75231,75526,75821,76116,76411,76706,77001,77296,77591,77886,78181,78476,78771,79066,79361,79656,79951,80246,80541,80836,81131,81426,81721,82016,82311,82606,82901,83196,83491,83786,84081,84376,84671,84966,85255,85261,85556,85851,86146,86441,86736
7,302,597,892,1187,1482,1777,2072,2367,2662,2957,3252,3547,3842,4137,4432,4727,5022,5317,5612,5907,6202,6497,6792,7087,7382,7677,7972,8267,8562,8857,9152,9447,9742,10037,10332,10627,10922,11217,11512,11807,12102,12397,12692,12987,13282,13577,13872,14167,14462,14757,15052,15347,15642,15937,16232,16527,16822,17117,17412,17707,18002,18297,18592,18887,19182,19477,19772,20067,20362,20657,20952,21247,21542,21837,22132,22427,22722,23017,23312,23607,23902,24197,24492,24787,25082,25377,25672,25967,26262,26557,26852,27147,27442,27737,28032,28327,28622,28917,29212,29507,29802,30097,30392,30687,30982,31277,31572,31867,32162,32457,32752,33047,33342,33637,33932,34227,34522,34817,35112,35407,35702,35997,36292,36587,36882,37177,37472,37767,38062,38357,38652,38947,39242,39537,39832,40127,40422,40717,41012,41307,41602,41897,42192,42487,42782,43077,43372,43667,43962,44257,44552,44847,45142,45437,45732,46027,46322,46617,46912,47207,47502,47797,48092,48387,48682,48977,49272,49567,49862,50157,50452,50747,51042,51337,51632,51927,52222,52517,52812,53107,53402,53697,53992,54287,54582,54877,55172,55467,55762,56057,56352,56647,56942,57237,57532,57827,58122,58417,58712,59007,59302,59597,59892,60187,60482,60777,61072,61367,61662,61957,62252,62547,62842,63137,63432,63727,64022,64317,64612,64907,65202,65497,65792,66087,66382,66677,66972,67267,67562,67857,68152,68447,68742,69037,69332,69627,69922,70217,70512,70807,71102,71397,71692,71987,72282,72577,72872,73167,73462,73757,74052,74347,74642,74937,75232,75527,75822,76117,76412,76707,77002,77297,77592,77887,78182,78477,78772,79067,79362,79657,79952,80247,80542,80837,81132,81427,81722,82017,82312,82607,82902,83197,83492,83787,84082,84377,84672,84960,84967,85262,85557,85852,86147,86442,86737
8,303,598,893,1188,1483,1778,2073,2368,2663,2958,3253,3548,3843,4138,4433,4728,5023,5318,5613,5908,6203,6498,6793,7088,7383,7678,7973,8268,8563,8858,9153,9448,9743,10038,10333,10628,10923,11218,11513,11808,12103,12398,12693,12988,13283,13578,13873,14168,14463,14758,15053,15348,15643,15938,16233,16528,16823,17118,17413,17708,18003,18298,18593,18888,19183,19478,19773,20068,20363,20658,20953,21248,21543,21838,22133,22428,22723,23018,23313,23608,23903,24198,24493,24788,25083,25378,25673,25968,26263,26558,26853,27148,27443,27738,28033,28328,28623,28918,29213,29508,29803,30098,30393,30688,30983,31278,31573,31868,32163,32458,32753,33048,33343,33638,33933,34228,34523,34818,35113,35408,35703,35998,36293,36588,36883,37178,37473,37768,38063,38358,38653,38948,39243,39538,39833,40128,40423,40718,41013,41308,41603,41898,42193,42488,42783,43078,43373,43668,43963,44258,44553,44848,45143,45438,45733,46028,46323,46618,46913,47208,47503,47798,48093,48388,48683,48978,49273,49568,49863,50158,50453,50748,51043,51338,51633,51928,52223,52518,52813,53108,53403,53698,53993,54288,54583,54878,55173,55468,55763,56058,56353,56648,56943,57238,57533,57828,58123,58418,58713,59008,59303,59598,59893,60188,60483,60778,61073,61368,61663,61958,62253,62548,62843,63138,63433,63728,64023,64318,64613,64908,65203,65498,65793,66088,66383,66678,66973,67268,67563,67858,68153,68448,68743,69038,69333,69628,69923,70218,70513,70808,71103,71398,71693,71988,72283,72578,72873,73168,73463,73758,74053,74348,74643,74938,75233,75528,75823,76118,76413,76708,77003,77298,77593,77888,78183,78478,78773,79068,79363,79658,79953,80248,80543,80838,81133,81428,81723,82018,82313,82608,82903,83198,83493,83788,84083,84378,84665,84673,84968,85263,85558,85853,86148,86443,86738
9,304,599,894,1189,1484,1779,2074,2369,2664,2959,3254,3549,3844,4139,4434,4729,5024,5319,5614,5909,6204,6499,6794,7089,7384,7679,7974,8269,8564,8859,9154,9449,9744,10039,10334,10629,10924,11219,11514,11809,12104,12399,12694,12989,13284,13579,13874,14169,14464,14759,15054,15349,15644,15939,16234,16529,16824,17119,17414,17709,18004,18299,18594,18889,19184,19479,19774,20069,20364,20659,20954,21249,21544,21839,22134,22429,22724,23019,23314,23609,23904,24199,24494,24789,25084,25379,25674,25969,26264,26559,26854,27149,27444,27739,28034,28329,28624,28919,29214,29509,29804,30099,30394,30689,30984,31279,31574,31869,32164,32459,32754,33049,33344,33639,33934,34229,34524,34819,35114,35409,35704,35999,36294,36589,36884,37179,37474,37769,38064,38359,38654,38949,39244,39539,39834,40129,40424,40719,41014,41309,41604,41899,42194,42489,42784,43079,43374,43669,43964,44259,44554,44849,45144,45439,45734,46029,46324,46619,46914,47209,47504,47799,48094,48389,48684,48979,49274,49569,49864,50159,50454,50749,51044,51339,51634,51929,52224,52519,52814,53109,53404,53699,53994,54289,54584,54879,55174,55469,55764,56059,56354,56649,56944,57239,57534,57829,58124,58419,58714,59009,59304,59599,59894,60189,60484,60779,61074,61369,61664,61959,62254,62549,62844,63139,63434,63729,64024,64319,64614,64909,65204,65499,65794,66089,66384,66679,66974,67269,67564,67859,68154,68449,68744,69039,69334,69629,69924,70219,70514,70809,71104,71399,71694,71989,72284,72579,72874,73169,73464,73759,74054,74349,74644,74939,75234,75529,75824,76119,76414,76709,77004,77299,77594,77889,78184,78479,78774,79069,79364,79659,79954,80249,80544,80839,81134,81429,81724,82019,82314,82609,82904,83199,83494,83789,84084,84370,84379,84674,84969,85264,85559,85854,86149,86444,86739
10,305,600,895,1190,1485,1780,2075,2370,2665,2960,3255,3550,3845,4140,4435,4730,5025,5320,5615,5910,6205,6500,6795,7090,7385,7680,7975,8270,8565,8860,9155,9450,9745,10040,10335,10630,10925,11220,11515,11810,12105,12400,12695,12990,13285,13580,13875,14170,14465,14760,15055,15350,15645,15940,16235,16530,16825,17120,17415,17710,18005,18300,18595,18890,19185,19480,19775,20070,20365,20660,20955,21250,21545,21840,22135,22430,22725,23020,23315,23610,23905,24200,24495,24790,25085,25380,25675,25970,26265,26560,26855,27150,27445,27740,28035,28330,28625,28920,29215,29510,29805,30100,30395,30690,30985,31280,31575,31870,32165,32460,32755,33050,33345,33640,33935,34230,34525,34820,35115,35410,35705,36000,36295,36590,36885,37180,37475,37770,38065,38360,38655,38950,39245,39540,39835,40130,40425,40720,41015,41310,41605,41900,42195,42490,42785,43080,43375,43670,43965,44260,44555,44850,45145,45440,45735,46030,46325,46620,46915,47210,47505,47800,48095,48390,48685,48980,49275,49570,49865,50160,50455,50750,51045,51340,51635,51930,52225,52520,52815,53110,53405,53700,53995,54290,54585,54880,55175,55470,55765,56060,56355,56650,56945,57240,57535,57830,58125,58420,58715,59010,59305,59600,59895,60190,60485,60780,61075,61370,61665,61960,62255,62550,62845,63140,63435,63730,64025,64320,64615,64910,65205,65500,65795,66090,66385,66680,66975,67270,67565,67860,68155,68450,68745,69040,69335,69630,69925,70220,70515,70810,71105,71400,71695,71990,72285,72580,72875,73170,73465,73760,74055,74350,74645,74940,75235,75530,75825,76120,76415,76710,77005,77300,77595,77890,78185,78480,78775,79070,79365,79660,79955,80250,80545,80840,81135,81430,81725,82020,82315,82610,82905,83200,83495,83790,84075,84085,84380,84675,84970,85265,85560,85855,86150,86445,86740
11,306,601,896,1191,1486,1781,2076,2371,2666,2961,3256,3551,3846,4141,4436,4731,5026,5321,5616,5911,6206,6501,6796,7091,7386,7681,7976,8271,8566,8861,9156,9451,9746,10041,10336,10631,10926,11221,11516,11811,12106,12401,12696,12991,13286,13581,13876,14171,14466,14761,15056,15351,15646,15941,16236,16531,16826,17121,17416,17711,18006,18301,18596,18891,19186,19481,19776,20071,20366,20661,20956,21251,21546,21841,22136,22431,22726,23021,23316,23611,23906,24201,24496,24791,25086,25381,25676,25971,26266,26561,26856,27151,27446,27741,28036,28331,28626,28921,29216,29511,29806,30101,30396,30691,30986,31281,31576,31871,32166,32461,32756,33051,33346,33641,33936,34231,34526,34821,35116,35411,35706,36001,36296,36591,36886,37181,37476,37771,38066,38361,38656,38951,39246,39541,39836,40131,40426,40721,41016,41311,41606,41901,42196,42491,42786,43081,43376,43671,43966,44261,44556,44851,45146,45441,45736,46031,46326,46621,46916,47211,47506,47801,48096,48391,48686,48981,49276,49571,49866,50161,50456,50751,51046,51341,51636,51931,52226,52521,52816,53111,53406,53701,53996,54291,54586,54881,55176,55471,55766,56061,56356,56651,56946,57241,57536,57831,58126,58421,58716,59011,59306,59601,59896,60191,60486,60781,61076,61371,61666,61961,62256,62551,62846,63141,63436,63731,64026,64321,64616,64911,65206,65501,65796,66091,66386,66681,66976,67271,67566,67861,68156,68451,68746,69041,69336,69631,69926,70221,70516,70811,71106,71401,71696,71991,72286,72581,72876,73171,73466,73761,74056,74351,74646,74941,75236,75531,75826,76121,76416,76711,77006,77301,77596,77891,78186,78481,78776,79071,79366,79661,79956,80251,80546,80841,81136,81431,81726,82021,82316,82611,82906,83201,83496,83780,83791,84086,84381,84676,84971,85266,85561,85856,86151,86446,86741
