1,298,595,892,1189,1486,1783,2080,2377,2674,2971,3268,3565,3862,4159,4456,4753,5050,5347,5644,5941,6238,6535,6832,7129,7426,7723,8020,8317,8614,8911,9208,9505,9802,10099,10396,10693,10990,11287,11584,11881,12178,12475,12772,13069,13366,13663,13960,14257,14554,14851,15148,15445,15742,16039,16336,16633,16930,17227,17524,17821,18118,18415,18712,19009,19306,19603,19900,20197,20494,20791,21088,21385,21682,21979,22276,22573,22870,23167,23464,23761,24058,24355,24652,24949,25246,25543,25840,26137,26434,26731,27028,27325,27622,27919,28216,28513,28810,29107,29404,29701,29998,30295,30592,30889,31186,31483,31780,32077,32374,32671,32968,33265,33562,33859,34156,34453,34750,35047,35344,35641,35938,36235,36532,36829,37126,37423,37720,38017,38314,38611,38908,39205,39502,39799,40096,40393,40690,40987,41284,41581,41878,42175,42472,42769,43066,43363,43660,43957,44254,44551,44848,45145,45442,45739,46036,46333,46630,46927,47224,47521,47818,48115,48412,48709,49006,49303,49600,49897,50194,50491,50788,51085,51382,51679,51976,52273,52570,52867,53164,53461,53758,54055,54352,54649,54946,55243,55540,55837,56134,56431,56728,57025,57322,57619,57916,58213,58510,58807,59104,59401,59698,59995,60292,60589,60886,61183,61480,61777,62074,62371,62668,62965,63262,63559,63856,64153,64450,64747,65044,65341,65638,65935,66232,66529,66826,67123,67420,67717,68014,68311,68608,68905,69202,69499,69796,70093,70390,70687,70984,71281,71578,71875,72172,72469,72766,73063,73360,73657,73954,74251,74548,74845,75142,75439,75736,76033,76330,76627,76924,77221,77518,77815,78112,78409,78706,79003,79300,79597,79894,80191,80488,80785,81082,81379,81676,81973,82270,82567,82864,83161,83458,83755,84052,84349,84646,84943,85240,85537,85834,86131,86428,86725,87022,87319,87616,87912,87913
2,299,596,893,1190,1487,1784,2081,2378,2675,2972,3269,3566,3863,4160,4457,4754,5051,5348,5645,5942,6239,6536,6833,7130,7427,7724,8021,8318,8615,8912,9209,9506,9803,10100,10397,10694,10991,11288,11585,11882,12179,12476,12773,13070,13367,13664,13961,14258,14555,14852,15149,15446,15743,16040,16337,16634,16931,17228,17525,17822,18119,18416,18713,19010,19307,19604,19901,20198,20495,20792,21089,21386,21683,21980,22277,22574,22871,23168,23465,23762,24059,24356,24653,24950,25247,25544,25841,26138,26435,26732,27029,27326,27623,27920,28217,28514,28811,29108,29405,29702,29999,30296,30593,30890,31187,31484,31781,32078,32375,32672,32969,33266,33563,33860,34157,34454,34751,35048,35345,35642,35939,36236,36533,36830,37127,37424,37721,38018,38315,38612,38909,39206,39503,39800,40097,40394,40691,40988,41285,41582,41879,42176,42473,42770,43067,43364,43661,43958,44255,44552,44849,45146,45443,45740,46037,46334,46631,46928,47225,47522,47819,48116,48413,48710,49007,49304,49601,49898,50195,50492,50789,51086,51383,51680,51977,52274,52571,52868,53165,53462,53759,54056,54353,54650,54947,55244,55541,55838,56135,56432,56729,57026,57323,57620,57917,58214,58511,58808,59105,59402,59699,59996,60293,60590,60887,61184,61481,61778,62075,62372,62669,62966,63263,63560,63857,64154,64451,64748,65045,65342,65639,65936,66233,66530,66827,67124,67421,67718,68015,68312,68609,68906,69203,69500,69797,70094,70391,70688,70985,71282,71579,71876,72173,72470,72767,73064,73361,73658,73955,74252,74549,74846,75143,75440,75737,76034,76331,76628,76925,77222,77519,77816,78113,78410,78707,79004,79301,79598,79895,80192,80489,80786,81083,81380,81677,81974,82271,82568,82865,83162,83459,83756,84053,84350,84647,84944,85241,85538,85835,86132,86429,86726,87023,87320,87615,87617,87914
3,300,597,894,1191,1488,1785,2082,2379,2676,2973,3270,3567,3864,4161,4458,4755,5052,5349,5646,5943,6240,6537,6834,7131,7428,7725,8022,8319,8616,8913,9210,9507,9804,10101,10398,10695,10992,11289,11586,11883,12180,12477,12774,13071,13368,13665,13962,14259,14556,14853,15150,15447,15744,16041,16338,16635,16932,17229,17526,17823,18120,18417,18714,19011,19308,19605,19902,20199,20496,20793,21090,21387,21684,21981,22278,22575,22872,23169,23466,23763,24060,24357,24654,24951,25248,25545,25842,26139,26436,26733,27030,27327,27624,27921,28218,28515,28812,29109,29406,29703,30000,30297,30594,30891,31188,31485,31782,32079,32376,32673,32970,33267,33564,33861,34158,34455,34752,35049,35346,35643,35940,36237,36534,36831,37128,37425,37722,38019,38316,38613,38910,39207,39504,39801,40098,40395,40692,40989,41286,41583,41880,42177,42474,42771,43068,43365,43662,43959,44256,44553,44850,45147,45444,45741,46038,46335,46632,46929,47226,47523,47820,48117,48414,48711,49008,49305,49602,49899,50196,50493,50790,51087,51384,51681,51978,52275,52572,52869,53166,53463,53760,54057,54354,54651,54948,55245,55542,55839,56136,56433,56730,57027,57324,57621,57918,58215,58512,58809,59106,59403,59700,59997,60294,60591,60888,61185,61482,61779,62076,62373,62670,62967,63264,63561,63858,64155,64452,64749,65046,65343,65640,65937,66234,66531,66828,67125,67422,67719,68016,68313,68610,68907,69204,69501,69798,70095,70392,70689,70986,71283,71580,71877,72174,72471,72768,73065,73362,73659,73956,74253,74550,74847,75144,75441,75738,76035,76332,76629,76926,77223,77520,77817,78114,78411,78708,79005,79302,79599,79896,80193,80490,80787,81084,81381,81678,81975,82272,82569,82866,83163,83460,83757,84054,84351,84648,84945,85242,85539,85836,86133,86430,86727,87024,87318,87321,87618,87915
4,301,598,895,1192,1489,1786,2083,2380,2677,2974,3271,3568,3865,4162,4459,4756,5053,5350,5647,5944,6241,6538,6835,7132,7429,7726,8023,8320,8617,8914,9211,9508,9805,10102,10399,10696,10993,11290,11587,11884,12181,12478,12775,13072,13369,13666,13963,14260,14557,14854,15151,15448,15745,16042,16339,16636,16933,17230,17527,17824,18121,18418,18715,19012,19309,19606,19903,20200,20497,20794,21091,21388,21685,21982,22279,22576,22873,23170,23467,23764,24061,24358,24655,24952,25249,25546,25843,26140,26437,26734,27031,27328,27625,27922,28219,28516,28813,29110,29407,29704,30001,30298,30595,30892,31189,31486,31783,32080,32377,32674,32971,33268,33565,33862,34159,34456,34753,35050,35347,35644,35941,36238,36535,36832,37129,37426,37723,38020,38317,38614,38911,39208,39505,39802,40099,40396,40693,40990,41287,41584,41881,42178,42475,42772,43069,43366,43663,43960,44257,44554,44851,45148,45445,45742,46039,46336,46633,46930,47227,47524,47821,48118,48415,48712,49009,49306,49603,49900,50197,50494,50791,51088,51385,51682,51979,52276,52573,52870,53167,53464,53761,54058,54355,54652,54949,55246,55543,55840,56137,56434,56731,57028,57325,57622,57919,58216,58513,58810,59107,59404,59701,59998,60295,60592,60889,61186,61483,61780,62077,62374,62671,62968,63265,63562,63859,64156,64453,64750,65047,65344,65641,65938,66235,66532,66829,67126,67423,67720,68017,68314,68611,68908,69205,69502,69799,70096,70393,70690,70987,71284,71581,71878,72175,72472,72769,73066,73363,73660,73957,74254,74551,74848,75145,75442,75739,76036,76333,76630,76927,77224,77521,77818,78115,78412,78709,79006,79303,79600,79897,80194,80491,80788,81085,81382,81679,81976,82273,82570,82867,83164,83461,83758,84055,84352,84649,84946,85243,85540,85837,86134,86431,86728,87021,87025,87322,87619,87916
5,302,599,896,1193,1490,1787,2084,2381,2678,2975,3272,3569,3866,4163,4460,4757,5054,5351,5648,5945,6242,6539,6836,7133,7430,7727,8024,8321,8618,8915,9212,9509,9806,10103,10400,10697,10994,11291,11588,11885,12182,12479,12776,13073,13370,13667,13964,14261,14558,14855,15152,15449,15746,16043,16340,16637,16934,17231,17528,17825,18122,18419,18716,19013,19310,19607,19904,20201,20498,20795,21092,21389,21686,21983,22280,22577,22874,23171,23468,23765,24062,24359,24656,24953,25250,25547,25844,26141,26438,26735,27032,27329,27626,27923,28220,28517,28814,29111,29408,29705,30002,30299,30596,30893,31190,31487,31784,32081,32378,32675,32972,33269,33566,33863,34160,34457,34754,35051,35348,35645,35942,36239,36536,36833,37130,37427,37724,38021,38318,38615,38912,39209,39506,39803,40100,40397,40694,40991,41288,41585,41882,42179,42476,42773,43070,43367,43664,43961,44258,44555,44852,45149,45446,45743,46040,46337,46634,46931,47228,47525,47822,48119,48416,48713,49010,49307,49604,49901,50198,50495,50792,51089,51386,51683,51980,52277,52574,52871,53168,53465,53762,54059,54356,54653,54950,55247,55544,55841,56138,56435,56732,57029,57326,57623,57920,58217,58514,58811,59108,59405,59702,59999,60296,60593,60890,61187,61484,61781,62078,62375,62672,62969,63266,63563,63860,64157,64454,64751,65048,65345,65642,65939,66236,66533,66830,67127,67424,67721,68018,68315,68612,68909,69206,69503,69800,70097,70394,70691,70988,71285,71582,71879,72176,72473,72770,73067,73364,73661,73958,74255,74552,74849,75146,75443,75740,76037,76334,76631,76928,77225,77522,77819,78116,78413,78710,79007,79304,79601,79898,80195,80492,80789,81086,81383,81680,81977,82274,82571,82868,83165,83462,83759,84056,84353,84650,84947,85244,85541,85838,86135,86432,86724,86729,87026,87323,87620,87917
6,303,600,897,1194,1491,1788,2085,2382,2679,2976,3273,3570,3867,4164,4461,4758,5055,5352,5649,5946,6243,6540,6837,7134,7431,7728,8025,8322,8619,8916,9213,9510,9807,10104,10401,10698,10995,11292,11589,11886,12183,12480,12777,13074,13371,13668,13965,14262,14559,14856,15153,15450,15747,16044,16341,16638,16935,17232,17529,17826,18123,18420,18717,19014,19311,19608,19905,20202,20499,20796,21093,21390,21687,21984,22281,22578,22875,23172,23469,23766,24063,24360,24657,24954,25251,25548,25845,26142,26439,26736,27033,27330,27627,27924,28221,28518,28815,29112,29409,29706,30003,30300,30597,30894,31191,31488,31785,32082,32379,32676,32973,33270,33567,33864,34161,34458,34755,35052,35349,35646,35943,36240,36537,36834,37131,37428,37725,38022,38319,38616,38913,39210,39507,39804,40101,40398,40695,40992,41289,41586,41883,42180,42477,42774,43071,43368,43665,43962,44259,44556,44853,45150,45447,45744,46041,46338,46635,46932,47229,47526,47823,48120,48417,48714,49011,49308,49605,49902,50199,50496,50793,51090,51387,51684,51981,52278,52575,52872,53169,53466,53763,54060,54357,54654,54951,55248,55545,55842,56139,56436,56733,57030,57327,57624,57921,58218,58515,58812,59109,59406,59703,60000,60297,60594,60891,61188,61485,61782,62079,62376,62673,62970,63267,63564,63861,64158,64455,64752,65049,65346,65643,65940,66237,66534,66831,67128,67425,67722,68019,68316,68613,68910,69207,69504,69801,70098,70395,70692,70989,71286,71583,71880,72177,72474,72771,73068,73365,73662,73959,74256,74553,74850,75147,75444,75741,76038,76335,76632,76929,77226,77523,77820,78117,78414,78711,79008,79305,79602,79899,80196,80493,80790,81087,81384,81681,81978,82275,82572,82869,83166,83463,83760,84057,84354,84651,84948,85245,85542,85839,86136,86427,86433,86730,87027,87324,87621,87918
7,304,601,898,1195,1492,1789,2086,2383,2680,2977,3274,3571,3868,4165,4462,4759,5056,5353,5650,5947,6244,6541,6838,7135,7432,7729,8026,8323,8620,8917,9214,9511,9808,10105,10402,10699,10996,11293,11590,11887,12184,12481,12778,13075,13372,13669,13966,14263,14560,14857,15154,15451,15748,16045,16342,16639,16936,17233,17530,17827,18124,18421,18718,19015,19312,19609,19906,20203,20500,20797,21094,21391,21688,21985,22282,22579,22876,23173,23470,23767,24064,24361,24658,24955,25252,25549,25846,26143,26440,26737,27034,27331,27628,27925,28222,28519,28816,29113,29410,29707,30004,30301,30598,30895,31192,31489,31786,32083,32380,32677,32974,33271,33568,33865,34162,34459,34756,35053,35350,35647,35944,36241,36538,36835,37132,37429,37726,38023,38320,38617,38914,39211,39508,39805,40102,40399,40696,40993,41290,41587,41884,42181,42478,42775,43072,43369,43666,43963,44260,44557,44854,45151,45448,45745,46042,46339,46636,46933,47230,47527,47824,48121,48418,48715,49012,49309,49606,49903,50200,50497,50794,51091,51388,51685,51982,52279,52576,52873,53170,53467,53764,54061,54358,54655,54952,55249,55546,55843,56140,56437,56734,57031,57328,57625,57922,58219,58516,58813,59110,59407,59704,60001,60298,60595,60892,61189,61486,61783,62080,62377,62674,62971,63268,63565,63862,64159,64456,64753,65050,65347,65644,65941,66238,66535,66832,67129,67426,67723,68020,68317,68614,68911,69208,69505,69802,70099,70396,70693,70990,71287,71584,71881,72178,72475,72772,73069,73366,73663,73960,74257,74554,74851,75148,75445,75742,76039,76336,76633,76930,77227,77524,77821,78118,78415,78712,79009,79306,79603,79900,80197,80494,80791,81088,81385,81682,81979,82276,82573,82870,83167,83464,83761,84058,84355,84652,84949,85246,85543,85840,86130,86137,86434,86731,87028,87325,87622,87919
8,305,602,899,1196,1493,1790,2087,2384,2681,2978,3275,3572,3869,4166,4463,4760,5057,5354,5651,5948,6245,6542,6839,7136,7433,7730,8027,8324,8621,8918,9215,9512,9809,10106,10403,10700,10997,11294,11591,11888,12185,12482,12779,13076,13373,13670,13967,14264,14561,14858,15155,15452,15749,16046,16343,16640,16937,17234,17531,17828,18125,18422,18719,19016,19313,19610,19907,20204,20501,20798,21095,21392,21689,21986,22283,22580,22877,23174,23471,23768,24065,24362,24659,24956,25253,25550,25847,26144,26441,26738,27035,27332,27629,27926,28223,28520,28817,29114,29411,29708,30005,30302,30599,30896,31193,31490,31787,32084,32381,32678,32975,33272,33569,33866,34163,34460,34757,35054,35351,35648,35945,36242,36539,36836,37133,37430,37727,38024,38321,38618,38915,39212,39509,39806,40103,40400,40697,40994,41291,41588,41885,42182,42479,42776,43073,43370,43667,43964,44261,44558,44855,45152,45449,45746,46043,46340,46637,46934,47231,47528,47825,48122,48419,48716,49013,49310,49607,49904,50201,50498,50795,51092,51389,51686,51983,52280,52577,52874,53171,53468,53765,54062,54359,54656,54953,55250,55547,55844,56141,56438,56735,57032,57329,57626,57923,58220,58517,58814,59111,59408,59705,60002,60299,60596,60893,61190,61487,61784,62081,62378,62675,62972,63269,63566,63863,64160,64457,64754,65051,65348,65645,65942,66239,66536,66833,67130,67427,67724,68021,68318,68615,68912,69209,69506,69803,70100,70397,70694,70991,71288,71585,71882,72179,72476,72773,73070,73367,73664,73961,74258,74555,74852,75149,75446,75743,76040,76337,76634,76931,77228,77525,77822,78119,78416,78713,79010,79307,79604,79901,80198,80495,80792,81089,81386,81683,81980,82277,82574,82871,83168,83465,83762,84059,84356,84653,84950,85247,85544,85833,85841,86138,86435,86732,87029,87326,87623,87920
9,306,603,900,1197,1494,1791,2088,2385,2682,2979,3276,3573,3870,4167,4464,4761,5058,5355,5652,5949,6246,6543,6840,7137,7434,7731,8028,8325,8622,8919,9216,9513,9810,10107,10404,10701,10998,11295,11592,11889,12186,12483,12780,13077,13374,13671,13968,14265,14562,14859,15156,15453,15750,16047,16344,16641,16938,17235,17532,17829,18126,18423,18720,19017,19314,19611,19908,20205,20502,20799,21096,21393,21690,21987,22284,22581,22878,23175,23472,23769,24066,24363,24660,24957,25254,25551,25848,26145,26442,26739,27036,27333,27630,27927,28224,28521,28818,29115,29412,29709,30006,30303,30600,30897,31194,31491,31788,32085,32382,32679,32976,33273,33570,33867,34164,34461,34758,35055,35352,35649,35946,36243,36540,36837,37134,37431,37728,38025,38322,38619,38916,39213,39510,39807,40104,40401,40698,40995,41292,41589,41886,42183,42480,42777,43074,43371,43668,43965,44262,44559,44856,45153,45450,45747,46044,46341,46638,46935,47232,47529,47826,48123,48420,48717,49014,49311,49608,49905,50202,50499,50796,51093,51390,51687,51984,52281,52578,52875,53172,53469,53766,54063,54360,54657,54954,55251,55548,55845,56142,56439,56736,57033,57330,57627,57924,58221,58518,58815,59112,59409,59706,60003,60300,60597,60894,61191,61488,61785,62082,62379,62676,62973,63270,63567,63864,64161,64458,64755,65052,65349,65646,65943,66240,66537,66834,67131,67428,67725,68022,68319,68616,68913,69210,69507,69804,70101,70398,70695,70992,71289,71586,71883,72180,72477,72774,73071,73368,73665,73962,74259,74556,74853,75150,75447,75744,76041,76338,76635,76932,77229,77526,77823,78120,78417,78714,79011,79308,79605,79902,80199,80496,80793,81090,81387,81684,81981,82278,82575,82872,83169,83466,83763,84060,84357,84654,84951,85248,85536,85545,85842,86139,86436,86733,87030,87327,87624,87921
10,307,604,901,1198,1495,1792,2089,2386,2683,2980,3277,3574,3871,4168,4465,4762,5059,5356,5653,5950,6247,6544,6841,7138,7435,7732,8029,8326,8623,8920,9217,9514,9811,10108,10405,10702,10999,11296,11593,11890,12187,12484,12781,13078,13375,13672,13969,14266,14563,14860,15157,15454,15751,16048,16345,16642,16939,17236,17533,17830,18127,18424,18721,19018,19315,19612,19909,20206,20503,20800,21097,21394,21691,21988,22285,22582,22879,23176,23473,23770,24067,24364,24661,24958,25255,25552,25849,26146,26443,26740,27037,27334,27631,27928,28225,28522,28819,29116,29413,29710,30007,30304,30601,30898,31195,31492,31789,32086,32383,32680,32977,33274,33571,33868,34165,34462,34759,35056,35353,35650,35947,36244,36541,36838,37135,37432,37729,38026,38323,38620,38917,39214,39511,39808,40105,40402,40699,40996,41293,41590,41887,42184,42481,42778,43075,43372,43669,43966,44263,44560,44857,45154,45451,45748,46045,46342,46639,46936,47233,47530,47827,48124,48421,48718,49015,49312,49609,49906,50203,50500,50797,51094,51391,51688,51985,52282,52579,52876,53173,53470,53767,54064,54361,54658,54955,55252,55549,55846,56143,56440,56737,57034,57331,57628,57925,58222,58519,58816,59113,59410,59707,60004,60301,60598,60895,61192,61489,61786,62083,62380,62677,62974,63271,63568,63865,64162,64459,64756,65053,65350,65647,65944,66241,66538,66835,67132,67429,67726,68023,68320,68617,68914,69211,69508,69805,70102,70399,70696,70993,71290,71587,71884,72181,72478,72775,73072,73369,73666,73963,74260,74557,74854,75151,75448,75745,76042,76339,76636,76933,77230,77527,77824,78121,78418,78715,79012,79309,79606,79903,80200,80497,80794,81091,81388,81685,81982,82279,82576,82873,83170,83467,83764,84061,84358,84655,84952,85239,85249,85546,85843,86140,86437,86734,87031,87328,87625,87922
11,308,605,902,1199,1496,1793,2090,2387,2684,2981,3278,3575,3872,4169,4466,4763,5060,5357,5654,5951,6248,6545,6842,7139,7436,7733,8030,8327,8624,8921,9218,9515,9812,10109,10406,10703,11000,11297,11594,11891,12188,12485,12782,13079,13376,13673,13970,14267,14564,14861,15158,15455,15752,16049,16346,16643,16940,17237,17534,17831,18128,18425,18722,19019,19316,19613,19910,20207,20504,20801,21098,21395,21692,21989,22286,22583,22880,23177,23474,23771,24068,24365,24662,24959,25256,25553,25850,26147,26444,26741,27038,27335,27632,27929,28226,28523,28820,29117,29414,29711,30008,30305,30602,30899,31196,31493,31790,32087,32384,32681,32978,33275,33572,33869,34166,34463,34760,35057,35354,35651,35948,36245,36542,36839,37136,37433,37730,38027,38324,38621,38918,39215,39512,39809,40106,40403,40700,40997,41294,41591,41888,42185,42482,42779,43076,43373,43670,43967,44264,44561,44858,45155,45452,45749,46046,46343,46640,46937,47234,47531,47828,48125,48422,48719,49016,49313,49610,49907,50204,50501,50798,51095,51392,51689,51986,52283,52580,52877,53174,53471,53768,54065,54362,54659,54956,55253,55550,55847,56144,56441,56738,57035,57332,57629,57926,58223,58520,58817,59114,59411,59708,60005,60302,60599,60896,61193,61490,61787,62084,62381,62678,62975,63272,63569,63866,64163,64460,64757,65054,65351,65648,65945,66242,66539,66836,67133,67430,67727,68024,68321,68618,68915,69212,69509,69806,70103,70400,70697,70994,71291,71588,71885,72182,72479,72776,73073,73370,73667,73964,74261,74558,74855,75152,75449,75746,76043,76340,76637,76934,77231,77528,77825,78122,78419,78716,79013,79310,79607,79904,80201,80498,80795,81092,81389,81686,81983,82280,82577,82874,83171,83468,83765,84062,84359,84656,84942,84953,85250,85547,85844,86141,86438,86735,87032,87329,87626,87923
