1,320,639,958,1277,1596,1915,2234,2553,2872,3191,3510,3829,4148,4467,4786,5105,5424,5743,6062,6381,6700,7019,7338,7657,7976,8295,8614,8933,9252,9571,9890,10209,10528,10847,11166,11485,11804,12123,12442,12761,13080,13399,13718,14037,14356,14675,14994,15313,15632,15951,16270,16589,16908,17227,17546,17865,18184,18503,18822,19141,19460,19779,20098,20417,20736,21055,21374,21693,22012,22331,22650,22969,23288,23607,23926,24245,24564,24883,25202,25521,25840,26159,26478,26797,27116,27435,27754,28073,28392,28711,29030,29349,29668,29987,30306,30625,30944,31263,31582,31901,32220,32539,32858,33177,33496,33815,34134,34453,34772,35091,35410,35729,36048,36367,36686,37005,37324,37643,37962,38281,38600,38919,39238,39557,39876,40195,40514,40833,41152,41471,41790,42109,42428,42747,43066,43385,43704,44023,44342,44661,44980,45299,45618,45937,46256,46575,46894,47213,47532,47851,48170,48489,48808,49127,49446,49765,50084,50403,50722,51041,51360,51679,51998,52317,52636,52955,53274,53593,53912,54231,54550,54869,55188,55507,55826,56145,56464,56783,57102,57421,57740,58059,58378,58697,59016,59335,59654,59973,60292,60611,60930,61249,61568,61887,62206,62525,62844,63163,63482,63801,64120,64439,64758,65077,65396,65715,66034,66353,66672,66991,67310,67629,67948,68267,68586,68905,69224,69543,69862,70181,70500,70819,71138,71457,71776,72095,72414,72733,73052,73371,73690,74009,74328,74647,74966,75285,75604,75923,76242,76561,76880,77199,77518,77837,78156,78475,78794,79113,79432,79751,80070,80389,80708,81027,81346,81665,81984,82303,82622,82941,83260,83579,83898,84217,84536,84855,85174,85493,85812,86131,86450,86769,87088,87407,87726,88045,88364,88683,89002,89321,89640,89959,90278,90597,90916,91235,91554,91873,92192,92511,92830,93149,93468,93787,94106,94425,94744,95063,95382,95701,96020,96339,96658,96977,97296,97615,97934,98253,98572,98891,99210,99529,99848,100167,100486,100805,101124,101442,101443
2,321,640,959,1278,1597,1916,2235,2554,2873,3192,3511,3830,4149,4468,4787,5106,5425,5744,6063,6382,6701,7020,7339,7658,7977,8296,8615,8934,9253,9572,9891,10210,10529,10848,11167,11486,11805,12124,12443,12762,13081,13400,13719,14038,14357,14676,14995,15314,15633,15952,16271,16590,16909,17228,17547,17866,18185,18504,18823,19142,19461,19780,20099,20418,20737,21056,21375,21694,22013,22332,22651,22970,23289,23608,23927,24246,24565,24884,25203,25522,25841,26160,26479,26798,27117,27436,27755,28074,28393,28712,29031,29350,29669,29988,30307,30626,30945,31264,31583,31902,32221,32540,32859,33178,33497,33816,34135,34454,34773,35092,35411,35730,36049,36368,36687,37006,37325,37644,37963,38282,38601,38920,39239,39558,39877,40196,40515,40834,41153,41472,41791,42110,42429,42748,43067,43386,43705,44024,44343,44662,44981,45300,45619,45938,46257,46576,46895,47214,47533,47852,48171,48490,48809,49128,49447,49766,50085,50404,50723,51042,51361,51680,51999,52318,52637,52956,53275,53594,53913,54232,54551,54870,55189,55508,55827,56146,56465,56784,57103,57422,57741,58060,58379,58698,59017,59336,59655,59974,60293,60612,60931,61250,61569,61888,62207,62526,62845,63164,63483,63802,64121,64440,64759,65078,65397,65716,66035,66354,66673,66992,67311,67630,67949,68268,68587,68906,69225,69544,69863,70182,70501,70820,71139,71458,71777,72096,72415,72734,73053,73372,73691,74010,74329,74648,74967,75286,75605,75924,76243,76562,76881,77200,77519,77838,78157,78476,78795,79114,79433,79752,80071,80390,80709,81028,81347,81666,81985,82304,82623,82942,83261,83580,83899,84218,84537,84856,85175,85494,85813,86132,86451,86770,87089,87408,87727,88046,88365,88684,89003,89322,89641,89960,90279,90598,90917,91236,91555,91874,92193,92512,92831,93150,93469,93788,94107,94426,94745,95064,95383,95702,96021,96340,96659,96978,97297,97616,97935,98254,98573,98892,99211,99530,99849,100168,100487,100806,101123,101125,101444
3,322,641,960,1279,1598,1917,2236,2555,2874,3193,3512,3831,4150,4469,4788,5107,5426,5745,6064,6383,6702,7021,7340,7659,7978,8297,8616,8935,9254,9573,9892,10211,10530,10849,11168,11487,11806,12125,12444,12763,13082,13401,13720,14039,14358,14677,14996,15315,15634,15953,16272,16591,16910,17229,17548,17867,18186,18505,18824,19143,19462,19781,20100,20419,20738,21057,21376,21695,22014,22333,22652,22971,23290,23609,23928,24247,24566,24885,25204,25523,25842,26161,26480,26799,27118,27437,27756,28075,28394,28713,29032,29351,29670,29989,30308,30627,30946,31265,31584,31903,32222,32541,32860,33179,33498,33817,34136,34455,34774,35093,35412,35731,36050,36369,36688,37007,37326,37645,37964,38283,38602,38921,39240,39559,39878,40197,40516,40835,41154,41473,41792,42111,42430,42749,43068,43387,43706,44025,44344,44663,44982,45301,45620,45939,46258,46577,46896,47215,47534,47853,48172,48491,48810,49129,49448,49767,50086,50405,50724,51043,51362,51681,52000,52319,52638,52957,53276,53595,53914,54233,54552,54871,55190,55509,55828,56147,56466,56785,57104,57423,57742,58061,58380,58699,59018,59337,59656,59975,60294,60613,60932,61251,61570,61889,62208,62527,62846,63165,63484,63803,64122,64441,64760,65079,65398,65717,66036,66355,66674,66993,67312,67631,67950,68269,68588,68907,69226,69545,69864,70183,70502,70821,71140,71459,71778,72097,72416,72735,73054,73373,73692,74011,74330,74649,74968,75287,75606,75925,76244,76563,76882,77201,77520,77839,78158,78477,78796,79115,79434,79753,80072,80391,80710,81029,81348,81667,81986,82305,82624,82943,83262,83581,83900,84219,84538,84857,85176,85495,85814,86133,86452,86771,87090,87409,87728,88047,88366,88685,89004,89323,89642,89961,90280,90599,90918,91237,91556,91875,92194,92513,92832,93151,93470,93789,94108,94427,94746,95065,95384,95703,96022,96341,96660,96979,97298,97617,97936,98255,98574,98893,99212,99531,99850,100169,100488,100804,100807,101126,101445
4,323,642,961,1280,1599,1918,2237,2556,2875,3194,3513,3832,4151,4470,4789,5108,5427,5746,6065,6384,6703,7022,7341,7660,7979,8298,8617,8936,9255,9574,9893,10212,10531,10850,11169,11488,11807,12126,12445,12764,13083,13402,13721,14040,14359,14678,14997,15316,15635,15954,16273,16592,16911,17230,17549,17868,18187,18506,18825,19144,19463,19782,20101,20420,20739,21058,21377,21696,22015,22334,22653,22972,23291,23610,23929,24248,24567,24886,25205,25524,25843,26162,26481,26800,27119,27438,27757,28076,28395,28714,29033,29352,29671,29990,30309,30628,30947,31266,31585,31904,32223,32542,32861,33180,33499,33818,34137,34456,34775,35094,35413,35732,36051,36370,36689,37008,37327,37646,37965,38284,38603,38922,39241,39560,39879,40198,40517,40836,41155,41474,41793,42112,42431,42750,43069,43388,43707,44026,44345,44664,44983,45302,45621,45940,46259,46578,46897,47216,47535,47854,48173,48492,48811,49130,49449,49768,50087,50406,50725,51044,51363,51682,52001,52320,52639,52958,53277,53596,53915,54234,54553,54872,55191,55510,55829,56148,56467,56786,57105,57424,57743,58062,58381,58700,59019,59338,59657,59976,60295,60614,60933,61252,61571,61890,62209,62528,62847,63166,63485,63804,64123,64442,64761,65080,65399,65718,66037,66356,66675,66994,67313,67632,67951,68270,68589,68908,69227,69546,69865,70184,70503,70822,71141,71460,71779,72098,72417,72736,73055,73374,73693,74012,74331,74650,74969,75288,75607,75926,76245,76564,76883,77202,77521,77840,78159,78478,78797,79116,79435,79754,80073,80392,80711,81030,81349,81668,81987,82306,82625,82944,83263,83582,83901,84220,84539,84858,85177,85496,85815,86134,86453,86772,87091,87410,87729,88048,88367,88686,89005,89324,89643,89962,90281,90600,90919,91238,91557,91876,92195,92514,92833,93152,93471,93790,94109,94428,94747,95066,95385,95704,96023,96342,96661,96980,97299,97618,97937,98256,98575,98894,99213,99532,99851,100170,100485,100489,100808,101127,101446
5,324,643,962,1281,1600,1919,2238,2557,2876,3195,3514,3833,4152,4471,4790,5109,5428,5747,6066,6385,6704,7023,7342,7661,7980,8299,8618,8937,9256,9575,9894,10213,10532,10851,11170,11489,11808,12127,12446,12765,13084,13403,13722,14041,14360,14679,14998,15317,15636,15955,16274,16593,16912,17231,17550,17869,18188,18507,18826,19145,19464,19783,20102,20421,20740,21059,21378,21697,22016,22335,22654,22973,23292,23611,23930,24249,24568,24887,25206,25525,25844,26163,26482,26801,27120,27439,27758,28077,28396,28715,29034,29353,29672,29991,30310,30629,30948,31267,31586,31905,32224,32543,32862,33181,33500,33819,34138,34457,34776,35095,35414,35733,36052,36371,36690,37009,37328,37647,37966,38285,38604,38923,39242,39561,39880,40199,40518,40837,41156,41475,41794,42113,42432,42751,43070,43389,43708,44027,44346,44665,44984,45303,45622,45941,46260,46579,46898,47217,47536,47855,48174,48493,48812,49131,49450,49769,50088,50407,50726,51045,51364,51683,52002,52321,52640,52959,53278,53597,53916,54235,54554,54873,55192,55511,55830,56149,56468,56787,57106,57425,57744,58063,58382,58701,59020,59339,59658,59977,60296,60615,60934,61253,61572,61891,62210,62529,62848,63167,63486,63805,64124,64443,64762,65081,65400,65719,66038,66357,66676,66995,67314,67633,67952,68271,68590,68909,69228,69547,69866,70185,70504,70823,71142,71461,71780,72099,72418,72737,73056,73375,73694,74013,74332,74651,74970,75289,75608,75927,76246,76565,76884,77203,77522,77841,78160,78479,78798,79117,79436,79755,80074,80393,80712,81031,81350,81669,81988,82307,82626,82945,83264,83583,83902,84221,84540,84859,85178,85497,85816,86135,86454,86773,87092,87411,87730,88049,88368,88687,89006,89325,89644,89963,90282,90601,90920,91239,91558,91877,92196,92515,92834,93153,93472,93791,94110,94429,94748,95067,95386,95705,96024,96343,96662,96981,97300,97619,97938,98257,98576,98895,99214,99533,99852,100166,100171,100490,100809,101128,101447
6,325,644,963,1282,1601,1920,2239,2558,2877,3196,3515,3834,4153,4472,4791,5110,5429,5748,6067,6386,6705,7024,7343,7662,7981,8300,8619,8938,9257,9576,9895,10214,10533,10852,11171,11490,11809,12128,12447,12766,13085,13404,13723,14042,14361,14680,14999,15318,15637,15956,16275,16594,16913,17232,17551,17870,18189,18508,18827,19146,19465,19784,20103,20422,20741,21060,21379,21698,22017,22336,22655,22974,23293,23612,23931,24250,24569,24888,25207,25526,25845,26164,26483,26802,27121,27440,27759,28078,28397,28716,29035,29354,29673,29992,30311,30630,30949,31268,31587,31906,32225,32544,32863,33182,33501,33820,34139,34458,34777,35096,35415,35734,36053,36372,36691,37010,37329,37648,37967,38286,38605,38924,39243,39562,39881,40200,40519,40838,41157,41476,41795,42114,42433,42752,43071,43390,43709,44028,44347,44666,44985,45304,45623,45942,46261,46580,46899,47218,47537,47856,48175,48494,48813,49132,49451,49770,50089,50408,50727,51046,51365,51684,52003,52322,52641,52960,53279,53598,53917,54236,54555,54874,55193,55512,55831,56150,56469,56788,57107,57426,57745,58064,58383,58702,59021,59340,59659,59978,60297,60616,60935,61254,61573,61892,62211,62530,62849,63168,63487,63806,64125,64444,64763,65082,65401,65720,66039,66358,66677,66996,67315,67634,67953,68272,68591,68910,69229,69548,69867,70186,70505,70824,71143,71462,71781,72100,72419,72738,73057,73376,73695,74014,74333,74652,74971,75290,75609,75928,76247,76566,76885,77204,77523,77842,78161,78480,78799,79118,79437,79756,80075,80394,80713,81032,81351,81670,81989,82308,82627,82946,83265,83584,83903,84222,84541,84860,85179,85498,85817,86136,86455,86774,87093,87412,87731,88050,88369,88688,89007,89326,89645,89964,90283,90602,90921,91240,91559,91878,92197,92516,92835,93154,93473,93792,94111,94430,94749,95068,95387,95706,96025,96344,96663,96982,97301,97620,97939,98258,98577,98896,99215,99534,99847,99853,100172,100491,100810,101129,101448
7,326,645,964,1283,1602,1921,2240,2559,2878,3197,3516,3835,4154,4473,4792,5111,5430,5749,6068,6387,6706,7025,7344,7663,7982,8301,8620,8939,9258,9577,9896,10215,10534,10853,11172,11491,11810,12129,12448,12767,13086,13405,13724,14043,14362,14681,15000,15319,15638,15957,16276,16595,16914,17233,17552,17871,18190,18509,18828,19147,19466,19785,20104,20423,20742,21061,21380,21699,22018,22337,22656,22975,23294,23613,23932,24251,24570,24889,25208,25527,25846,26165,26484,26803,27122,27441,27760,28079,28398,28717,29036,29355,29674,29993,30312,30631,30950,31269,31588,31907,32226,32545,32864,33183,33502,33821,34140,34459,34778,35097,35416,35735,36054,36373,36692,37011,37330,37649,37968,38287,38606,38925,39244,39563,39882,40201,40520,40839,41158,41477,41796,42115,42434,42753,43072,43391,43710,44029,44348,44667,44986,45305,45624,45943,46262,46581,46900,47219,47538,47857,48176,48495,48814,49133,49452,49771,50090,50409,50728,51047,51366,51685,52004,52323,52642,52961,53280,53599,53918,54237,54556,54875,55194,55513,55832,56151,56470,56789,57108,57427,57746,58065,58384,58703,59022,59341,59660,59979,60298,60617,60936,61255,61574,61893,62212,62531,62850,63169,63488,63807,64126,64445,64764,65083,65402,65721,66040,66359,66678,66997,67316,67635,67954,68273,68592,68911,69230,69549,69868,70187,70506,70825,71144,71463,71782,72101,72420,72739,73058,73377,73696,74015,74334,74653,74972,75291,75610,75929,76248,76567,76886,77205,77524,77843,78162,78481,78800,79119,79438,79757,80076,80395,80714,81033,81352,81671,81990,82309,82628,82947,83266,83585,83904,84223,84542,84861,85180,85499,85818,86137,86456,86775,87094,87413,87732,88051,88370,88689,89008,89327,89646,89965,90284,90603,90922,91241,91560,91879,92198,92517,92836,93155,93474,93793,94112,94431,94750,95069,95388,95707,96026,96345,96664,96983,97302,97621,97940,98259,98578,98897,99216,99528,99535,99854,100173,100492,100811,101130,101449
8,327,646,965,1284,1603,1922,2241,2560,2879,3198,3517,3836,4155,4474,4793,5112,5431,5750,6069,6388,6707,7026,7345,7664,7983,8302,8621,8940,9259,9578,9897,10216,10535,10854,11173,11492,11811,12130,12449,12768,13087,13406,13725,14044,14363,14682,15001,15320,15639,15958,16277,16596,16915,17234,17553,17872,18191,18510,18829,19148,19467,19786,20105,20424,20743,21062,21381,21700,22019,22338,22657,22976,23295,23614,23933,24252,24571,24890,25209,25528,25847,26166,26485,26804,27123,27442,27761,28080,28399,28718,29037,29356,29675,29994,30313,30632,30951,31270,31589,31908,32227,32546,32865,33184,33503,33822,34141,34460,34779,35098,35417,35736,36055,36374,36693,37012,37331,37650,37969,38288,38607,38926,39245,39564,39883,40202,40521,40840,41159,41478,41797,42116,42435,42754,43073,43392,43711,44030,44349,44668,44987,45306,45625,45944,46263,46582,46901,47220,47539,47858,48177,48496,48815,49134,49453,49772,50091,50410,50729,51048,51367,51686,52005,52324,52643,52962,53281,53600,53919,54238,54557,54876,55195,55514,55833,56152,56471,56790,57109,57428,57747,58066,58385,58704,59023,59342,59661,59980,60299,60618,60937,61256,61575,61894,62213,62532,62851,63170,63489,63808,64127,64446,64765,65084,65403,65722,66041,66360,66679,66998,67317,67636,67955,68274,68593,68912,69231,69550,69869,70188,70507,70826,71145,71464,71783,72102,72421,72740,73059,73378,73697,74016,74335,74654,74973,75292,75611,75930,76249,76568,76887,77206,77525,77844,78163,78482,78801,79120,79439,79758,80077,80396,80715,81034,81353,81672,81991,82310,82629,82948,83267,83586,83905,84224,84543,84862,85181,85500,85819,86138,86457,86776,87095,87414,87733,88052,88371,88690,89009,89328,89647,89966,90285,90604,90923,91242,91561,91880,92199,92518,92837,93156,93475,93794,94113,94432,94751,95070,95389,95708,96027,96346,96665,96984,97303,97622,97941,98260,98579,98898,99209,99217,99536,99855,100174,100493,100812,101131,101450
9,328,647,966,1285,1604,1923,2242,2561,2880,3199,3518,3837,4156,4475,4794,5113,5432,5751,6070,6389,6708,7027,7346,7665,7984,8303,8622,8941,9260,9579,9898,10217,10536,10855,11174,11493,11812,12131,12450,12769,13088,13407,13726,14045,14364,14683,15002,15321,15640,15959,16278,16597,16916,17235,17554,17873,18192,18511,18830,19149,19468,19787,20106,20425,20744,21063,21382,21701,22020,22339,22658,22977,23296,23615,23934,24253,24572,24891,25210,25529,25848,26167,26486,26805,27124,27443,27762,28081,28400,28719,29038,29357,29676,29995,30314,30633,30952,31271,31590,31909,32228,32547,32866,33185,33504,33823,34142,34461,34780,35099,35418,35737,36056,36375,36694,37013,37332,37651,37970,38289,38608,38927,39246,39565,39884,40203,40522,40841,41160,41479,41798,42117,42436,42755,43074,43393,43712,44031,44350,44669,44988,45307,45626,45945,46264,46583,46902,47221,47540,47859,48178,48497,48816,49135,49454,49773,50092,50411,50730,51049,51368,51687,52006,52325,52644,52963,53282,53601,53920,54239,54558,54877,55196,55515,55834,56153,56472,56791,57110,57429,57748,58067,58386,58705,59024,59343,59662,59981,60300,60619,60938,61257,61576,61895,62214,62533,62852,63171,63490,63809,64128,64447,64766,65085,65404,65723,66042,66361,66680,66999,67318,67637,67956,68275,68594,68913,69232,69551,69870,70189,70508,70827,71146,71465,71784,72103,72422,72741,73060,73379,73698,74017,74336,74655,74974,75293,75612,75931,76250,76569,76888,77207,77526,77845,78164,78483,78802,79121,79440,79759,80078,80397,80716,81035,81354,81673,81992,82311,82630,82949,83268,83587,83906,84225,84544,84863,85182,85501,85820,86139,86458,86777,87096,87415,87734,88053,88372,88691,89010,89329,89648,89967,90286,90605,90924,91243,91562,91881,92200,92519,92838,93157,93476,93795,94114,94433,94752,95071,95390,95709,96028,96347,96666,96985,97304,97623,97942,98261,98580,98890,98899,99218,99537,99856,100175,100494,100813,101132,101451
10,329,648,967,1286,1605,1924,2243,2562,2881,3200,3519,3838,4157,4476,4795,5114,5433,5752,6071,6390,6709,7028,7347,7666,7985,8304,8623,8942,9261,9580,9899,10218,10537,10856,11175,11494,11813,12132,12451,12770,13089,13408,13727,14046,14365,14684,15003,15322,15641,15960,16279,16598,16917,17236,17555,17874,18193,18512,18831,19150,19469,19788,20107,20426,20745,21064,21383,21702,22021,22340,22659,22978,23297,23616,23935,24254,24573,24892,25211,25530,25849,26168,26487,26806,27125,27444,27763,28082,28401,28720,29039,29358,29677,29996,30315,30634,30953,31272,31591,31910,32229,32548,32867,33186,33505,33824,34143,34462,34781,35100,35419,35738,36057,36376,36695,37014,37333,37652,37971,38290,38609,38928,39247,39566,39885,40204,40523,40842,41161,41480,41799,42118,42437,42756,43075,43394,43713,44032,44351,44670,44989,45308,45627,45946,46265,46584,46903,47222,47541,47860,48179,48498,48817,49136,49455,49774,50093,50412,50731,51050,51369,51688,52007,52326,52645,52964,53283,53602,53921,54240,54559,54878,55197,55516,55835,56154,56473,56792,57111,57430,57749,58068,58387,58706,59025,59344,59663,59982,60301,60620,60939,61258,61577,61896,62215,62534,62853,63172,63491,63810,64129,64448,64767,65086,65405,65724,66043,66362,66681,67000,67319,67638,67957,68276,68595,68914,69233,69552,69871,70190,70509,70828,71147,71466,71785,72104,72423,72742,73061,73380,73699,74018,74337,74656,74975,75294,75613,75932,76251,76570,76889,77208,77527,77846,78165,78484,78803,79122,79441,79760,80079,80398,80717,81036,81355,81674,81993,82312,82631,82950,83269,83588,83907,84226,84545,84864,85183,85502,85821,86140,86459,86778,87097,87416,87735,88054,88373,88692,89011,89330,89649,89968,90287,90606,90925,91244,91563,91882,92201,92520,92839,93158,93477,93796,94115,94434,94753,95072,95391,95710,96029,96348,96667,96986,97305,97624,97943,98262,98571,98581,98900,99219,99538,99857,100176,100495,100814,101133,101452
11,330,649,968,1287,1606,1925,2244,2563,2882,3201,3520,3839,4158,4477,4796,5115,5434,5753,6072,6391,6710,7029,7348,7667,7986,8305,8624,8943,9262,9581,9900,10219,10538,10857,11176,11495,11814,12133,12452,12771,13090,13409,13728,14047,14366,14685,15004,15323,15642,15961,16280,16599,16918,17237,17556,17875,18194,18513,18832,19151,19470,19789,20108,20427,20746,21065,21384,21703,22022,22341,22660,22979,23298,23617,23936,24255,24574,24893,25212,25531,25850,26169,26488,26807,27126,27445,27764,28083,28402,28721,29040,29359,29678,29997,30316,30635,30954,31273,31592,31911,32230,32549,32868,33187,33506,33825,34144,34463,34782,35101,35420,35739,36058,36377,36696,37015,37334,37653,37972,38291,38610,38929,39248,39567,39886,40205,40524,40843,41162,41481,41800,42119,42438,42757,43076,43395,43714,44033,44352,44671,44990,45309,45628,45947,46266,46585,46904,47223,47542,47861,48180,48499,48818,49137,49456,49775,50094,50413,50732,51051,51370,51689,52008,52327,52646,52965,53284,53603,53922,54241,54560,54879,55198,55517,55836,56155,56474,56793,57112,57431,57750,58069,58388,58707,59026,59345,59664,59983,60302,60621,60940,61259,61578,61897,62216,62535,62854,63173,63492,63811,64130,64449,64768,65087,65406,65725,66044,66363,66682,67001,67320,67639,67958,68277,68596,68915,69234,69553,69872,70191,70510,70829,71148,71467,71786,72105,72424,72743,73062,73381,73700,74019,74338,74657,74976,75295,75614,75933,76252,76571,76890,77209,77528,77847,78166,78485,78804,79123,79442,79761,80080,80399,80718,81037,81356,81675,81994,82313,82632,82951,83270,83589,83908,84227,84546,84865,85184,85503,85822,86141,86460,86779,87098,87417,87736,88055,88374,88693,89012,89331,89650,89969,90288,90607,90926,91245,91564,91883,92202,92521,92840,93159,93478,93797,94116,94435,94754,95073,95392,95711,96030,96349,96668,96987,97306,97625,97944,98252,98263,98582,98901,99220,99539,99858,100177,100496,100815,101134,101453
