1,328,655,982,1309,1636,1963,2290,2617,2944,3271,3598,3925,4252,4579,4906,5233,5560,5887,6214,6541,6868,7195,7522,7849,8176,8503,8830,9157,9484,9811,10138,10465,10792,11119,11446,11773,12100,12427,12754,13081,13408,13735,14062,14389,14716,15043,15370,15697,16024,16351,16678,17005,17332,17659,17986,18313,18640,18967,19294,19621,19948,20275,20602,20929,21256,21583,21910,22237,22564,22891,23218,23545,23872,24199,24526,24853,25180,25507,25834,26161,26488,26815,27142,27469,27796,28123,28450,28777,29104,29431,29758,30085,30412,30739,31066,31393,31720,32047,32374,32701,33028,33355,33682,34009,34336,34663,34990,35317,35644,35971,36298,36625,36952,37279,37606,37933,38260,38587,38914,39241,39568,39895,40222,40549,40876,41203,41530,41857,42184,42511,42838,43165,43492,43819,44146,44473,44800,45127,45454,45781,46108,46435,46762,47089,47416,47743,48070,48397,48724,49051,49378,49705,50032,50359,50686,51013,51340,51667,51994,52321,52648,52975,53302,53629,53956,54283,54610,54937,55264,55591,55918,56245,56572,56899,57226,57553,57880,58207,58534,58861,59188,59515,59842,60169,60496,60823,61150,61477,61804,62131,62458,62785,63112,63439,63766,64093,64420,64747,65074,65401,65728,66055,66382,66709,67036,67363,67690,68017,68344,68671,68998,69325,69652,69979,70306,70633,70960,71287,71614,71941,72268,72595,72922,73249,73576,73903,74230,74557,74884,75211,75538,75865,76192,76519,76846,77173,77500,77827,78154,78481,78808,79135,79462,79789,80116,80443,80770,81097,81424,81751,82078,82405,82732,83059,83386,83713,84040,84367,84694,85021,85348,85675,86002,86329,86656,86983,87310,87637,87964,88291,88618,88945,89272,89599,89926,90253,90580,90907,91234,91561,91888,92215,92542,92869,93196,93523,93850,94177,94504,94831,95158,95485,95812,96139,96466,96793,97120,97447,97774,98101,98428,98755,99082,99409,99736,100063,100390,100717,101044,101371,101698,102025,102352,102679,103006,103333,103660,103987,104314,104641,104968,105295,105622,105949,106276,106602,106603
2,329,656,983,1310,1637,1964,2291,2618,2945,3272,3599,3926,4253,4580,4907,5234,5561,5888,6215,6542,6869,7196,7523,7850,8177,8504,8831,9158,9485,9812,10139,10466,10793,11120,11447,11774,12101,12428,12755,13082,13409,13736,14063,14390,14717,15044,15371,15698,16025,16352,16679,17006,17333,17660,17987,18314,18641,18968,19295,19622,19949,20276,20603,20930,21257,21584,21911,22238,22565,22892,23219,23546,23873,24200,24527,24854,25181,25508,25835,26162,26489,26816,27143,27470,27797,28124,28451,28778,29105,29432,29759,30086,30413,30740,31067,31394,31721,32048,32375,32702,33029,33356,33683,34010,34337,34664,34991,35318,35645,35972,36299,36626,36953,37280,37607,37934,38261,38588,38915,39242,39569,39896,40223,40550,40877,41204,41531,41858,42185,42512,42839,43166,43493,43820,44147,44474,44801,45128,45455,45782,46109,46436,46763,47090,47417,47744,48071,48398,48725,49052,49379,49706,50033,50360,50687,51014,51341,51668,51995,52322,52649,52976,53303,53630,53957,54284,54611,54938,55265,55592,55919,56246,56573,56900,57227,57554,57881,58208,58535,58862,59189,59516,59843,60170,60497,60824,61151,61478,61805,62132,62459,62786,63113,63440,63767,64094,64421,64748,65075,65402,65729,66056,66383,66710,67037,67364,67691,68018,68345,68672,68999,69326,69653,69980,70307,70634,70961,71288,71615,71942,72269,72596,72923,73250,73577,73904,74231,74558,74885,75212,75539,75866,76193,76520,76847,77174,77501,77828,78155,78482,78809,79136,79463,79790,80117,80444,80771,81098,81425,81752,82079,82406,82733,83060,83387,83714,84041,84368,84695,85022,85349,85676,86003,86330,86657,86984,87311,87638,87965,88292,88619,88946,89273,89600,89927,90254,90581,90908,91235,91562,91889,92216,92543,92870,93197,93524,93851,94178,94505,94832,95159,95486,95813,96140,96467,96794,97121,97448,97775,98102,98429,98756,99083,99410,99737,100064,100391,100718,101045,101372,101699,102026,102353,102680,103007,103334,103661,103988,104315,104642,104969,105296,105623,105950,106275,106277,106604
3,330,657,984,1311,1638,1965,2292,2619,2946,3273,3600,3927,4254,4581,4908,5235,5562,5889,6216,6543,6870,7197,7524,7851,8178,8505,8832,9159,9486,9813,10140,10467,10794,11121,11448,11775,12102,12429,12756,13083,13410,13737,14064,14391,14718,15045,15372,15699,16026,16353,16680,17007,17334,17661,17988,18315,18642,18969,19296,19623,19950,20277,20604,20931,21258,21585,21912,22239,22566,22893,23220,23547,23874,24201,24528,24855,25182,25509,25836,26163,26490,26817,27144,27471,27798,28125,28452,28779,29106,29433,29760,30087,30414,30741,31068,31395,31722,32049,32376,32703,33030,33357,33684,34011,34338,34665,34992,35319,35646,35973,36300,36627,36954,37281,37608,37935,38262,38589,38916,39243,39570,39897,40224,40551,40878,41205,41532,41859,42186,42513,42840,43167,43494,43821,44148,44475,44802,45129,45456,45783,46110,46437,46764,47091,47418,47745,48072,48399,48726,49053,49380,49707,50034,50361,50688,51015,51342,51669,51996,52323,52650,52977,53304,53631,53958,54285,54612,54939,55266,55593,55920,56247,56574,56901,57228,57555,57882,58209,58536,58863,59190,59517,59844,60171,60498,60825,61152,61479,61806,62133,62460,62787,63114,63441,63768,64095,64422,64749,65076,65403,65730,66057,66384,66711,67038,67365,67692,68019,68346,68673,69000,69327,69654,69981,70308,70635,70962,71289,71616,71943,72270,72597,72924,73251,73578,73905,74232,74559,74886,75213,75540,75867,76194,76521,76848,77175,77502,77829,78156,78483,78810,79137,79464,79791,80118,80445,80772,81099,81426,81753,82080,82407,82734,83061,83388,83715,84042,84369,84696,85023,85350,85677,86004,86331,86658,86985,87312,87639,87966,88293,88620,88947,89274,89601,89928,90255,90582,90909,91236,91563,91890,92217,92544,92871,93198,93525,93852,94179,94506,94833,95160,95487,95814,96141,96468,96795,97122,97449,97776,98103,98430,98757,99084,99411,99738,100065,100392,100719,101046,101373,101700,102027,102354,102681,103008,103335,103662,103989,104316,104643,104970,105297,105624,105948,105951,106278,106605
4,331,658,985,1312,1639,1966,2293,2620,2947,3274,3601,3928,4255,4582,4909,5236,5563,5890,6217,6544,6871,7198,7525,7852,8179,8506,8833,9160,9487,9814,10141,10468,10795,11122,11449,11776,12103,12430,12757,13084,13411,13738,14065,14392,14719,15046,15373,15700,16027,16354,16681,17008,17335,17662,17989,18316,18643,18970,19297,19624,19951,20278,20605,20932,21259,21586,21913,22240,22567,22894,23221,23548,23875,24202,24529,24856,25183,25510,25837,26164,26491,26818,27145,27472,27799,28126,28453,28780,29107,29434,29761,30088,30415,30742,31069,31396,31723,32050,32377,32704,33031,33358,33685,34012,34339,34666,34993,35320,35647,35974,36301,36628,36955,37282,37609,37936,38263,38590,38917,39244,39571,39898,40225,40552,40879,41206,41533,41860,42187,42514,42841,43168,43495,43822,44149,44476,44803,45130,45457,45784,46111,46438,46765,47092,47419,47746,48073,48400,48727,49054,49381,49708,50035,50362,50689,51016,51343,51670,51997,52324,52651,52978,53305,53632,53959,54286,54613,54940,55267,55594,55921,56248,56575,56902,57229,57556,57883,58210,58537,58864,59191,59518,59845,60172,60499,60826,61153,61480,61807,62134,62461,62788,63115,63442,63769,64096,64423,64750,65077,65404,65731,66058,66385,66712,67039,67366,67693,68020,68347,68674,69001,69328,69655,69982,70309,70636,70963,71290,71617,71944,72271,72598,72925,73252,73579,73906,74233,74560,74887,75214,75541,75868,76195,76522,76849,77176,77503,77830,78157,78484,78811,79138,79465,79792,80119,80446,80773,81100,81427,81754,82081,82408,82735,83062,83389,83716,84043,84370,84697,85024,85351,85678,86005,86332,86659,86986,87313,87640,87967,88294,88621,88948,89275,89602,89929,90256,90583,90910,91237,91564,91891,92218,92545,92872,93199,93526,93853,94180,94507,94834,95161,95488,95815,96142,96469,96796,97123,97450,97777,98104,98431,98758,99085,99412,99739,100066,100393,100720,101047,101374,101701,102028,102355,102682,103009,103336,103663,103990,104317,104644,104971,105298,105621,105625,105952,106279,106606
5,332,659,986,1313,1640,1967,2294,2621,2948,3275,3602,3929,4256,4583,4910,5237,5564,5891,6218,6545,6872,7199,7526,7853,8180,8507,8834,9161,9488,9815,10142,10469,10796,11123,11450,11777,12104,12431,12758,13085,13412,13739,14066,14393,14720,15047,15374,15701,16028,16355,16682,17009,17336,17663,17990,18317,18644,18971,19298,19625,19952,20279,20606,20933,21260,21587,21914,22241,22568,22895,23222,23549,23876,24203,24530,24857,25184,25511,25838,26165,26492,26819,27146,27473,27800,28127,28454,28781,29108,29435,29762,30089,30416,30743,31070,31397,31724,32051,32378,32705,33032,33359,33686,34013,34340,34667,34994,35321,35648,35975,36302,36629,36956,37283,37610,37937,38264,38591,38918,39245,39572,39899,40226,40553,40880,41207,41534,41861,42188,42515,42842,43169,43496,43823,44150,44477,44804,45131,45458,45785,46112,46439,46766,47093,47420,47747,48074,48401,48728,49055,49382,49709,50036,50363,50690,51017,51344,51671,51998,52325,52652,52979,53306,53633,53960,54287,54614,54941,55268,55595,55922,56249,56576,56903,57230,57557,57884,58211,58538,58865,59192,59519,59846,60173,60500,60827,61154,61481,61808,62135,62462,62789,63116,63443,63770,64097,64424,64751,65078,65405,65732,66059,66386,66713,67040,67367,67694,68021,68348,68675,69002,69329,69656,69983,70310,70637,70964,71291,71618,71945,72272,72599,72926,73253,73580,73907,74234,74561,74888,75215,75542,75869,76196,76523,76850,77177,77504,77831,78158,78485,78812,79139,79466,79793,80120,80447,80774,81101,81428,81755,82082,82409,82736,83063,83390,83717,84044,84371,84698,85025,85352,85679,86006,86333,86660,86987,87314,87641,87968,88295,88622,88949,89276,89603,89930,90257,90584,90911,91238,91565,91892,92219,92546,92873,93200,93527,93854,94181,94508,94835,95162,95489,95816,96143,96470,96797,97124,97451,97778,98105,98432,98759,99086,99413,99740,100067,100394,100721,101048,101375,101702,102029,102356,102683,103010,103337,103664,103991,104318,104645,104972,105294,105299,105626,105953,106280,106607
6,333,660,987,1314,1641,1968,2295,2622,2949,3276,3603,3930,4257,4584,4911,5238,5565,5892,6219,6546,6873,7200,7527,7854,8181,8508,8835,9162,9489,9816,10143,10470,10797,11124,11451,11778,12105,12432,12759,13086,13413,13740,14067,14394,14721,15048,15375,15702,16029,16356,16683,17010,17337,17664,17991,18318,18645,18972,19299,19626,19953,20280,20607,20934,21261,21588,21915,22242,22569,22896,23223,23550,23877,24204,24531,24858,25185,25512,25839,26166,26493,26820,27147,27474,27801,28128,28455,28782,29109,29436,29763,30090,30417,30744,31071,31398,31725,32052,32379,32706,33033,33360,33687,34014,34341,34668,34995,35322,35649,35976,36303,36630,36957,37284,37611,37938,38265,38592,38919,39246,39573,39900,40227,40554,40881,41208,41535,41862,42189,42516,42843,43170,43497,43824,44151,44478,44805,45132,45459,45786,46113,46440,46767,47094,47421,47748,48075,48402,48729,49056,49383,49710,50037,50364,50691,51018,51345,51672,51999,52326,52653,52980,53307,53634,53961,54288,54615,54942,55269,55596,55923,56250,56577,56904,57231,57558,57885,58212,58539,58866,59193,59520,59847,60174,60501,60828,61155,61482,61809,62136,62463,62790,63117,63444,63771,64098,64425,64752,65079,65406,65733,66060,66387,66714,67041,67368,67695,68022,68349,68676,69003,69330,69657,69984,70311,70638,70965,71292,71619,71946,72273,72600,72927,73254,73581,73908,74235,74562,74889,75216,75543,75870,76197,76524,76851,77178,77505,77832,78159,78486,78813,79140,79467,79794,80121,80448,80775,81102,81429,81756,82083,82410,82737,83064,83391,83718,84045,84372,84699,85026,85353,85680,86007,86334,86661,86988,87315,87642,87969,88296,88623,88950,89277,89604,89931,90258,90585,90912,91239,91566,91893,92220,92547,92874,93201,93528,93855,94182,94509,94836,95163,95490,95817,96144,96471,96798,97125,97452,97779,98106,98433,98760,99087,99414,99741,100068,100395,100722,101049,101376,101703,102030,102357,102684,103011,103338,103665,103992,104319,104646,104967,104973,105300,105627,105954,106281,106608
7,334,661,988,1315,1642,1969,2296,2623,2950,3277,3604,3931,4258,4585,4912,5239,5566,5893,6220,6547,6874,7201,7528,7855,8182,8509,8836,9163,9490,9817,10144,10471,10798,11125,11452,11779,12106,12433,12760,13087,13414,13741,14068,14395,14722,15049,15376,15703,16030,16357,16684,17011,17338,17665,17992,18319,18646,18973,19300,19627,19954,20281,20608,20935,21262,21589,21916,22243,22570,22897,23224,23551,23878,24205,24532,24859,25186,25513,25840,26167,26494,26821,27148,27475,27802,28129,28456,28783,29110,29437,29764,30091,30418,30745,31072,31399,31726,32053,32380,32707,33034,33361,33688,34015,34342,34669,34996,35323,35650,35977,36304,36631,36958,37285,37612,37939,38266,38593,38920,39247,39574,39901,40228,40555,40882,41209,41536,41863,42190,42517,42844,43171,43498,43825,44152,44479,44806,45133,45460,45787,46114,46441,46768,47095,47422,47749,48076,48403,48730,49057,49384,49711,50038,50365,50692,51019,51346,51673,52000,52327,52654,52981,53308,53635,53962,54289,54616,54943,55270,55597,55924,56251,56578,56905,57232,57559,57886,58213,58540,58867,59194,59521,59848,60175,60502,60829,61156,61483,61810,62137,62464,62791,63118,63445,63772,64099,64426,64753,65080,65407,65734,66061,66388,66715,67042,67369,67696,68023,68350,68677,69004,69331,69658,69985,70312,70639,70966,71293,71620,71947,72274,72601,72928,73255,73582,73909,74236,74563,74890,75217,75544,75871,76198,76525,76852,77179,77506,77833,78160,78487,78814,79141,79468,79795,80122,80449,80776,81103,81430,81757,82084,82411,82738,83065,83392,83719,84046,84373,84700,85027,85354,85681,86008,86335,86662,86989,87316,87643,87970,88297,88624,88951,89278,89605,89932,90259,90586,90913,91240,91567,91894,92221,92548,92875,93202,93529,93856,94183,94510,94837,95164,95491,95818,96145,96472,96799,97126,97453,97780,98107,98434,98761,99088,99415,99742,100069,100396,100723,101050,101377,101704,102031,102358,102685,103012,103339,103666,103993,104320,104640,104647,104974,105301,105628,105955,106282,106609
8,335,662,989,1316,1643,1970,2297,2624,2951,3278,3605,3932,4259,4586,4913,5240,5567,5894,6221,6548,6875,7202,7529,7856,8183,8510,8837,9164,9491,9818,10145,10472,10799,11126,11453,11780,12107,12434,12761,13088,13415,13742,14069,14396,14723,15050,15377,15704,16031,16358,16685,17012,17339,17666,17993,18320,18647,18974,19301,19628,19955,20282,20609,20936,21263,21590,21917,22244,22571,22898,23225,23552,23879,24206,24533,24860,25187,25514,25841,26168,26495,26822,27149,27476,27803,28130,28457,28784,29111,29438,29765,30092,30419,30746,31073,31400,31727,32054,32381,32708,33035,33362,33689,34016,34343,34670,34997,35324,35651,35978,36305,36632,36959,37286,37613,37940,38267,38594,38921,39248,39575,39902,40229,40556,40883,41210,41537,41864,42191,42518,42845,43172,43499,43826,44153,44480,44807,45134,45461,45788,46115,46442,46769,47096,47423,47750,48077,48404,48731,49058,49385,49712,50039,50366,50693,51020,51347,51674,52001,52328,52655,52982,53309,53636,53963,54290,54617,54944,55271,55598,55925,56252,56579,56906,57233,57560,57887,58214,58541,58868,59195,59522,59849,60176,60503,60830,61157,61484,61811,62138,62465,62792,63119,63446,63773,64100,64427,64754,65081,65408,65735,66062,66389,66716,67043,67370,67697,68024,68351,68678,69005,69332,69659,69986,70313,70640,70967,71294,71621,71948,72275,72602,72929,73256,73583,73910,74237,74564,74891,75218,75545,75872,76199,76526,76853,77180,77507,77834,78161,78488,78815,79142,79469,79796,80123,80450,80777,81104,81431,81758,82085,82412,82739,83066,83393,83720,84047,84374,84701,85028,85355,85682,86009,86336,86663,86990,87317,87644,87971,88298,88625,88952,89279,89606,89933,90260,90587,90914,91241,91568,91895,92222,92549,92876,93203,93530,93857,94184,94511,94838,95165,95492,95819,96146,96473,96800,97127,97454,97781,98108,98435,98762,99089,99416,99743,100070,100397,100724,101051,101378,101705,102032,102359,102686,103013,103340,103667,103994,104313,104321,104648,104975,105302,105629,105956,106283,106610
9,336,663,990,1317,1644,1971,2298,2625,2952,3279,3606,3933,4260,4587,4914,5241,5568,5895,6222,6549,6876,7203,7530,7857,8184,8511,8838,9165,9492,9819,10146,10473,10800,11127,11454,11781,12108,12435,12762,13089,13416,13743,14070,14397,14724,15051,15378,15705,16032,16359,16686,17013,17340,17667,17994,18321,18648,18975,19302,19629,19956,20283,20610,20937,21264,21591,21918,22245,22572,22899,23226,23553,23880,24207,24534,24861,25188,25515,25842,26169,26496,26823,27150,27477,27804,28131,28458,28785,29112,29439,29766,30093,30420,30747,31074,31401,31728,32055,32382,32709,33036,33363,33690,34017,34344,34671,34998,35325,35652,35979,36306,36633,36960,37287,37614,37941,38268,38595,38922,39249,39576,39903,40230,40557,40884,41211,41538,41865,42192,42519,42846,43173,43500,43827,44154,44481,44808,45135,45462,45789,46116,46443,46770,47097,47424,47751,48078,48405,48732,49059,49386,49713,50040,50367,50694,51021,51348,51675,52002,52329,52656,52983,53310,53637,53964,54291,54618,54945,55272,55599,55926,56253,56580,56907,57234,57561,57888,58215,58542,58869,59196,59523,59850,60177,60504,60831,61158,61485,61812,62139,62466,62793,63120,63447,63774,64101,64428,64755,65082,65409,65736,66063,66390,66717,67044,67371,67698,68025,68352,68679,69006,69333,69660,69987,70314,70641,70968,71295,71622,71949,72276,72603,72930,73257,73584,73911,74238,74565,74892,75219,75546,75873,76200,76527,76854,77181,77508,77835,78162,78489,78816,79143,79470,79797,80124,80451,80778,81105,81432,81759,82086,82413,82740,83067,83394,83721,84048,84375,84702,85029,85356,85683,86010,86337,86664,86991,87318,87645,87972,88299,88626,88953,89280,89607,89934,90261,90588,90915,91242,91569,91896,92223,92550,92877,93204,93531,93858,94185,94512,94839,95166,95493,95820,96147,96474,96801,97128,97455,97782,98109,98436,98763,99090,99417,99744,100071,100398,100725,101052,101379,101706,102033,102360,102687,103014,103341,103668,103986,103995,104322,104649,104976,105303,105630,105957,106284,106611
10,337,664,991,1318,1645,1972,2299,2626,2953,3280,3607,3934,4261,4588,4915,5242,5569,5896,6223,6550,6877,7204,7531,7858,8185,8512,8839,9166,9493,9820,10147,10474,10801,11128,11455,11782,12109,12436,12763,13090,13417,13744,14071,14398,14725,15052,15379,15706,16033,16360,16687,17014,17341,17668,17995,18322,18649,18976,19303,19630,19957,20284,20611,20938,21265,21592,21919,22246,22573,22900,23227,23554,23881,24208,24535,24862,25189,25516,25843,26170,26497,26824,27151,27478,27805,28132,28459,28786,29113,29440,29767,30094,30421,30748,31075,31402,31729,32056,32383,32710,33037,33364,33691,34018,34345,34672,34999,35326,35653,35980,36307,36634,36961,37288,37615,37942,38269,38596,38923,39250,39577,39904,40231,40558,40885,41212,41539,41866,42193,42520,42847,43174,43501,43828,44155,44482,44809,45136,45463,45790,46117,46444,46771,47098,47425,47752,48079,48406,48733,49060,49387,49714,50041,50368,50695,51022,51349,51676,52003,52330,52657,52984,53311,53638,53965,54292,54619,54946,55273,55600,55927,56254,56581,56908,57235,57562,57889,58216,58543,58870,59197,59524,59851,60178,60505,60832,61159,61486,61813,62140,62467,62794,63121,63448,63775,64102,64429,64756,65083,65410,65737,66064,66391,66718,67045,67372,67699,68026,68353,68680,69007,69334,69661,69988,70315,70642,70969,71296,71623,71950,72277,72604,72931,73258,73585,73912,74239,74566,74893,75220,75547,75874,76201,76528,76855,77182,77509,77836,78163,78490,78817,79144,79471,79798,80125,80452,80779,81106,81433,81760,82087,82414,82741,83068,83395,83722,84049,84376,84703,85030,85357,85684,86011,86338,86665,86992,87319,87646,87973,88300,88627,88954,89281,89608,89935,90262,90589,90916,91243,91570,91897,92224,92551,92878,93205,93532,93859,94186,94513,94840,95167,95494,95821,96148,96475,96802,97129,97456,97783,98110,98437,98764,99091,99418,99745,100072,100399,100726,101053,101380,101707,102034,102361,102688,103015,103342,103659,103669,103996,104323,104650,104977,105304,105631,105958,106285,106612
11,338,665,992,1319,1646,1973,2300,2627,2954,3281,3608,3935,4262,4589,4916,5243,5570,5897,6224,6551,6878,7205,7532,7859,8186,8513,8840,9167,9494,9821,10148,10475,10802,11129,11456,11783,12110,12437,12764,13091,13418,13745,14072,14399,14726,15053,15380,15707,16034,16361,16688,17015,17342,17669,17996,18323,18650,18977,19304,19631,19958,20285,20612,20939,21266,21593,21920,22247,22574,22901,23228,23555,23882,24209,24536,24863,25190,25517,25844,26171,26498,26825,27152,27479,27806,28133,28460,28787,29114,29441,29768,30095,30422,30749,31076,31403,31730,32057,32384,32711,33038,33365,33692,34019,34346,34673,35000,35327,35654,35981,36308,36635,36962,37289,37616,37943,38270,38597,38924,39251,39578,39905,40232,40559,40886,41213,41540,41867,42194,42521,42848,43175,43502,43829,44156,44483,44810,45137,45464,45791,46118,46445,46772,47099,47426,47753,48080,48407,48734,49061,49388,49715,50042,50369,50696,51023,51350,51677,52004,52331,52658,52985,53312,53639,53966,54293,54620,54947,55274,55601,55928,56255,56582,56909,57236,57563,57890,58217,58544,58871,59198,59525,59852,60179,60506,60833,61160,61487,61814,62141,62468,62795,63122,63449,63776,64103,64430,64757,65084,65411,65738,66065,66392,66719,67046,67373,67700,68027,68354,68681,69008,69335,69662,69989,70316,70643,70970,71297,71624,71951,72278,72605,72932,73259,73586,73913,74240,74567,74894,75221,75548,75875,76202,76529,76856,77183,77510,77837,78164,78491,78818,79145,79472,79799,80126,80453,80780,81107,81434,81761,82088,82415,82742,83069,83396,83723,84050,84377,84704,85031,85358,85685,86012,86339,86666,86993,87320,87647,87974,88301,88628,88955,89282,89609,89936,90263,90590,90917,91244,91571,91898,92225,92552,92879,93206,93533,93860,94187,94514,94841,95168,95495,95822,96149,96476,96803,97130,97457,97784,98111,98438,98765,99092,99419,99746,100073,100400,100727,101054,101381,101708,102035,102362,102689,103016,103332,103343,103670,103997,104324,104651,104978,105305,105632,105959,106286,106613
