1,334,667,1000,1333,1666,1999,2332,2665,2998,3331,3664,3997,4330,4663,4996,5329,5662,5995,6328,6661,6994,7327,7660,7993,8326,8659,8992,9325,9658,9991,10324,10657,10990,11323,11656,11989,12322,12655,12988,13321,13654,13987,14320,14653,14986,15319,15652,15985,16318,16651,16984,17317,17650,17983,18316,18649,18982,19315,19648,19981,20314,20647,20980,21313,21646,21979,22312,22645,22978,23311,23644,23977,24310,24643,24976,25309,25642,25975,26308,26641,26974,27307,27640,27973,28306,28639,28972,29305,29638,29971,30304,30637,30970,31303,31636,31969,32302,32635,32968,33301,33634,33967,34300,34633,34966,35299,35632,35965,36298,36631,36964,37297,37630,37963,38296,38629,38962,39295,39628,39961,40294,40627,40960,41293,41626,41959,42292,42625,42958,43291,43624,43957,44290,44623,44956,45289,45622,45955,46288,46621,46954,47287,47620,47953,48286,48619,48952,49285,49618,49951,50284,50617,50950,51283,51616,51949,52282,52615,52948,53281,53614,53947,54280,54613,54946,55279,55612,55945,56278,56611,56944,57277,57610,57943,58276,58609,58942,59275,59608,59941,60274,60607,60940,61273,61606,61939,62272,62605,62938,63271,63604,63937,64270,64603,64936,65269,65602,65935,66268,66601,66934,67267,67600,67933,68266,68599,68932,69265,69598,69931,70264,70597,70930,71263,71596,71929,72262,72595,72928,73261,73594,73927,74260,74593,74926,75259,75592,75925,76258,76591,76924,77257,77590,77923,78256,78589,78922,79255,79588,79921,80254,80587,80920,81253,81586,81919,82252,82585,82918,83251,83584,83917,84250,84583,84916,85249,85582,85915,86248,86581,86914,87247,87580,87913,88246,88579,88912,89245,89578,89911,90244,90577,90910,91243,91576,91909,92242,92575,92908,93241,93574,93907,94240,94573,94906,95239,95572,95905,96238,96571,96904,97237,97570,97903,98236,98569,98902,99235,99568,99901,100234,100567,100900,101233,101566,101899,102232,102565,102898,103231,103564,103897,104230,104563,104896,105229,105562,105895,106228,106561,106894,107227,107560,107893,108226,108559,108892,109225,109558,109891,110224,110556,110557
2,335,668,1001,1334,1667,2000,2333,2666,2999,3332,3665,3998,4331,4664,4997,5330,5663,5996,6329,6662,6995,7328,7661,7994,8327,8660,8993,9326,9659,9992,10325,10658,10991,11324,11657,11990,12323,12656,12989,13322,13655,13988,14321,14654,14987,15320,15653,15986,16319,16652,16985,17318,17651,17984,18317,18650,18983,19316,19649,19982,20315,20648,20981,21314,21647,21980,22313,22646,22979,23312,23645,23978,24311,24644,24977,25310,25643,25976,26309,26642,26975,27308,27641,27974,28307,28640,28973,29306,29639,29972,30305,30638,30971,31304,31637,31970,32303,32636,32969,33302,33635,33968,34301,34634,34967,35300,35633,35966,36299,36632,36965,37298,37631,37964,38297,38630,38963,39296,39629,39962,40295,40628,40961,41294,41627,41960,42293,42626,42959,43292,43625,43958,44291,44624,44957,45290,45623,45956,46289,46622,46955,47288,47621,47954,48287,48620,48953,49286,49619,49952,50285,50618,50951,51284,51617,51950,52283,52616,52949,53282,53615,53948,54281,54614,54947,55280,55613,55946,56279,56612,56945,57278,57611,57944,58277,58610,58943,59276,59609,59942,60275,60608,60941,61274,61607,61940,62273,62606,62939,63272,63605,63938,64271,64604,64937,65270,65603,65936,66269,66602,66935,67268,67601,67934,68267,68600,68933,69266,69599,69932,70265,70598,70931,71264,71597,71930,72263,72596,72929,73262,73595,73928,74261,74594,74927,75260,75593,75926,76259,76592,76925,77258,77591,77924,78257,78590,78923,79256,79589,79922,80255,80588,80921,81254,81587,81920,82253,82586,82919,83252,83585,83918,84251,84584,84917,85250,85583,85916,86249,86582,86915,87248,87581,87914,88247,88580,88913,89246,89579,89912,90245,90578,90911,91244,91577,91910,92243,92576,92909,93242,93575,93908,94241,94574,94907,95240,95573,95906,96239,96572,96905,97238,97571,97904,98237,98570,98903,99236,99569,99902,100235,100568,100901,101234,101567,101900,102233,102566,102899,103232,103565,103898,104231,104564,104897,105230,105563,105896,106229,106562,106895,107228,107561,107894,108227,108560,108893,109226,109559,109892,110223,110225,110558
3,336,669,1002,1335,1668,2001,2334,2667,3000,3333,3666,3999,4332,4665,4998,5331,5664,5997,6330,6663,6996,7329,7662,7995,8328,8661,8994,9327,9660,9993,10326,10659,10992,11325,11658,11991,12324,12657,12990,13323,13656,13989,14322,14655,14988,15321,15654,15987,16320,16653,16986,17319,17652,17985,18318,18651,18984,19317,19650,19983,20316,20649,20982,21315,21648,21981,22314,22647,22980,23313,23646,23979,24312,24645,24978,25311,25644,25977,26310,26643,26976,27309,27642,27975,28308,28641,28974,29307,29640,29973,30306,30639,30972,31305,31638,31971,32304,32637,32970,33303,33636,33969,34302,34635,34968,35301,35634,35967,36300,36633,36966,37299,37632,37965,38298,38631,38964,39297,39630,39963,40296,40629,40962,41295,41628,41961,42294,42627,42960,43293,43626,43959,44292,44625,44958,45291,45624,45957,46290,46623,46956,47289,47622,47955,48288,48621,48954,49287,49620,49953,50286,50619,50952,51285,51618,51951,52284,52617,52950,53283,53616,53949,54282,54615,54948,55281,55614,55947,56280,56613,56946,57279,57612,57945,58278,58611,58944,59277,59610,59943,60276,60609,60942,61275,61608,61941,62274,62607,62940,63273,63606,63939,64272,64605,64938,65271,65604,65937,66270,66603,66936,67269,67602,67935,68268,68601,68934,69267,69600,69933,70266,70599,70932,71265,71598,71931,72264,72597,72930,73263,73596,73929,74262,74595,74928,75261,75594,75927,76260,76593,76926,77259,77592,77925,78258,78591,78924,79257,79590,79923,80256,80589,80922,81255,81588,81921,82254,82587,82920,83253,83586,83919,84252,84585,84918,85251,85584,85917,86250,86583,86916,87249,87582,87915,88248,88581,88914,89247,89580,89913,90246,90579,90912,91245,91578,91911,92244,92577,92910,93243,93576,93909,94242,94575,94908,95241,95574,95907,96240,96573,96906,97239,97572,97905,98238,98571,98904,99237,99570,99903,100236,100569,100902,101235,101568,101901,102234,102567,102900,103233,103566,103899,104232,104565,104898,105231,105564,105897,106230,106563,106896,107229,107562,107895,108228,108561,108894,109227,109560,109890,109893,110226,110559
4,337,670,1003,1336,1669,2002,2335,2668,3001,3334,3667,4000,4333,4666,4999,5332,5665,5998,6331,6664,6997,7330,7663,7996,8329,8662,8995,9328,9661,9994,10327,10660,10993,11326,11659,11992,12325,12658,12991,13324,13657,13990,14323,14656,14989,15322,15655,15988,16321,16654,16987,17320,17653,17986,18319,18652,18985,19318,19651,19984,20317,20650,20983,21316,21649,21982,22315,22648,22981,23314,23647,23980,24313,24646,24979,25312,25645,25978,26311,26644,26977,27310,27643,27976,28309,28642,28975,29308,29641,29974,30307,30640,30973,31306,31639,31972,32305,32638,32971,33304,33637,33970,34303,34636,34969,35302,35635,35968,36301,36634,36967,37300,37633,37966,38299,38632,38965,39298,39631,39964,40297,40630,40963,41296,41629,41962,42295,42628,42961,43294,43627,43960,44293,44626,44959,45292,45625,45958,46291,46624,46957,47290,47623,47956,48289,48622,48955,49288,49621,49954,50287,50620,50953,51286,51619,51952,52285,52618,52951,53284,53617,53950,54283,54616,54949,55282,55615,55948,56281,56614,56947,57280,57613,57946,58279,58612,58945,59278,59611,59944,60277,60610,60943,61276,61609,61942,62275,62608,62941,63274,63607,63940,64273,64606,64939,65272,65605,65938,66271,66604,66937,67270,67603,67936,68269,68602,68935,69268,69601,69934,70267,70600,70933,71266,71599,71932,72265,72598,72931,73264,73597,73930,74263,74596,74929,75262,75595,75928,76261,76594,76927,77260,77593,77926,78259,78592,78925,79258,79591,79924,80257,80590,80923,81256,81589,81922,82255,82588,82921,83254,83587,83920,84253,84586,84919,85252,85585,85918,86251,86584,86917,87250,87583,87916,88249,88582,88915,89248,89581,89914,90247,90580,90913,91246,91579,91912,92245,92578,92911,93244,93577,93910,94243,94576,94909,95242,95575,95908,96241,96574,96907,97240,97573,97906,98239,98572,98905,99238,99571,99904,100237,100570,100903,101236,101569,101902,102235,102568,102901,103234,103567,103900,104233,104566,104899,105232,105565,105898,106231,106564,106897,107230,107563,107896,108229,108562,108895,109228,109557,109561,109894,110227,110560
5,338,671,1004,1337,1670,2003,2336,2669,3002,3335,3668,4001,4334,4667,5000,5333,5666,5999,6332,6665,6998,7331,7664,7997,8330,8663,8996,9329,9662,9995,10328,10661,10994,11327,11660,11993,12326,12659,12992,13325,13658,13991,14324,14657,14990,15323,15656,15989,16322,16655,16988,17321,17654,17987,18320,18653,18986,19319,19652,19985,20318,20651,20984,21317,21650,21983,22316,22649,22982,23315,23648,23981,24314,24647,24980,25313,25646,25979,26312,26645,26978,27311,27644,27977,28310,28643,28976,29309,29642,29975,30308,30641,30974,31307,31640,31973,32306,32639,32972,33305,33638,33971,34304,34637,34970,35303,35636,35969,36302,36635,36968,37301,37634,37967,38300,38633,38966,39299,39632,39965,40298,40631,40964,41297,41630,41963,42296,42629,42962,43295,43628,43961,44294,44627,44960,45293,45626,45959,46292,46625,46958,47291,47624,47957,48290,48623,48956,49289,49622,49955,50288,50621,50954,51287,51620,51953,52286,52619,52952,53285,53618,53951,54284,54617,54950,55283,55616,55949,56282,56615,56948,57281,57614,57947,58280,58613,58946,59279,59612,59945,60278,60611,60944,61277,61610,61943,62276,62609,62942,63275,63608,63941,64274,64607,64940,65273,65606,65939,66272,66605,66938,67271,67604,67937,68270,68603,68936,69269,69602,69935,70268,70601,70934,71267,71600,71933,72266,72599,72932,73265,73598,73931,74264,74597,74930,75263,75596,75929,76262,76595,76928,77261,77594,77927,78260,78593,78926,79259,79592,79925,80258,80591,80924,81257,81590,81923,82256,82589,82922,83255,83588,83921,84254,84587,84920,85253,85586,85919,86252,86585,86918,87251,87584,87917,88250,88583,88916,89249,89582,89915,90248,90581,90914,91247,91580,91913,92246,92579,92912,93245,93578,93911,94244,94577,94910,95243,95576,95909,96242,96575,96908,97241,97574,97907,98240,98573,98906,99239,99572,99905,100238,100571,100904,101237,101570,101903,102236,102569,102902,103235,103568,103901,104234,104567,104900,105233,105566,105899,106232,106565,106898,107231,107564,107897,108230,108563,108896,109224,109229,109562,109895,110228,110561
6,339,672,1005,1338,1671,2004,2337,2670,3003,3336,3669,4002,4335,4668,5001,5334,5667,6000,6333,6666,6999,7332,7665,7998,8331,8664,8997,9330,9663,9996,10329,10662,10995,11328,11661,11994,12327,12660,12993,13326,13659,13992,14325,14658,14991,15324,15657,15990,16323,16656,16989,17322,17655,17988,18321,18654,18987,19320,19653,19986,20319,20652,20985,21318,21651,21984,22317,22650,22983,23316,23649,23982,24315,24648,24981,25314,25647,25980,26313,26646,26979,27312,27645,27978,28311,28644,28977,29310,29643,29976,30309,30642,30975,31308,31641,31974,32307,32640,32973,33306,33639,33972,34305,34638,34971,35304,35637,35970,36303,36636,36969,37302,37635,37968,38301,38634,38967,39300,39633,39966,40299,40632,40965,41298,41631,41964,42297,42630,42963,43296,43629,43962,44295,44628,44961,45294,45627,45960,46293,46626,46959,47292,47625,47958,48291,48624,48957,49290,49623,49956,50289,50622,50955,51288,51621,51954,52287,52620,52953,53286,53619,53952,54285,54618,54951,55284,55617,55950,56283,56616,56949,57282,57615,57948,58281,58614,58947,59280,59613,59946,60279,60612,60945,61278,61611,61944,62277,62610,62943,63276,63609,63942,64275,64608,64941,65274,65607,65940,66273,66606,66939,67272,67605,67938,68271,68604,68937,69270,69603,69936,70269,70602,70935,71268,71601,71934,72267,72600,72933,73266,73599,73932,74265,74598,74931,75264,75597,75930,76263,76596,76929,77262,77595,77928,78261,78594,78927,79260,79593,79926,80259,80592,80925,81258,81591,81924,82257,82590,82923,83256,83589,83922,84255,84588,84921,85254,85587,85920,86253,86586,86919,87252,87585,87918,88251,88584,88917,89250,89583,89916,90249,90582,90915,91248,91581,91914,92247,92580,92913,93246,93579,93912,94245,94578,94911,95244,95577,95910,96243,96576,96909,97242,97575,97908,98241,98574,98907,99240,99573,99906,100239,100572,100905,101238,101571,101904,102237,102570,102903,103236,103569,103902,104235,104568,104901,105234,105567,105900,106233,106566,106899,107232,107565,107898,108231,108564,108891,108897,109230,109563,109896,110229,110562
7,340,673,1006,1339,1672,2005,2338,2671,3004,3337,3670,4003,4336,4669,5002,5335,5668,6001,6334,6667,7000,7333,7666,7999,8332,8665,8998,9331,9664,9997,10330,10663,10996,11329,11662,11995,12328,12661,12994,13327,13660,13993,14326,14659,14992,15325,15658,15991,16324,16657,16990,17323,17656,17989,18322,18655,18988,19321,19654,19987,20320,20653,20986,21319,21652,21985,22318,22651,22984,23317,23650,23983,24316,24649,24982,25315,25648,25981,26314,26647,26980,27313,27646,27979,28312,28645,28978,29311,29644,29977,30310,30643,30976,31309,31642,31975,32308,32641,32974,33307,33640,33973,34306,34639,34972,35305,35638,35971,36304,36637,36970,37303,37636,37969,38302,38635,38968,39301,39634,39967,40300,40633,40966,41299,41632,41965,42298,42631,42964,43297,43630,43963,44296,44629,44962,45295,45628,45961,46294,46627,46960,47293,47626,47959,48292,48625,48958,49291,49624,49957,50290,50623,50956,51289,51622,51955,52288,52621,52954,53287,53620,53953,54286,54619,54952,55285,55618,55951,56284,56617,56950,57283,57616,57949,58282,58615,58948,59281,59614,59947,60280,60613,60946,61279,61612,61945,62278,62611,62944,63277,63610,63943,64276,64609,64942,65275,65608,65941,66274,66607,66940,67273,67606,67939,68272,68605,68938,69271,69604,69937,70270,70603,70936,71269,71602,71935,72268,72601,72934,73267,73600,73933,74266,74599,74932,75265,75598,75931,76264,76597,76930,77263,77596,77929,78262,78595,78928,79261,79594,79927,80260,80593,80926,81259,81592,81925,82258,82591,82924,83257,83590,83923,84256,84589,84922,85255,85588,85921,86254,86587,86920,87253,87586,87919,88252,88585,88918,89251,89584,89917,90250,90583,90916,91249,91582,91915,92248,92581,92914,93247,93580,93913,94246,94579,94912,95245,95578,95911,96244,96577,96910,97243,97576,97909,98242,98575,98908,99241,99574,99907,100240,100573,100906,101239,101572,101905,102238,102571,102904,103237,103570,103903,104236,104569,104902,105235,105568,105901,106234,106567,106900,107233,107566,107899,108232,108558,108565,108898,109231,109564,109897,110230,110563
8,341,674,1007,1340,1673,2006,2339,2672,3005,3338,3671,4004,4337,4670,5003,5336,5669,6002,6335,6668,7001,7334,7667,8000,8333,8666,8999,9332,9665,9998,10331,10664,10997,11330,11663,11996,12329,12662,12995,13328,13661,13994,14327,14660,14993,15326,15659,15992,16325,16658,16991,17324,17657,17990,18323,18656,18989,19322,19655,19988,20321,20654,20987,21320,21653,21986,22319,22652,22985,23318,23651,23984,24317,24650,24983,25316,25649,25982,26315,26648,26981,27314,27647,27980,28313,28646,28979,29312,29645,29978,30311,30644,30977,31310,31643,31976,32309,32642,32975,33308,33641,33974,34307,34640,34973,35306,35639,35972,36305,36638,36971,37304,37637,37970,38303,38636,38969,39302,39635,39968,40301,40634,40967,41300,41633,41966,42299,42632,42965,43298,43631,43964,44297,44630,44963,45296,45629,45962,46295,46628,46961,47294,47627,47960,48293,48626,48959,49292,49625,49958,50291,50624,50957,51290,51623,51956,52289,52622,52955,53288,53621,53954,54287,54620,54953,55286,55619,55952,56285,56618,56951,57284,57617,57950,58283,58616,58949,59282,59615,59948,60281,60614,60947,61280,61613,61946,62279,62612,62945,63278,63611,63944,64277,64610,64943,65276,65609,65942,66275,66608,66941,67274,67607,67940,68273,68606,68939,69272,69605,69938,70271,70604,70937,71270,71603,71936,72269,72602,72935,73268,73601,73934,74267,74600,74933,75266,75599,75932,76265,76598,76931,77264,77597,77930,78263,78596,78929,79262,79595,79928,80261,80594,80927,81260,81593,81926,82259,82592,82925,83258,83591,83924,84257,84590,84923,85256,85589,85922,86255,86588,86921,87254,87587,87920,88253,88586,88919,89252,89585,89918,90251,90584,90917,91250,91583,91916,92249,92582,92915,93248,93581,93914,94247,94580,94913,95246,95579,95912,96245,96578,96911,97244,97577,97910,98243,98576,98909,99242,99575,99908,100241,100574,100907,101240,101573,101906,102239,102572,102905,103238,103571,103904,104237,104570,104903,105236,105569,105902,106235,106568,106901,107234,107567,107900,108225,108233,108566,108899,109232,109565,109898,110231,110564
9,342,675,1008,1341,1674,2007,2340,2673,3006,3339,3672,4005,4338,4671,5004,5337,5670,6003,6336,6669,7002,7335,7668,8001,8334,8667,9000,9333,9666,9999,10332,10665,10998,11331,11664,11997,12330,12663,12996,13329,13662,13995,14328,14661,14994,15327,15660,15993,16326,16659,16992,17325,17658,17991,18324,18657,18990,19323,19656,19989,20322,20655,20988,21321,21654,21987,22320,22653,22986,23319,23652,23985,24318,24651,24984,25317,25650,25983,26316,26649,26982,27315,27648,27981,28314,28647,28980,29313,29646,29979,30312,30645,30978,31311,31644,31977,32310,32643,32976,33309,33642,33975,34308,34641,34974,35307,35640,35973,36306,36639,36972,37305,37638,37971,38304,38637,38970,39303,39636,39969,40302,40635,40968,41301,41634,41967,42300,42633,42966,43299,43632,43965,44298,44631,44964,45297,45630,45963,46296,46629,46962,47295,47628,47961,48294,48627,48960,49293,49626,49959,50292,50625,50958,51291,51624,51957,52290,52623,52956,53289,53622,53955,54288,54621,54954,55287,55620,55953,56286,56619,56952,57285,57618,57951,58284,58617,58950,59283,59616,59949,60282,60615,60948,61281,61614,61947,62280,62613,62946,63279,63612,63945,64278,64611,64944,65277,65610,65943,66276,66609,66942,67275,67608,67941,68274,68607,68940,69273,69606,69939,70272,70605,70938,71271,71604,71937,72270,72603,72936,73269,73602,73935,74268,74601,74934,75267,75600,75933,76266,76599,76932,77265,77598,77931,78264,78597,78930,79263,79596,79929,80262,80595,80928,81261,81594,81927,82260,82593,82926,83259,83592,83925,84258,84591,84924,85257,85590,85923,86256,86589,86922,87255,87588,87921,88254,88587,88920,89253,89586,89919,90252,90585,90918,91251,91584,91917,92250,92583,92916,93249,93582,93915,94248,94581,94914,95247,95580,95913,96246,96579,96912,97245,97578,97911,98244,98577,98910,99243,99576,99909,100242,100575,100908,101241,101574,101907,102240,102573,102906,103239,103572,103905,104238,104571,104904,105237,105570,105903,106236,106569,106902,107235,107568,107892,107901,108234,108567,108900,109233,109566,109899,110232,110565
10,343,676,1009,1342,1675,2008,2341,2674,3007,3340,3673,4006,4339,4672,5005,5338,5671,6004,6337,6670,7003,7336,7669,8002,8335,8668,9001,9334,9667,10000,10333,10666,10999,11332,11665,11998,12331,12664,12997,13330,13663,13996,14329,14662,14995,15328,15661,15994,16327,16660,16993,17326,17659,17992,18325,18658,18991,19324,19657,19990,20323,20656,20989,21322,21655,21988,22321,22654,22987,23320,23653,23986,24319,24652,24985,25318,25651,25984,26317,26650,26983,27316,27649,27982,28315,28648,28981,29314,29647,29980,30313,30646,30979,31312,31645,31978,32311,32644,32977,33310,33643,33976,34309,34642,34975,35308,35641,35974,36307,36640,36973,37306,37639,37972,38305,38638,38971,39304,39637,39970,40303,40636,40969,41302,41635,41968,42301,42634,42967,43300,43633,43966,44299,44632,44965,45298,45631,45964,46297,46630,46963,47296,47629,47962,48295,48628,48961,49294,49627,49960,50293,50626,50959,51292,51625,51958,52291,52624,52957,53290,53623,53956,54289,54622,54955,55288,55621,55954,56287,56620,56953,57286,57619,57952,58285,58618,58951,59284,59617,59950,60283,60616,60949,61282,61615,61948,62281,62614,62947,63280,63613,63946,64279,64612,64945,65278,65611,65944,66277,66610,66943,67276,67609,67942,68275,68608,68941,69274,69607,69940,70273,70606,70939,71272,71605,71938,72271,72604,72937,73270,73603,73936,74269,74602,74935,75268,75601,75934,76267,76600,76933,77266,77599,77932,78265,78598,78931,79264,79597,79930,80263,80596,80929,81262,81595,81928,82261,82594,82927,83260,83593,83926,84259,84592,84925,85258,85591,85924,86257,86590,86923,87256,87589,87922,88255,88588,88921,89254,89587,89920,90253,90586,90919,91252,91585,91918,92251,92584,92917,93250,93583,93916,94249,94582,94915,95248,95581,95914,96247,96580,96913,97246,97579,97912,98245,98578,98911,99244,99577,99910,100243,100576,100909,101242,101575,101908,102241,102574,102907,103240,103573,103906,104239,104572,104905,105238,105571,105904,106237,106570,106903,107236,107559,107569,107902,108235,108568,108901,109234,109567,109900,110233,110566
11,344,677,1010,1343,1676,2009,2342,2675,3008,3341,3674,4007,4340,4673,5006,5339,5672,6005,6338,6671,7004,7337,7670,8003,8336,8669,9002,9335,9668,10001,10334,10667,11000,11333,11666,11999,12332,12665,12998,13331,13664,13997,14330,14663,14996,15329,15662,15995,16328,16661,16994,17327,17660,17993,18326,18659,18992,19325,19658,19991,20324,20657,20990,21323,21656,21989,22322,22655,22988,23321,23654,23987,24320,24653,24986,25319,25652,25985,26318,26651,26984,27317,27650,27983,28316,28649,28982,29315,29648,29981,30314,30647,30980,31313,31646,31979,32312,32645,32978,33311,33644,33977,34310,34643,34976,35309,35642,35975,36308,36641,36974,37307,37640,37973,38306,38639,38972,39305,39638,39971,40304,40637,40970,41303,41636,41969,42302,42635,42968,43301,43634,43967,44300,44633,44966,45299,45632,45965,46298,46631,46964,47297,47630,47963,48296,48629,48962,49295,49628,49961,50294,50627,50960,51293,51626,51959,52292,52625,52958,53291,53624,53957,54290,54623,54956,55289,55622,55955,56288,56621,56954,57287,57620,57953,58286,58619,58952,59285,59618,59951,60284,60617,60950,61283,61616,61949,62282,62615,62948,63281,63614,63947,64280,64613,64946,65279,65612,65945,66278,66611,66944,67277,67610,67943,68276,68609,68942,69275,69608,69941,70274,70607,70940,71273,71606,71939,72272,72605,72938,73271,73604,73937,74270,74603,74936,75269,75602,75935,76268,76601,76934,77267,77600,77933,78266,78599,78932,79265,79598,79931,80264,80597,80930,81263,81596,81929,82262,82595,82928,83261,83594,83927,84260,84593,84926,85259,85592,85925,86258,86591,86924,87257,87590,87923,88256,88589,88922,89255,89588,89921,90254,90587,90920,91253,91586,91919,92252,92585,92918,93251,93584,93917,94250,94583,94916,95249,95582,95915,96248,96581,96914,97247,97580,97913,98246,98579,98912,99245,99578,99911,100244,100577,100910,101243,101576,101909,102242,102575,102908,103241,103574,103907,104240,104573,104906,105239,105572,105905,106238,106571,106904,107226,107237,107570,107903,108236,108569,108902,109235,109568,109901,110234,110567
