1,378,755,1132,1509,1886,2263,2640,3017,3394,3771,4148,4525,4902,5279,5656,6033,6410,6787,7164,7541,7918,8295,8672,9049,9426,9803,10180,10557,10934,11311,11688,12065,12442,12819,13196,13573,13950,14327,14704,15081,15458,15835,16212,16589,16966,17343,17720,18097,18474,18851,19228,19605,19982,20359,20736,21113,21490,21867,22244,22621,22998,23375,23752,24129,24506,24883,25260,25637,26014,26391,26768,27145,27522,27899,28276,28653,29030,29407,29784,30161,30538,30915,31292,31669,32046,32423,32800,33177,33554,33931,34308,34685,35062,35439,35816,36193,36570,36947,37324,37701,38078,38455,38832,39209,39586,39963,40340,40717,41094,41471,41848,42225,42602,42979,43356,43733,44110,44487,44864,45241,45618,45995,46372,46749,47126,47503,47880,48257,48634,49011,49388,49765,50142,50519,50896,51273,51650,52027,52404,52781,53158,53535,53912,54289,54666,55043,55420,55797,56174,56551,56928,57305,57682,58059,58436,58813,59190,59567,59944,60321,60698,61075,61452,61829,62206,62583,62960,63337,63714,64091,64468,64845,65222,65599,65976,66353,66730,67107,67484,67861,68238,68615,68992,69369,69746,70123,70500,70877,71254,71631,72008,72385,72762,73139,73516,73893,74270,74647,75024,75401,75778,76155,76532,76909,77286,77663,78040,78417,78794,79171,79548,79925,80302,80679,81056,81433,81810,82187,82564,82941,83318,83695,84072,84449,84826,85203,85580,85957,86334,86711,87088,87465,87842,88219,88596,88973,89350,89727,90104,90481,90858,91235,91612,91989,92366,92743,93120,93497,93874,94251,94628,95005,95382,95759,96136,96513,96890,97267,97644,98021,98398,98775,99152,99529,99906,100283,100660,101037,101414,101791,102168,102545,102922,103299,103676,104053,104430,104807,105184,105561,105938,106315,106692,107069,107446,107823,108200,108577,108954,109331,109708,110085,110462,110839,111216,111593,111970,112347,112724,113101,113478,113855,114232,114609,114986,115363,115740,116117,116494,116871,117248,117625,118002,118379,118756,119133,119510,119887,120264,120641,121018,121395,121772,122149,122526,122903,123280,123657,124034,124411,124788,125165,125542,125919,126296,126673,127050,127427,127804,128181,128558,128935,129312,129689,130066,130443,130820,131197,131574,131951,132328,132705,133082,133459,133836,134213,134590,134967,135344,135721,136098,136475,136852,137229,137606,137983,138360,138737,139114,139491,139868,140245,140622,140999,141376,141752,141753
2,379,756,1133,1510,1887,2264,2641,3018,3395,3772,4149,4526,4903,5280,5657,6034,6411,6788,7165,7542,7919,8296,8673,9050,9427,9804,10181,10558,10935,11312,11689,12066,12443,12820,13197,13574,13951,14328,14705,15082,15459,15836,16213,16590,16967,17344,17721,18098,18475,18852,19229,19606,19983,20360,20737,21114,21491,21868,22245,22622,22999,23376,23753,24130,24507,24884,25261,25638,26015,26392,26769,27146,27523,27900,28277,28654,29031,29408,29785,30162,30539,30916,31293,31670,32047,32424,32801,33178,33555,33932,34309,34686,35063,35440,35817,36194,36571,36948,37325,37702,38079,38456,38833,39210,39587,39964,40341,40718,41095,41472,41849,42226,42603,42980,43357,43734,44111,44488,44865,45242,45619,45996,46373,46750,47127,47504,47881,48258,48635,49012,49389,49766,50143,50520,50897,51274,51651,52028,52405,52782,53159,53536,53913,54290,54667,55044,55421,55798,56175,56552,56929,57306,57683,58060,58437,58814,59191,59568,59945,60322,60699,61076,61453,61830,62207,62584,62961,63338,63715,64092,64469,64846,65223,65600,65977,66354,66731,67108,67485,67862,68239,68616,68993,69370,69747,70124,70501,70878,71255,71632,72009,72386,72763,73140,73517,73894,74271,74648,75025,75402,75779,76156,76533,76910,77287,77664,78041,78418,78795,79172,79549,79926,80303,80680,81057,81434,81811,82188,82565,82942,83319,83696,84073,84450,84827,85204,85581,85958,86335,86712,87089,87466,87843,88220,88597,88974,89351,89728,90105,90482,90859,91236,91613,91990,92367,92744,93121,93498,93875,94252,94629,95006,95383,95760,96137,96514,96891,97268,97645,98022,98399,98776,99153,99530,99907,100284,100661,101038,101415,101792,102169,102546,102923,103300,103677,104054,104431,104808,105185,105562,105939,106316,106693,107070,107447,107824,108201,108578,108955,109332,109709,110086,110463,110840,111217,111594,111971,112348,112725,113102,113479,113856,114233,114610,114987,115364,115741,116118,116495,116872,117249,117626,118003,118380,118757,119134,119511,119888,120265,120642,121019,121396,121773,122150,122527,122904,123281,123658,124035,124412,124789,125166,125543,125920,126297,126674,127051,127428,127805,128182,128559,128936,129313,129690,130067,130444,130821,131198,131575,131952,132329,132706,133083,133460,133837,134214,134591,134968,135345,135722,136099,136476,136853,137230,137607,137984,138361,138738,139115,139492,139869,140246,140623,141000,141375,141377,141754
3,380,757,1134,1511,1888,2265,2642,3019,3396,3773,4150,4527,4904,5281,5658,6035,6412,6789,7166,7543,7920,8297,8674,9051,9428,9805,10182,10559,10936,11313,11690,12067,12444,12821,13198,13575,13952,14329,14706,15083,15460,15837,16214,16591,16968,17345,17722,18099,18476,18853,19230,19607,19984,20361,20738,21115,21492,21869,22246,22623,23000,23377,23754,24131,24508,24885,25262,25639,26016,26393,26770,27147,27524,27901,28278,28655,29032,29409,29786,30163,30540,30917,31294,31671,32048,32425,32802,33179,33556,33933,34310,34687,35064,35441,35818,36195,36572,36949,37326,37703,38080,38457,38834,39211,39588,39965,40342,40719,41096,41473,41850,42227,42604,42981,43358,43735,44112,44489,44866,45243,45620,45997,46374,46751,47128,47505,47882,48259,48636,49013,49390,49767,50144,50521,50898,51275,51652,52029,52406,52783,53160,53537,53914,54291,54668,55045,55422,55799,56176,56553,56930,57307,57684,58061,58438,58815,59192,59569,59946,60323,60700,61077,61454,61831,62208,62585,62962,63339,63716,64093,64470,64847,65224,65601,65978,66355,66732,67109,67486,67863,68240,68617,68994,69371,69748,70125,70502,70879,71256,71633,72010,72387,72764,73141,73518,73895,74272,74649,75026,75403,75780,76157,76534,76911,77288,77665,78042,78419,78796,79173,79550,79927,80304,80681,81058,81435,81812,82189,82566,82943,83320,83697,84074,84451,84828,85205,85582,85959,86336,86713,87090,87467,87844,88221,88598,88975,89352,89729,90106,90483,90860,91237,91614,91991,92368,92745,93122,93499,93876,94253,94630,95007,95384,95761,96138,96515,96892,97269,97646,98023,98400,98777,99154,99531,99908,100285,100662,101039,101416,101793,102170,102547,102924,103301,103678,104055,104432,104809,105186,105563,105940,106317,106694,107071,107448,107825,108202,108579,108956,109333,109710,110087,110464,110841,111218,111595,111972,112349,112726,113103,113480,113857,114234,114611,114988,115365,115742,116119,116496,116873,117250,117627,118004,118381,118758,119135,119512,119889,120266,120643,121020,121397,121774,122151,122528,122905,123282,123659,124036,124413,124790,125167,125544,125921,126298,126675,127052,127429,127806,128183,128560,128937,129314,129691,130068,130445,130822,131199,131576,131953,132330,132707,133084,133461,133838,134215,134592,134969,135346,135723,136100,136477,136854,137231,137608,137985,138362,138739,139116,139493,139870,140247,140624,140998,141001,141378,141755
4,381,758,1135,1512,1889,2266,2643,3020,3397,3774,4151,4528,4905,5282,5659,6036,6413,6790,7167,7544,7921,8298,8675,9052,9429,9806,10183,10560,10937,11314,11691,12068,12445,12822,13199,13576,13953,14330,14707,15084,15461,15838,16215,16592,16969,17346,17723,18100,18477,18854,19231,19608,19985,20362,20739,21116,21493,21870,22247,22624,23001,23378,23755,24132,24509,24886,25263,25640,26017,26394,26771,27148,27525,27902,28279,28656,29033,29410,29787,30164,30541,30918,31295,31672,32049,32426,32803,33180,33557,33934,34311,34688,35065,35442,35819,36196,36573,36950,37327,37704,38081,38458,38835,39212,39589,39966,40343,40720,41097,41474,41851,42228,42605,42982,43359,43736,44113,44490,44867,45244,45621,45998,46375,46752,47129,47506,47883,48260,48637,49014,49391,49768,50145,50522,50899,51276,51653,52030,52407,52784,53161,53538,53915,54292,54669,55046,55423,55800,56177,56554,56931,57308,57685,58062,58439,58816,59193,59570,59947,60324,60701,61078,61455,61832,62209,62586,62963,63340,63717,64094,64471,64848,65225,65602,65979,66356,66733,67110,67487,67864,68241,68618,68995,69372,69749,70126,70503,70880,71257,71634,72011,72388,72765,73142,73519,73896,74273,74650,75027,75404,75781,76158,76535,76912,77289,77666,78043,78420,78797,79174,79551,79928,80305,80682,81059,81436,81813,82190,82567,82944,83321,83698,84075,84452,84829,85206,85583,85960,86337,86714,87091,87468,87845,88222,88599,88976,89353,89730,90107,90484,90861,91238,91615,91992,92369,92746,93123,93500,93877,94254,94631,95008,95385,95762,96139,96516,96893,97270,97647,98024,98401,98778,99155,99532,99909,100286,100663,101040,101417,101794,102171,102548,102925,103302,103679,104056,104433,104810,105187,105564,105941,106318,106695,107072,107449,107826,108203,108580,108957,109334,109711,110088,110465,110842,111219,111596,111973,112350,112727,113104,113481,113858,114235,114612,114989,115366,115743,116120,116497,116874,117251,117628,118005,118382,118759,119136,119513,119890,120267,120644,121021,121398,121775,122152,122529,122906,123283,123660,124037,124414,124791,125168,125545,125922,126299,126676,127053,127430,127807,128184,128561,128938,129315,129692,130069,130446,130823,131200,131577,131954,132331,132708,133085,133462,133839,134216,134593,134970,135347,135724,136101,136478,136855,137232,137609,137986,138363,138740,139117,139494,139871,140248,140621,140625,141002,141379,141756
5,382,759,1136,1513,1890,2267,2644,3021,3398,3775,4152,4529,4906,5283,5660,6037,6414,6791,7168,7545,7922,8299,8676,9053,9430,9807,10184,10561,10938,11315,11692,12069,12446,12823,13200,13577,13954,14331,14708,15085,15462,15839,16216,16593,16970,17347,17724,18101,18478,18855,19232,19609,19986,20363,20740,21117,21494,21871,22248,22625,23002,23379,23756,24133,24510,24887,25264,25641,26018,26395,26772,27149,27526,27903,28280,28657,29034,29411,29788,30165,30542,30919,31296,31673,32050,32427,32804,33181,33558,33935,34312,34689,35066,35443,35820,36197,36574,36951,37328,37705,38082,38459,38836,39213,39590,39967,40344,40721,41098,41475,41852,42229,42606,42983,43360,43737,44114,44491,44868,45245,45622,45999,46376,46753,47130,47507,47884,48261,48638,49015,49392,49769,50146,50523,50900,51277,51654,52031,52408,52785,53162,53539,53916,54293,54670,55047,55424,55801,56178,56555,56932,57309,57686,58063,58440,58817,59194,59571,59948,60325,60702,61079,61456,61833,62210,62587,62964,63341,63718,64095,64472,64849,65226,65603,65980,66357,66734,67111,67488,67865,68242,68619,68996,69373,69750,70127,70504,70881,71258,71635,72012,72389,72766,73143,73520,73897,74274,74651,75028,75405,75782,76159,76536,76913,77290,77667,78044,78421,78798,79175,79552,79929,80306,80683,81060,81437,81814,82191,82568,82945,83322,83699,84076,84453,84830,85207,85584,85961,86338,86715,87092,87469,87846,88223,88600,88977,89354,89731,90108,90485,90862,91239,91616,91993,92370,92747,93124,93501,93878,94255,94632,95009,95386,95763,96140,96517,96894,97271,97648,98025,98402,98779,99156,99533,99910,100287,100664,101041,101418,101795,102172,102549,102926,103303,103680,104057,104434,104811,105188,105565,105942,106319,106696,107073,107450,107827,108204,108581,108958,109335,109712,110089,110466,110843,111220,111597,111974,112351,112728,113105,113482,113859,114236,114613,114990,115367,115744,116121,116498,116875,117252,117629,118006,118383,118760,119137,119514,119891,120268,120645,121022,121399,121776,122153,122530,122907,123284,123661,124038,124415,124792,125169,125546,125923,126300,126677,127054,127431,127808,128185,128562,128939,129316,129693,130070,130447,130824,131201,131578,131955,132332,132709,133086,133463,133840,134217,134594,134971,135348,135725,136102,136479,136856,137233,137610,137987,138364,138741,139118,139495,139872,140244,140249,140626,141003,141380,141757
6,383,760,1137,1514,1891,2268,2645,3022,3399,3776,4153,4530,4907,5284,5661,6038,6415,6792,7169,7546,7923,8300,8677,9054,9431,9808,10185,10562,10939,11316,11693,12070,12447,12824,13201,13578,13955,14332,14709,15086,15463,15840,16217,16594,16971,17348,17725,18102,18479,18856,19233,19610,19987,20364,20741,21118,21495,21872,22249,22626,23003,23380,23757,24134,24511,24888,25265,25642,26019,26396,26773,27150,27527,27904,28281,28658,29035,29412,29789,30166,30543,30920,31297,31674,32051,32428,32805,33182,33559,33936,34313,34690,35067,35444,35821,36198,36575,36952,37329,37706,38083,38460,38837,39214,39591,39968,40345,40722,41099,41476,41853,42230,42607,42984,43361,43738,44115,44492,44869,45246,45623,46000,46377,46754,47131,47508,47885,48262,48639,49016,49393,49770,50147,50524,50901,51278,51655,52032,52409,52786,53163,53540,53917,54294,54671,55048,55425,55802,56179,56556,56933,57310,57687,58064,58441,58818,59195,59572,59949,60326,60703,61080,61457,61834,62211,62588,62965,63342,63719,64096,64473,64850,65227,65604,65981,66358,66735,67112,67489,67866,68243,68620,68997,69374,69751,70128,70505,70882,71259,71636,72013,72390,72767,73144,73521,73898,74275,74652,75029,75406,75783,76160,76537,76914,77291,77668,78045,78422,78799,79176,79553,79930,80307,80684,81061,81438,81815,82192,82569,82946,83323,83700,84077,84454,84831,85208,85585,85962,86339,86716,87093,87470,87847,88224,88601,88978,89355,89732,90109,90486,90863,91240,91617,91994,92371,92748,93125,93502,93879,94256,94633,95010,95387,95764,96141,96518,96895,97272,97649,98026,98403,98780,99157,99534,99911,100288,100665,101042,101419,101796,102173,102550,102927,103304,103681,104058,104435,104812,105189,105566,105943,106320,106697,107074,107451,107828,108205,108582,108959,109336,109713,110090,110467,110844,111221,111598,111975,112352,112729,113106,113483,113860,114237,114614,114991,115368,115745,116122,116499,116876,117253,117630,118007,118384,118761,119138,119515,119892,120269,120646,121023,121400,121777,122154,122531,122908,123285,123662,124039,124416,124793,125170,125547,125924,126301,126678,127055,127432,127809,128186,128563,128940,129317,129694,130071,130448,130825,131202,131579,131956,132333,132710,133087,133464,133841,134218,134595,134972,135349,135726,136103,136480,136857,137234,137611,137988,138365,138742,139119,139496,139867,139873,140250,140627,141004,141381,141758
7,384,761,1138,1515,1892,2269,2646,3023,3400,3777,4154,4531,4908,5285,5662,6039,6416,6793,7170,7547,7924,8301,8678,9055,9432,9809,10186,10563,10940,11317,11694,12071,12448,12825,13202,13579,13956,14333,14710,15087,15464,15841,16218,16595,16972,17349,17726,18103,18480,18857,19234,19611,19988,20365,20742,21119,21496,21873,22250,22627,23004,23381,23758,24135,24512,24889,25266,25643,26020,26397,26774,27151,27528,27905,28282,28659,29036,29413,29790,30167,30544,30921,31298,31675,32052,32429,32806,33183,33560,33937,34314,34691,35068,35445,35822,36199,36576,36953,37330,37707,38084,38461,38838,39215,39592,39969,40346,40723,41100,41477,41854,42231,42608,42985,43362,43739,44116,44493,44870,45247,45624,46001,46378,46755,47132,47509,47886,48263,48640,49017,49394,49771,50148,50525,50902,51279,51656,52033,52410,52787,53164,53541,53918,54295,54672,55049,55426,55803,56180,56557,56934,57311,57688,58065,58442,58819,59196,59573,59950,60327,60704,61081,61458,61835,62212,62589,62966,63343,63720,64097,64474,64851,65228,65605,65982,66359,66736,67113,67490,67867,68244,68621,68998,69375,69752,70129,70506,70883,71260,71637,72014,72391,72768,73145,73522,73899,74276,74653,75030,75407,75784,76161,76538,76915,77292,77669,78046,78423,78800,79177,79554,79931,80308,80685,81062,81439,81816,82193,82570,82947,83324,83701,84078,84455,84832,85209,85586,85963,86340,86717,87094,87471,87848,88225,88602,88979,89356,89733,90110,90487,90864,91241,91618,91995,92372,92749,93126,93503,93880,94257,94634,95011,95388,95765,96142,96519,96896,97273,97650,98027,98404,98781,99158,99535,99912,100289,100666,101043,101420,101797,102174,102551,102928,103305,103682,104059,104436,104813,105190,105567,105944,106321,106698,107075,107452,107829,108206,108583,108960,109337,109714,110091,110468,110845,111222,111599,111976,112353,112730,113107,113484,113861,114238,114615,114992,115369,115746,116123,116500,116877,117254,117631,118008,118385,118762,119139,119516,119893,120270,120647,121024,121401,121778,122155,122532,122909,123286,123663,124040,124417,124794,125171,125548,125925,126302,126679,127056,127433,127810,128187,128564,128941,129318,129695,130072,130449,130826,131203,131580,131957,132334,132711,133088,133465,133842,134219,134596,134973,135350,135727,136104,136481,136858,137235,137612,137989,138366,138743,139120,139490,139497,139874,140251,140628,141005,141382,141759
8,385,762,1139,1516,1893,2270,2647,3024,3401,3778,4155,4532,4909,5286,5663,6040,6417,6794,7171,7548,7925,8302,8679,9056,9433,9810,10187,10564,10941,11318,11695,12072,12449,12826,13203,13580,13957,14334,14711,15088,15465,15842,16219,16596,16973,17350,17727,18104,18481,18858,19235,19612,19989,20366,20743,21120,21497,21874,22251,22628,23005,23382,23759,24136,24513,24890,25267,25644,26021,26398,26775,27152,27529,27906,28283,28660,29037,29414,29791,30168,30545,30922,31299,31676,32053,32430,32807,33184,33561,33938,34315,34692,35069,35446,35823,36200,36577,36954,37331,37708,38085,38462,38839,39216,39593,39970,40347,40724,41101,41478,41855,42232,42609,42986,43363,43740,44117,44494,44871,45248,45625,46002,46379,46756,47133,47510,47887,48264,48641,49018,49395,49772,50149,50526,50903,51280,51657,52034,52411,52788,53165,53542,53919,54296,54673,55050,55427,55804,56181,56558,56935,57312,57689,58066,58443,58820,59197,59574,59951,60328,60705,61082,61459,61836,62213,62590,62967,63344,63721,64098,64475,64852,65229,65606,65983,66360,66737,67114,67491,67868,68245,68622,68999,69376,69753,70130,70507,70884,71261,71638,72015,72392,72769,73146,73523,73900,74277,74654,75031,75408,75785,76162,76539,76916,77293,77670,78047,78424,78801,79178,79555,79932,80309,80686,81063,81440,81817,82194,82571,82948,83325,83702,84079,84456,84833,85210,85587,85964,86341,86718,87095,87472,87849,88226,88603,88980,89357,89734,90111,90488,90865,91242,91619,91996,92373,92750,93127,93504,93881,94258,94635,95012,95389,95766,96143,96520,96897,97274,97651,98028,98405,98782,99159,99536,99913,100290,100667,101044,101421,101798,102175,102552,102929,103306,103683,104060,104437,104814,105191,105568,105945,106322,106699,107076,107453,107830,108207,108584,108961,109338,109715,110092,110469,110846,111223,111600,111977,112354,112731,113108,113485,113862,114239,114616,114993,115370,115747,116124,116501,116878,117255,117632,118009,118386,118763,119140,119517,119894,120271,120648,121025,121402,121779,122156,122533,122910,123287,123664,124041,124418,124795,125172,125549,125926,126303,126680,127057,127434,127811,128188,128565,128942,129319,129696,130073,130450,130827,131204,131581,131958,132335,132712,133089,133466,133843,134220,134597,134974,135351,135728,136105,136482,136859,137236,137613,137990,138367,138744,139113,139121,139498,139875,140252,140629,141006,141383,141760
9,386,763,1140,1517,1894,2271,2648,3025,3402,3779,4156,4533,4910,5287,5664,6041,6418,6795,7172,7549,7926,8303,8680,9057,9434,9811,10188,10565,10942,11319,11696,12073,12450,12827,13204,13581,13958,14335,14712,15089,15466,15843,16220,16597,16974,17351,17728,18105,18482,18859,19236,19613,19990,20367,20744,21121,21498,21875,22252,22629,23006,23383,23760,24137,24514,24891,25268,25645,26022,26399,26776,27153,27530,27907,28284,28661,29038,29415,29792,30169,30546,30923,31300,31677,32054,32431,32808,33185,33562,33939,34316,34693,35070,35447,35824,36201,36578,36955,37332,37709,38086,38463,38840,39217,39594,39971,40348,40725,41102,41479,41856,42233,42610,42987,43364,43741,44118,44495,44872,45249,45626,46003,46380,46757,47134,47511,47888,48265,48642,49019,49396,49773,50150,50527,50904,51281,51658,52035,52412,52789,53166,53543,53920,54297,54674,55051,55428,55805,56182,56559,56936,57313,57690,58067,58444,58821,59198,59575,59952,60329,60706,61083,61460,61837,62214,62591,62968,63345,63722,64099,64476,64853,65230,65607,65984,66361,66738,67115,67492,67869,68246,68623,69000,69377,69754,70131,70508,70885,71262,71639,72016,72393,72770,73147,73524,73901,74278,74655,75032,75409,75786,76163,76540,76917,77294,77671,78048,78425,78802,79179,79556,79933,80310,80687,81064,81441,81818,82195,82572,82949,83326,83703,84080,84457,84834,85211,85588,85965,86342,86719,87096,87473,87850,88227,88604,88981,89358,89735,90112,90489,90866,91243,91620,91997,92374,92751,93128,93505,93882,94259,94636,95013,95390,95767,96144,96521,96898,97275,97652,98029,98406,98783,99160,99537,99914,100291,100668,101045,101422,101799,102176,102553,102930,103307,103684,104061,104438,104815,105192,105569,105946,106323,106700,107077,107454,107831,108208,108585,108962,109339,109716,110093,110470,110847,111224,111601,111978,112355,112732,113109,113486,113863,114240,114617,114994,115371,115748,116125,116502,116879,117256,117633,118010,118387,118764,119141,119518,119895,120272,120649,121026,121403,121780,122157,122534,122911,123288,123665,124042,124419,124796,125173,125550,125927,126304,126681,127058,127435,127812,128189,128566,128943,129320,129697,130074,130451,130828,131205,131582,131959,132336,132713,133090,133467,133844,134221,134598,134975,135352,135729,136106,136483,136860,137237,137614,137991,138368,138736,138745,139122,139499,139876,140253,140630,141007,141384,141761
10,387,764,1141,1518,1895,2272,2649,3026,3403,3780,4157,4534,4911,5288,5665,6042,6419,6796,7173,7550,7927,8304,8681,9058,9435,9812,10189,10566,10943,11320,11697,12074,12451,12828,13205,13582,13959,14336,14713,15090,15467,15844,16221,16598,16975,17352,17729,18106,18483,18860,19237,19614,19991,20368,20745,21122,21499,21876,22253,22630,23007,23384,23761,24138,24515,24892,25269,25646,26023,26400,26777,27154,27531,27908,28285,28662,29039,29416,29793,30170,30547,30924,31301,31678,32055,32432,32809,33186,33563,33940,34317,34694,35071,35448,35825,36202,36579,36956,37333,37710,38087,38464,38841,39218,39595,39972,40349,40726,41103,41480,41857,42234,42611,42988,43365,43742,44119,44496,44873,45250,45627,46004,46381,46758,47135,47512,47889,48266,48643,49020,49397,49774,50151,50528,50905,51282,51659,52036,52413,52790,53167,53544,53921,54298,54675,55052,55429,55806,56183,56560,56937,57314,57691,58068,58445,58822,59199,59576,59953,60330,60707,61084,61461,61838,62215,62592,62969,63346,63723,64100,64477,64854,65231,65608,65985,66362,66739,67116,67493,67870,68247,68624,69001,69378,69755,70132,70509,70886,71263,71640,72017,72394,72771,73148,73525,73902,74279,74656,75033,75410,75787,76164,76541,76918,77295,77672,78049,78426,78803,79180,79557,79934,80311,80688,81065,81442,81819,82196,82573,82950,83327,83704,84081,84458,84835,85212,85589,85966,86343,86720,87097,87474,87851,88228,88605,88982,89359,89736,90113,90490,90867,91244,91621,91998,92375,92752,93129,93506,93883,94260,94637,95014,95391,95768,96145,96522,96899,97276,97653,98030,98407,98784,99161,99538,99915,100292,100669,101046,101423,101800,102177,102554,102931,103308,103685,104062,104439,104816,105193,105570,105947,106324,106701,107078,107455,107832,108209,108586,108963,109340,109717,110094,110471,110848,111225,111602,111979,112356,112733,113110,113487,113864,114241,114618,114995,115372,115749,116126,116503,116880,117257,117634,118011,118388,118765,119142,119519,119896,120273,120650,121027,121404,121781,122158,122535,122912,123289,123666,124043,124420,124797,125174,125551,125928,126305,126682,127059,127436,127813,128190,128567,128944,129321,129698,130075,130452,130829,131206,131583,131960,132337,132714,133091,133468,133845,134222,134599,134976,135353,135730,136107,136484,136861,137238,137615,137992,138359,138369,138746,139123,139500,139877,140254,140631,141008,141385,141762
11,388,765,1142,1519,1896,2273,2650,3027,3404,3781,4158,4535,4912,5289,5666,6043,6420,6797,7174,7551,7928,8305,8682,9059,9436,9813,10190,10567,10944,11321,11698,12075,12452,12829,13206,13583,13960,14337,14714,15091,15468,15845,16222,16599,16976,17353,17730,18107,18484,18861,19238,19615,19992,20369,20746,21123,21500,21877,22254,22631,23008,23385,23762,24139,24516,24893,25270,25647,26024,26401,26778,27155,27532,27909,28286,28663,29040,29417,29794,30171,30548,30925,31302,31679,32056,32433,32810,33187,33564,33941,34318,34695,35072,35449,35826,36203,36580,36957,37334,37711,38088,38465,38842,39219,39596,39973,40350,40727,41104,41481,41858,42235,42612,42989,43366,43743,44120,44497,44874,45251,45628,46005,46382,46759,47136,47513,47890,48267,48644,49021,49398,49775,50152,50529,50906,51283,51660,52037,52414,52791,53168,53545,53922,54299,54676,55053,55430,55807,56184,56561,56938,57315,57692,58069,58446,58823,59200,59577,59954,60331,60708,61085,61462,61839,62216,62593,62970,63347,63724,64101,64478,64855,65232,65609,65986,66363,66740,67117,67494,67871,68248,68625,69002,69379,69756,70133,70510,70887,71264,71641,72018,72395,72772,73149,73526,73903,74280,74657,75034,75411,75788,76165,76542,76919,77296,77673,78050,78427,78804,79181,79558,79935,80312,80689,81066,81443,81820,82197,82574,82951,83328,83705,84082,84459,84836,85213,85590,85967,86344,86721,87098,87475,87852,88229,88606,88983,89360,89737,90114,90491,90868,91245,91622,91999,92376,92753,93130,93507,93884,94261,94638,95015,95392,95769,96146,96523,96900,97277,97654,98031,98408,98785,99162,99539,99916,100293,100670,101047,101424,101801,102178,102555,102932,103309,103686,104063,104440,104817,105194,105571,105948,106325,106702,107079,107456,107833,108210,108587,108964,109341,109718,110095,110472,110849,111226,111603,111980,112357,112734,113111,113488,113865,114242,114619,114996,115373,115750,116127,116504,116881,117258,117635,118012,118389,118766,119143,119520,119897,120274,120651,121028,121405,121782,122159,122536,122913,123290,123667,124044,124421,124798,125175,125552,125929,126306,126683,127060,127437,127814,128191,128568,128945,129322,129699,130076,130453,130830,131207,131584,131961,132338,132715,133092,133469,133846,134223,134600,134977,135354,135731,136108,136485,136862,137239,137616,137982,137993,138370,138747,139124,139501,139878,140255,140632,141009,141386,141763
