1,420,839,1258,1677,2096,2515,2934,3353,3772,4191,4610,5029,5448,5867,6286,6705,7124,7543,7962,8381,8800,9219,9638,10057,10476,10895,11314,11733,12152,12571,12990,13409,13828,14247,14666,15085,15504,15923,16342,16761,17180,17599,18018,18437,18856,19275,19694,20113,20532,20951,21370,21789,22208,22627,23046,23465,23884,24303,24722,25141,25560,25979,26398,26817,27236,27655,28074,28493,28912,29331,29750,30169,30588,31007,31426,31845,32264,32683,33102,33521,33940,34359,34778,35197,35616,36035,36454,36873,37292,37711,38130,38549,38968,39387,39806,40225,40644,41063,41482,41901,42320,42739,43158,43577,43996,44415,44834,45253,45672,46091,46510,46929,47348,47767,48186,48605,49024,49443,49862,50281,50700,51119,51538,51957,52376,52795,53214,53633,54052,54471,54890,55309,55728,56147,56566,56985,57404,57823,58242,58661,59080,59499,59918,60337,60756,61175,61594,62013,62432,62851,63270,63689,64108,64527,64946,65365,65784,66203,66622,67041,67460,67879,68298,68717,69136,69555,69974,70393,70812,71231,71650,72069,72488,72907,73326,73745,74164,74583,75002,75421,75840,76259,76678,77097,77516,77935,78354,78773,79192,79611,80030,80449,80868,81287,81706,82125,82544,82963,83382,83801,84220,84639,85058,85477,85896,86315,86734,87153,87572,87991,88410,88829,89248,89667,90086,90505,90924,91343,91762,92181,92600,93019,93438,93857,94276,94695,95114,95533,95952,96371,96790,97209,97628,98047,98466,98885,99304,99723,100142,100561,100980,101399,101818,102237,102656,103075,103494,103913,104332,104751,105170,105589,106008,106427,106846,107265,107684,108103,108522,108941,109360,109779,110198,110617,111036,111455,111874,112293,112712,113131,113550,113969,114388,114807,115226,115645,116064,116483,116902,117321,117740,118159,118578,118997,119416,119835,120254,120673,121092,121511,121930,122349,122768,123187,123606,124025,124444,124863,125282,125701,126120,126539,126958,127377,127796,128215,128634,129053,129472,129891,130310,130729,131148,131567,131986,132405,132824,133243,133662,134081,134500,134919,135338,135757,136176,136595,137014,137433,137852,138271,138690,139109,139528,139947,140366,140785,141204,141623,142042,142461,142880,143299,143718,144137,144556,144975,145394,145813,146232,146651,147070,147489,147908,148327,148746,149165,149584,150003,150422,150841,151260,151679,152098,152517,152936,153355,153774,154193,154612,155031,155450,155869,156288,156707,157126,157545,157964,158383,158802,159221,159640,160059,160478,160897,161316,161735,162154,162573,162992,163411,163830,164249,164668,165087,165506,165925,166344,166763,167182,167601,168020,168439,168858,169277,169696,170115,170534,170953,171372,171791,172210,172629,173048,173467,173886,174305,174724,175142,175143
2,421,840,1259,1678,2097,2516,2935,3354,3773,4192,4611,5030,5449,5868,6287,6706,7125,7544,7963,8382,8801,9220,9639,10058,10477,10896,11315,11734,12153,12572,12991,13410,13829,14248,14667,15086,15505,15924,16343,16762,17181,17600,18019,18438,18857,19276,19695,20114,20533,20952,21371,21790,22209,22628,23047,23466,23885,24304,24723,25142,25561,25980,26399,26818,27237,27656,28075,28494,28913,29332,29751,30170,30589,31008,31427,31846,32265,32684,33103,33522,33941,34360,34779,35198,35617,36036,36455,36874,37293,37712,38131,38550,38969,39388,39807,40226,40645,41064,41483,41902,42321,42740,43159,43578,43997,44416,44835,45254,45673,46092,46511,46930,47349,47768,48187,48606,49025,49444,49863,50282,50701,51120,51539,51958,52377,52796,53215,53634,54053,54472,54891,55310,55729,56148,56567,56986,57405,57824,58243,58662,59081,59500,59919,60338,60757,61176,61595,62014,62433,62852,63271,63690,64109,64528,64947,65366,65785,66204,66623,67042,67461,67880,68299,68718,69137,69556,69975,70394,70813,71232,71651,72070,72489,72908,73327,73746,74165,74584,75003,75422,75841,76260,76679,77098,77517,77936,78355,78774,79193,79612,80031,80450,80869,81288,81707,82126,82545,82964,83383,83802,84221,84640,85059,85478,85897,86316,86735,87154,87573,87992,88411,88830,89249,89668,90087,90506,90925,91344,91763,92182,92601,93020,93439,93858,94277,94696,95115,95534,95953,96372,96791,97210,97629,98048,98467,98886,99305,99724,100143,100562,100981,101400,101819,102238,102657,103076,103495,103914,104333,104752,105171,105590,106009,106428,106847,107266,107685,108104,108523,108942,109361,109780,110199,110618,111037,111456,111875,112294,112713,113132,113551,113970,114389,114808,115227,115646,116065,116484,116903,117322,117741,118160,118579,118998,119417,119836,120255,120674,121093,121512,121931,122350,122769,123188,123607,124026,124445,124864,125283,125702,126121,126540,126959,127378,127797,128216,128635,129054,129473,129892,130311,130730,131149,131568,131987,132406,132825,133244,133663,134082,134501,134920,135339,135758,136177,136596,137015,137434,137853,138272,138691,139110,139529,139948,140367,140786,141205,141624,142043,142462,142881,143300,143719,144138,144557,144976,145395,145814,146233,146652,147071,147490,147909,148328,148747,149166,149585,150004,150423,150842,151261,151680,152099,152518,152937,153356,153775,154194,154613,155032,155451,155870,156289,156708,157127,157546,157965,158384,158803,159222,159641,160060,160479,160898,161317,161736,162155,162574,162993,163412,163831,164250,164669,165088,165507,165926,166345,166764,167183,167602,168021,168440,168859,169278,169697,170116,170535,170954,171373,171792,172211,172630,173049,173468,173887,174306,174723,174725,175144
3,422,841,1260,1679,2098,2517,2936,3355,3774,4193,4612,5031,5450,5869,6288,6707,7126,7545,7964,8383,8802,9221,9640,10059,10478,10897,11316,11735,12154,12573,12992,13411,13830,14249,14668,15087,15506,15925,16344,16763,17182,17601,18020,18439,18858,19277,19696,20115,20534,20953,21372,21791,22210,22629,23048,23467,23886,24305,24724,25143,25562,25981,26400,26819,27238,27657,28076,28495,28914,29333,29752,30171,30590,31009,31428,31847,32266,32685,33104,33523,33942,34361,34780,35199,35618,36037,36456,36875,37294,37713,38132,38551,38970,39389,39808,40227,40646,41065,41484,41903,42322,42741,43160,43579,43998,44417,44836,45255,45674,46093,46512,46931,47350,47769,48188,48607,49026,49445,49864,50283,50702,51121,51540,51959,52378,52797,53216,53635,54054,54473,54892,55311,55730,56149,56568,56987,57406,57825,58244,58663,59082,59501,59920,60339,60758,61177,61596,62015,62434,62853,63272,63691,64110,64529,64948,65367,65786,66205,66624,67043,67462,67881,68300,68719,69138,69557,69976,70395,70814,71233,71652,72071,72490,72909,73328,73747,74166,74585,75004,75423,75842,76261,76680,77099,77518,77937,78356,78775,79194,79613,80032,80451,80870,81289,81708,82127,82546,82965,83384,83803,84222,84641,85060,85479,85898,86317,86736,87155,87574,87993,88412,88831,89250,89669,90088,90507,90926,91345,91764,92183,92602,93021,93440,93859,94278,94697,95116,95535,95954,96373,96792,97211,97630,98049,98468,98887,99306,99725,100144,100563,100982,101401,101820,102239,102658,103077,103496,103915,104334,104753,105172,105591,106010,106429,106848,107267,107686,108105,108524,108943,109362,109781,110200,110619,111038,111457,111876,112295,112714,113133,113552,113971,114390,114809,115228,115647,116066,116485,116904,117323,117742,118161,118580,118999,119418,119837,120256,120675,121094,121513,121932,122351,122770,123189,123608,124027,124446,124865,125284,125703,126122,126541,126960,127379,127798,128217,128636,129055,129474,129893,130312,130731,131150,131569,131988,132407,132826,133245,133664,134083,134502,134921,135340,135759,136178,136597,137016,137435,137854,138273,138692,139111,139530,139949,140368,140787,141206,141625,142044,142463,142882,143301,143720,144139,144558,144977,145396,145815,146234,146653,147072,147491,147910,148329,148748,149167,149586,150005,150424,150843,151262,151681,152100,152519,152938,153357,153776,154195,154614,155033,155452,155871,156290,156709,157128,157547,157966,158385,158804,159223,159642,160061,160480,160899,161318,161737,162156,162575,162994,163413,163832,164251,164670,165089,165508,165927,166346,166765,167184,167603,168022,168441,168860,169279,169698,170117,170536,170955,171374,171793,172212,172631,173050,173469,173888,174304,174307,174726,175145
4,423,842,1261,1680,2099,2518,2937,3356,3775,4194,4613,5032,5451,5870,6289,6708,7127,7546,7965,8384,8803,9222,9641,10060,10479,10898,11317,11736,12155,12574,12993,13412,13831,14250,14669,15088,15507,15926,16345,16764,17183,17602,18021,18440,18859,19278,19697,20116,20535,20954,21373,21792,22211,22630,23049,23468,23887,24306,24725,25144,25563,25982,26401,26820,27239,27658,28077,28496,28915,29334,29753,30172,30591,31010,31429,31848,32267,32686,33105,33524,33943,34362,34781,35200,35619,36038,36457,36876,37295,37714,38133,38552,38971,39390,39809,40228,40647,41066,41485,41904,42323,42742,43161,43580,43999,44418,44837,45256,45675,46094,46513,46932,47351,47770,48189,48608,49027,49446,49865,50284,50703,51122,51541,51960,52379,52798,53217,53636,54055,54474,54893,55312,55731,56150,56569,56988,57407,57826,58245,58664,59083,59502,59921,60340,60759,61178,61597,62016,62435,62854,63273,63692,64111,64530,64949,65368,65787,66206,66625,67044,67463,67882,68301,68720,69139,69558,69977,70396,70815,71234,71653,72072,72491,72910,73329,73748,74167,74586,75005,75424,75843,76262,76681,77100,77519,77938,78357,78776,79195,79614,80033,80452,80871,81290,81709,82128,82547,82966,83385,83804,84223,84642,85061,85480,85899,86318,86737,87156,87575,87994,88413,88832,89251,89670,90089,90508,90927,91346,91765,92184,92603,93022,93441,93860,94279,94698,95117,95536,95955,96374,96793,97212,97631,98050,98469,98888,99307,99726,100145,100564,100983,101402,101821,102240,102659,103078,103497,103916,104335,104754,105173,105592,106011,106430,106849,107268,107687,108106,108525,108944,109363,109782,110201,110620,111039,111458,111877,112296,112715,113134,113553,113972,114391,114810,115229,115648,116067,116486,116905,117324,117743,118162,118581,119000,119419,119838,120257,120676,121095,121514,121933,122352,122771,123190,123609,124028,124447,124866,125285,125704,126123,126542,126961,127380,127799,128218,128637,129056,129475,129894,130313,130732,131151,131570,131989,132408,132827,133246,133665,134084,134503,134922,135341,135760,136179,136598,137017,137436,137855,138274,138693,139112,139531,139950,140369,140788,141207,141626,142045,142464,142883,143302,143721,144140,144559,144978,145397,145816,146235,146654,147073,147492,147911,148330,148749,149168,149587,150006,150425,150844,151263,151682,152101,152520,152939,153358,153777,154196,154615,155034,155453,155872,156291,156710,157129,157548,157967,158386,158805,159224,159643,160062,160481,160900,161319,161738,162157,162576,162995,163414,163833,164252,164671,165090,165509,165928,166347,166766,167185,167604,168023,168442,168861,169280,169699,170118,170537,170956,171375,171794,172213,172632,173051,173470,173885,173889,174308,174727,175146
5,424,843,1262,1681,2100,2519,2938,3357,3776,4195,4614,5033,5452,5871,6290,6709,7128,7547,7966,8385,8804,9223,9642,10061,10480,10899,11318,11737,12156,12575,12994,13413,13832,14251,14670,15089,15508,15927,16346,16765,17184,17603,18022,18441,18860,19279,19698,20117,20536,20955,21374,21793,22212,22631,23050,23469,23888,24307,24726,25145,25564,25983,26402,26821,27240,27659,28078,28497,28916,29335,29754,30173,30592,31011,31430,31849,32268,32687,33106,33525,33944,34363,34782,35201,35620,36039,36458,36877,37296,37715,38134,38553,38972,39391,39810,40229,40648,41067,41486,41905,42324,42743,43162,43581,44000,44419,44838,45257,45676,46095,46514,46933,47352,47771,48190,48609,49028,49447,49866,50285,50704,51123,51542,51961,52380,52799,53218,53637,54056,54475,54894,55313,55732,56151,56570,56989,57408,57827,58246,58665,59084,59503,59922,60341,60760,61179,61598,62017,62436,62855,63274,63693,64112,64531,64950,65369,65788,66207,66626,67045,67464,67883,68302,68721,69140,69559,69978,70397,70816,71235,71654,72073,72492,72911,73330,73749,74168,74587,75006,75425,75844,76263,76682,77101,77520,77939,78358,78777,79196,79615,80034,80453,80872,81291,81710,82129,82548,82967,83386,83805,84224,84643,85062,85481,85900,86319,86738,87157,87576,87995,88414,88833,89252,89671,90090,90509,90928,91347,91766,92185,92604,93023,93442,93861,94280,94699,95118,95537,95956,96375,96794,97213,97632,98051,98470,98889,99308,99727,100146,100565,100984,101403,101822,102241,102660,103079,103498,103917,104336,104755,105174,105593,106012,106431,106850,107269,107688,108107,108526,108945,109364,109783,110202,110621,111040,111459,111878,112297,112716,113135,113554,113973,114392,114811,115230,115649,116068,116487,116906,117325,117744,118163,118582,119001,119420,119839,120258,120677,121096,121515,121934,122353,122772,123191,123610,124029,124448,124867,125286,125705,126124,126543,126962,127381,127800,128219,128638,129057,129476,129895,130314,130733,131152,131571,131990,132409,132828,133247,133666,134085,134504,134923,135342,135761,136180,136599,137018,137437,137856,138275,138694,139113,139532,139951,140370,140789,141208,141627,142046,142465,142884,143303,143722,144141,144560,144979,145398,145817,146236,146655,147074,147493,147912,148331,148750,149169,149588,150007,150426,150845,151264,151683,152102,152521,152940,153359,153778,154197,154616,155035,155454,155873,156292,156711,157130,157549,157968,158387,158806,159225,159644,160063,160482,160901,161320,161739,162158,162577,162996,163415,163834,164253,164672,165091,165510,165929,166348,166767,167186,167605,168024,168443,168862,169281,169700,170119,170538,170957,171376,171795,172214,172633,173052,173466,173471,173890,174309,174728,175147
6,425,844,1263,1682,2101,2520,2939,3358,3777,4196,4615,5034,5453,5872,6291,6710,7129,7548,7967,8386,8805,9224,9643,10062,10481,10900,11319,11738,12157,12576,12995,13414,13833,14252,14671,15090,15509,15928,16347,16766,17185,17604,18023,18442,18861,19280,19699,20118,20537,20956,21375,21794,22213,22632,23051,23470,23889,24308,24727,25146,25565,25984,26403,26822,27241,27660,28079,28498,28917,29336,29755,30174,30593,31012,31431,31850,32269,32688,33107,33526,33945,34364,34783,35202,35621,36040,36459,36878,37297,37716,38135,38554,38973,39392,39811,40230,40649,41068,41487,41906,42325,42744,43163,43582,44001,44420,44839,45258,45677,46096,46515,46934,47353,47772,48191,48610,49029,49448,49867,50286,50705,51124,51543,51962,52381,52800,53219,53638,54057,54476,54895,55314,55733,56152,56571,56990,57409,57828,58247,58666,59085,59504,59923,60342,60761,61180,61599,62018,62437,62856,63275,63694,64113,64532,64951,65370,65789,66208,66627,67046,67465,67884,68303,68722,69141,69560,69979,70398,70817,71236,71655,72074,72493,72912,73331,73750,74169,74588,75007,75426,75845,76264,76683,77102,77521,77940,78359,78778,79197,79616,80035,80454,80873,81292,81711,82130,82549,82968,83387,83806,84225,84644,85063,85482,85901,86320,86739,87158,87577,87996,88415,88834,89253,89672,90091,90510,90929,91348,91767,92186,92605,93024,93443,93862,94281,94700,95119,95538,95957,96376,96795,97214,97633,98052,98471,98890,99309,99728,100147,100566,100985,101404,101823,102242,102661,103080,103499,103918,104337,104756,105175,105594,106013,106432,106851,107270,107689,108108,108527,108946,109365,109784,110203,110622,111041,111460,111879,112298,112717,113136,113555,113974,114393,114812,115231,115650,116069,116488,116907,117326,117745,118164,118583,119002,119421,119840,120259,120678,121097,121516,121935,122354,122773,123192,123611,124030,124449,124868,125287,125706,126125,126544,126963,127382,127801,128220,128639,129058,129477,129896,130315,130734,131153,131572,131991,132410,132829,133248,133667,134086,134505,134924,135343,135762,136181,136600,137019,137438,137857,138276,138695,139114,139533,139952,140371,140790,141209,141628,142047,142466,142885,143304,143723,144142,144561,144980,145399,145818,146237,146656,147075,147494,147913,148332,148751,149170,149589,150008,150427,150846,151265,151684,152103,152522,152941,153360,153779,154198,154617,155036,155455,155874,156293,156712,157131,157550,157969,158388,158807,159226,159645,160064,160483,160902,161321,161740,162159,162578,162997,163416,163835,164254,164673,165092,165511,165930,166349,166768,167187,167606,168025,168444,168863,169282,169701,170120,170539,170958,171377,171796,172215,172634,173047,173053,173472,173891,174310,174729,175148
7,426,845,1264,1683,2102,2521,2940,3359,3778,4197,4616,5035,5454,5873,6292,6711,7130,7549,7968,8387,8806,9225,9644,10063,10482,10901,11320,11739,12158,12577,12996,13415,13834,14253,14672,15091,15510,15929,16348,16767,17186,17605,18024,18443,18862,19281,19700,20119,20538,20957,21376,21795,22214,22633,23052,23471,23890,24309,24728,25147,25566,25985,26404,26823,27242,27661,28080,28499,28918,29337,29756,30175,30594,31013,31432,31851,32270,32689,33108,33527,33946,34365,34784,35203,35622,36041,36460,36879,37298,37717,38136,38555,38974,39393,39812,40231,40650,41069,41488,41907,42326,42745,43164,43583,44002,44421,44840,45259,45678,46097,46516,46935,47354,47773,48192,48611,49030,49449,49868,50287,50706,51125,51544,51963,52382,52801,53220,53639,54058,54477,54896,55315,55734,56153,56572,56991,57410,57829,58248,58667,59086,59505,59924,60343,60762,61181,61600,62019,62438,62857,63276,63695,64114,64533,64952,65371,65790,66209,66628,67047,67466,67885,68304,68723,69142,69561,69980,70399,70818,71237,71656,72075,72494,72913,73332,73751,74170,74589,75008,75427,75846,76265,76684,77103,77522,77941,78360,78779,79198,79617,80036,80455,80874,81293,81712,82131,82550,82969,83388,83807,84226,84645,85064,85483,85902,86321,86740,87159,87578,87997,88416,88835,89254,89673,90092,90511,90930,91349,91768,92187,92606,93025,93444,93863,94282,94701,95120,95539,95958,96377,96796,97215,97634,98053,98472,98891,99310,99729,100148,100567,100986,101405,101824,102243,102662,103081,103500,103919,104338,104757,105176,105595,106014,106433,106852,107271,107690,108109,108528,108947,109366,109785,110204,110623,111042,111461,111880,112299,112718,113137,113556,113975,114394,114813,115232,115651,116070,116489,116908,117327,117746,118165,118584,119003,119422,119841,120260,120679,121098,121517,121936,122355,122774,123193,123612,124031,124450,124869,125288,125707,126126,126545,126964,127383,127802,128221,128640,129059,129478,129897,130316,130735,131154,131573,131992,132411,132830,133249,133668,134087,134506,134925,135344,135763,136182,136601,137020,137439,137858,138277,138696,139115,139534,139953,140372,140791,141210,141629,142048,142467,142886,143305,143724,144143,144562,144981,145400,145819,146238,146657,147076,147495,147914,148333,148752,149171,149590,150009,150428,150847,151266,151685,152104,152523,152942,153361,153780,154199,154618,155037,155456,155875,156294,156713,157132,157551,157970,158389,158808,159227,159646,160065,160484,160903,161322,161741,162160,162579,162998,163417,163836,164255,164674,165093,165512,165931,166350,166769,167188,167607,168026,168445,168864,169283,169702,170121,170540,170959,171378,171797,172216,172628,172635,173054,173473,173892,174311,174730,175149
8,427,846,1265,1684,2103,2522,2941,3360,3779,4198,4617,5036,5455,5874,6293,6712,7131,7550,7969,8388,8807,9226,9645,10064,10483,10902,11321,11740,12159,12578,12997,13416,13835,14254,14673,15092,15511,15930,16349,16768,17187,17606,18025,18444,18863,19282,19701,20120,20539,20958,21377,21796,22215,22634,23053,23472,23891,24310,24729,25148,25567,25986,26405,26824,27243,27662,28081,28500,28919,29338,29757,30176,30595,31014,31433,31852,32271,32690,33109,33528,33947,34366,34785,35204,35623,36042,36461,36880,37299,37718,38137,38556,38975,39394,39813,40232,40651,41070,41489,41908,42327,42746,43165,43584,44003,44422,44841,45260,45679,46098,46517,46936,47355,47774,48193,48612,49031,49450,49869,50288,50707,51126,51545,51964,52383,52802,53221,53640,54059,54478,54897,55316,55735,56154,56573,56992,57411,57830,58249,58668,59087,59506,59925,60344,60763,61182,61601,62020,62439,62858,63277,63696,64115,64534,64953,65372,65791,66210,66629,67048,67467,67886,68305,68724,69143,69562,69981,70400,70819,71238,71657,72076,72495,72914,73333,73752,74171,74590,75009,75428,75847,76266,76685,77104,77523,77942,78361,78780,79199,79618,80037,80456,80875,81294,81713,82132,82551,82970,83389,83808,84227,84646,85065,85484,85903,86322,86741,87160,87579,87998,88417,88836,89255,89674,90093,90512,90931,91350,91769,92188,92607,93026,93445,93864,94283,94702,95121,95540,95959,96378,96797,97216,97635,98054,98473,98892,99311,99730,100149,100568,100987,101406,101825,102244,102663,103082,103501,103920,104339,104758,105177,105596,106015,106434,106853,107272,107691,108110,108529,108948,109367,109786,110205,110624,111043,111462,111881,112300,112719,113138,113557,113976,114395,114814,115233,115652,116071,116490,116909,117328,117747,118166,118585,119004,119423,119842,120261,120680,121099,121518,121937,122356,122775,123194,123613,124032,124451,124870,125289,125708,126127,126546,126965,127384,127803,128222,128641,129060,129479,129898,130317,130736,131155,131574,131993,132412,132831,133250,133669,134088,134507,134926,135345,135764,136183,136602,137021,137440,137859,138278,138697,139116,139535,139954,140373,140792,141211,141630,142049,142468,142887,143306,143725,144144,144563,144982,145401,145820,146239,146658,147077,147496,147915,148334,148753,149172,149591,150010,150429,150848,151267,151686,152105,152524,152943,153362,153781,154200,154619,155038,155457,155876,156295,156714,157133,157552,157971,158390,158809,159228,159647,160066,160485,160904,161323,161742,162161,162580,162999,163418,163837,164256,164675,165094,165513,165932,166351,166770,167189,167608,168027,168446,168865,169284,169703,170122,170541,170960,171379,171798,172209,172217,172636,173055,173474,173893,174312,174731,175150
9,428,847,1266,1685,2104,2523,2942,3361,3780,4199,4618,5037,5456,5875,6294,6713,7132,7551,7970,8389,8808,9227,9646,10065,10484,10903,11322,11741,12160,12579,12998,13417,13836,14255,14674,15093,15512,15931,16350,16769,17188,17607,18026,18445,18864,19283,19702,20121,20540,20959,21378,21797,22216,22635,23054,23473,23892,24311,24730,25149,25568,25987,26406,26825,27244,27663,28082,28501,28920,29339,29758,30177,30596,31015,31434,31853,32272,32691,33110,33529,33948,34367,34786,35205,35624,36043,36462,36881,37300,37719,38138,38557,38976,39395,39814,40233,40652,41071,41490,41909,42328,42747,43166,43585,44004,44423,44842,45261,45680,46099,46518,46937,47356,47775,48194,48613,49032,49451,49870,50289,50708,51127,51546,51965,52384,52803,53222,53641,54060,54479,54898,55317,55736,56155,56574,56993,57412,57831,58250,58669,59088,59507,59926,60345,60764,61183,61602,62021,62440,62859,63278,63697,64116,64535,64954,65373,65792,66211,66630,67049,67468,67887,68306,68725,69144,69563,69982,70401,70820,71239,71658,72077,72496,72915,73334,73753,74172,74591,75010,75429,75848,76267,76686,77105,77524,77943,78362,78781,79200,79619,80038,80457,80876,81295,81714,82133,82552,82971,83390,83809,84228,84647,85066,85485,85904,86323,86742,87161,87580,87999,88418,88837,89256,89675,90094,90513,90932,91351,91770,92189,92608,93027,93446,93865,94284,94703,95122,95541,95960,96379,96798,97217,97636,98055,98474,98893,99312,99731,100150,100569,100988,101407,101826,102245,102664,103083,103502,103921,104340,104759,105178,105597,106016,106435,106854,107273,107692,108111,108530,108949,109368,109787,110206,110625,111044,111463,111882,112301,112720,113139,113558,113977,114396,114815,115234,115653,116072,116491,116910,117329,117748,118167,118586,119005,119424,119843,120262,120681,121100,121519,121938,122357,122776,123195,123614,124033,124452,124871,125290,125709,126128,126547,126966,127385,127804,128223,128642,129061,129480,129899,130318,130737,131156,131575,131994,132413,132832,133251,133670,134089,134508,134927,135346,135765,136184,136603,137022,137441,137860,138279,138698,139117,139536,139955,140374,140793,141212,141631,142050,142469,142888,143307,143726,144145,144564,144983,145402,145821,146240,146659,147078,147497,147916,148335,148754,149173,149592,150011,150430,150849,151268,151687,152106,152525,152944,153363,153782,154201,154620,155039,155458,155877,156296,156715,157134,157553,157972,158391,158810,159229,159648,160067,160486,160905,161324,161743,162162,162581,163000,163419,163838,164257,164676,165095,165514,165933,166352,166771,167190,167609,168028,168447,168866,169285,169704,170123,170542,170961,171380,171790,171799,172218,172637,173056,173475,173894,174313,174732,175151
10,429,848,1267,1686,2105,2524,2943,3362,3781,4200,4619,5038,5457,5876,6295,6714,7133,7552,7971,8390,8809,9228,9647,10066,10485,10904,11323,11742,12161,12580,12999,13418,13837,14256,14675,15094,15513,15932,16351,16770,17189,17608,18027,18446,18865,19284,19703,20122,20541,20960,21379,21798,22217,22636,23055,23474,23893,24312,24731,25150,25569,25988,26407,26826,27245,27664,28083,28502,28921,29340,29759,30178,30597,31016,31435,31854,32273,32692,33111,33530,33949,34368,34787,35206,35625,36044,36463,36882,37301,37720,38139,38558,38977,39396,39815,40234,40653,41072,41491,41910,42329,42748,43167,43586,44005,44424,44843,45262,45681,46100,46519,46938,47357,47776,48195,48614,49033,49452,49871,50290,50709,51128,51547,51966,52385,52804,53223,53642,54061,54480,54899,55318,55737,56156,56575,56994,57413,57832,58251,58670,59089,59508,59927,60346,60765,61184,61603,62022,62441,62860,63279,63698,64117,64536,64955,65374,65793,66212,66631,67050,67469,67888,68307,68726,69145,69564,69983,70402,70821,71240,71659,72078,72497,72916,73335,73754,74173,74592,75011,75430,75849,76268,76687,77106,77525,77944,78363,78782,79201,79620,80039,80458,80877,81296,81715,82134,82553,82972,83391,83810,84229,84648,85067,85486,85905,86324,86743,87162,87581,88000,88419,88838,89257,89676,90095,90514,90933,91352,91771,92190,92609,93028,93447,93866,94285,94704,95123,95542,95961,96380,96799,97218,97637,98056,98475,98894,99313,99732,100151,100570,100989,101408,101827,102246,102665,103084,103503,103922,104341,104760,105179,105598,106017,106436,106855,107274,107693,108112,108531,108950,109369,109788,110207,110626,111045,111464,111883,112302,112721,113140,113559,113978,114397,114816,115235,115654,116073,116492,116911,117330,117749,118168,118587,119006,119425,119844,120263,120682,121101,121520,121939,122358,122777,123196,123615,124034,124453,124872,125291,125710,126129,126548,126967,127386,127805,128224,128643,129062,129481,129900,130319,130738,131157,131576,131995,132414,132833,133252,133671,134090,134509,134928,135347,135766,136185,136604,137023,137442,137861,138280,138699,139118,139537,139956,140375,140794,141213,141632,142051,142470,142889,143308,143727,144146,144565,144984,145403,145822,146241,146660,147079,147498,147917,148336,148755,149174,149593,150012,150431,150850,151269,151688,152107,152526,152945,153364,153783,154202,154621,155040,155459,155878,156297,156716,157135,157554,157973,158392,158811,159230,159649,160068,160487,160906,161325,161744,162163,162582,163001,163420,163839,164258,164677,165096,165515,165934,166353,166772,167191,167610,168029,168448,168867,169286,169705,170124,170543,170962,171371,171381,171800,172219,172638,173057,173476,173895,174314,174733,175152
11,430,849,1268,1687,2106,2525,2944,3363,3782,4201,4620,5039,5458,5877,6296,6715,7134,7553,7972,8391,8810,9229,9648,10067,10486,10905,11324,11743,12162,12581,13000,13419,13838,14257,14676,15095,15514,15933,16352,16771,17190,17609,18028,18447,18866,19285,19704,20123,20542,20961,21380,21799,22218,22637,23056,23475,23894,24313,24732,25151,25570,25989,26408,26827,27246,27665,28084,28503,28922,29341,29760,30179,30598,31017,31436,31855,32274,32693,33112,33531,33950,34369,34788,35207,35626,36045,36464,36883,37302,37721,38140,38559,38978,39397,39816,40235,40654,41073,41492,41911,42330,42749,43168,43587,44006,44425,44844,45263,45682,46101,46520,46939,47358,47777,48196,48615,49034,49453,49872,50291,50710,51129,51548,51967,52386,52805,53224,53643,54062,54481,54900,55319,55738,56157,56576,56995,57414,57833,58252,58671,59090,59509,59928,60347,60766,61185,61604,62023,62442,62861,63280,63699,64118,64537,64956,65375,65794,66213,66632,67051,67470,67889,68308,68727,69146,69565,69984,70403,70822,71241,71660,72079,72498,72917,73336,73755,74174,74593,75012,75431,75850,76269,76688,77107,77526,77945,78364,78783,79202,79621,80040,80459,80878,81297,81716,82135,82554,82973,83392,83811,84230,84649,85068,85487,85906,86325,86744,87163,87582,88001,88420,88839,89258,89677,90096,90515,90934,91353,91772,92191,92610,93029,93448,93867,94286,94705,95124,95543,95962,96381,96800,97219,97638,98057,98476,98895,99314,99733,100152,100571,100990,101409,101828,102247,102666,103085,103504,103923,104342,104761,105180,105599,106018,106437,106856,107275,107694,108113,108532,108951,109370,109789,110208,110627,111046,111465,111884,112303,112722,113141,113560,113979,114398,114817,115236,115655,116074,116493,116912,117331,117750,118169,118588,119007,119426,119845,120264,120683,121102,121521,121940,122359,122778,123197,123616,124035,124454,124873,125292,125711,126130,126549,126968,127387,127806,128225,128644,129063,129482,129901,130320,130739,131158,131577,131996,132415,132834,133253,133672,134091,134510,134929,135348,135767,136186,136605,137024,137443,137862,138281,138700,139119,139538,139957,140376,140795,141214,141633,142052,142471,142890,143309,143728,144147,144566,144985,145404,145823,146242,146661,147080,147499,147918,148337,148756,149175,149594,150013,150432,150851,151270,151689,152108,152527,152946,153365,153784,154203,154622,155041,155460,155879,156298,156717,157136,157555,157974,158393,158812,159231,159650,160069,160488,160907,161326,161745,162164,162583,163002,163421,163840,164259,164678,165097,165516,165935,166354,166773,167192,167611,168030,168449,168868,169287,169706,170125,170544,170952,170963,171382,171801,172220,172639,173058,173477,173896,174315,174734,175153
