1,202,403,604,805,1006,1207,1408,1609,1810,2011,2212,2413,2614,2815,3016,3217,3418,3619,3820,4021,4222,4423,4624,4825,5026,5227,5428,5629,5830,6031,6232,6433,6634,6835,7036,7237,7438,7639,7840,8041,8242,8443,8644,8845,9046,9247,9448,9649,9850,10051,10252,10453,10654,10855,11056,11257,11458,11659,11860,12061,12262,12463,12664,12865,13066,13267,13468,13669,13870,14071,14272,14473,14674,14875,15076,15277,15478,15679,15880,16081,16282,16483,16684,16885,17086,17287,17488,17689,17890,18091,18292,18493,18694,18895,19096,19297,19498,19699,19900,20101,-20099,-19898,-19697,-19496,-19295,-19094,-18893,-18692,-18491,-18290,-18089,-17888,-17687,-17486,-17285,-17084,-16883,-16682,-16481,-16280,-16079,-15878,-15677,-15476,-15275,-15074,-14873,-14672,-14471,-14270,-14069,-13868,-13667,-13466,-13265,-13064,-12863,-12662,-12461,-12260,-12059,-11858,-11657,-11456,-11255,-11054,-10853,-10652,-10451,-10250,-10049,-9848,-9647,-9446,-9245,-9044,-8843,-8642,-8441,-8240,-8039,-7838,-7637,-7436,-7235,-7034,-6833,-6632,-6431,-6230,-6029,-5828,-5627,-5426,-5225,-5024,-4823,-4622,-4421,-4220,-4019,-3818,-3617,-3416,-3215,-3014,-2813,-2612,-2411,-2210,-2009,-1808,-1607,-1406,-1205,-1004,-803,-602,-401,-201,-200,MAX=20101
2,203,404,605,806,1007,1208,1409,1610,1811,2012,2213,2414,2615,2816,3017,3218,3419,3620,3821,4022,4223,4424,4625,4826,5027,5228,5429,5630,5831,6032,6233,6434,6635,6836,7037,7238,7439,7640,7841,8042,8243,8444,8645,8846,9047,9248,9449,9650,9851,10052,10253,10454,10655,10856,11057,11258,11459,11660,11861,12062,12263,12464,12665,12866,13067,13268,13469,13670,13871,14072,14273,14474,14675,14876,15077,15278,15479,15680,15881,16082,16283,16484,16685,16886,17087,17288,17489,17690,17891,18092,18293,18494,18695,18896,19097,19298,19499,19700,19901,20102,-20098,-19897,-19696,-19495,-19294,-19093,-18892,-18691,-18490,-18289,-18088,-17887,-17686,-17485,-17284,-17083,-16882,-16681,-16480,-16279,-16078,-15877,-15676,-15475,-15274,-15073,-14872,-14671,-14470,-14269,-14068,-13867,-13666,-13465,-13264,-13063,-12862,-12661,-12460,-12259,-12058,-11857,-11656,-11455,-11254,-11053,-10852,-10651,-10450,-10249,-10048,-9847,-9646,-9445,-9244,-9043,-8842,-8641,-8440,-8239,-8038,-7837,-7636,-7435,-7234,-7033,-6832,-6631,-6430,-6229,-6028,-5827,-5626,-5425,-5224,-5023,-4822,-4621,-4420,-4219,-4018,-3817,-3616,-3415,-3214,-3013,-2812,-2611,-2410,-2209,-2008,-1807,-1606,-1405,-1204,-1003,-802,-601,-402,-400,-199,MAX=20102
3,204,405,606,807,1008,1209,1410,1611,1812,2013,2214,2415,2616,2817,3018,3219,3420,3621,3822,4023,4224,4425,4626,4827,5028,5229,5430,5631,5832,6033,6234,6435,6636,6837,7038,7239,7440,7641,7842,8043,8244,8445,8646,8847,9048,9249,9450,9651,9852,10053,10254,10455,10656,10857,11058,11259,11460,11661,11862,12063,12264,12465,12666,12867,13068,13269,13470,13671,13872,14073,14274,14475,14676,14877,15078,15279,15480,15681,15882,16083,16284,16485,16686,16887,17088,17289,17490,17691,17892,18093,18294,18495,18696,18897,19098,19299,19500,19701,19902,20103,-20097,-19896,-19695,-19494,-19293,-19092,-18891,-18690,-18489,-18288,-18087,-17886,-17685,-17484,-17283,-17082,-16881,-16680,-16479,-16278,-16077,-15876,-15675,-15474,-15273,-15072,-14871,-14670,-14469,-14268,-14067,-13866,-13665,-13464,-13263,-13062,-12861,-12660,-12459,-12258,-12057,-11856,-11655,-11454,-11253,-11052,-10851,-10650,-10449,-10248,-10047,-9846,-9645,-9444,-9243,-9042,-8841,-8640,-8439,-8238,-8037,-7836,-7635,-7434,-7233,-7032,-6831,-6630,-6429,-6228,-6027,-5826,-5625,-5424,-5223,-5022,-4821,-4620,-4419,-4218,-4017,-3816,-3615,-3414,-3213,-3012,-2811,-2610,-2409,-2208,-2007,-1806,-1605,-1404,-1203,-1002,-801,-603,-600,-399,-198,MAX=20103
4,205,406,607,808,1009,1210,1411,1612,1813,2014,2215,2416,2617,2818,3019,3220,3421,3622,3823,4024,4225,4426,4627,4828,5029,5230,5431,5632,5833,6034,6235,6436,6637,6838,7039,7240,7441,7642,7843,8044,8245,8446,8647,8848,9049,9250,9451,9652,9853,10054,10255,10456,10657,10858,11059,11260,11461,11662,11863,12064,12265,12466,12667,12868,13069,13270,13471,13672,13873,14074,14275,14476,14677,14878,15079,15280,15481,15682,15883,16084,16285,16486,16687,16888,17089,17290,17491,17692,17893,18094,18295,18496,18697,18898,19099,19300,19501,19702,19903,20104,-20096,-19895,-19694,-19493,-19292,-19091,-18890,-18689,-18488,-18287,-18086,-17885,-17684,-17483,-17282,-17081,-16880,-16679,-16478,-16277,-16076,-15875,-15674,-15473,-15272,-15071,-14870,-14669,-14468,-14267,-14066,-13865,-13664,-13463,-13262,-13061,-12860,-12659,-12458,-12257,-12056,-11855,-11654,-11453,-11252,-11051,-10850,-10649,-10448,-10247,-10046,-9845,-9644,-9443,-9242,-9041,-8840,-8639,-8438,-8237,-8036,-7835,-7634,-7433,-7232,-7031,-6830,-6629,-6428,-6227,-6026,-5825,-5624,-5423,-5222,-5021,-4820,-4619,-4418,-4217,-4016,-3815,-3614,-3413,-3212,-3011,-2810,-2609,-2408,-2207,-2006,-1805,-1604,-1403,-1202,-1001,-804,-800,-599,-398,-197,MAX=20104
5,206,407,608,809,1010,1211,1412,1613,1814,2015,2216,2417,2618,2819,3020,3221,3422,3623,3824,4025,4226,4427,4628,4829,5030,5231,5432,5633,5834,6035,6236,6437,6638,6839,7040,7241,7442,7643,7844,8045,8246,8447,8648,8849,9050,9251,9452,9653,9854,10055,10256,10457,10658,10859,11060,11261,11462,11663,11864,12065,12266,12467,12668,12869,13070,13271,13472,13673,13874,14075,14276,14477,14678,14879,15080,15281,15482,15683,15884,16085,16286,16487,16688,16889,17090,17291,17492,17693,17894,18095,18296,18497,18698,18899,19100,19301,19502,19703,19904,20105,-20095,-19894,-19693,-19492,-19291,-19090,-18889,-18688,-18487,-18286,-18085,-17884,-17683,-17482,-17281,-17080,-16879,-16678,-16477,-16276,-16075,-15874,-15673,-15472,-15271,-15070,-14869,-14668,-14467,-14266,-14065,-13864,-13663,-13462,-13261,-13060,-12859,-12658,-12457,-12256,-12055,-11854,-11653,-11452,-11251,-11050,-10849,-10648,-10447,-10246,-10045,-9844,-9643,-9442,-9241,-9040,-8839,-8638,-8437,-8236,-8035,-7834,-7633,-7432,-7231,-7030,-6829,-6628,-6427,-6226,-6025,-5824,-5623,-5422,-5221,-5020,-4819,-4618,-4417,-4216,-4015,-3814,-3613,-3412,-3211,-3010,-2809,-2608,-2407,-2206,-2005,-1804,-1603,-1402,-1201,-1005,-1000,-799,-598,-397,-196,MAX=20105
6,207,408,609,810,1011,1212,1413,1614,1815,2016,2217,2418,2619,2820,3021,3222,3423,3624,3825,4026,4227,4428,4629,4830,5031,5232,5433,5634,5835,6036,6237,6438,6639,6840,7041,7242,7443,7644,7845,8046,8247,8448,8649,8850,9051,9252,9453,9654,9855,10056,10257,10458,10659,10860,11061,11262,11463,11664,11865,12066,12267,12468,12669,12870,13071,13272,13473,13674,13875,14076,14277,14478,14679,14880,15081,15282,15483,15684,15885,16086,16287,16488,16689,16890,17091,17292,17493,17694,17895,18096,18297,18498,18699,18900,19101,19302,19503,19704,19905,20106,-20094,-19893,-19692,-19491,-19290,-19089,-18888,-18687,-18486,-18285,-18084,-17883,-17682,-17481,-17280,-17079,-16878,-16677,-16476,-16275,-16074,-15873,-15672,-15471,-15270,-15069,-14868,-14667,-14466,-14265,-14064,-13863,-13662,-13461,-13260,-13059,-12858,-12657,-12456,-12255,-12054,-11853,-11652,-11451,-11250,-11049,-10848,-10647,-10446,-10245,-10044,-9843,-9642,-9441,-9240,-9039,-8838,-8637,-8436,-8235,-8034,-7833,-7632,-7431,-7230,-7029,-6828,-6627,-6426,-6225,-6024,-5823,-5622,-5421,-5220,-5019,-4818,-4617,-4416,-4215,-4014,-3813,-3612,-3411,-3210,-3009,-2808,-2607,-2406,-2205,-2004,-1803,-1602,-1401,-1206,-1200,-999,-798,-597,-396,-195,MAX=20106
7,208,409,610,811,1012,1213,1414,1615,1816,2017,2218,2419,2620,2821,3022,3223,3424,3625,3826,4027,4228,4429,4630,4831,5032,5233,5434,5635,5836,6037,6238,6439,6640,6841,7042,7243,7444,7645,7846,8047,8248,8449,8650,8851,9052,9253,9454,9655,9856,10057,10258,10459,10660,10861,11062,11263,11464,11665,11866,12067,12268,12469,12670,12871,13072,13273,13474,13675,13876,14077,14278,14479,14680,14881,15082,15283,15484,15685,15886,16087,16288,16489,16690,16891,17092,17293,17494,17695,17896,18097,18298,18499,18700,18901,19102,19303,19504,19705,19906,20107,-20093,-19892,-19691,-19490,-19289,-19088,-18887,-18686,-18485,-18284,-18083,-17882,-17681,-17480,-17279,-17078,-16877,-16676,-16475,-16274,-16073,-15872,-15671,-15470,-15269,-15068,-14867,-14666,-14465,-14264,-14063,-13862,-13661,-13460,-13259,-13058,-12857,-12656,-12455,-12254,-12053,-11852,-11651,-11450,-11249,-11048,-10847,-10646,-10445,-10244,-10043,-9842,-9641,-9440,-9239,-9038,-8837,-8636,-8435,-8234,-8033,-7832,-7631,-7430,-7229,-7028,-6827,-6626,-6425,-6224,-6023,-5822,-5621,-5420,-5219,-5018,-4817,-4616,-4415,-4214,-4013,-3812,-3611,-3410,-3209,-3008,-2807,-2606,-2405,-2204,-2003,-1802,-1601,-1407,-1400,-1199,-998,-797,-596,-395,-194,MAX=20107
8,209,410,611,812,1013,1214,1415,1616,1817,2018,2219,2420,2621,2822,3023,3224,3425,3626,3827,4028,4229,4430,4631,4832,5033,5234,5435,5636,5837,6038,6239,6440,6641,6842,7043,7244,7445,7646,7847,8048,8249,8450,8651,8852,9053,9254,9455,9656,9857,10058,10259,10460,10661,10862,11063,11264,11465,11666,11867,12068,12269,12470,12671,12872,13073,13274,13475,13676,13877,14078,14279,14480,14681,14882,15083,15284,15485,15686,15887,16088,16289,16490,16691,16892,17093,17294,17495,17696,17897,18098,18299,18500,18701,18902,19103,19304,19505,19706,19907,20108,-20092,-19891,-19690,-19489,-19288,-19087,-18886,-18685,-18484,-18283,-18082,-17881,-17680,-17479,-17278,-17077,-16876,-16675,-16474,-16273,-16072,-15871,-15670,-15469,-15268,-15067,-14866,-14665,-14464,-14263,-14062,-13861,-13660,-13459,-13258,-13057,-12856,-12655,-12454,-12253,-12052,-11851,-11650,-11449,-11248,-11047,-10846,-10645,-10444,-10243,-10042,-9841,-9640,-9439,-9238,-9037,-8836,-8635,-8434,-8233,-8032,-7831,-7630,-7429,-7228,-7027,-6826,-6625,-6424,-6223,-6022,-5821,-5620,-5419,-5218,-5017,-4816,-4615,-4414,-4213,-4012,-3811,-3610,-3409,-3208,-3007,-2806,-2605,-2404,-2203,-2002,-1801,-1608,-1600,-1399,-1198,-997,-796,-595,-394,-193,MAX=20108
9,210,411,612,813,1014,1215,1416,1617,1818,2019,2220,2421,2622,2823,3024,3225,3426,3627,3828,4029,4230,4431,4632,4833,5034,5235,5436,5637,5838,6039,6240,6441,6642,6843,7044,7245,7446,7647,7848,8049,8250,8451,8652,8853,9054,9255,9456,9657,9858,10059,10260,10461,10662,10863,11064,11265,11466,11667,11868,12069,12270,12471,12672,12873,13074,13275,13476,13677,13878,14079,14280,14481,14682,14883,15084,15285,15486,15687,15888,16089,16290,16491,16692,16893,17094,17295,17496,17697,17898,18099,18300,18501,18702,18903,19104,19305,19506,19707,19908,20109,-20091,-19890,-19689,-19488,-19287,-19086,-18885,-18684,-18483,-18282,-18081,-17880,-17679,-17478,-17277,-17076,-16875,-16674,-16473,-16272,-16071,-15870,-15669,-15468,-15267,-15066,-14865,-14664,-14463,-14262,-14061,-13860,-13659,-13458,-13257,-13056,-12855,-12654,-12453,-12252,-12051,-11850,-11649,-11448,-11247,-11046,-10845,-10644,-10443,-10242,-10041,-9840,-9639,-9438,-9237,-9036,-8835,-8634,-8433,-8232,-8031,-7830,-7629,-7428,-7227,-7026,-6825,-6624,-6423,-6222,-6021,-5820,-5619,-5418,-5217,-5016,-4815,-4614,-4413,-4212,-4011,-3810,-3609,-3408,-3207,-3006,-2805,-2604,-2403,-2202,-2001,-1809,-1800,-1599,-1398,-1197,-996,-795,-594,-393,-192,MAX=20109
10,211,412,613,814,1015,1216,1417,1618,1819,2020,2221,2422,2623,2824,3025,3226,3427,3628,3829,4030,4231,4432,4633,4834,5035,5236,5437,5638,5839,6040,6241,6442,6643,6844,7045,7246,7447,7648,7849,8050,8251,8452,8653,8854,9055,9256,9457,9658,9859,10060,10261,10462,10663,10864,11065,11266,11467,11668,11869,12070,12271,12472,12673,12874,13075,13276,13477,13678,13879,14080,14281,14482,14683,14884,15085,15286,15487,15688,15889,16090,16291,16492,16693,16894,17095,17296,17497,17698,17899,18100,18301,18502,18703,18904,19105,19306,19507,19708,19909,20110,-20090,-19889,-19688,-19487,-19286,-19085,-18884,-18683,-18482,-18281,-18080,-17879,-17678,-17477,-17276,-17075,-16874,-16673,-16472,-16271,-16070,-15869,-15668,-15467,-15266,-15065,-14864,-14663,-14462,-14261,-14060,-13859,-13658,-13457,-13256,-13055,-12854,-12653,-12452,-12251,-12050,-11849,-11648,-11447,-11246,-11045,-10844,-10643,-10442,-10241,-10040,-9839,-9638,-9437,-9236,-9035,-8834,-8633,-8432,-8231,-8030,-7829,-7628,-7427,-7226,-7025,-6824,-6623,-6422,-6221,-6020,-5819,-5618,-5417,-5216,-5015,-4814,-4613,-4412,-4211,-4010,-3809,-3608,-3407,-3206,-3005,-2804,-2603,-2402,-2201,-2010,-2000,-1799,-1598,-1397,-1196,-995,-794,-593,-392,-191,MAX=20110
11,212,413,614,815,1016,1217,1418,1619,1820,2021,2222,2423,2624,2825,3026,3227,3428,3629,3830,4031,4232,4433,4634,4835,5036,5237,5438,5639,5840,6041,6242,6443,6644,6845,7046,7247,7448,7649,7850,8051,8252,8453,8654,8855,9056,9257,9458,9659,9860,10061,10262,10463,10664,10865,11066,11267,11468,11669,11870,12071,12272,12473,12674,12875,13076,13277,13478,13679,13880,14081,14282,14483,14684,14885,15086,15287,15488,15689,15890,16091,16292,16493,16694,16895,17096,17297,17498,17699,17900,18101,18302,18503,18704,18905,19106,19307,19508,19709,19910,20111,-20089,-19888,-19687,-19486,-19285,-19084,-18883,-18682,-18481,-18280,-18079,-17878,-17677,-17476,-17275,-17074,-16873,-16672,-16471,-16270,-16069,-15868,-15667,-15466,-15265,-15064,-14863,-14662,-14461,-14260,-14059,-13858,-13657,-13456,-13255,-13054,-12853,-12652,-12451,-12250,-12049,-11848,-11647,-11446,-11245,-11044,-10843,-10642,-10441,-10240,-10039,-9838,-9637,-9436,-9235,-9034,-8833,-8632,-8431,-8230,-8029,-7828,-7627,-7426,-7225,-7024,-6823,-6622,-6421,-6220,-6019,-5818,-5617,-5416,-5215,-5014,-4813,-4612,-4411,-4210,-4009,-3808,-3607,-3406,-3205,-3004,-2803,-2602,-2401,-2211,-2200,-1999,-1798,-1597,-1396,-1195,-994,-793,-592,-391,-190,MAX=20111
