1,298,595,892,1189,1486,1783,2080,2377,2674,2971,3268,3565,3862,4159,4456,4753,5050,5347,5644,5941,6238,6535,6832,7129,7426,7723,8020,8317,8614,8911,9208,9505,9802,10099,10396,10693,10990,11287,11584,11881,12178,12475,12772,13069,13366,13663,13960,14257,14554,14851,15148,15445,15742,16039,16336,16633,16930,17227,17524,17821,18118,18415,18712,19009,19306,19603,19900,20197,20494,20791,21088,21385,21682,21979,22276,22573,22870,23167,23464,23761,24058,24355,24652,24949,25246,25543,25840,26137,26434,26731,27028,27325,27622,27919,28216,28513,28810,29107,29404,29701,29998,30295,30592,30889,31186,31483,31780,32077,32374,32671,32968,33265,33562,33859,34156,34453,34750,35047,35344,35641,35938,36235,36532,36829,37126,37423,37720,38017,38314,38611,38908,39205,39502,39799,40096,40393,40690,40987,41284,41581,41878,42175,42472,42769,43066,43363,43660,43957,-43955,-43658,-43361,-43064,-42767,-42470,-42173,-41876,-41579,-41282,-40985,-40688,-40391,-40094,-39797,-39500,-39203,-38906,-38609,-38312,-38015,-37718,-37421,-37124,-36827,-36530,-36233,-35936,-35639,-35342,-35045,-34748,-34451,-34154,-33857,-33560,-33263,-32966,-32669,-32372,-32075,-31778,-31481,-31184,-30887,-30590,-30293,-29996,-29699,-29402,-29105,-28808,-28511,-28214,-27917,-27620,-27323,-27026,-26729,-26432,-26135,-25838,-25541,-25244,-24947,-24650,-24353,-24056,-23759,-23462,-23165,-22868,-22571,-22274,-21977,-21680,-21383,-21086,-20789,-20492,-20195,-19898,-19601,-19304,-19007,-18710,-18413,-18116,-17819,-17522,-17225,-16928,-16631,-16334,-16037,-15740,-15443,-15146,-14849,-14552,-14255,-13958,-13661,-13364,-13067,-12770,-12473,-12176,-11879,-11582,-11285,-10988,-10691,-10394,-10097,-9800,-9503,-9206,-8909,-8612,-8315,-8018,-7721,-7424,-7127,-6830,-6533,-6236,-5939,-5642,-5345,-5048,-4751,-4454,-4157,-3860,-3563,-3266,-2969,-2672,-2375,-2078,-1781,-1484,-1187,-890,-593,-297,-296,MAX=43957
2,299,596,893,1190,1487,1784,2081,2378,2675,2972,3269,3566,3863,4160,4457,4754,5051,5348,5645,5942,6239,6536,6833,7130,7427,7724,8021,8318,8615,8912,9209,9506,9803,10100,10397,10694,10991,11288,11585,11882,12179,12476,12773,13070,13367,13664,13961,14258,14555,14852,15149,15446,15743,16040,16337,16634,16931,17228,17525,17822,18119,18416,18713,19010,19307,19604,19901,20198,20495,20792,21089,21386,21683,21980,22277,22574,22871,23168,23465,23762,24059,24356,24653,24950,25247,25544,25841,26138,26435,26732,27029,27326,27623,27920,28217,28514,28811,29108,29405,29702,29999,30296,30593,30890,31187,31484,31781,32078,32375,32672,32969,33266,33563,33860,34157,34454,34751,35048,35345,35642,35939,36236,36533,36830,37127,37424,37721,38018,38315,38612,38909,39206,39503,39800,40097,40394,40691,40988,41285,41582,41879,42176,42473,42770,43067,43364,43661,43958,-43954,-43657,-43360,-43063,-42766,-42469,-42172,-41875,-41578,-41281,-40984,-40687,-40390,-40093,-39796,-39499,-39202,-38905,-38608,-38311,-38014,-37717,-37420,-37123,-36826,-36529,-36232,-35935,-35638,-35341,-35044,-34747,-34450,-34153,-33856,-33559,-33262,-32965,-32668,-32371,-32074,-31777,-31480,-31183,-30886,-30589,-30292,-29995,-29698,-29401,-29104,-28807,-28510,-28213,-27916,-27619,-27322,-27025,-26728,-26431,-26134,-25837,-25540,-25243,-24946,-24649,-24352,-24055,-23758,-23461,-23164,-22867,-22570,-22273,-21976,-21679,-21382,-21085,-20788,-20491,-20194,-19897,-19600,-19303,-19006,-18709,-18412,-18115,-17818,-17521,-17224,-16927,-16630,-16333,-16036,-15739,-15442,-15145,-14848,-14551,-14254,-13957,-13660,-13363,-13066,-12769,-12472,-12175,-11878,-11581,-11284,-10987,-10690,-10393,-10096,-9799,-9502,-9205,-8908,-8611,-8314,-8017,-7720,-7423,-7126,-6829,-6532,-6235,-5938,-5641,-5344,-5047,-4750,-4453,-4156,-3859,-3562,-3265,-2968,-2671,-2374,-2077,-1780,-1483,-1186,-889,-594,-592,-295,MAX=43958
3,300,597,894,1191,1488,1785,2082,2379,2676,2973,3270,3567,3864,4161,4458,4755,5052,5349,5646,5943,6240,6537,6834,7131,7428,7725,8022,8319,8616,8913,9210,9507,9804,10101,10398,10695,10992,11289,11586,11883,12180,12477,12774,13071,13368,13665,13962,14259,14556,14853,15150,15447,15744,16041,16338,16635,16932,17229,17526,17823,18120,18417,18714,19011,19308,19605,19902,20199,20496,20793,21090,21387,21684,21981,22278,22575,22872,23169,23466,23763,24060,24357,24654,24951,25248,25545,25842,26139,26436,26733,27030,27327,27624,27921,28218,28515,28812,29109,29406,29703,30000,30297,30594,30891,31188,31485,31782,32079,32376,32673,32970,33267,33564,33861,34158,34455,34752,35049,35346,35643,35940,36237,36534,36831,37128,37425,37722,38019,38316,38613,38910,39207,39504,39801,40098,40395,40692,40989,41286,41583,41880,42177,42474,42771,43068,43365,43662,43959,-43953,-43656,-43359,-43062,-42765,-42468,-42171,-41874,-41577,-41280,-40983,-40686,-40389,-40092,-39795,-39498,-39201,-38904,-38607,-38310,-38013,-37716,-37419,-37122,-36825,-36528,-36231,-35934,-35637,-35340,-35043,-34746,-34449,-34152,-33855,-33558,-33261,-32964,-32667,-32370,-32073,-31776,-31479,-31182,-30885,-30588,-30291,-29994,-29697,-29400,-29103,-28806,-28509,-28212,-27915,-27618,-27321,-27024,-26727,-26430,-26133,-25836,-25539,-25242,-24945,-24648,-24351,-24054,-23757,-23460,-23163,-22866,-22569,-22272,-21975,-21678,-21381,-21084,-20787,-20490,-20193,-19896,-19599,-19302,-19005,-18708,-18411,-18114,-17817,-17520,-17223,-16926,-16629,-16332,-16035,-15738,-15441,-15144,-14847,-14550,-14253,-13956,-13659,-13362,-13065,-12768,-12471,-12174,-11877,-11580,-11283,-10986,-10689,-10392,-10095,-9798,-9501,-9204,-8907,-8610,-8313,-8016,-7719,-7422,-7125,-6828,-6531,-6234,-5937,-5640,-5343,-5046,-4749,-4452,-4155,-3858,-3561,-3264,-2967,-2670,-2373,-2076,-1779,-1482,-1185,-891,-888,-591,-294,MAX=43959
4,301,598,895,1192,1489,1786,2083,2380,2677,2974,3271,3568,3865,4162,4459,4756,5053,5350,5647,5944,6241,6538,6835,7132,7429,7726,8023,8320,8617,8914,9211,9508,9805,10102,10399,10696,10993,11290,11587,11884,12181,12478,12775,13072,13369,13666,13963,14260,14557,14854,15151,15448,15745,16042,16339,16636,16933,17230,17527,17824,18121,18418,18715,19012,19309,19606,19903,20200,20497,20794,21091,21388,21685,21982,22279,22576,22873,23170,23467,23764,24061,24358,24655,24952,25249,25546,25843,26140,26437,26734,27031,27328,27625,27922,28219,28516,28813,29110,29407,29704,30001,30298,30595,30892,31189,31486,31783,32080,32377,32674,32971,33268,33565,33862,34159,34456,34753,35050,35347,35644,35941,36238,36535,36832,37129,37426,37723,38020,38317,38614,38911,39208,39505,39802,40099,40396,40693,40990,41287,41584,41881,42178,42475,42772,43069,43366,43663,43960,-43952,-43655,-43358,-43061,-42764,-42467,-42170,-41873,-41576,-41279,-40982,-40685,-40388,-40091,-39794,-39497,-39200,-38903,-38606,-38309,-38012,-37715,-37418,-37121,-36824,-36527,-36230,-35933,-35636,-35339,-35042,-34745,-34448,-34151,-33854,-33557,-33260,-32963,-32666,-32369,-32072,-31775,-31478,-31181,-30884,-30587,-30290,-29993,-29696,-29399,-29102,-28805,-28508,-28211,-27914,-27617,-27320,-27023,-26726,-26429,-26132,-25835,-25538,-25241,-24944,-24647,-24350,-24053,-23756,-23459,-23162,-22865,-22568,-22271,-21974,-21677,-21380,-21083,-20786,-20489,-20192,-19895,-19598,-19301,-19004,-18707,-18410,-18113,-17816,-17519,-17222,-16925,-16628,-16331,-16034,-15737,-15440,-15143,-14846,-14549,-14252,-13955,-13658,-13361,-13064,-12767,-12470,-12173,-11876,-11579,-11282,-10985,-10688,-10391,-10094,-9797,-9500,-9203,-8906,-8609,-8312,-8015,-7718,-7421,-7124,-6827,-6530,-6233,-5936,-5639,-5342,-5045,-4748,-4451,-4154,-3857,-3560,-3263,-2966,-2669,-2372,-2075,-1778,-1481,-1188,-1184,-887,-590,-293,MAX=43960
5,302,599,896,1193,1490,1787,2084,2381,2678,2975,3272,3569,3866,4163,4460,4757,5054,5351,5648,5945,6242,6539,6836,7133,7430,7727,8024,8321,8618,8915,9212,9509,9806,10103,10400,10697,10994,11291,11588,11885,12182,12479,12776,13073,13370,13667,13964,14261,14558,14855,15152,15449,15746,16043,16340,16637,16934,17231,17528,17825,18122,18419,18716,19013,19310,19607,19904,20201,20498,20795,21092,21389,21686,21983,22280,22577,22874,23171,23468,23765,24062,24359,24656,24953,25250,25547,25844,26141,26438,26735,27032,27329,27626,27923,28220,28517,28814,29111,29408,29705,30002,30299,30596,30893,31190,31487,31784,32081,32378,32675,32972,33269,33566,33863,34160,34457,34754,35051,35348,35645,35942,36239,36536,36833,37130,37427,37724,38021,38318,38615,38912,39209,39506,39803,40100,40397,40694,40991,41288,41585,41882,42179,42476,42773,43070,43367,43664,43961,-43951,-43654,-43357,-43060,-42763,-42466,-42169,-41872,-41575,-41278,-40981,-40684,-40387,-40090,-39793,-39496,-39199,-38902,-38605,-38308,-38011,-37714,-37417,-37120,-36823,-36526,-36229,-35932,-35635,-35338,-35041,-34744,-34447,-34150,-33853,-33556,-33259,-32962,-32665,-32368,-32071,-31774,-31477,-31180,-30883,-30586,-30289,-29992,-29695,-29398,-29101,-28804,-28507,-28210,-27913,-27616,-27319,-27022,-26725,-26428,-26131,-25834,-25537,-25240,-24943,-24646,-24349,-24052,-23755,-23458,-23161,-22864,-22567,-22270,-21973,-21676,-21379,-21082,-20785,-20488,-20191,-19894,-19597,-19300,-19003,-18706,-18409,-18112,-17815,-17518,-17221,-16924,-16627,-16330,-16033,-15736,-15439,-15142,-14845,-14548,-14251,-13954,-13657,-13360,-13063,-12766,-12469,-12172,-11875,-11578,-11281,-10984,-10687,-10390,-10093,-9796,-9499,-9202,-8905,-8608,-8311,-8014,-7717,-7420,-7123,-6826,-6529,-6232,-5935,-5638,-5341,-5044,-4747,-4450,-4153,-3856,-3559,-3262,-2965,-2668,-2371,-2074,-1777,-1485,-1480,-1183,-886,-589,-292,MAX=43961
6,303,600,897,1194,1491,1788,2085,2382,2679,2976,3273,3570,3867,4164,4461,4758,5055,5352,5649,5946,6243,6540,6837,7134,7431,7728,8025,8322,8619,8916,9213,9510,9807,10104,10401,10698,10995,11292,11589,11886,12183,12480,12777,13074,13371,13668,13965,14262,14559,14856,15153,15450,15747,16044,16341,16638,16935,17232,17529,17826,18123,18420,18717,19014,19311,19608,19905,20202,20499,20796,21093,21390,21687,21984,22281,22578,22875,23172,23469,23766,24063,24360,24657,24954,25251,25548,25845,26142,26439,26736,27033,27330,27627,27924,28221,28518,28815,29112,29409,29706,30003,30300,30597,30894,31191,31488,31785,32082,32379,32676,32973,33270,33567,33864,34161,34458,34755,35052,35349,35646,35943,36240,36537,36834,37131,37428,37725,38022,38319,38616,38913,39210,39507,39804,40101,40398,40695,40992,41289,41586,41883,42180,42477,42774,43071,43368,43665,43962,-43950,-43653,-43356,-43059,-42762,-42465,-42168,-41871,-41574,-41277,-40980,-40683,-40386,-40089,-39792,-39495,-39198,-38901,-38604,-38307,-38010,-37713,-37416,-37119,-36822,-36525,-36228,-35931,-35634,-35337,-35040,-34743,-34446,-34149,-33852,-33555,-33258,-32961,-32664,-32367,-32070,-31773,-31476,-31179,-30882,-30585,-30288,-29991,-29694,-29397,-29100,-28803,-28506,-28209,-27912,-27615,-27318,-27021,-26724,-26427,-26130,-25833,-25536,-25239,-24942,-24645,-24348,-24051,-23754,-23457,-23160,-22863,-22566,-22269,-21972,-21675,-21378,-21081,-20784,-20487,-20190,-19893,-19596,-19299,-19002,-18705,-18408,-18111,-17814,-17517,-17220,-16923,-16626,-16329,-16032,-15735,-15438,-15141,-14844,-14547,-14250,-13953,-13656,-13359,-13062,-12765,-12468,-12171,-11874,-11577,-11280,-10983,-10686,-10389,-10092,-9795,-9498,-9201,-8904,-8607,-8310,-8013,-7716,-7419,-7122,-6825,-6528,-6231,-5934,-5637,-5340,-5043,-4746,-4449,-4152,-3855,-3558,-3261,-2964,-2667,-2370,-2073,-1782,-1776,-1479,-1182,-885,-588,-291,MAX=43962
7,304,601,898,1195,1492,1789,2086,2383,2680,2977,3274,3571,3868,4165,4462,4759,5056,5353,5650,5947,6244,6541,6838,7135,7432,7729,8026,8323,8620,8917,9214,9511,9808,10105,10402,10699,10996,11293,11590,11887,12184,12481,12778,13075,13372,13669,13966,14263,14560,14857,15154,15451,15748,16045,16342,16639,16936,17233,17530,17827,18124,18421,18718,19015,19312,19609,19906,20203,20500,20797,21094,21391,21688,21985,22282,22579,22876,23173,23470,23767,24064,24361,24658,24955,25252,25549,25846,26143,26440,26737,27034,27331,27628,27925,28222,28519,28816,29113,29410,29707,30004,30301,30598,30895,31192,31489,31786,32083,32380,32677,32974,33271,33568,33865,34162,34459,34756,35053,35350,35647,35944,36241,36538,36835,37132,37429,37726,38023,38320,38617,38914,39211,39508,39805,40102,40399,40696,40993,41290,41587,41884,42181,42478,42775,43072,43369,43666,43963,-43949,-43652,-43355,-43058,-42761,-42464,-42167,-41870,-41573,-41276,-40979,-40682,-40385,-40088,-39791,-39494,-39197,-38900,-38603,-38306,-38009,-37712,-37415,-37118,-36821,-36524,-36227,-35930,-35633,-35336,-35039,-34742,-34445,-34148,-33851,-33554,-33257,-32960,-32663,-32366,-32069,-31772,-31475,-31178,-30881,-30584,-30287,-29990,-29693,-29396,-29099,-28802,-28505,-28208,-27911,-27614,-27317,-27020,-26723,-26426,-26129,-25832,-25535,-25238,-24941,-24644,-24347,-24050,-23753,-23456,-23159,-22862,-22565,-22268,-21971,-21674,-21377,-21080,-20783,-20486,-20189,-19892,-19595,-19298,-19001,-18704,-18407,-18110,-17813,-17516,-17219,-16922,-16625,-16328,-16031,-15734,-15437,-15140,-14843,-14546,-14249,-13952,-13655,-13358,-13061,-12764,-12467,-12170,-11873,-11576,-11279,-10982,-10685,-10388,-10091,-9794,-9497,-9200,-8903,-8606,-8309,-8012,-7715,-7418,-7121,-6824,-6527,-6230,-5933,-5636,-5339,-5042,-4745,-4448,-4151,-3854,-3557,-3260,-2963,-2666,-2369,-2079,-2072,-1775,-1478,-1181,-884,-587,-290,MAX=43963
8,305,602,899,1196,1493,1790,2087,2384,2681,2978,3275,3572,3869,4166,4463,4760,5057,5354,5651,5948,6245,6542,6839,7136,7433,7730,8027,8324,8621,8918,9215,9512,9809,10106,10403,10700,10997,11294,11591,11888,12185,12482,12779,13076,13373,13670,13967,14264,14561,14858,15155,15452,15749,16046,16343,16640,16937,17234,17531,17828,18125,18422,18719,19016,19313,19610,19907,20204,20501,20798,21095,21392,21689,21986,22283,22580,22877,23174,23471,23768,24065,24362,24659,24956,25253,25550,25847,26144,26441,26738,27035,27332,27629,27926,28223,28520,28817,29114,29411,29708,30005,30302,30599,30896,31193,31490,31787,32084,32381,32678,32975,33272,33569,33866,34163,34460,34757,35054,35351,35648,35945,36242,36539,36836,37133,37430,37727,38024,38321,38618,38915,39212,39509,39806,40103,40400,40697,40994,41291,41588,41885,42182,42479,42776,43073,43370,43667,43964,-43948,-43651,-43354,-43057,-42760,-42463,-42166,-41869,-41572,-41275,-40978,-40681,-40384,-40087,-39790,-39493,-39196,-38899,-38602,-38305,-38008,-37711,-37414,-37117,-36820,-36523,-36226,-35929,-35632,-35335,-35038,-34741,-34444,-34147,-33850,-33553,-33256,-32959,-32662,-32365,-32068,-31771,-31474,-31177,-30880,-30583,-30286,-29989,-29692,-29395,-29098,-28801,-28504,-28207,-27910,-27613,-27316,-27019,-26722,-26425,-26128,-25831,-25534,-25237,-24940,-24643,-24346,-24049,-23752,-23455,-23158,-22861,-22564,-22267,-21970,-21673,-21376,-21079,-20782,-20485,-20188,-19891,-19594,-19297,-19000,-18703,-18406,-18109,-17812,-17515,-17218,-16921,-16624,-16327,-16030,-15733,-15436,-15139,-14842,-14545,-14248,-13951,-13654,-13357,-13060,-12763,-12466,-12169,-11872,-11575,-11278,-10981,-10684,-10387,-10090,-9793,-9496,-9199,-8902,-8605,-8308,-8011,-7714,-7417,-7120,-6823,-6526,-6229,-5932,-5635,-5338,-5041,-4744,-4447,-4150,-3853,-3556,-3259,-2962,-2665,-2376,-2368,-2071,-1774,-1477,-1180,-883,-586,-289,MAX=43964
9,306,603,900,1197,1494,1791,2088,2385,2682,2979,3276,3573,3870,4167,4464,4761,5058,5355,5652,5949,6246,6543,6840,7137,7434,7731,8028,8325,8622,8919,9216,9513,9810,10107,10404,10701,10998,11295,11592,11889,12186,12483,12780,13077,13374,13671,13968,14265,14562,14859,15156,15453,15750,16047,16344,16641,16938,17235,17532,17829,18126,18423,18720,19017,19314,19611,19908,20205,20502,20799,21096,21393,21690,21987,22284,22581,22878,23175,23472,23769,24066,24363,24660,24957,25254,25551,25848,26145,26442,26739,27036,27333,27630,27927,28224,28521,28818,29115,29412,29709,30006,30303,30600,30897,31194,31491,31788,32085,32382,32679,32976,33273,33570,33867,34164,34461,34758,35055,35352,35649,35946,36243,36540,36837,37134,37431,37728,38025,38322,38619,38916,39213,39510,39807,40104,40401,40698,40995,41292,41589,41886,42183,42480,42777,43074,43371,43668,43965,-43947,-43650,-43353,-43056,-42759,-42462,-42165,-41868,-41571,-41274,-40977,-40680,-40383,-40086,-39789,-39492,-39195,-38898,-38601,-38304,-38007,-37710,-37413,-37116,-36819,-36522,-36225,-35928,-35631,-35334,-35037,-34740,-34443,-34146,-33849,-33552,-33255,-32958,-32661,-32364,-32067,-31770,-31473,-31176,-30879,-30582,-30285,-29988,-29691,-29394,-29097,-28800,-28503,-28206,-27909,-27612,-27315,-27018,-26721,-26424,-26127,-25830,-25533,-25236,-24939,-24642,-24345,-24048,-23751,-23454,-23157,-22860,-22563,-22266,-21969,-21672,-21375,-21078,-20781,-20484,-20187,-19890,-19593,-19296,-18999,-18702,-18405,-18108,-17811,-17514,-17217,-16920,-16623,-16326,-16029,-15732,-15435,-15138,-14841,-14544,-14247,-13950,-13653,-13356,-13059,-12762,-12465,-12168,-11871,-11574,-11277,-10980,-10683,-10386,-10089,-9792,-9495,-9198,-8901,-8604,-8307,-8010,-7713,-7416,-7119,-6822,-6525,-6228,-5931,-5634,-5337,-5040,-4743,-4446,-4149,-3852,-3555,-3258,-2961,-2673,-2664,-2367,-2070,-1773,-1476,-1179,-882,-585,-288,MAX=43965
10,307,604,901,1198,1495,1792,2089,2386,2683,2980,3277,3574,3871,4168,4465,4762,5059,5356,5653,5950,6247,6544,6841,7138,7435,7732,8029,8326,8623,8920,9217,9514,9811,10108,10405,10702,10999,11296,11593,11890,12187,12484,12781,13078,13375,13672,13969,14266,14563,14860,15157,15454,15751,16048,16345,16642,16939,17236,17533,17830,18127,18424,18721,19018,19315,19612,19909,20206,20503,20800,21097,21394,21691,21988,22285,22582,22879,23176,23473,23770,24067,24364,24661,24958,25255,25552,25849,26146,26443,26740,27037,27334,27631,27928,28225,28522,28819,29116,29413,29710,30007,30304,30601,30898,31195,31492,31789,32086,32383,32680,32977,33274,33571,33868,34165,34462,34759,35056,35353,35650,35947,36244,36541,36838,37135,37432,37729,38026,38323,38620,38917,39214,39511,39808,40105,40402,40699,40996,41293,41590,41887,42184,42481,42778,43075,43372,43669,43966,-43946,-43649,-43352,-43055,-42758,-42461,-42164,-41867,-41570,-41273,-40976,-40679,-40382,-40085,-39788,-39491,-39194,-38897,-38600,-38303,-38006,-37709,-37412,-37115,-36818,-36521,-36224,-35927,-35630,-35333,-35036,-34739,-34442,-34145,-33848,-33551,-33254,-32957,-32660,-32363,-32066,-31769,-31472,-31175,-30878,-30581,-30284,-29987,-29690,-29393,-29096,-28799,-28502,-28205,-27908,-27611,-27314,-27017,-26720,-26423,-26126,-25829,-25532,-25235,-24938,-24641,-24344,-24047,-23750,-23453,-23156,-22859,-22562,-22265,-21968,-21671,-21374,-21077,-20780,-20483,-20186,-19889,-19592,-19295,-18998,-18701,-18404,-18107,-17810,-17513,-17216,-16919,-16622,-16325,-16028,-15731,-15434,-15137,-14840,-14543,-14246,-13949,-13652,-13355,-13058,-12761,-12464,-12167,-11870,-11573,-11276,-10979,-10682,-10385,-10088,-9791,-9494,-9197,-8900,-8603,-8306,-8009,-7712,-7415,-7118,-6821,-6524,-6227,-5930,-5633,-5336,-5039,-4742,-4445,-4148,-3851,-3554,-3257,-2970,-2960,-2663,-2366,-2069,-1772,-1475,-1178,-881,-584,-287,MAX=43966
11,308,605,902,1199,1496,1793,2090,2387,2684,2981,3278,3575,3872,4169,4466,4763,5060,5357,5654,5951,6248,6545,6842,7139,7436,7733,8030,8327,8624,8921,9218,9515,9812,10109,10406,10703,11000,11297,11594,11891,12188,12485,12782,13079,13376,13673,13970,14267,14564,14861,15158,15455,15752,16049,16346,16643,16940,17237,17534,17831,18128,18425,18722,19019,19316,19613,19910,20207,20504,20801,21098,21395,21692,21989,22286,22583,22880,23177,23474,23771,24068,24365,24662,24959,25256,25553,25850,26147,26444,26741,27038,27335,27632,27929,28226,28523,28820,29117,29414,29711,30008,30305,30602,30899,31196,31493,31790,32087,32384,32681,32978,33275,33572,33869,34166,34463,34760,35057,35354,35651,35948,36245,36542,36839,37136,37433,37730,38027,38324,38621,38918,39215,39512,39809,40106,40403,40700,40997,41294,41591,41888,42185,42482,42779,43076,43373,43670,43967,-43945,-43648,-43351,-43054,-42757,-42460,-42163,-41866,-41569,-41272,-40975,-40678,-40381,-40084,-39787,-39490,-39193,-38896,-38599,-38302,-38005,-37708,-37411,-37114,-36817,-36520,-36223,-35926,-35629,-35332,-35035,-34738,-34441,-34144,-33847,-33550,-33253,-32956,-32659,-32362,-32065,-31768,-31471,-31174,-30877,-30580,-30283,-29986,-29689,-29392,-29095,-28798,-28501,-28204,-27907,-27610,-27313,-27016,-26719,-26422,-26125,-25828,-25531,-25234,-24937,-24640,-24343,-24046,-23749,-23452,-23155,-22858,-22561,-22264,-21967,-21670,-21373,-21076,-20779,-20482,-20185,-19888,-19591,-19294,-18997,-18700,-18403,-18106,-17809,-17512,-17215,-16918,-16621,-16324,-16027,-15730,-15433,-15136,-14839,-14542,-14245,-13948,-13651,-13354,-13057,-12760,-12463,-12166,-11869,-11572,-11275,-10978,-10681,-10384,-10087,-9790,-9493,-9196,-8899,-8602,-8305,-8008,-7711,-7414,-7117,-6820,-6523,-6226,-5929,-5632,-5335,-5038,-4741,-4444,-4147,-3850,-3553,-3267,-3256,-2959,-2662,-2365,-2068,-1771,-1474,-1177,-880,-583,-286,MAX=43967
