1,316,631,946,1261,1576,1891,2206,2521,2836,3151,3466,3781,4096,4411,4726,5041,5356,5671,5986,6301,6616,6931,7246,7561,7876,8191,8506,8821,9136,9451,9766,10081,10396,10711,11026,11341,11656,11971,12286,12601,12916,13231,13546,13861,14176,14491,14806,15121,15436,15751,16066,16381,16696,17011,17326,17641,17956,18271,18586,18901,19216,19531,19846,20161,20476,20791,21106,21421,21736,22051,22366,22681,22996,23311,23626,23941,24256,24571,24886,25201,25516,25831,26146,26461,26776,27091,27406,27721,28036,28351,28666,28981,29296,29611,29926,30241,30556,30871,31186,31501,31816,32131,32446,32761,33076,33391,33706,34021,34336,34651,34966,35281,35596,35911,36226,36541,36856,37171,37486,37801,38116,38431,38746,39061,39376,39691,40006,40321,40636,40951,41266,41581,41896,42211,42526,42841,43156,43471,43786,44101,44416,44731,45046,45361,45676,45991,46306,46621,46936,47251,47566,47881,48196,48511,48826,49141,49456,-49454,-49139,-48824,-48509,-48194,-47879,-47564,-47249,-46934,-46619,-46304,-45989,-45674,-45359,-45044,-44729,-44414,-44099,-43784,-43469,-43154,-42839,-42524,-42209,-41894,-41579,-41264,-40949,-40634,-40319,-40004,-39689,-39374,-39059,-38744,-38429,-38114,-37799,-37484,-37169,-36854,-36539,-36224,-35909,-35594,-35279,-34964,-34649,-34334,-34019,-33704,-33389,-33074,-32759,-32444,-32129,-31814,-31499,-31184,-30869,-30554,-30239,-29924,-29609,-29294,-28979,-28664,-28349,-28034,-27719,-27404,-27089,-26774,-26459,-26144,-25829,-25514,-25199,-24884,-24569,-24254,-23939,-23624,-23309,-22994,-22679,-22364,-22049,-21734,-21419,-21104,-20789,-20474,-20159,-19844,-19529,-19214,-18899,-18584,-18269,-17954,-17639,-17324,-17009,-16694,-16379,-16064,-15749,-15434,-15119,-14804,-14489,-14174,-13859,-13544,-13229,-12914,-12599,-12284,-11969,-11654,-11339,-11024,-10709,-10394,-10079,-9764,-9449,-9134,-8819,-8504,-8189,-7874,-7559,-7244,-6929,-6614,-6299,-5984,-5669,-5354,-5039,-4724,-4409,-4094,-3779,-3464,-3149,-2834,-2519,-2204,-1889,-1574,-1259,-944,-629,-315,-314,MAX=49456
2,317,632,947,1262,1577,1892,2207,2522,2837,3152,3467,3782,4097,4412,4727,5042,5357,5672,5987,6302,6617,6932,7247,7562,7877,8192,8507,8822,9137,9452,9767,10082,10397,10712,11027,11342,11657,11972,12287,12602,12917,13232,13547,13862,14177,14492,14807,15122,15437,15752,16067,16382,16697,17012,17327,17642,17957,18272,18587,18902,19217,19532,19847,20162,20477,20792,21107,21422,21737,22052,22367,22682,22997,23312,23627,23942,24257,24572,24887,25202,25517,25832,26147,26462,26777,27092,27407,27722,28037,28352,28667,28982,29297,29612,29927,30242,30557,30872,31187,31502,31817,32132,32447,32762,33077,33392,33707,34022,34337,34652,34967,35282,35597,35912,36227,36542,36857,37172,37487,37802,38117,38432,38747,39062,39377,39692,40007,40322,40637,40952,41267,41582,41897,42212,42527,42842,43157,43472,43787,44102,44417,44732,45047,45362,45677,45992,46307,46622,46937,47252,47567,47882,48197,48512,48827,49142,49457,-49453,-49138,-48823,-48508,-48193,-47878,-47563,-47248,-46933,-46618,-46303,-45988,-45673,-45358,-45043,-44728,-44413,-44098,-43783,-43468,-43153,-42838,-42523,-42208,-41893,-41578,-41263,-40948,-40633,-40318,-40003,-39688,-39373,-39058,-38743,-38428,-38113,-37798,-37483,-37168,-36853,-36538,-36223,-35908,-35593,-35278,-34963,-34648,-34333,-34018,-33703,-33388,-33073,-32758,-32443,-32128,-31813,-31498,-31183,-30868,-30553,-30238,-29923,-29608,-29293,-28978,-28663,-28348,-28033,-27718,-27403,-27088,-26773,-26458,-26143,-25828,-25513,-25198,-24883,-24568,-24253,-23938,-23623,-23308,-22993,-22678,-22363,-22048,-21733,-21418,-21103,-20788,-20473,-20158,-19843,-19528,-19213,-18898,-18583,-18268,-17953,-17638,-17323,-17008,-16693,-16378,-16063,-15748,-15433,-15118,-14803,-14488,-14173,-13858,-13543,-13228,-12913,-12598,-12283,-11968,-11653,-11338,-11023,-10708,-10393,-10078,-9763,-9448,-9133,-8818,-8503,-8188,-7873,-7558,-7243,-6928,-6613,-6298,-5983,-5668,-5353,-5038,-4723,-4408,-4093,-3778,-3463,-3148,-2833,-2518,-2203,-1888,-1573,-1258,-943,-630,-628,-313,MAX=49457
3,318,633,948,1263,1578,1893,2208,2523,2838,3153,3468,3783,4098,4413,4728,5043,5358,5673,5988,6303,6618,6933,7248,7563,7878,8193,8508,8823,9138,9453,9768,10083,10398,10713,11028,11343,11658,11973,12288,12603,12918,13233,13548,13863,14178,14493,14808,15123,15438,15753,16068,16383,16698,17013,17328,17643,17958,18273,18588,18903,19218,19533,19848,20163,20478,20793,21108,21423,21738,22053,22368,22683,22998,23313,23628,23943,24258,24573,24888,25203,25518,25833,26148,26463,26778,27093,27408,27723,28038,28353,28668,28983,29298,29613,29928,30243,30558,30873,31188,31503,31818,32133,32448,32763,33078,33393,33708,34023,34338,34653,34968,35283,35598,35913,36228,36543,36858,37173,37488,37803,38118,38433,38748,39063,39378,39693,40008,40323,40638,40953,41268,41583,41898,42213,42528,42843,43158,43473,43788,44103,44418,44733,45048,45363,45678,45993,46308,46623,46938,47253,47568,47883,48198,48513,48828,49143,49458,-49452,-49137,-48822,-48507,-48192,-47877,-47562,-47247,-46932,-46617,-46302,-45987,-45672,-45357,-45042,-44727,-44412,-44097,-43782,-43467,-43152,-42837,-42522,-42207,-41892,-41577,-41262,-40947,-40632,-40317,-40002,-39687,-39372,-39057,-38742,-38427,-38112,-37797,-37482,-37167,-36852,-36537,-36222,-35907,-35592,-35277,-34962,-34647,-34332,-34017,-33702,-33387,-33072,-32757,-32442,-32127,-31812,-31497,-31182,-30867,-30552,-30237,-29922,-29607,-29292,-28977,-28662,-28347,-28032,-27717,-27402,-27087,-26772,-26457,-26142,-25827,-25512,-25197,-24882,-24567,-24252,-23937,-23622,-23307,-22992,-22677,-22362,-22047,-21732,-21417,-21102,-20787,-20472,-20157,-19842,-19527,-19212,-18897,-18582,-18267,-17952,-17637,-17322,-17007,-16692,-16377,-16062,-15747,-15432,-15117,-14802,-14487,-14172,-13857,-13542,-13227,-12912,-12597,-12282,-11967,-11652,-11337,-11022,-10707,-10392,-10077,-9762,-9447,-9132,-8817,-8502,-8187,-7872,-7557,-7242,-6927,-6612,-6297,-5982,-5667,-5352,-5037,-4722,-4407,-4092,-3777,-3462,-3147,-2832,-2517,-2202,-1887,-1572,-1257,-945,-942,-627,-312,MAX=49458
4,319,634,949,1264,1579,1894,2209,2524,2839,3154,3469,3784,4099,4414,4729,5044,5359,5674,5989,6304,6619,6934,7249,7564,7879,8194,8509,8824,9139,9454,9769,10084,10399,10714,11029,11344,11659,11974,12289,12604,12919,13234,13549,13864,14179,14494,14809,15124,15439,15754,16069,16384,16699,17014,17329,17644,17959,18274,18589,18904,19219,19534,19849,20164,20479,20794,21109,21424,21739,22054,22369,22684,22999,23314,23629,23944,24259,24574,24889,25204,25519,25834,26149,26464,26779,27094,27409,27724,28039,28354,28669,28984,29299,29614,29929,30244,30559,30874,31189,31504,31819,32134,32449,32764,33079,33394,33709,34024,34339,34654,34969,35284,35599,35914,36229,36544,36859,37174,37489,37804,38119,38434,38749,39064,39379,39694,40009,40324,40639,40954,41269,41584,41899,42214,42529,42844,43159,43474,43789,44104,44419,44734,45049,45364,45679,45994,46309,46624,46939,47254,47569,47884,48199,48514,48829,49144,49459,-49451,-49136,-48821,-48506,-48191,-47876,-47561,-47246,-46931,-46616,-46301,-45986,-45671,-45356,-45041,-44726,-44411,-44096,-43781,-43466,-43151,-42836,-42521,-42206,-41891,-41576,-41261,-40946,-40631,-40316,-40001,-39686,-39371,-39056,-38741,-38426,-38111,-37796,-37481,-37166,-36851,-36536,-36221,-35906,-35591,-35276,-34961,-34646,-34331,-34016,-33701,-33386,-33071,-32756,-32441,-32126,-31811,-31496,-31181,-30866,-30551,-30236,-29921,-29606,-29291,-28976,-28661,-28346,-28031,-27716,-27401,-27086,-26771,-26456,-26141,-25826,-25511,-25196,-24881,-24566,-24251,-23936,-23621,-23306,-22991,-22676,-22361,-22046,-21731,-21416,-21101,-20786,-20471,-20156,-19841,-19526,-19211,-18896,-18581,-18266,-17951,-17636,-17321,-17006,-16691,-16376,-16061,-15746,-15431,-15116,-14801,-14486,-14171,-13856,-13541,-13226,-12911,-12596,-12281,-11966,-11651,-11336,-11021,-10706,-10391,-10076,-9761,-9446,-9131,-8816,-8501,-8186,-7871,-7556,-7241,-6926,-6611,-6296,-5981,-5666,-5351,-5036,-4721,-4406,-4091,-3776,-3461,-3146,-2831,-2516,-2201,-1886,-1571,-1260,-1256,-941,-626,-311,MAX=49459
5,320,635,950,1265,1580,1895,2210,2525,2840,3155,3470,3785,4100,4415,4730,5045,5360,5675,5990,6305,6620,6935,7250,7565,7880,8195,8510,8825,9140,9455,9770,10085,10400,10715,11030,11345,11660,11975,12290,12605,12920,13235,13550,13865,14180,14495,14810,15125,15440,15755,16070,16385,16700,17015,17330,17645,17960,18275,18590,18905,19220,19535,19850,20165,20480,20795,21110,21425,21740,22055,22370,22685,23000,23315,23630,23945,24260,24575,24890,25205,25520,25835,26150,26465,26780,27095,27410,27725,28040,28355,28670,28985,29300,29615,29930,30245,30560,30875,31190,31505,31820,32135,32450,32765,33080,33395,33710,34025,34340,34655,34970,35285,35600,35915,36230,36545,36860,37175,37490,37805,38120,38435,38750,39065,39380,39695,40010,40325,40640,40955,41270,41585,41900,42215,42530,42845,43160,43475,43790,44105,44420,44735,45050,45365,45680,45995,46310,46625,46940,47255,47570,47885,48200,48515,48830,49145,49460,-49450,-49135,-48820,-48505,-48190,-47875,-47560,-47245,-46930,-46615,-46300,-45985,-45670,-45355,-45040,-44725,-44410,-44095,-43780,-43465,-43150,-42835,-42520,-42205,-41890,-41575,-41260,-40945,-40630,-40315,-40000,-39685,-39370,-39055,-38740,-38425,-38110,-37795,-37480,-37165,-36850,-36535,-36220,-35905,-35590,-35275,-34960,-34645,-34330,-34015,-33700,-33385,-33070,-32755,-32440,-32125,-31810,-31495,-31180,-30865,-30550,-30235,-29920,-29605,-29290,-28975,-28660,-28345,-28030,-27715,-27400,-27085,-26770,-26455,-26140,-25825,-25510,-25195,-24880,-24565,-24250,-23935,-23620,-23305,-22990,-22675,-22360,-22045,-21730,-21415,-21100,-20785,-20470,-20155,-19840,-19525,-19210,-18895,-18580,-18265,-17950,-17635,-17320,-17005,-16690,-16375,-16060,-15745,-15430,-15115,-14800,-14485,-14170,-13855,-13540,-13225,-12910,-12595,-12280,-11965,-11650,-11335,-11020,-10705,-10390,-10075,-9760,-9445,-9130,-8815,-8500,-8185,-7870,-7555,-7240,-6925,-6610,-6295,-5980,-5665,-5350,-5035,-4720,-4405,-4090,-3775,-3460,-3145,-2830,-2515,-2200,-1885,-1575,-1570,-1255,-940,-625,-310,MAX=49460
6,321,636,951,1266,1581,1896,2211,2526,2841,3156,3471,3786,4101,4416,4731,5046,5361,5676,5991,6306,6621,6936,7251,7566,7881,8196,8511,8826,9141,9456,9771,10086,10401,10716,11031,11346,11661,11976,12291,12606,12921,13236,13551,13866,14181,14496,14811,15126,15441,15756,16071,16386,16701,17016,17331,17646,17961,18276,18591,18906,19221,19536,19851,20166,20481,20796,21111,21426,21741,22056,22371,22686,23001,23316,23631,23946,24261,24576,24891,25206,25521,25836,26151,26466,26781,27096,27411,27726,28041,28356,28671,28986,29301,29616,29931,30246,30561,30876,31191,31506,31821,32136,32451,32766,33081,33396,33711,34026,34341,34656,34971,35286,35601,35916,36231,36546,36861,37176,37491,37806,38121,38436,38751,39066,39381,39696,40011,40326,40641,40956,41271,41586,41901,42216,42531,42846,43161,43476,43791,44106,44421,44736,45051,45366,45681,45996,46311,46626,46941,47256,47571,47886,48201,48516,48831,49146,49461,-49449,-49134,-48819,-48504,-48189,-47874,-47559,-47244,-46929,-46614,-46299,-45984,-45669,-45354,-45039,-44724,-44409,-44094,-43779,-43464,-43149,-42834,-42519,-42204,-41889,-41574,-41259,-40944,-40629,-40314,-39999,-39684,-39369,-39054,-38739,-38424,-38109,-37794,-37479,-37164,-36849,-36534,-36219,-35904,-35589,-35274,-34959,-34644,-34329,-34014,-33699,-33384,-33069,-32754,-32439,-32124,-31809,-31494,-31179,-30864,-30549,-30234,-29919,-29604,-29289,-28974,-28659,-28344,-28029,-27714,-27399,-27084,-26769,-26454,-26139,-25824,-25509,-25194,-24879,-24564,-24249,-23934,-23619,-23304,-22989,-22674,-22359,-22044,-21729,-21414,-21099,-20784,-20469,-20154,-19839,-19524,-19209,-18894,-18579,-18264,-17949,-17634,-17319,-17004,-16689,-16374,-16059,-15744,-15429,-15114,-14799,-14484,-14169,-13854,-13539,-13224,-12909,-12594,-12279,-11964,-11649,-11334,-11019,-10704,-10389,-10074,-9759,-9444,-9129,-8814,-8499,-8184,-7869,-7554,-7239,-6924,-6609,-6294,-5979,-5664,-5349,-5034,-4719,-4404,-4089,-3774,-3459,-3144,-2829,-2514,-2199,-1890,-1884,-1569,-1254,-939,-624,-309,MAX=49461
7,322,637,952,1267,1582,1897,2212,2527,2842,3157,3472,3787,4102,4417,4732,5047,5362,5677,5992,6307,6622,6937,7252,7567,7882,8197,8512,8827,9142,9457,9772,10087,10402,10717,11032,11347,11662,11977,12292,12607,12922,13237,13552,13867,14182,14497,14812,15127,15442,15757,16072,16387,16702,17017,17332,17647,17962,18277,18592,18907,19222,19537,19852,20167,20482,20797,21112,21427,21742,22057,22372,22687,23002,23317,23632,23947,24262,24577,24892,25207,25522,25837,26152,26467,26782,27097,27412,27727,28042,28357,28672,28987,29302,29617,29932,30247,30562,30877,31192,31507,31822,32137,32452,32767,33082,33397,33712,34027,34342,34657,34972,35287,35602,35917,36232,36547,36862,37177,37492,37807,38122,38437,38752,39067,39382,39697,40012,40327,40642,40957,41272,41587,41902,42217,42532,42847,43162,43477,43792,44107,44422,44737,45052,45367,45682,45997,46312,46627,46942,47257,47572,47887,48202,48517,48832,49147,49462,-49448,-49133,-48818,-48503,-48188,-47873,-47558,-47243,-46928,-46613,-46298,-45983,-45668,-45353,-45038,-44723,-44408,-44093,-43778,-43463,-43148,-42833,-42518,-42203,-41888,-41573,-41258,-40943,-40628,-40313,-39998,-39683,-39368,-39053,-38738,-38423,-38108,-37793,-37478,-37163,-36848,-36533,-36218,-35903,-35588,-35273,-34958,-34643,-34328,-34013,-33698,-33383,-33068,-32753,-32438,-32123,-31808,-31493,-31178,-30863,-30548,-30233,-29918,-29603,-29288,-28973,-28658,-28343,-28028,-27713,-27398,-27083,-26768,-26453,-26138,-25823,-25508,-25193,-24878,-24563,-24248,-23933,-23618,-23303,-22988,-22673,-22358,-22043,-21728,-21413,-21098,-20783,-20468,-20153,-19838,-19523,-19208,-18893,-18578,-18263,-17948,-17633,-17318,-17003,-16688,-16373,-16058,-15743,-15428,-15113,-14798,-14483,-14168,-13853,-13538,-13223,-12908,-12593,-12278,-11963,-11648,-11333,-11018,-10703,-10388,-10073,-9758,-9443,-9128,-8813,-8498,-8183,-7868,-7553,-7238,-6923,-6608,-6293,-5978,-5663,-5348,-5033,-4718,-4403,-4088,-3773,-3458,-3143,-2828,-2513,-2205,-2198,-1883,-1568,-1253,-938,-623,-308,MAX=49462
8,323,638,953,1268,1583,1898,2213,2528,2843,3158,3473,3788,4103,4418,4733,5048,5363,5678,5993,6308,6623,6938,7253,7568,7883,8198,8513,8828,9143,9458,9773,10088,10403,10718,11033,11348,11663,11978,12293,12608,12923,13238,13553,13868,14183,14498,14813,15128,15443,15758,16073,16388,16703,17018,17333,17648,17963,18278,18593,18908,19223,19538,19853,20168,20483,20798,21113,21428,21743,22058,22373,22688,23003,23318,23633,23948,24263,24578,24893,25208,25523,25838,26153,26468,26783,27098,27413,27728,28043,28358,28673,28988,29303,29618,29933,30248,30563,30878,31193,31508,31823,32138,32453,32768,33083,33398,33713,34028,34343,34658,34973,35288,35603,35918,36233,36548,36863,37178,37493,37808,38123,38438,38753,39068,39383,39698,40013,40328,40643,40958,41273,41588,41903,42218,42533,42848,43163,43478,43793,44108,44423,44738,45053,45368,45683,45998,46313,46628,46943,47258,47573,47888,48203,48518,48833,49148,49463,-49447,-49132,-48817,-48502,-48187,-47872,-47557,-47242,-46927,-46612,-46297,-45982,-45667,-45352,-45037,-44722,-44407,-44092,-43777,-43462,-43147,-42832,-42517,-42202,-41887,-41572,-41257,-40942,-40627,-40312,-39997,-39682,-39367,-39052,-38737,-38422,-38107,-37792,-37477,-37162,-36847,-36532,-36217,-35902,-35587,-35272,-34957,-34642,-34327,-34012,-33697,-33382,-33067,-32752,-32437,-32122,-31807,-31492,-31177,-30862,-30547,-30232,-29917,-29602,-29287,-28972,-28657,-28342,-28027,-27712,-27397,-27082,-26767,-26452,-26137,-25822,-25507,-25192,-24877,-24562,-24247,-23932,-23617,-23302,-22987,-22672,-22357,-22042,-21727,-21412,-21097,-20782,-20467,-20152,-19837,-19522,-19207,-18892,-18577,-18262,-17947,-17632,-17317,-17002,-16687,-16372,-16057,-15742,-15427,-15112,-14797,-14482,-14167,-13852,-13537,-13222,-12907,-12592,-12277,-11962,-11647,-11332,-11017,-10702,-10387,-10072,-9757,-9442,-9127,-8812,-8497,-8182,-7867,-7552,-7237,-6922,-6607,-6292,-5977,-5662,-5347,-5032,-4717,-4402,-4087,-3772,-3457,-3142,-2827,-2520,-2512,-2197,-1882,-1567,-1252,-937,-622,-307,MAX=49463
9,324,639,954,1269,1584,1899,2214,2529,2844,3159,3474,3789,4104,4419,4734,5049,5364,5679,5994,6309,6624,6939,7254,7569,7884,8199,8514,8829,9144,9459,9774,10089,10404,10719,11034,11349,11664,11979,12294,12609,12924,13239,13554,13869,14184,14499,14814,15129,15444,15759,16074,16389,16704,17019,17334,17649,17964,18279,18594,18909,19224,19539,19854,20169,20484,20799,21114,21429,21744,22059,22374,22689,23004,23319,23634,23949,24264,24579,24894,25209,25524,25839,26154,26469,26784,27099,27414,27729,28044,28359,28674,28989,29304,29619,29934,30249,30564,30879,31194,31509,31824,32139,32454,32769,33084,33399,33714,34029,34344,34659,34974,35289,35604,35919,36234,36549,36864,37179,37494,37809,38124,38439,38754,39069,39384,39699,40014,40329,40644,40959,41274,41589,41904,42219,42534,42849,43164,43479,43794,44109,44424,44739,45054,45369,45684,45999,46314,46629,46944,47259,47574,47889,48204,48519,48834,49149,49464,-49446,-49131,-48816,-48501,-48186,-47871,-47556,-47241,-46926,-46611,-46296,-45981,-45666,-45351,-45036,-44721,-44406,-44091,-43776,-43461,-43146,-42831,-42516,-42201,-41886,-41571,-41256,-40941,-40626,-40311,-39996,-39681,-39366,-39051,-38736,-38421,-38106,-37791,-37476,-37161,-36846,-36531,-36216,-35901,-35586,-35271,-34956,-34641,-34326,-34011,-33696,-33381,-33066,-32751,-32436,-32121,-31806,-31491,-31176,-30861,-30546,-30231,-29916,-29601,-29286,-28971,-28656,-28341,-28026,-27711,-27396,-27081,-26766,-26451,-26136,-25821,-25506,-25191,-24876,-24561,-24246,-23931,-23616,-23301,-22986,-22671,-22356,-22041,-21726,-21411,-21096,-20781,-20466,-20151,-19836,-19521,-19206,-18891,-18576,-18261,-17946,-17631,-17316,-17001,-16686,-16371,-16056,-15741,-15426,-15111,-14796,-14481,-14166,-13851,-13536,-13221,-12906,-12591,-12276,-11961,-11646,-11331,-11016,-10701,-10386,-10071,-9756,-9441,-9126,-8811,-8496,-8181,-7866,-7551,-7236,-6921,-6606,-6291,-5976,-5661,-5346,-5031,-4716,-4401,-4086,-3771,-3456,-3141,-2835,-2826,-2511,-2196,-1881,-1566,-1251,-936,-621,-306,MAX=49464
10,325,640,955,1270,1585,1900,2215,2530,2845,3160,3475,3790,4105,4420,4735,5050,5365,5680,5995,6310,6625,6940,7255,7570,7885,8200,8515,8830,9145,9460,9775,10090,10405,10720,11035,11350,11665,11980,12295,12610,12925,13240,13555,13870,14185,14500,14815,15130,15445,15760,16075,16390,16705,17020,17335,17650,17965,18280,18595,18910,19225,19540,19855,20170,20485,20800,21115,21430,21745,22060,22375,22690,23005,23320,23635,23950,24265,24580,24895,25210,25525,25840,26155,26470,26785,27100,27415,27730,28045,28360,28675,28990,29305,29620,29935,30250,30565,30880,31195,31510,31825,32140,32455,32770,33085,33400,33715,34030,34345,34660,34975,35290,35605,35920,36235,36550,36865,37180,37495,37810,38125,38440,38755,39070,39385,39700,40015,40330,40645,40960,41275,41590,41905,42220,42535,42850,43165,43480,43795,44110,44425,44740,45055,45370,45685,46000,46315,46630,46945,47260,47575,47890,48205,48520,48835,49150,49465,-49445,-49130,-48815,-48500,-48185,-47870,-47555,-47240,-46925,-46610,-46295,-45980,-45665,-45350,-45035,-44720,-44405,-44090,-43775,-43460,-43145,-42830,-42515,-42200,-41885,-41570,-41255,-40940,-40625,-40310,-39995,-39680,-39365,-39050,-38735,-38420,-38105,-37790,-37475,-37160,-36845,-36530,-36215,-35900,-35585,-35270,-34955,-34640,-34325,-34010,-33695,-33380,-33065,-32750,-32435,-32120,-31805,-31490,-31175,-30860,-30545,-30230,-29915,-29600,-29285,-28970,-28655,-28340,-28025,-27710,-27395,-27080,-26765,-26450,-26135,-25820,-25505,-25190,-24875,-24560,-24245,-23930,-23615,-23300,-22985,-22670,-22355,-22040,-21725,-21410,-21095,-20780,-20465,-20150,-19835,-19520,-19205,-18890,-18575,-18260,-17945,-17630,-17315,-17000,-16685,-16370,-16055,-15740,-15425,-15110,-14795,-14480,-14165,-13850,-13535,-13220,-12905,-12590,-12275,-11960,-11645,-11330,-11015,-10700,-10385,-10070,-9755,-9440,-9125,-8810,-8495,-8180,-7865,-7550,-7235,-6920,-6605,-6290,-5975,-5660,-5345,-5030,-4715,-4400,-4085,-3770,-3455,-3150,-3140,-2825,-2510,-2195,-1880,-1565,-1250,-935,-620,-305,MAX=49465
11,326,641,956,1271,1586,1901,2216,2531,2846,3161,3476,3791,4106,4421,4736,5051,5366,5681,5996,6311,6626,6941,7256,7571,7886,8201,8516,8831,9146,9461,9776,10091,10406,10721,11036,11351,11666,11981,12296,12611,12926,13241,13556,13871,14186,14501,14816,15131,15446,15761,16076,16391,16706,17021,17336,17651,17966,18281,18596,18911,19226,19541,19856,20171,20486,20801,21116,21431,21746,22061,22376,22691,23006,23321,23636,23951,24266,24581,24896,25211,25526,25841,26156,26471,26786,27101,27416,27731,28046,28361,28676,28991,29306,29621,29936,30251,30566,30881,31196,31511,31826,32141,32456,32771,33086,33401,33716,34031,34346,34661,34976,35291,35606,35921,36236,36551,36866,37181,37496,37811,38126,38441,38756,39071,39386,39701,40016,40331,40646,40961,41276,41591,41906,42221,42536,42851,43166,43481,43796,44111,44426,44741,45056,45371,45686,46001,46316,46631,46946,47261,47576,47891,48206,48521,48836,49151,49466,-49444,-49129,-48814,-48499,-48184,-47869,-47554,-47239,-46924,-46609,-46294,-45979,-45664,-45349,-45034,-44719,-44404,-44089,-43774,-43459,-43144,-42829,-42514,-42199,-41884,-41569,-41254,-40939,-40624,-40309,-39994,-39679,-39364,-39049,-38734,-38419,-38104,-37789,-37474,-37159,-36844,-36529,-36214,-35899,-35584,-35269,-34954,-34639,-34324,-34009,-33694,-33379,-33064,-32749,-32434,-32119,-31804,-31489,-31174,-30859,-30544,-30229,-29914,-29599,-29284,-28969,-28654,-28339,-28024,-27709,-27394,-27079,-26764,-26449,-26134,-25819,-25504,-25189,-24874,-24559,-24244,-23929,-23614,-23299,-22984,-22669,-22354,-22039,-21724,-21409,-21094,-20779,-20464,-20149,-19834,-19519,-19204,-18889,-18574,-18259,-17944,-17629,-17314,-16999,-16684,-16369,-16054,-15739,-15424,-15109,-14794,-14479,-14164,-13849,-13534,-13219,-12904,-12589,-12274,-11959,-11644,-11329,-11014,-10699,-10384,-10069,-9754,-9439,-9124,-8809,-8494,-8179,-7864,-7549,-7234,-6919,-6604,-6289,-5974,-5659,-5344,-5029,-4714,-4399,-4084,-3769,-3465,-3454,-3139,-2824,-2509,-2194,-1879,-1564,-1249,-934,-619,-304,MAX=49466
