1,66,131,196,261,326,391,456,521,586,651,716,781,846,911,976,1041,1106,1171,1236,1301,1366,1431,1496,1561,1626,1691,1756,1821,1886,1951,2016,2081,-2079,-2014,-1949,-1884,-1819,-1754,-1689,-1624,-1559,-1494,-1429,-1364,-1299,-1234,-1169,-1104,-1039,-974,-909,-844,-779,-714,-649,-584,-519,-454,-389,-324,-259,-194,-129,-65,-64
2,67,132,197,262,327,392,457,522,587,652,717,782,847,912,977,1042,1107,1172,1237,1302,1367,1432,1497,1562,1627,1692,1757,1822,1887,1952,2017,2082,-2078,-2013,-1948,-1883,-1818,-1753,-1688,-1623,-1558,-1493,-1428,-1363,-1298,-1233,-1168,-1103,-1038,-973,-908,-843,-778,-713,-648,-583,-518,-453,-388,-323,-258,-193,-130,-128,-63
3,68,133,198,263,328,393,458,523,588,653,718,783,848,913,978,1043,1108,1173,1238,1303,1368,1433,1498,1563,1628,1693,1758,1823,1888,1953,2018,2083,-2077,-2012,-1947,-1882,-1817,-1752,-1687,-1622,-1557,-1492,-1427,-1362,-1297,-1232,-1167,-1102,-1037,-972,-907,-842,-777,-712,-647,-582,-517,-452,-387,-322,-257,-195,-192,-127,-62
4,69,134,199,264,329,394,459,524,589,654,719,784,849,914,979,1044,1109,1174,1239,1304,1369,1434,1499,1564,1629,1694,1759,1824,1889,1954,2019,2084,-2076,-2011,-1946,-1881,-1816,-1751,-1686,-1621,-1556,-1491,-1426,-1361,-1296,-1231,-1166,-1101,-1036,-971,-906,-841,-776,-711,-646,-581,-516,-451,-386,-321,-260,-256,-191,-126,-61
5,70,135,200,265,330,395,460,525,590,655,720,785,850,915,980,1045,1110,1175,1240,1305,1370,1435,1500,1565,1630,1695,1760,1825,1890,1955,2020,2085,-2075,-2010,-1945,-1880,-1815,-1750,-1685,-1620,-1555,-1490,-1425,-1360,-1295,-1230,-1165,-1100,-1035,-970,-905,-840,-775,-710,-645,-580,-515,-450,-385,-325,-320,-255,-190,-125,-60
6,71,136,201,266,331,396,461,526,591,656,721,786,851,916,981,1046,1111,1176,1241,1306,1371,1436,1501,1566,1631,1696,1761,1826,1891,1956,2021,2086,-2074,-2009,-1944,-1879,-1814,-1749,-1684,-1619,-1554,-1489,-1424,-1359,-1294,-1229,-1164,-1099,-1034,-969,-904,-839,-774,-709,-644,-579,-514,-449,-390,-384,-319,-254,-189,-124,-59
7,72,137,202,267,332,397,462,527,592,657,722,787,852,917,982,1047,1112,1177,1242,1307,1372,1437,1502,1567,1632,1697,1762,1827,1892,1957,2022,2087,-2073,-2008,-1943,-1878,-1813,-1748,-1683,-1618,-1553,-1488,-1423,-1358,-1293,-1228,-1163,-1098,-1033,-968,-903,-838,-773,-708,-643,-578,-513,-455,-448,-383,-318,-253,-188,-123,-58
8,73,138,203,268,333,398,463,528,593,658,723,788,853,918,983,1048,1113,1178,1243,1308,1373,1438,1503,1568,1633,1698,1763,1828,1893,1958,2023,2088,-2072,-2007,-1942,-1877,-1812,-1747,-1682,-1617,-1552,-1487,-1422,-1357,-1292,-1227,-1162,-1097,-1032,-967,-902,-837,-772,-707,-642,-577,-520,-512,-447,-382,-317,-252,-187,-122,-57
9,74,139,204,269,334,399,464,529,594,659,724,789,854,919,984,1049,1114,1179,1244,1309,1374,1439,1504,1569,1634,1699,1764,1829,1894,1959,2024,2089,-2071,-2006,-1941,-1876,-1811,-1746,-1681,-1616,-1551,-1486,-1421,-1356,-1291,-1226,-1161,-1096,-1031,-966,-901,-836,-771,-706,-641,-585,-576,-511,-446,-381,-316,-251,-186,-121,-56
10,75,140,205,270,335,400,465,530,595,660,725,790,855,920,985,1050,1115,1180,1245,1310,1375,1440,1505,1570,1635,1700,1765,1830,1895,1960,2025,2090,-2070,-2005,-1940,-1875,-1810,-1745,-1680,-1615,-1550,-1485,-1420,-1355,-1290,-1225,-1160,-1095,-1030,-965,-900,-835,-770,-705,-650,-640,-575,-510,-445,-380,-315,-250,-185,-120,-55
11,76,141,206,271,336,401,466,531,596,661,726,791,856,921,986,1051,1116,1181,1246,1311,1376,1441,1506,1571,1636,1701,1766,1831,1896,1961,2026,2091,-2069,-2004,-1939,-1874,-1809,-1744,-1679,-1614,-1549,-1484,-1419,-1354,-1289,-1224,-1159,-1094,-1029,-964,-899,-834,-769,-715,-704,-639,-574,-509,-444,-379,-314,-249,-184,-119,-54
