1,88,175,262,349,436,523,610,697,784,871,958,1045,1132,1219,1306,1393,1480,1567,1654,1741,1828,1915,2002,2089,2176,2263,2350,2437,2524,2611,2698,2785,2872,2959,3046,3133,3220,3307,3394,3481,3568,3655,3742,-3740,-3653,-3566,-3479,-3392,-3305,-3218,-3131,-3044,-2957,-2870,-2783,-2696,-2609,-2522,-2435,-2348,-2261,-2174,-2087,-2000,-1913,-1826,-1739,-1652,-1565,-1478,-1391,-1304,-1217,-1130,-1043,-956,-869,-782,-695,-608,-521,-434,-347,-260,-173,-87,-86
2,89,176,263,350,437,524,611,698,785,872,959,1046,1133,1220,1307,1394,1481,1568,1655,1742,1829,1916,2003,2090,2177,2264,2351,2438,2525,2612,2699,2786,2873,2960,3047,3134,3221,3308,3395,3482,3569,3656,3743,-3739,-3652,-3565,-3478,-3391,-3304,-3217,-3130,-3043,-2956,-2869,-2782,-2695,-2608,-2521,-2434,-2347,-2260,-2173,-2086,-1999,-1912,-1825,-1738,-1651,-1564,-1477,-1390,-1303,-1216,-1129,-1042,-955,-868,-781,-694,-607,-520,-433,-346,-259,-174,-172,-85
3,90,177,264,351,438,525,612,699,786,873,960,1047,1134,1221,1308,1395,1482,1569,1656,1743,1830,1917,2004,2091,2178,2265,2352,2439,2526,2613,2700,2787,2874,2961,3048,3135,3222,3309,3396,3483,3570,3657,3744,-3738,-3651,-3564,-3477,-3390,-3303,-3216,-3129,-3042,-2955,-2868,-2781,-2694,-2607,-2520,-2433,-2346,-2259,-2172,-2085,-1998,-1911,-1824,-1737,-1650,-1563,-1476,-1389,-1302,-1215,-1128,-1041,-954,-867,-780,-693,-606,-519,-432,-345,-261,-258,-171,-84
4,91,178,265,352,439,526,613,700,787,874,961,1048,1135,1222,1309,1396,1483,1570,1657,1744,1831,1918,2005,2092,2179,2266,2353,2440,2527,2614,2701,2788,2875,2962,3049,3136,3223,3310,3397,3484,3571,3658,3745,-3737,-3650,-3563,-3476,-3389,-3302,-3215,-3128,-3041,-2954,-2867,-2780,-2693,-2606,-2519,-2432,-2345,-2258,-2171,-2084,-1997,-1910,-1823,-1736,-1649,-1562,-1475,-1388,-1301,-1214,-1127,-1040,-953,-866,-779,-692,-605,-518,-431,-348,-344,-257,-170,-83
5,92,179,266,353,440,527,614,701,788,875,962,1049,1136,1223,1310,1397,1484,1571,1658,1745,1832,1919,2006,2093,2180,2267,2354,2441,2528,2615,2702,2789,2876,2963,3050,3137,3224,3311,3398,3485,3572,3659,3746,-3736,-3649,-3562,-3475,-3388,-3301,-3214,-3127,-3040,-2953,-2866,-2779,-2692,-2605,-2518,-2431,-2344,-2257,-2170,-2083,-1996,-1909,-1822,-1735,-1648,-1561,-1474,-1387,-1300,-1213,-1126,-1039,-952,-865,-778,-691,-604,-517,-435,-430,-343,-256,-169,-82
6,93,180,267,354,441,528,615,702,789,876,963,1050,1137,1224,1311,1398,1485,1572,1659,1746,1833,1920,2007,2094,2181,2268,2355,2442,2529,2616,2703,2790,2877,2964,3051,3138,3225,3312,3399,3486,3573,3660,3747,-3735,-3648,-3561,-3474,-3387,-3300,-3213,-3126,-3039,-2952,-2865,-2778,-2691,-2604,-2517,-2430,-2343,-2256,-2169,-2082,-1995,-1908,-1821,-1734,-1647,-1560,-1473,-1386,-1299,-1212,-1125,-1038,-951,-864,-777,-690,-603,-522,-516,-429,-342,-255,-168,-81
7,94,181,268,355,442,529,616,703,790,877,964,1051,1138,1225,1312,1399,1486,1573,1660,1747,1834,1921,2008,2095,2182,2269,2356,2443,2530,2617,2704,2791,2878,2965,3052,3139,3226,3313,3400,3487,3574,3661,3748,-3734,-3647,-3560,-3473,-3386,-3299,-3212,-3125,-3038,-2951,-2864,-2777,-2690,-2603,-2516,-2429,-2342,-2255,-2168,-2081,-1994,-1907,-1820,-1733,-1646,-1559,-1472,-1385,-1298,-1211,-1124,-1037,-950,-863,-776,-689,-609,-602,-515,-428,-341,-254,-167,-80
8,95,182,269,356,443,530,617,704,791,878,965,1052,1139,1226,1313,1400,1487,1574,1661,1748,1835,1922,2009,2096,2183,2270,2357,2444,2531,2618,2705,2792,2879,2966,3053,3140,3227,3314,3401,3488,3575,3662,3749,-3733,-3646,-3559,-3472,-3385,-3298,-3211,-3124,-3037,-2950,-2863,-2776,-2689,-2602,-2515,-2428,-2341,-2254,-2167,-2080,-1993,-1906,-1819,-1732,-1645,-1558,-1471,-1384,-1297,-1210,-1123,-1036,-949,-862,-775,-696,-688,-601,-514,-427,-340,-253,-166,-79
9,96,183,270,357,444,531,618,705,792,879,966,1053,1140,1227,1314,1401,1488,1575,1662,1749,1836,1923,2010,2097,2184,2271,2358,2445,2532,2619,2706,2793,2880,2967,3054,3141,3228,3315,3402,3489,3576,3663,3750,-3732,-3645,-3558,-3471,-3384,-3297,-3210,-3123,-3036,-2949,-2862,-2775,-2688,-2601,-2514,-2427,-2340,-2253,-2166,-2079,-1992,-1905,-1818,-1731,-1644,-1557,-1470,-1383,-1296,-1209,-1122,-1035,-948,-861,-783,-774,-687,-600,-513,-426,-339,-252,-165,-78
10,97,184,271,358,445,532,619,706,793,880,967,1054,1141,1228,1315,1402,1489,1576,1663,1750,1837,1924,2011,2098,2185,2272,2359,2446,2533,2620,2707,2794,2881,2968,3055,3142,3229,3316,3403,3490,3577,3664,3751,-3731,-3644,-3557,-3470,-3383,-3296,-3209,-3122,-3035,-2948,-2861,-2774,-2687,-2600,-2513,-2426,-2339,-2252,-2165,-2078,-1991,-1904,-1817,-1730,-1643,-1556,-1469,-1382,-1295,-1208,-1121,-1034,-947,-870,-860,-773,-686,-599,-512,-425,-338,-251,-164,-77
11,98,185,272,359,446,533,620,707,794,881,968,1055,1142,1229,1316,1403,1490,1577,1664,1751,1838,1925,2012,2099,2186,2273,2360,2447,2534,2621,2708,2795,2882,2969,3056,3143,3230,3317,3404,3491,3578,3665,3752,-3730,-3643,-3556,-3469,-3382,-3295,-3208,-3121,-3034,-2947,-2860,-2773,-2686,-2599,-2512,-2425,-2338,-2251,-2164,-2077,-1990,-1903,-1816,-1729,-1642,-1555,-1468,-1381,-1294,-1207,-1120,-1033,-957,-946,-859,-772,-685,-598,-511,-424,-337,-250,-163,-76
