1,116,231,346,461,576,691,806,921,1036,1151,1266,1381,1496,1611,1726,1841,1956,2071,2186,2301,2416,2531,2646,2761,2876,2991,3106,3221,3336,3451,3566,3681,3796,3911,4026,4141,4256,4371,4486,4601,4716,4831,4946,5061,5176,5291,5406,5521,5636,5751,5866,5981,6096,6211,6326,6441,6556,-6554,-6439,-6324,-6209,-6094,-5979,-5864,-5749,-5634,-5519,-5404,-5289,-5174,-5059,-4944,-4829,-4714,-4599,-4484,-4369,-4254,-4139,-4024,-3909,-3794,-3679,-3564,-3449,-3334,-3219,-3104,-2989,-2874,-2759,-2644,-2529,-2414,-2299,-2184,-2069,-1954,-1839,-1724,-1609,-1494,-1379,-1264,-1149,-1034,-919,-804,-689,-574,-459,-344,-229,-115,-114
2,117,232,347,462,577,692,807,922,1037,1152,1267,1382,1497,1612,1727,1842,1957,2072,2187,2302,2417,2532,2647,2762,2877,2992,3107,3222,3337,3452,3567,3682,3797,3912,4027,4142,4257,4372,4487,4602,4717,4832,4947,5062,5177,5292,5407,5522,5637,5752,5867,5982,6097,6212,6327,6442,6557,-6553,-6438,-6323,-6208,-6093,-5978,-5863,-5748,-5633,-5518,-5403,-5288,-5173,-5058,-4943,-4828,-4713,-4598,-4483,-4368,-4253,-4138,-4023,-3908,-3793,-3678,-3563,-3448,-3333,-3218,-3103,-2988,-2873,-2758,-2643,-2528,-2413,-2298,-2183,-2068,-1953,-1838,-1723,-1608,-1493,-1378,-1263,-1148,-1033,-918,-803,-688,-573,-458,-343,-230,-228,-113
3,118,233,348,463,578,693,808,923,1038,1153,1268,1383,1498,1613,1728,1843,1958,2073,2188,2303,2418,2533,2648,2763,2878,2993,3108,3223,3338,3453,3568,3683,3798,3913,4028,4143,4258,4373,4488,4603,4718,4833,4948,5063,5178,5293,5408,5523,5638,5753,5868,5983,6098,6213,6328,6443,6558,-6552,-6437,-6322,-6207,-6092,-5977,-5862,-5747,-5632,-5517,-5402,-5287,-5172,-5057,-4942,-4827,-4712,-4597,-4482,-4367,-4252,-4137,-4022,-3907,-3792,-3677,-3562,-3447,-3332,-3217,-3102,-2987,-2872,-2757,-2642,-2527,-2412,-2297,-2182,-2067,-1952,-1837,-1722,-1607,-1492,-1377,-1262,-1147,-1032,-917,-802,-687,-572,-457,-345,-342,-227,-112
4,119,234,349,464,579,694,809,924,1039,1154,1269,1384,1499,1614,1729,1844,1959,2074,2189,2304,2419,2534,2649,2764,2879,2994,3109,3224,3339,3454,3569,3684,3799,3914,4029,4144,4259,4374,4489,4604,4719,4834,4949,5064,5179,5294,5409,5524,5639,5754,5869,5984,6099,6214,6329,6444,6559,-6551,-6436,-6321,-6206,-6091,-5976,-5861,-5746,-5631,-5516,-5401,-5286,-5171,-5056,-4941,-4826,-4711,-4596,-4481,-4366,-4251,-4136,-4021,-3906,-3791,-3676,-3561,-3446,-3331,-3216,-3101,-2986,-2871,-2756,-2641,-2526,-2411,-2296,-2181,-2066,-1951,-1836,-1721,-1606,-1491,-1376,-1261,-1146,-1031,-916,-801,-686,-571,-460,-456,-341,-226,-111
5,120,235,350,465,580,695,810,925,1040,1155,1270,1385,1500,1615,1730,1845,1960,2075,2190,2305,2420,2535,2650,2765,2880,2995,3110,3225,3340,3455,3570,3685,3800,3915,4030,4145,4260,4375,4490,4605,4720,4835,4950,5065,5180,5295,5410,5525,5640,5755,5870,5985,6100,6215,6330,6445,6560,-6550,-6435,-6320,-6205,-6090,-5975,-5860,-5745,-5630,-5515,-5400,-5285,-5170,-5055,-4940,-4825,-4710,-4595,-4480,-4365,-4250,-4135,-4020,-3905,-3790,-3675,-3560,-3445,-3330,-3215,-3100,-2985,-2870,-2755,-2640,-2525,-2410,-2295,-2180,-2065,-1950,-1835,-1720,-1605,-1490,-1375,-1260,-1145,-1030,-915,-800,-685,-575,-570,-455,-340,-225,-110
6,121,236,351,466,581,696,811,926,1041,1156,1271,1386,1501,1616,1731,1846,1961,2076,2191,2306,2421,2536,2651,2766,2881,2996,3111,3226,3341,3456,3571,3686,3801,3916,4031,4146,4261,4376,4491,4606,4721,4836,4951,5066,5181,5296,5411,5526,5641,5756,5871,5986,6101,6216,6331,6446,6561,-6549,-6434,-6319,-6204,-6089,-5974,-5859,-5744,-5629,-5514,-5399,-5284,-5169,-5054,-4939,-4824,-4709,-4594,-4479,-4364,-4249,-4134,-4019,-3904,-3789,-3674,-3559,-3444,-3329,-3214,-3099,-2984,-2869,-2754,-2639,-2524,-2409,-2294,-2179,-2064,-1949,-1834,-1719,-1604,-1489,-1374,-1259,-1144,-1029,-914,-799,-690,-684,-569,-454,-339,-224,-109
7,122,237,352,467,582,697,812,927,1042,1157,1272,1387,1502,1617,1732,1847,1962,2077,2192,2307,2422,2537,2652,2767,2882,2997,3112,3227,3342,3457,3572,3687,3802,3917,4032,4147,4262,4377,4492,4607,4722,4837,4952,5067,5182,5297,5412,5527,5642,5757,5872,5987,6102,6217,6332,6447,6562,-6548,-6433,-6318,-6203,-6088,-5973,-5858,-5743,-5628,-5513,-5398,-5283,-5168,-5053,-4938,-4823,-4708,-4593,-4478,-4363,-4248,-4133,-4018,-3903,-3788,-3673,-3558,-3443,-3328,-3213,-3098,-2983,-2868,-2753,-2638,-2523,-2408,-2293,-2178,-2063,-1948,-1833,-1718,-1603,-1488,-1373,-1258,-1143,-1028,-913,-805,-798,-683,-568,-453,-338,-223,-108
8,123,238,353,468,583,698,813,928,1043,1158,1273,1388,1503,1618,1733,1848,1963,2078,2193,2308,2423,2538,2653,2768,2883,2998,3113,3228,3343,3458,3573,3688,3803,3918,4033,4148,4263,4378,4493,4608,4723,4838,4953,5068,5183,5298,5413,5528,5643,5758,5873,5988,6103,6218,6333,6448,6563,-6547,-6432,-6317,-6202,-6087,-5972,-5857,-5742,-5627,-5512,-5397,-5282,-5167,-5052,-4937,-4822,-4707,-4592,-4477,-4362,-4247,-4132,-4017,-3902,-3787,-3672,-3557,-3442,-3327,-3212,-3097,-2982,-2867,-2752,-2637,-2522,-2407,-2292,-2177,-2062,-1947,-1832,-1717,-1602,-1487,-1372,-1257,-1142,-1027,-920,-912,-797,-682,-567,-452,-337,-222,-107
9,124,239,354,469,584,699,814,929,1044,1159,1274,1389,1504,1619,1734,1849,1964,2079,2194,2309,2424,2539,2654,2769,2884,2999,3114,3229,3344,3459,3574,3689,3804,3919,4034,4149,4264,4379,4494,4609,4724,4839,4954,5069,5184,5299,5414,5529,5644,5759,5874,5989,6104,6219,6334,6449,6564,-6546,-6431,-6316,-6201,-6086,-5971,-5856,-5741,-5626,-5511,-5396,-5281,-5166,-5051,-4936,-4821,-4706,-4591,-4476,-4361,-4246,-4131,-4016,-3901,-3786,-3671,-3556,-3441,-3326,-3211,-3096,-2981,-2866,-2751,-2636,-2521,-2406,-2291,-2176,-2061,-1946,-1831,-1716,-1601,-1486,-1371,-1256,-1141,-1035,-1026,-911,-796,-681,-566,-451,-336,-221,-106
10,125,240,355,470,585,700,815,930,1045,1160,1275,1390,1505,1620,1735,1850,1965,2080,2195,2310,2425,2540,2655,2770,2885,3000,3115,3230,3345,3460,3575,3690,3805,3920,4035,4150,4265,4380,4495,4610,4725,4840,4955,5070,5185,5300,5415,5530,5645,5760,5875,5990,6105,6220,6335,6450,6565,-6545,-6430,-6315,-6200,-6085,-5970,-5855,-5740,-5625,-5510,-5395,-5280,-5165,-5050,-4935,-4820,-4705,-4590,-4475,-4360,-4245,-4130,-4015,-3900,-3785,-3670,-3555,-3440,-3325,-3210,-3095,-2980,-2865,-2750,-2635,-2520,-2405,-2290,-2175,-2060,-1945,-1830,-1715,-1600,-1485,-1370,-1255,-1150,-1140,-1025,-910,-795,-680,-565,-450,-335,-220,-105
11,126,241,356,471,586,701,816,931,1046,1161,1276,1391,1506,1621,1736,1851,1966,2081,2196,2311,2426,2541,2656,2771,2886,3001,3116,3231,3346,3461,3576,3691,3806,3921,4036,4151,4266,4381,4496,4611,4726,4841,4956,5071,5186,5301,5416,5531,5646,5761,5876,5991,6106,6221,6336,6451,6566,-6544,-6429,-6314,-6199,-6084,-5969,-5854,-5739,-5624,-5509,-5394,-5279,-5164,-5049,-4934,-4819,-4704,-4589,-4474,-4359,-4244,-4129,-4014,-3899,-3784,-3669,-3554,-3439,-3324,-3209,-3094,-2979,-2864,-2749,-2634,-2519,-2404,-2289,-2174,-2059,-1944,-1829,-1714,-1599,-1484,-1369,-1265,-1254,-1139,-1024,-909,-794,-679,-564,-449,-334,-219,-104
12,127,242,357,472,587,702,817,932,1047,1162,1277,1392,1507,1622,1737,1852,1967,2082,2197,2312,2427,2542,2657,2772,2887,3002,3117,3232,3347,3462,3577,3692,3807,3922,4037,4152,4267,4382,4497,4612,4727,4842,4957,5072,5187,5302,5417,5532,5647,5762,5877,5992,6107,6222,6337,6452,6567,-6543,-6428,-6313,-6198,-6083,-5968,-5853,-5738,-5623,-5508,-5393,-5278,-5163,-5048,-4933,-4818,-4703,-4588,-4473,-4358,-4243,-4128,-4013,-3898,-3783,-3668,-3553,-3438,-3323,-3208,-3093,-2978,-2863,-2748,-2633,-2518,-2403,-2288,-2173,-2058,-1943,-1828,-1713,-1598,-1483,-1380,-1368,-1253,-1138,-1023,-908,-793,-678,-563,-448,-333,-218,-103
13,128,243,358,473,588,703,818,933,1048,1163,1278,1393,1508,1623,1738,1853,1968,2083,2198,2313,2428,2543,2658,2773,2888,3003,3118,3233,3348,3463,3578,3693,3808,3923,4038,4153,4268,4383,4498,4613,4728,4843,4958,5073,5188,5303,5418,5533,5648,5763,5878,5993,6108,6223,6338,6453,6568,-6542,-6427,-6312,-6197,-6082,-5967,-5852,-5737,-5622,-5507,-5392,-5277,-5162,-5047,-4932,-4817,-4702,-4587,-4472,-4357,-4242,-4127,-4012,-3897,-3782,-3667,-3552,-3437,-3322,-3207,-3092,-2977,-2862,-2747,-2632,-2517,-2402,-2287,-2172,-2057,-1942,-1827,-1712,-1597,-1495,-1482,-1367,-1252,-1137,-1022,-907,-792,-677,-562,-447,-332,-217,-102
14,129,244,359,474,589,704,819,934,1049,1164,1279,1394,1509,1624,1739,1854,1969,2084,2199,2314,2429,2544,2659,2774,2889,3004,3119,3234,3349,3464,3579,3694,3809,3924,4039,4154,4269,4384,4499,4614,4729,4844,4959,5074,5189,5304,5419,5534,5649,5764,5879,5994,6109,6224,6339,6454,6569,-6541,-6426,-6311,-6196,-6081,-5966,-5851,-5736,-5621,-5506,-5391,-5276,-5161,-5046,-4931,-4816,-4701,-4586,-4471,-4356,-4241,-4126,-4011,-3896,-3781,-3666,-3551,-3436,-3321,-3206,-3091,-2976,-2861,-2746,-2631,-2516,-2401,-2286,-2171,-2056,-1941,-1826,-1711,-1610,-1596,-1481,-1366,-1251,-1136,-1021,-906,-791,-676,-561,-446,-331,-216,-101
15,130,245,360,475,590,705,820,935,1050,1165,1280,1395,1510,1625,1740,1855,1970,2085,2200,2315,2430,2545,2660,2775,2890,3005,3120,3235,3350,3465,3580,3695,3810,3925,4040,4155,4270,4385,4500,4615,4730,4845,4960,5075,5190,5305,5420,5535,5650,5765,5880,5995,6110,6225,6340,6455,6570,-6540,-6425,-6310,-6195,-6080,-5965,-5850,-5735,-5620,-5505,-5390,-5275,-5160,-5045,-4930,-4815,-4700,-4585,-4470,-4355,-4240,-4125,-4010,-3895,-3780,-3665,-3550,-3435,-3320,-3205,-3090,-2975,-2860,-2745,-2630,-2515,-2400,-2285,-2170,-2055,-1940,-1825,-1725,-1710,-1595,-1480,-1365,-1250,-1135,-1020,-905,-790,-675,-560,-445,-330,-215,-100
