1,160,319,478,637,796,955,1114,1273,1432,1591,1750,1909,2068,2227,2386,2545,2704,2863,3022,3181,3340,3499,3658,3817,3976,4135,4294,4453,4612,4771,4930,5089,5248,5407,5566,5725,5884,6043,6202,6361,6520,6679,6838,6997,7156,7315,7474,7633,7792,7951,8110,8269,8428,8587,8746,8905,9064,9223,9382,9541,9700,9859,10018,10177,10336,10495,10654,10813,10972,11131,11290,11449,11608,11767,11926,12085,12244,12403,12562,-12560,-12401,-12242,-12083,-11924,-11765,-11606,-11447,-11288,-11129,-10970,-10811,-10652,-10493,-10334,-10175,-10016,-9857,-9698,-9539,-9380,-9221,-9062,-8903,-8744,-8585,-8426,-8267,-8108,-7949,-7790,-7631,-7472,-7313,-7154,-6995,-6836,-6677,-6518,-6359,-6200,-6041,-5882,-5723,-5564,-5405,-5246,-5087,-4928,-4769,-4610,-4451,-4292,-4133,-3974,-3815,-3656,-3497,-3338,-3179,-3020,-2861,-2702,-2543,-2384,-2225,-2066,-1907,-1748,-1589,-1430,-1271,-1112,-953,-794,-635,-476,-317,-159,-158
2,161,320,479,638,797,956,1115,1274,1433,1592,1751,1910,2069,2228,2387,2546,2705,2864,3023,3182,3341,3500,3659,3818,3977,4136,4295,4454,4613,4772,4931,5090,5249,5408,5567,5726,5885,6044,6203,6362,6521,6680,6839,6998,7157,7316,7475,7634,7793,7952,8111,8270,8429,8588,8747,8906,9065,9224,9383,9542,9701,9860,10019,10178,10337,10496,10655,10814,10973,11132,11291,11450,11609,11768,11927,12086,12245,12404,12563,-12559,-12400,-12241,-12082,-11923,-11764,-11605,-11446,-11287,-11128,-10969,-10810,-10651,-10492,-10333,-10174,-10015,-9856,-9697,-9538,-9379,-9220,-9061,-8902,-8743,-8584,-8425,-8266,-8107,-7948,-7789,-7630,-7471,-7312,-7153,-6994,-6835,-6676,-6517,-6358,-6199,-6040,-5881,-5722,-5563,-5404,-5245,-5086,-4927,-4768,-4609,-4450,-4291,-4132,-3973,-3814,-3655,-3496,-3337,-3178,-3019,-2860,-2701,-2542,-2383,-2224,-2065,-1906,-1747,-1588,-1429,-1270,-1111,-952,-793,-634,-475,-318,-316,-157
3,162,321,480,639,798,957,1116,1275,1434,1593,1752,1911,2070,2229,2388,2547,2706,2865,3024,3183,3342,3501,3660,3819,3978,4137,4296,4455,4614,4773,4932,5091,5250,5409,5568,5727,5886,6045,6204,6363,6522,6681,6840,6999,7158,7317,7476,7635,7794,7953,8112,8271,8430,8589,8748,8907,9066,9225,9384,9543,9702,9861,10020,10179,10338,10497,10656,10815,10974,11133,11292,11451,11610,11769,11928,12087,12246,12405,12564,-12558,-12399,-12240,-12081,-11922,-11763,-11604,-11445,-11286,-11127,-10968,-10809,-10650,-10491,-10332,-10173,-10014,-9855,-9696,-9537,-9378,-9219,-9060,-8901,-8742,-8583,-8424,-8265,-8106,-7947,-7788,-7629,-7470,-7311,-7152,-6993,-6834,-6675,-6516,-6357,-6198,-6039,-5880,-5721,-5562,-5403,-5244,-5085,-4926,-4767,-4608,-4449,-4290,-4131,-3972,-3813,-3654,-3495,-3336,-3177,-3018,-2859,-2700,-2541,-2382,-2223,-2064,-1905,-1746,-1587,-1428,-1269,-1110,-951,-792,-633,-477,-474,-315,-156
4,163,322,481,640,799,958,1117,1276,1435,1594,1753,1912,2071,2230,2389,2548,2707,2866,3025,3184,3343,3502,3661,3820,3979,4138,4297,4456,4615,4774,4933,5092,5251,5410,5569,5728,5887,6046,6205,6364,6523,6682,6841,7000,7159,7318,7477,7636,7795,7954,8113,8272,8431,8590,8749,8908,9067,9226,9385,9544,9703,9862,10021,10180,10339,10498,10657,10816,10975,11134,11293,11452,11611,11770,11929,12088,12247,12406,12565,-12557,-12398,-12239,-12080,-11921,-11762,-11603,-11444,-11285,-11126,-10967,-10808,-10649,-10490,-10331,-10172,-10013,-9854,-9695,-9536,-9377,-9218,-9059,-8900,-8741,-8582,-8423,-8264,-8105,-7946,-7787,-7628,-7469,-7310,-7151,-6992,-6833,-6674,-6515,-6356,-6197,-6038,-5879,-5720,-5561,-5402,-5243,-5084,-4925,-4766,-4607,-4448,-4289,-4130,-3971,-3812,-3653,-3494,-3335,-3176,-3017,-2858,-2699,-2540,-2381,-2222,-2063,-1904,-1745,-1586,-1427,-1268,-1109,-950,-791,-636,-632,-473,-314,-155
5,164,323,482,641,800,959,1118,1277,1436,1595,1754,1913,2072,2231,2390,2549,2708,2867,3026,3185,3344,3503,3662,3821,3980,4139,4298,4457,4616,4775,4934,5093,5252,5411,5570,5729,5888,6047,6206,6365,6524,6683,6842,7001,7160,7319,7478,7637,7796,7955,8114,8273,8432,8591,8750,8909,9068,9227,9386,9545,9704,9863,10022,10181,10340,10499,10658,10817,10976,11135,11294,11453,11612,11771,11930,12089,12248,12407,12566,-12556,-12397,-12238,-12079,-11920,-11761,-11602,-11443,-11284,-11125,-10966,-10807,-10648,-10489,-10330,-10171,-10012,-9853,-9694,-9535,-9376,-9217,-9058,-8899,-8740,-8581,-8422,-8263,-8104,-7945,-7786,-7627,-7468,-7309,-7150,-6991,-6832,-6673,-6514,-6355,-6196,-6037,-5878,-5719,-5560,-5401,-5242,-5083,-4924,-4765,-4606,-4447,-4288,-4129,-3970,-3811,-3652,-3493,-3334,-3175,-3016,-2857,-2698,-2539,-2380,-2221,-2062,-1903,-1744,-1585,-1426,-1267,-1108,-949,-795,-790,-631,-472,-313,-154
6,165,324,483,642,801,960,1119,1278,1437,1596,1755,1914,2073,2232,2391,2550,2709,2868,3027,3186,3345,3504,3663,3822,3981,4140,4299,4458,4617,4776,4935,5094,5253,5412,5571,5730,5889,6048,6207,6366,6525,6684,6843,7002,7161,7320,7479,7638,7797,7956,8115,8274,8433,8592,8751,8910,9069,9228,9387,9546,9705,9864,10023,10182,10341,10500,10659,10818,10977,11136,11295,11454,11613,11772,11931,12090,12249,12408,12567,-12555,-12396,-12237,-12078,-11919,-11760,-11601,-11442,-11283,-11124,-10965,-10806,-10647,-10488,-10329,-10170,-10011,-9852,-9693,-9534,-9375,-9216,-9057,-8898,-8739,-8580,-8421,-8262,-8103,-7944,-7785,-7626,-7467,-7308,-7149,-6990,-6831,-6672,-6513,-6354,-6195,-6036,-5877,-5718,-5559,-5400,-5241,-5082,-4923,-4764,-4605,-4446,-4287,-4128,-3969,-3810,-3651,-3492,-3333,-3174,-3015,-2856,-2697,-2538,-2379,-2220,-2061,-1902,-1743,-1584,-1425,-1266,-1107,-954,-948,-789,-630,-471,-312,-153
7,166,325,484,643,802,961,1120,1279,1438,1597,1756,1915,2074,2233,2392,2551,2710,2869,3028,3187,3346,3505,3664,3823,3982,4141,4300,4459,4618,4777,4936,5095,5254,5413,5572,5731,5890,6049,6208,6367,6526,6685,6844,7003,7162,7321,7480,7639,7798,7957,8116,8275,8434,8593,8752,8911,9070,9229,9388,9547,9706,9865,10024,10183,10342,10501,10660,10819,10978,11137,11296,11455,11614,11773,11932,12091,12250,12409,12568,-12554,-12395,-12236,-12077,-11918,-11759,-11600,-11441,-11282,-11123,-10964,-10805,-10646,-10487,-10328,-10169,-10010,-9851,-9692,-9533,-9374,-9215,-9056,-8897,-8738,-8579,-8420,-8261,-8102,-7943,-7784,-7625,-7466,-7307,-7148,-6989,-6830,-6671,-6512,-6353,-6194,-6035,-5876,-5717,-5558,-5399,-5240,-5081,-4922,-4763,-4604,-4445,-4286,-4127,-3968,-3809,-3650,-3491,-3332,-3173,-3014,-2855,-2696,-2537,-2378,-2219,-2060,-1901,-1742,-1583,-1424,-1265,-1113,-1106,-947,-788,-629,-470,-311,-152
8,167,326,485,644,803,962,1121,1280,1439,1598,1757,1916,2075,2234,2393,2552,2711,2870,3029,3188,3347,3506,3665,3824,3983,4142,4301,4460,4619,4778,4937,5096,5255,5414,5573,5732,5891,6050,6209,6368,6527,6686,6845,7004,7163,7322,7481,7640,7799,7958,8117,8276,8435,8594,8753,8912,9071,9230,9389,9548,9707,9866,10025,10184,10343,10502,10661,10820,10979,11138,11297,11456,11615,11774,11933,12092,12251,12410,12569,-12553,-12394,-12235,-12076,-11917,-11758,-11599,-11440,-11281,-11122,-10963,-10804,-10645,-10486,-10327,-10168,-10009,-9850,-9691,-9532,-9373,-9214,-9055,-8896,-8737,-8578,-8419,-8260,-8101,-7942,-7783,-7624,-7465,-7306,-7147,-6988,-6829,-6670,-6511,-6352,-6193,-6034,-5875,-5716,-5557,-5398,-5239,-5080,-4921,-4762,-4603,-4444,-4285,-4126,-3967,-3808,-3649,-3490,-3331,-3172,-3013,-2854,-2695,-2536,-2377,-2218,-2059,-1900,-1741,-1582,-1423,-1272,-1264,-1105,-946,-787,-628,-469,-310,-151
9,168,327,486,645,804,963,1122,1281,1440,1599,1758,1917,2076,2235,2394,2553,2712,2871,3030,3189,3348,3507,3666,3825,3984,4143,4302,4461,4620,4779,4938,5097,5256,5415,5574,5733,5892,6051,6210,6369,6528,6687,6846,7005,7164,7323,7482,7641,7800,7959,8118,8277,8436,8595,8754,8913,9072,9231,9390,9549,9708,9867,10026,10185,10344,10503,10662,10821,10980,11139,11298,11457,11616,11775,11934,12093,12252,12411,12570,-12552,-12393,-12234,-12075,-11916,-11757,-11598,-11439,-11280,-11121,-10962,-10803,-10644,-10485,-10326,-10167,-10008,-9849,-9690,-9531,-9372,-9213,-9054,-8895,-8736,-8577,-8418,-8259,-8100,-7941,-7782,-7623,-7464,-7305,-7146,-6987,-6828,-6669,-6510,-6351,-6192,-6033,-5874,-5715,-5556,-5397,-5238,-5079,-4920,-4761,-4602,-4443,-4284,-4125,-3966,-3807,-3648,-3489,-3330,-3171,-3012,-2853,-2694,-2535,-2376,-2217,-2058,-1899,-1740,-1581,-1431,-1422,-1263,-1104,-945,-786,-627,-468,-309,-150
10,169,328,487,646,805,964,1123,1282,1441,1600,1759,1918,2077,2236,2395,2554,2713,2872,3031,3190,3349,3508,3667,3826,3985,4144,4303,4462,4621,4780,4939,5098,5257,5416,5575,5734,5893,6052,6211,6370,6529,6688,6847,7006,7165,7324,7483,7642,7801,7960,8119,8278,8437,8596,8755,8914,9073,9232,9391,9550,9709,9868,10027,10186,10345,10504,10663,10822,10981,11140,11299,11458,11617,11776,11935,12094,12253,12412,12571,-12551,-12392,-12233,-12074,-11915,-11756,-11597,-11438,-11279,-11120,-10961,-10802,-10643,-10484,-10325,-10166,-10007,-9848,-9689,-9530,-9371,-9212,-9053,-8894,-8735,-8576,-8417,-8258,-8099,-7940,-7781,-7622,-7463,-7304,-7145,-6986,-6827,-6668,-6509,-6350,-6191,-6032,-5873,-5714,-5555,-5396,-5237,-5078,-4919,-4760,-4601,-4442,-4283,-4124,-3965,-3806,-3647,-3488,-3329,-3170,-3011,-2852,-2693,-2534,-2375,-2216,-2057,-1898,-1739,-1590,-1580,-1421,-1262,-1103,-944,-785,-626,-467,-308,-149
11,170,329,488,647,806,965,1124,1283,1442,1601,1760,1919,2078,2237,2396,2555,2714,2873,3032,3191,3350,3509,3668,3827,3986,4145,4304,4463,4622,4781,4940,5099,5258,5417,5576,5735,5894,6053,6212,6371,6530,6689,6848,7007,7166,7325,7484,7643,7802,7961,8120,8279,8438,8597,8756,8915,9074,9233,9392,9551,9710,9869,10028,10187,10346,10505,10664,10823,10982,11141,11300,11459,11618,11777,11936,12095,12254,12413,12572,-12550,-12391,-12232,-12073,-11914,-11755,-11596,-11437,-11278,-11119,-10960,-10801,-10642,-10483,-10324,-10165,-10006,-9847,-9688,-9529,-9370,-9211,-9052,-8893,-8734,-8575,-8416,-8257,-8098,-7939,-7780,-7621,-7462,-7303,-7144,-6985,-6826,-6667,-6508,-6349,-6190,-6031,-5872,-5713,-5554,-5395,-5236,-5077,-4918,-4759,-4600,-4441,-4282,-4123,-3964,-3805,-3646,-3487,-3328,-3169,-3010,-2851,-2692,-2533,-2374,-2215,-2056,-1897,-1749,-1738,-1579,-1420,-1261,-1102,-943,-784,-625,-466,-307,-148
