1,248,495,742,989,1236,1483,1730,1977,2224,2471,2718,2965,3212,3459,3706,3953,4200,4447,4694,4941,5188,5435,5682,5929,6176,6423,6670,6917,7164,7411,7658,7905,8152,8399,8646,8893,9140,9387,9634,9881,10128,10375,10622,10869,11116,11363,11610,11857,12104,12351,12598,12845,13092,13339,13586,13833,14080,14327,14574,14821,15068,15315,15562,15809,16056,16303,16550,16797,17044,17291,17538,17785,18032,18279,18526,18773,19020,19267,19514,19761,20008,20255,20502,20749,20996,21243,21490,21737,21984,22231,22478,22725,22972,23219,23466,23713,23960,24207,24454,24701,24948,25195,25442,25689,25936,26183,26430,26677,26924,27171,27418,27665,27912,28159,28406,28653,28900,29147,29394,29641,29888,30135,30382,-30380,-30133,-29886,-29639,-29392,-29145,-28898,-28651,-28404,-28157,-27910,-27663,-27416,-27169,-26922,-26675,-26428,-26181,-25934,-25687,-25440,-25193,-24946,-24699,-24452,-24205,-23958,-23711,-23464,-23217,-22970,-22723,-22476,-22229,-21982,-21735,-21488,-21241,-20994,-20747,-20500,-20253,-20006,-19759,-19512,-19265,-19018,-18771,-18524,-18277,-18030,-17783,-17536,-17289,-17042,-16795,-16548,-16301,-16054,-15807,-15560,-15313,-15066,-14819,-14572,-14325,-14078,-13831,-13584,-13337,-13090,-12843,-12596,-12349,-12102,-11855,-11608,-11361,-11114,-10867,-10620,-10373,-10126,-9879,-9632,-9385,-9138,-8891,-8644,-8397,-8150,-7903,-7656,-7409,-7162,-6915,-6668,-6421,-6174,-5927,-5680,-5433,-5186,-4939,-4692,-4445,-4198,-3951,-3704,-3457,-3210,-2963,-2716,-2469,-2222,-1975,-1728,-1481,-1234,-987,-740,-493,-247,-246
2,249,496,743,990,1237,1484,1731,1978,2225,2472,2719,2966,3213,3460,3707,3954,4201,4448,4695,4942,5189,5436,5683,5930,6177,6424,6671,6918,7165,7412,7659,7906,8153,8400,8647,8894,9141,9388,9635,9882,10129,10376,10623,10870,11117,11364,11611,11858,12105,12352,12599,12846,13093,13340,13587,13834,14081,14328,14575,14822,15069,15316,15563,15810,16057,16304,16551,16798,17045,17292,17539,17786,18033,18280,18527,18774,19021,19268,19515,19762,20009,20256,20503,20750,20997,21244,21491,21738,21985,22232,22479,22726,22973,23220,23467,23714,23961,24208,24455,24702,24949,25196,25443,25690,25937,26184,26431,26678,26925,27172,27419,27666,27913,28160,28407,28654,28901,29148,29395,29642,29889,30136,30383,-30379,-30132,-29885,-29638,-29391,-29144,-28897,-28650,-28403,-28156,-27909,-27662,-27415,-27168,-26921,-26674,-26427,-26180,-25933,-25686,-25439,-25192,-24945,-24698,-24451,-24204,-23957,-23710,-23463,-23216,-22969,-22722,-22475,-22228,-21981,-21734,-21487,-21240,-20993,-20746,-20499,-20252,-20005,-19758,-19511,-19264,-19017,-18770,-18523,-18276,-18029,-17782,-17535,-17288,-17041,-16794,-16547,-16300,-16053,-15806,-15559,-15312,-15065,-14818,-14571,-14324,-14077,-13830,-13583,-13336,-13089,-12842,-12595,-12348,-12101,-11854,-11607,-11360,-11113,-10866,-10619,-10372,-10125,-9878,-9631,-9384,-9137,-8890,-8643,-8396,-8149,-7902,-7655,-7408,-7161,-6914,-6667,-6420,-6173,-5926,-5679,-5432,-5185,-4938,-4691,-4444,-4197,-3950,-3703,-3456,-3209,-2962,-2715,-2468,-2221,-1974,-1727,-1480,-1233,-986,-739,-494,-492,-245
3,250,497,744,991,1238,1485,1732,1979,2226,2473,2720,2967,3214,3461,3708,3955,4202,4449,4696,4943,5190,5437,5684,5931,6178,6425,6672,6919,7166,7413,7660,7907,8154,8401,8648,8895,9142,9389,9636,9883,10130,10377,10624,10871,11118,11365,11612,11859,12106,12353,12600,12847,13094,13341,13588,13835,14082,14329,14576,14823,15070,15317,15564,15811,16058,16305,16552,16799,17046,17293,17540,17787,18034,18281,18528,18775,19022,19269,19516,19763,20010,20257,20504,20751,20998,21245,21492,21739,21986,22233,22480,22727,22974,23221,23468,23715,23962,24209,24456,24703,24950,25197,25444,25691,25938,26185,26432,26679,26926,27173,27420,27667,27914,28161,28408,28655,28902,29149,29396,29643,29890,30137,30384,-30378,-30131,-29884,-29637,-29390,-29143,-28896,-28649,-28402,-28155,-27908,-27661,-27414,-27167,-26920,-26673,-26426,-26179,-25932,-25685,-25438,-25191,-24944,-24697,-24450,-24203,-23956,-23709,-23462,-23215,-22968,-22721,-22474,-22227,-21980,-21733,-21486,-21239,-20992,-20745,-20498,-20251,-20004,-19757,-19510,-19263,-19016,-18769,-18522,-18275,-18028,-17781,-17534,-17287,-17040,-16793,-16546,-16299,-16052,-15805,-15558,-15311,-15064,-14817,-14570,-14323,-14076,-13829,-13582,-13335,-13088,-12841,-12594,-12347,-12100,-11853,-11606,-11359,-11112,-10865,-10618,-10371,-10124,-9877,-9630,-9383,-9136,-8889,-8642,-8395,-8148,-7901,-7654,-7407,-7160,-6913,-6666,-6419,-6172,-5925,-5678,-5431,-5184,-4937,-4690,-4443,-4196,-3949,-3702,-3455,-3208,-2961,-2714,-2467,-2220,-1973,-1726,-1479,-1232,-985,-741,-738,-491,-244
4,251,498,745,992,1239,1486,1733,1980,2227,2474,2721,2968,3215,3462,3709,3956,4203,4450,4697,4944,5191,5438,5685,5932,6179,6426,6673,6920,7167,7414,7661,7908,8155,8402,8649,8896,9143,9390,9637,9884,10131,10378,10625,10872,11119,11366,11613,11860,12107,12354,12601,12848,13095,13342,13589,13836,14083,14330,14577,14824,15071,15318,15565,15812,16059,16306,16553,16800,17047,17294,17541,17788,18035,18282,18529,18776,19023,19270,19517,19764,20011,20258,20505,20752,20999,21246,21493,21740,21987,22234,22481,22728,22975,23222,23469,23716,23963,24210,24457,24704,24951,25198,25445,25692,25939,26186,26433,26680,26927,27174,27421,27668,27915,28162,28409,28656,28903,29150,29397,29644,29891,30138,30385,-30377,-30130,-29883,-29636,-29389,-29142,-28895,-28648,-28401,-28154,-27907,-27660,-27413,-27166,-26919,-26672,-26425,-26178,-25931,-25684,-25437,-25190,-24943,-24696,-24449,-24202,-23955,-23708,-23461,-23214,-22967,-22720,-22473,-22226,-21979,-21732,-21485,-21238,-20991,-20744,-20497,-20250,-20003,-19756,-19509,-19262,-19015,-18768,-18521,-18274,-18027,-17780,-17533,-17286,-17039,-16792,-16545,-16298,-16051,-15804,-15557,-15310,-15063,-14816,-14569,-14322,-14075,-13828,-13581,-13334,-13087,-12840,-12593,-12346,-12099,-11852,-11605,-11358,-11111,-10864,-10617,-10370,-10123,-9876,-9629,-9382,-9135,-8888,-8641,-8394,-8147,-7900,-7653,-7406,-7159,-6912,-6665,-6418,-6171,-5924,-5677,-5430,-5183,-4936,-4689,-4442,-4195,-3948,-3701,-3454,-3207,-2960,-2713,-2466,-2219,-1972,-1725,-1478,-1231,-988,-984,-737,-490,-243
5,252,499,746,993,1240,1487,1734,1981,2228,2475,2722,2969,3216,3463,3710,3957,4204,4451,4698,4945,5192,5439,5686,5933,6180,6427,6674,6921,7168,7415,7662,7909,8156,8403,8650,8897,9144,9391,9638,9885,10132,10379,10626,10873,11120,11367,11614,11861,12108,12355,12602,12849,13096,13343,13590,13837,14084,14331,14578,14825,15072,15319,15566,15813,16060,16307,16554,16801,17048,17295,17542,17789,18036,18283,18530,18777,19024,19271,19518,19765,20012,20259,20506,20753,21000,21247,21494,21741,21988,22235,22482,22729,22976,23223,23470,23717,23964,24211,24458,24705,24952,25199,25446,25693,25940,26187,26434,26681,26928,27175,27422,27669,27916,28163,28410,28657,28904,29151,29398,29645,29892,30139,30386,-30376,-30129,-29882,-29635,-29388,-29141,-28894,-28647,-28400,-28153,-27906,-27659,-27412,-27165,-26918,-26671,-26424,-26177,-25930,-25683,-25436,-25189,-24942,-24695,-24448,-24201,-23954,-23707,-23460,-23213,-22966,-22719,-22472,-22225,-21978,-21731,-21484,-21237,-20990,-20743,-20496,-20249,-20002,-19755,-19508,-19261,-19014,-18767,-18520,-18273,-18026,-17779,-17532,-17285,-17038,-16791,-16544,-16297,-16050,-15803,-15556,-15309,-15062,-14815,-14568,-14321,-14074,-13827,-13580,-13333,-13086,-12839,-12592,-12345,-12098,-11851,-11604,-11357,-11110,-10863,-10616,-10369,-10122,-9875,-9628,-9381,-9134,-8887,-8640,-8393,-8146,-7899,-7652,-7405,-7158,-6911,-6664,-6417,-6170,-5923,-5676,-5429,-5182,-4935,-4688,-4441,-4194,-3947,-3700,-3453,-3206,-2959,-2712,-2465,-2218,-1971,-1724,-1477,-1235,-1230,-983,-736,-489,-242
6,253,500,747,994,1241,1488,1735,1982,2229,2476,2723,2970,3217,3464,3711,3958,4205,4452,4699,4946,5193,5440,5687,5934,6181,6428,6675,6922,7169,7416,7663,7910,8157,8404,8651,8898,9145,9392,9639,9886,10133,10380,10627,10874,11121,11368,11615,11862,12109,12356,12603,12850,13097,13344,13591,13838,14085,14332,14579,14826,15073,15320,15567,15814,16061,16308,16555,16802,17049,17296,17543,17790,18037,18284,18531,18778,19025,19272,19519,19766,20013,20260,20507,20754,21001,21248,21495,21742,21989,22236,22483,22730,22977,23224,23471,23718,23965,24212,24459,24706,24953,25200,25447,25694,25941,26188,26435,26682,26929,27176,27423,27670,27917,28164,28411,28658,28905,29152,29399,29646,29893,30140,30387,-30375,-30128,-29881,-29634,-29387,-29140,-28893,-28646,-28399,-28152,-27905,-27658,-27411,-27164,-26917,-26670,-26423,-26176,-25929,-25682,-25435,-25188,-24941,-24694,-24447,-24200,-23953,-23706,-23459,-23212,-22965,-22718,-22471,-22224,-21977,-21730,-21483,-21236,-20989,-20742,-20495,-20248,-20001,-19754,-19507,-19260,-19013,-18766,-18519,-18272,-18025,-17778,-17531,-17284,-17037,-16790,-16543,-16296,-16049,-15802,-15555,-15308,-15061,-14814,-14567,-14320,-14073,-13826,-13579,-13332,-13085,-12838,-12591,-12344,-12097,-11850,-11603,-11356,-11109,-10862,-10615,-10368,-10121,-9874,-9627,-9380,-9133,-8886,-8639,-8392,-8145,-7898,-7651,-7404,-7157,-6910,-6663,-6416,-6169,-5922,-5675,-5428,-5181,-4934,-4687,-4440,-4193,-3946,-3699,-3452,-3205,-2958,-2711,-2464,-2217,-1970,-1723,-1482,-1476,-1229,-982,-735,-488,-241
7,254,501,748,995,1242,1489,1736,1983,2230,2477,2724,2971,3218,3465,3712,3959,4206,4453,4700,4947,5194,5441,5688,5935,6182,6429,6676,6923,7170,7417,7664,7911,8158,8405,8652,8899,9146,9393,9640,9887,10134,10381,10628,10875,11122,11369,11616,11863,12110,12357,12604,12851,13098,13345,13592,13839,14086,14333,14580,14827,15074,15321,15568,15815,16062,16309,16556,16803,17050,17297,17544,17791,18038,18285,18532,18779,19026,19273,19520,19767,20014,20261,20508,20755,21002,21249,21496,21743,21990,22237,22484,22731,22978,23225,23472,23719,23966,24213,24460,24707,24954,25201,25448,25695,25942,26189,26436,26683,26930,27177,27424,27671,27918,28165,28412,28659,28906,29153,29400,29647,29894,30141,30388,-30374,-30127,-29880,-29633,-29386,-29139,-28892,-28645,-28398,-28151,-27904,-27657,-27410,-27163,-26916,-26669,-26422,-26175,-25928,-25681,-25434,-25187,-24940,-24693,-24446,-24199,-23952,-23705,-23458,-23211,-22964,-22717,-22470,-22223,-21976,-21729,-21482,-21235,-20988,-20741,-20494,-20247,-20000,-19753,-19506,-19259,-19012,-18765,-18518,-18271,-18024,-17777,-17530,-17283,-17036,-16789,-16542,-16295,-16048,-15801,-15554,-15307,-15060,-14813,-14566,-14319,-14072,-13825,-13578,-13331,-13084,-12837,-12590,-12343,-12096,-11849,-11602,-11355,-11108,-10861,-10614,-10367,-10120,-9873,-9626,-9379,-9132,-8885,-8638,-8391,-8144,-7897,-7650,-7403,-7156,-6909,-6662,-6415,-6168,-5921,-5674,-5427,-5180,-4933,-4686,-4439,-4192,-3945,-3698,-3451,-3204,-2957,-2710,-2463,-2216,-1969,-1729,-1722,-1475,-1228,-981,-734,-487,-240
8,255,502,749,996,1243,1490,1737,1984,2231,2478,2725,2972,3219,3466,3713,3960,4207,4454,4701,4948,5195,5442,5689,5936,6183,6430,6677,6924,7171,7418,7665,7912,8159,8406,8653,8900,9147,9394,9641,9888,10135,10382,10629,10876,11123,11370,11617,11864,12111,12358,12605,12852,13099,13346,13593,13840,14087,14334,14581,14828,15075,15322,15569,15816,16063,16310,16557,16804,17051,17298,17545,17792,18039,18286,18533,18780,19027,19274,19521,19768,20015,20262,20509,20756,21003,21250,21497,21744,21991,22238,22485,22732,22979,23226,23473,23720,23967,24214,24461,24708,24955,25202,25449,25696,25943,26190,26437,26684,26931,27178,27425,27672,27919,28166,28413,28660,28907,29154,29401,29648,29895,30142,30389,-30373,-30126,-29879,-29632,-29385,-29138,-28891,-28644,-28397,-28150,-27903,-27656,-27409,-27162,-26915,-26668,-26421,-26174,-25927,-25680,-25433,-25186,-24939,-24692,-24445,-24198,-23951,-23704,-23457,-23210,-22963,-22716,-22469,-22222,-21975,-21728,-21481,-21234,-20987,-20740,-20493,-20246,-19999,-19752,-19505,-19258,-19011,-18764,-18517,-18270,-18023,-17776,-17529,-17282,-17035,-16788,-16541,-16294,-16047,-15800,-15553,-15306,-15059,-14812,-14565,-14318,-14071,-13824,-13577,-13330,-13083,-12836,-12589,-12342,-12095,-11848,-11601,-11354,-11107,-10860,-10613,-10366,-10119,-9872,-9625,-9378,-9131,-8884,-8637,-8390,-8143,-7896,-7649,-7402,-7155,-6908,-6661,-6414,-6167,-5920,-5673,-5426,-5179,-4932,-4685,-4438,-4191,-3944,-3697,-3450,-3203,-2956,-2709,-2462,-2215,-1976,-1968,-1721,-1474,-1227,-980,-733,-486,-239
9,256,503,750,997,1244,1491,1738,1985,2232,2479,2726,2973,3220,3467,3714,3961,4208,4455,4702,4949,5196,5443,5690,5937,6184,6431,6678,6925,7172,7419,7666,7913,8160,8407,8654,8901,9148,9395,9642,9889,10136,10383,10630,10877,11124,11371,11618,11865,12112,12359,12606,12853,13100,13347,13594,13841,14088,14335,14582,14829,15076,15323,15570,15817,16064,16311,16558,16805,17052,17299,17546,17793,18040,18287,18534,18781,19028,19275,19522,19769,20016,20263,20510,20757,21004,21251,21498,21745,21992,22239,22486,22733,22980,23227,23474,23721,23968,24215,24462,24709,24956,25203,25450,25697,25944,26191,26438,26685,26932,27179,27426,27673,27920,28167,28414,28661,28908,29155,29402,29649,29896,30143,30390,-30372,-30125,-29878,-29631,-29384,-29137,-28890,-28643,-28396,-28149,-27902,-27655,-27408,-27161,-26914,-26667,-26420,-26173,-25926,-25679,-25432,-25185,-24938,-24691,-24444,-24197,-23950,-23703,-23456,-23209,-22962,-22715,-22468,-22221,-21974,-21727,-21480,-21233,-20986,-20739,-20492,-20245,-19998,-19751,-19504,-19257,-19010,-18763,-18516,-18269,-18022,-17775,-17528,-17281,-17034,-16787,-16540,-16293,-16046,-15799,-15552,-15305,-15058,-14811,-14564,-14317,-14070,-13823,-13576,-13329,-13082,-12835,-12588,-12341,-12094,-11847,-11600,-11353,-11106,-10859,-10612,-10365,-10118,-9871,-9624,-9377,-9130,-8883,-8636,-8389,-8142,-7895,-7648,-7401,-7154,-6907,-6660,-6413,-6166,-5919,-5672,-5425,-5178,-4931,-4684,-4437,-4190,-3943,-3696,-3449,-3202,-2955,-2708,-2461,-2223,-2214,-1967,-1720,-1473,-1226,-979,-732,-485,-238
10,257,504,751,998,1245,1492,1739,1986,2233,2480,2727,2974,3221,3468,3715,3962,4209,4456,4703,4950,5197,5444,5691,5938,6185,6432,6679,6926,7173,7420,7667,7914,8161,8408,8655,8902,9149,9396,9643,9890,10137,10384,10631,10878,11125,11372,11619,11866,12113,12360,12607,12854,13101,13348,13595,13842,14089,14336,14583,14830,15077,15324,15571,15818,16065,16312,16559,16806,17053,17300,17547,17794,18041,18288,18535,18782,19029,19276,19523,19770,20017,20264,20511,20758,21005,21252,21499,21746,21993,22240,22487,22734,22981,23228,23475,23722,23969,24216,24463,24710,24957,25204,25451,25698,25945,26192,26439,26686,26933,27180,27427,27674,27921,28168,28415,28662,28909,29156,29403,29650,29897,30144,30391,-30371,-30124,-29877,-29630,-29383,-29136,-28889,-28642,-28395,-28148,-27901,-27654,-27407,-27160,-26913,-26666,-26419,-26172,-25925,-25678,-25431,-25184,-24937,-24690,-24443,-24196,-23949,-23702,-23455,-23208,-22961,-22714,-22467,-22220,-21973,-21726,-21479,-21232,-20985,-20738,-20491,-20244,-19997,-19750,-19503,-19256,-19009,-18762,-18515,-18268,-18021,-17774,-17527,-17280,-17033,-16786,-16539,-16292,-16045,-15798,-15551,-15304,-15057,-14810,-14563,-14316,-14069,-13822,-13575,-13328,-13081,-12834,-12587,-12340,-12093,-11846,-11599,-11352,-11105,-10858,-10611,-10364,-10117,-9870,-9623,-9376,-9129,-8882,-8635,-8388,-8141,-7894,-7647,-7400,-7153,-6906,-6659,-6412,-6165,-5918,-5671,-5424,-5177,-4930,-4683,-4436,-4189,-3942,-3695,-3448,-3201,-2954,-2707,-2470,-2460,-2213,-1966,-1719,-1472,-1225,-978,-731,-484,-237
11,258,505,752,999,1246,1493,1740,1987,2234,2481,2728,2975,3222,3469,3716,3963,4210,4457,4704,4951,5198,5445,5692,5939,6186,6433,6680,6927,7174,7421,7668,7915,8162,8409,8656,8903,9150,9397,9644,9891,10138,10385,10632,10879,11126,11373,11620,11867,12114,12361,12608,12855,13102,13349,13596,13843,14090,14337,14584,14831,15078,15325,15572,15819,16066,16313,16560,16807,17054,17301,17548,17795,18042,18289,18536,18783,19030,19277,19524,19771,20018,20265,20512,20759,21006,21253,21500,21747,21994,22241,22488,22735,22982,23229,23476,23723,23970,24217,24464,24711,24958,25205,25452,25699,25946,26193,26440,26687,26934,27181,27428,27675,27922,28169,28416,28663,28910,29157,29404,29651,29898,30145,30392,-30370,-30123,-29876,-29629,-29382,-29135,-28888,-28641,-28394,-28147,-27900,-27653,-27406,-27159,-26912,-26665,-26418,-26171,-25924,-25677,-25430,-25183,-24936,-24689,-24442,-24195,-23948,-23701,-23454,-23207,-22960,-22713,-22466,-22219,-21972,-21725,-21478,-21231,-20984,-20737,-20490,-20243,-19996,-19749,-19502,-19255,-19008,-18761,-18514,-18267,-18020,-17773,-17526,-17279,-17032,-16785,-16538,-16291,-16044,-15797,-15550,-15303,-15056,-14809,-14562,-14315,-14068,-13821,-13574,-13327,-13080,-12833,-12586,-12339,-12092,-11845,-11598,-11351,-11104,-10857,-10610,-10363,-10116,-9869,-9622,-9375,-9128,-8881,-8634,-8387,-8140,-7893,-7646,-7399,-7152,-6905,-6658,-6411,-6164,-5917,-5670,-5423,-5176,-4929,-4682,-4435,-4188,-3941,-3694,-3447,-3200,-2953,-2717,-2706,-2459,-2212,-1965,-1718,-1471,-1224,-977,-730,-483,-236
