1,292,583,874,1165,1456,1747,2038,2329,2620,2911,3202,3493,3784,4075,4366,4657,4948,5239,5530,5821,6112,6403,6694,6985,7276,7567,7858,8149,8440,8731,9022,9313,9604,9895,10186,10477,10768,11059,11350,11641,11932,12223,12514,12805,13096,13387,13678,13969,14260,14551,14842,15133,15424,15715,16006,16297,16588,16879,17170,17461,17752,18043,18334,18625,18916,19207,19498,19789,20080,20371,20662,20953,21244,21535,21826,22117,22408,22699,22990,23281,23572,23863,24154,24445,24736,25027,25318,25609,25900,26191,26482,26773,27064,27355,27646,27937,28228,28519,28810,29101,29392,29683,29974,30265,30556,30847,31138,31429,31720,32011,32302,32593,32884,33175,33466,33757,34048,34339,34630,34921,35212,35503,35794,36085,36376,36667,36958,37249,37540,37831,38122,38413,38704,38995,39286,39577,39868,40159,40450,40741,41032,41323,41614,41905,42196,-42194,-41903,-41612,-41321,-41030,-40739,-40448,-40157,-39866,-39575,-39284,-38993,-38702,-38411,-38120,-37829,-37538,-37247,-36956,-36665,-36374,-36083,-35792,-35501,-35210,-34919,-34628,-34337,-34046,-33755,-33464,-33173,-32882,-32591,-32300,-32009,-31718,-31427,-31136,-30845,-30554,-30263,-29972,-29681,-29390,-29099,-28808,-28517,-28226,-27935,-27644,-27353,-27062,-26771,-26480,-26189,-25898,-25607,-25316,-25025,-24734,-24443,-24152,-23861,-23570,-23279,-22988,-22697,-22406,-22115,-21824,-21533,-21242,-20951,-20660,-20369,-20078,-19787,-19496,-19205,-18914,-18623,-18332,-18041,-17750,-17459,-17168,-16877,-16586,-16295,-16004,-15713,-15422,-15131,-14840,-14549,-14258,-13967,-13676,-13385,-13094,-12803,-12512,-12221,-11930,-11639,-11348,-11057,-10766,-10475,-10184,-9893,-9602,-9311,-9020,-8729,-8438,-8147,-7856,-7565,-7274,-6983,-6692,-6401,-6110,-5819,-5528,-5237,-4946,-4655,-4364,-4073,-3782,-3491,-3200,-2909,-2618,-2327,-2036,-1745,-1454,-1163,-872,-581,-291,-290
2,293,584,875,1166,1457,1748,2039,2330,2621,2912,3203,3494,3785,4076,4367,4658,4949,5240,5531,5822,6113,6404,6695,6986,7277,7568,7859,8150,8441,8732,9023,9314,9605,9896,10187,10478,10769,11060,11351,11642,11933,12224,12515,12806,13097,13388,13679,13970,14261,14552,14843,15134,15425,15716,16007,16298,16589,16880,17171,17462,17753,18044,18335,18626,18917,19208,19499,19790,20081,20372,20663,20954,21245,21536,21827,22118,22409,22700,22991,23282,23573,23864,24155,24446,24737,25028,25319,25610,25901,26192,26483,26774,27065,27356,27647,27938,28229,28520,28811,29102,29393,29684,29975,30266,30557,30848,31139,31430,31721,32012,32303,32594,32885,33176,33467,33758,34049,34340,34631,34922,35213,35504,35795,36086,36377,36668,36959,37250,37541,37832,38123,38414,38705,38996,39287,39578,39869,40160,40451,40742,41033,41324,41615,41906,42197,-42193,-41902,-41611,-41320,-41029,-40738,-40447,-40156,-39865,-39574,-39283,-38992,-38701,-38410,-38119,-37828,-37537,-37246,-36955,-36664,-36373,-36082,-35791,-35500,-35209,-34918,-34627,-34336,-34045,-33754,-33463,-33172,-32881,-32590,-32299,-32008,-31717,-31426,-31135,-30844,-30553,-30262,-29971,-29680,-29389,-29098,-28807,-28516,-28225,-27934,-27643,-27352,-27061,-26770,-26479,-26188,-25897,-25606,-25315,-25024,-24733,-24442,-24151,-23860,-23569,-23278,-22987,-22696,-22405,-22114,-21823,-21532,-21241,-20950,-20659,-20368,-20077,-19786,-19495,-19204,-18913,-18622,-18331,-18040,-17749,-17458,-17167,-16876,-16585,-16294,-16003,-15712,-15421,-15130,-14839,-14548,-14257,-13966,-13675,-13384,-13093,-12802,-12511,-12220,-11929,-11638,-11347,-11056,-10765,-10474,-10183,-9892,-9601,-9310,-9019,-8728,-8437,-8146,-7855,-7564,-7273,-6982,-6691,-6400,-6109,-5818,-5527,-5236,-4945,-4654,-4363,-4072,-3781,-3490,-3199,-2908,-2617,-2326,-2035,-1744,-1453,-1162,-871,-582,-580,-289
3,294,585,876,1167,1458,1749,2040,2331,2622,2913,3204,3495,3786,4077,4368,4659,4950,5241,5532,5823,6114,6405,6696,6987,7278,7569,7860,8151,8442,8733,9024,9315,9606,9897,10188,10479,10770,11061,11352,11643,11934,12225,12516,12807,13098,13389,13680,13971,14262,14553,14844,15135,15426,15717,16008,16299,16590,16881,17172,17463,17754,18045,18336,18627,18918,19209,19500,19791,20082,20373,20664,20955,21246,21537,21828,22119,22410,22701,22992,23283,23574,23865,24156,24447,24738,25029,25320,25611,25902,26193,26484,26775,27066,27357,27648,27939,28230,28521,28812,29103,29394,29685,29976,30267,30558,30849,31140,31431,31722,32013,32304,32595,32886,33177,33468,33759,34050,34341,34632,34923,35214,35505,35796,36087,36378,36669,36960,37251,37542,37833,38124,38415,38706,38997,39288,39579,39870,40161,40452,40743,41034,41325,41616,41907,42198,-42192,-41901,-41610,-41319,-41028,-40737,-40446,-40155,-39864,-39573,-39282,-38991,-38700,-38409,-38118,-37827,-37536,-37245,-36954,-36663,-36372,-36081,-35790,-35499,-35208,-34917,-34626,-34335,-34044,-33753,-33462,-33171,-32880,-32589,-32298,-32007,-31716,-31425,-31134,-30843,-30552,-30261,-29970,-29679,-29388,-29097,-28806,-28515,-28224,-27933,-27642,-27351,-27060,-26769,-26478,-26187,-25896,-25605,-25314,-25023,-24732,-24441,-24150,-23859,-23568,-23277,-22986,-22695,-22404,-22113,-21822,-21531,-21240,-20949,-20658,-20367,-20076,-19785,-19494,-19203,-18912,-18621,-18330,-18039,-17748,-17457,-17166,-16875,-16584,-16293,-16002,-15711,-15420,-15129,-14838,-14547,-14256,-13965,-13674,-13383,-13092,-12801,-12510,-12219,-11928,-11637,-11346,-11055,-10764,-10473,-10182,-9891,-9600,-9309,-9018,-8727,-8436,-8145,-7854,-7563,-7272,-6981,-6690,-6399,-6108,-5817,-5526,-5235,-4944,-4653,-4362,-4071,-3780,-3489,-3198,-2907,-2616,-2325,-2034,-1743,-1452,-1161,-873,-870,-579,-288
4,295,586,877,1168,1459,1750,2041,2332,2623,2914,3205,3496,3787,4078,4369,4660,4951,5242,5533,5824,6115,6406,6697,6988,7279,7570,7861,8152,8443,8734,9025,9316,9607,9898,10189,10480,10771,11062,11353,11644,11935,12226,12517,12808,13099,13390,13681,13972,14263,14554,14845,15136,15427,15718,16009,16300,16591,16882,17173,17464,17755,18046,18337,18628,18919,19210,19501,19792,20083,20374,20665,20956,21247,21538,21829,22120,22411,22702,22993,23284,23575,23866,24157,24448,24739,25030,25321,25612,25903,26194,26485,26776,27067,27358,27649,27940,28231,28522,28813,29104,29395,29686,29977,30268,30559,30850,31141,31432,31723,32014,32305,32596,32887,33178,33469,33760,34051,34342,34633,34924,35215,35506,35797,36088,36379,36670,36961,37252,37543,37834,38125,38416,38707,38998,39289,39580,39871,40162,40453,40744,41035,41326,41617,41908,42199,-42191,-41900,-41609,-41318,-41027,-40736,-40445,-40154,-39863,-39572,-39281,-38990,-38699,-38408,-38117,-37826,-37535,-37244,-36953,-36662,-36371,-36080,-35789,-35498,-35207,-34916,-34625,-34334,-34043,-33752,-33461,-33170,-32879,-32588,-32297,-32006,-31715,-31424,-31133,-30842,-30551,-30260,-29969,-29678,-29387,-29096,-28805,-28514,-28223,-27932,-27641,-27350,-27059,-26768,-26477,-26186,-25895,-25604,-25313,-25022,-24731,-24440,-24149,-23858,-23567,-23276,-22985,-22694,-22403,-22112,-21821,-21530,-21239,-20948,-20657,-20366,-20075,-19784,-19493,-19202,-18911,-18620,-18329,-18038,-17747,-17456,-17165,-16874,-16583,-16292,-16001,-15710,-15419,-15128,-14837,-14546,-14255,-13964,-13673,-13382,-13091,-12800,-12509,-12218,-11927,-11636,-11345,-11054,-10763,-10472,-10181,-9890,-9599,-9308,-9017,-8726,-8435,-8144,-7853,-7562,-7271,-6980,-6689,-6398,-6107,-5816,-5525,-5234,-4943,-4652,-4361,-4070,-3779,-3488,-3197,-2906,-2615,-2324,-2033,-1742,-1451,-1164,-1160,-869,-578,-287
5,296,587,878,1169,1460,1751,2042,2333,2624,2915,3206,3497,3788,4079,4370,4661,4952,5243,5534,5825,6116,6407,6698,6989,7280,7571,7862,8153,8444,8735,9026,9317,9608,9899,10190,10481,10772,11063,11354,11645,11936,12227,12518,12809,13100,13391,13682,13973,14264,14555,14846,15137,15428,15719,16010,16301,16592,16883,17174,17465,17756,18047,18338,18629,18920,19211,19502,19793,20084,20375,20666,20957,21248,21539,21830,22121,22412,22703,22994,23285,23576,23867,24158,24449,24740,25031,25322,25613,25904,26195,26486,26777,27068,27359,27650,27941,28232,28523,28814,29105,29396,29687,29978,30269,30560,30851,31142,31433,31724,32015,32306,32597,32888,33179,33470,33761,34052,34343,34634,34925,35216,35507,35798,36089,36380,36671,36962,37253,37544,37835,38126,38417,38708,38999,39290,39581,39872,40163,40454,40745,41036,41327,41618,41909,42200,-42190,-41899,-41608,-41317,-41026,-40735,-40444,-40153,-39862,-39571,-39280,-38989,-38698,-38407,-38116,-37825,-37534,-37243,-36952,-36661,-36370,-36079,-35788,-35497,-35206,-34915,-34624,-34333,-34042,-33751,-33460,-33169,-32878,-32587,-32296,-32005,-31714,-31423,-31132,-30841,-30550,-30259,-29968,-29677,-29386,-29095,-28804,-28513,-28222,-27931,-27640,-27349,-27058,-26767,-26476,-26185,-25894,-25603,-25312,-25021,-24730,-24439,-24148,-23857,-23566,-23275,-22984,-22693,-22402,-22111,-21820,-21529,-21238,-20947,-20656,-20365,-20074,-19783,-19492,-19201,-18910,-18619,-18328,-18037,-17746,-17455,-17164,-16873,-16582,-16291,-16000,-15709,-15418,-15127,-14836,-14545,-14254,-13963,-13672,-13381,-13090,-12799,-12508,-12217,-11926,-11635,-11344,-11053,-10762,-10471,-10180,-9889,-9598,-9307,-9016,-8725,-8434,-8143,-7852,-7561,-7270,-6979,-6688,-6397,-6106,-5815,-5524,-5233,-4942,-4651,-4360,-4069,-3778,-3487,-3196,-2905,-2614,-2323,-2032,-1741,-1455,-1450,-1159,-868,-577,-286
6,297,588,879,1170,1461,1752,2043,2334,2625,2916,3207,3498,3789,4080,4371,4662,4953,5244,5535,5826,6117,6408,6699,6990,7281,7572,7863,8154,8445,8736,9027,9318,9609,9900,10191,10482,10773,11064,11355,11646,11937,12228,12519,12810,13101,13392,13683,13974,14265,14556,14847,15138,15429,15720,16011,16302,16593,16884,17175,17466,17757,18048,18339,18630,18921,19212,19503,19794,20085,20376,20667,20958,21249,21540,21831,22122,22413,22704,22995,23286,23577,23868,24159,24450,24741,25032,25323,25614,25905,26196,26487,26778,27069,27360,27651,27942,28233,28524,28815,29106,29397,29688,29979,30270,30561,30852,31143,31434,31725,32016,32307,32598,32889,33180,33471,33762,34053,34344,34635,34926,35217,35508,35799,36090,36381,36672,36963,37254,37545,37836,38127,38418,38709,39000,39291,39582,39873,40164,40455,40746,41037,41328,41619,41910,42201,-42189,-41898,-41607,-41316,-41025,-40734,-40443,-40152,-39861,-39570,-39279,-38988,-38697,-38406,-38115,-37824,-37533,-37242,-36951,-36660,-36369,-36078,-35787,-35496,-35205,-34914,-34623,-34332,-34041,-33750,-33459,-33168,-32877,-32586,-32295,-32004,-31713,-31422,-31131,-30840,-30549,-30258,-29967,-29676,-29385,-29094,-28803,-28512,-28221,-27930,-27639,-27348,-27057,-26766,-26475,-26184,-25893,-25602,-25311,-25020,-24729,-24438,-24147,-23856,-23565,-23274,-22983,-22692,-22401,-22110,-21819,-21528,-21237,-20946,-20655,-20364,-20073,-19782,-19491,-19200,-18909,-18618,-18327,-18036,-17745,-17454,-17163,-16872,-16581,-16290,-15999,-15708,-15417,-15126,-14835,-14544,-14253,-13962,-13671,-13380,-13089,-12798,-12507,-12216,-11925,-11634,-11343,-11052,-10761,-10470,-10179,-9888,-9597,-9306,-9015,-8724,-8433,-8142,-7851,-7560,-7269,-6978,-6687,-6396,-6105,-5814,-5523,-5232,-4941,-4650,-4359,-4068,-3777,-3486,-3195,-2904,-2613,-2322,-2031,-1746,-1740,-1449,-1158,-867,-576,-285
7,298,589,880,1171,1462,1753,2044,2335,2626,2917,3208,3499,3790,4081,4372,4663,4954,5245,5536,5827,6118,6409,6700,6991,7282,7573,7864,8155,8446,8737,9028,9319,9610,9901,10192,10483,10774,11065,11356,11647,11938,12229,12520,12811,13102,13393,13684,13975,14266,14557,14848,15139,15430,15721,16012,16303,16594,16885,17176,17467,17758,18049,18340,18631,18922,19213,19504,19795,20086,20377,20668,20959,21250,21541,21832,22123,22414,22705,22996,23287,23578,23869,24160,24451,24742,25033,25324,25615,25906,26197,26488,26779,27070,27361,27652,27943,28234,28525,28816,29107,29398,29689,29980,30271,30562,30853,31144,31435,31726,32017,32308,32599,32890,33181,33472,33763,34054,34345,34636,34927,35218,35509,35800,36091,36382,36673,36964,37255,37546,37837,38128,38419,38710,39001,39292,39583,39874,40165,40456,40747,41038,41329,41620,41911,42202,-42188,-41897,-41606,-41315,-41024,-40733,-40442,-40151,-39860,-39569,-39278,-38987,-38696,-38405,-38114,-37823,-37532,-37241,-36950,-36659,-36368,-36077,-35786,-35495,-35204,-34913,-34622,-34331,-34040,-33749,-33458,-33167,-32876,-32585,-32294,-32003,-31712,-31421,-31130,-30839,-30548,-30257,-29966,-29675,-29384,-29093,-28802,-28511,-28220,-27929,-27638,-27347,-27056,-26765,-26474,-26183,-25892,-25601,-25310,-25019,-24728,-24437,-24146,-23855,-23564,-23273,-22982,-22691,-22400,-22109,-21818,-21527,-21236,-20945,-20654,-20363,-20072,-19781,-19490,-19199,-18908,-18617,-18326,-18035,-17744,-17453,-17162,-16871,-16580,-16289,-15998,-15707,-15416,-15125,-14834,-14543,-14252,-13961,-13670,-13379,-13088,-12797,-12506,-12215,-11924,-11633,-11342,-11051,-10760,-10469,-10178,-9887,-9596,-9305,-9014,-8723,-8432,-8141,-7850,-7559,-7268,-6977,-6686,-6395,-6104,-5813,-5522,-5231,-4940,-4649,-4358,-4067,-3776,-3485,-3194,-2903,-2612,-2321,-2037,-2030,-1739,-1448,-1157,-866,-575,-284
8,299,590,881,1172,1463,1754,2045,2336,2627,2918,3209,3500,3791,4082,4373,4664,4955,5246,5537,5828,6119,6410,6701,6992,7283,7574,7865,8156,8447,8738,9029,9320,9611,9902,10193,10484,10775,11066,11357,11648,11939,12230,12521,12812,13103,13394,13685,13976,14267,14558,14849,15140,15431,15722,16013,16304,16595,16886,17177,17468,17759,18050,18341,18632,18923,19214,19505,19796,20087,20378,20669,20960,21251,21542,21833,22124,22415,22706,22997,23288,23579,23870,24161,24452,24743,25034,25325,25616,25907,26198,26489,26780,27071,27362,27653,27944,28235,28526,28817,29108,29399,29690,29981,30272,30563,30854,31145,31436,31727,32018,32309,32600,32891,33182,33473,33764,34055,34346,34637,34928,35219,35510,35801,36092,36383,36674,36965,37256,37547,37838,38129,38420,38711,39002,39293,39584,39875,40166,40457,40748,41039,41330,41621,41912,42203,-42187,-41896,-41605,-41314,-41023,-40732,-40441,-40150,-39859,-39568,-39277,-38986,-38695,-38404,-38113,-37822,-37531,-37240,-36949,-36658,-36367,-36076,-35785,-35494,-35203,-34912,-34621,-34330,-34039,-33748,-33457,-33166,-32875,-32584,-32293,-32002,-31711,-31420,-31129,-30838,-30547,-30256,-29965,-29674,-29383,-29092,-28801,-28510,-28219,-27928,-27637,-27346,-27055,-26764,-26473,-26182,-25891,-25600,-25309,-25018,-24727,-24436,-24145,-23854,-23563,-23272,-22981,-22690,-22399,-22108,-21817,-21526,-21235,-20944,-20653,-20362,-20071,-19780,-19489,-19198,-18907,-18616,-18325,-18034,-17743,-17452,-17161,-16870,-16579,-16288,-15997,-15706,-15415,-15124,-14833,-14542,-14251,-13960,-13669,-13378,-13087,-12796,-12505,-12214,-11923,-11632,-11341,-11050,-10759,-10468,-10177,-9886,-9595,-9304,-9013,-8722,-8431,-8140,-7849,-7558,-7267,-6976,-6685,-6394,-6103,-5812,-5521,-5230,-4939,-4648,-4357,-4066,-3775,-3484,-3193,-2902,-2611,-2328,-2320,-2029,-1738,-1447,-1156,-865,-574,-283
9,300,591,882,1173,1464,1755,2046,2337,2628,2919,3210,3501,3792,4083,4374,4665,4956,5247,5538,5829,6120,6411,6702,6993,7284,7575,7866,8157,8448,8739,9030,9321,9612,9903,10194,10485,10776,11067,11358,11649,11940,12231,12522,12813,13104,13395,13686,13977,14268,14559,14850,15141,15432,15723,16014,16305,16596,16887,17178,17469,17760,18051,18342,18633,18924,19215,19506,19797,20088,20379,20670,20961,21252,21543,21834,22125,22416,22707,22998,23289,23580,23871,24162,24453,24744,25035,25326,25617,25908,26199,26490,26781,27072,27363,27654,27945,28236,28527,28818,29109,29400,29691,29982,30273,30564,30855,31146,31437,31728,32019,32310,32601,32892,33183,33474,33765,34056,34347,34638,34929,35220,35511,35802,36093,36384,36675,36966,37257,37548,37839,38130,38421,38712,39003,39294,39585,39876,40167,40458,40749,41040,41331,41622,41913,42204,-42186,-41895,-41604,-41313,-41022,-40731,-40440,-40149,-39858,-39567,-39276,-38985,-38694,-38403,-38112,-37821,-37530,-37239,-36948,-36657,-36366,-36075,-35784,-35493,-35202,-34911,-34620,-34329,-34038,-33747,-33456,-33165,-32874,-32583,-32292,-32001,-31710,-31419,-31128,-30837,-30546,-30255,-29964,-29673,-29382,-29091,-28800,-28509,-28218,-27927,-27636,-27345,-27054,-26763,-26472,-26181,-25890,-25599,-25308,-25017,-24726,-24435,-24144,-23853,-23562,-23271,-22980,-22689,-22398,-22107,-21816,-21525,-21234,-20943,-20652,-20361,-20070,-19779,-19488,-19197,-18906,-18615,-18324,-18033,-17742,-17451,-17160,-16869,-16578,-16287,-15996,-15705,-15414,-15123,-14832,-14541,-14250,-13959,-13668,-13377,-13086,-12795,-12504,-12213,-11922,-11631,-11340,-11049,-10758,-10467,-10176,-9885,-9594,-9303,-9012,-8721,-8430,-8139,-7848,-7557,-7266,-6975,-6684,-6393,-6102,-5811,-5520,-5229,-4938,-4647,-4356,-4065,-3774,-3483,-3192,-2901,-2619,-2610,-2319,-2028,-1737,-1446,-1155,-864,-573,-282
10,301,592,883,1174,1465,1756,2047,2338,2629,2920,3211,3502,3793,4084,4375,4666,4957,5248,5539,5830,6121,6412,6703,6994,7285,7576,7867,8158,8449,8740,9031,9322,9613,9904,10195,10486,10777,11068,11359,11650,11941,12232,12523,12814,13105,13396,13687,13978,14269,14560,14851,15142,15433,15724,16015,16306,16597,16888,17179,17470,17761,18052,18343,18634,18925,19216,19507,19798,20089,20380,20671,20962,21253,21544,21835,22126,22417,22708,22999,23290,23581,23872,24163,24454,24745,25036,25327,25618,25909,26200,26491,26782,27073,27364,27655,27946,28237,28528,28819,29110,29401,29692,29983,30274,30565,30856,31147,31438,31729,32020,32311,32602,32893,33184,33475,33766,34057,34348,34639,34930,35221,35512,35803,36094,36385,36676,36967,37258,37549,37840,38131,38422,38713,39004,39295,39586,39877,40168,40459,40750,41041,41332,41623,41914,42205,-42185,-41894,-41603,-41312,-41021,-40730,-40439,-40148,-39857,-39566,-39275,-38984,-38693,-38402,-38111,-37820,-37529,-37238,-36947,-36656,-36365,-36074,-35783,-35492,-35201,-34910,-34619,-34328,-34037,-33746,-33455,-33164,-32873,-32582,-32291,-32000,-31709,-31418,-31127,-30836,-30545,-30254,-29963,-29672,-29381,-29090,-28799,-28508,-28217,-27926,-27635,-27344,-27053,-26762,-26471,-26180,-25889,-25598,-25307,-25016,-24725,-24434,-24143,-23852,-23561,-23270,-22979,-22688,-22397,-22106,-21815,-21524,-21233,-20942,-20651,-20360,-20069,-19778,-19487,-19196,-18905,-18614,-18323,-18032,-17741,-17450,-17159,-16868,-16577,-16286,-15995,-15704,-15413,-15122,-14831,-14540,-14249,-13958,-13667,-13376,-13085,-12794,-12503,-12212,-11921,-11630,-11339,-11048,-10757,-10466,-10175,-9884,-9593,-9302,-9011,-8720,-8429,-8138,-7847,-7556,-7265,-6974,-6683,-6392,-6101,-5810,-5519,-5228,-4937,-4646,-4355,-4064,-3773,-3482,-3191,-2910,-2900,-2609,-2318,-2027,-1736,-1445,-1154,-863,-572,-281
11,302,593,884,1175,1466,1757,2048,2339,2630,2921,3212,3503,3794,4085,4376,4667,4958,5249,5540,5831,6122,6413,6704,6995,7286,7577,7868,8159,8450,8741,9032,9323,9614,9905,10196,10487,10778,11069,11360,11651,11942,12233,12524,12815,13106,13397,13688,13979,14270,14561,14852,15143,15434,15725,16016,16307,16598,16889,17180,17471,17762,18053,18344,18635,18926,19217,19508,19799,20090,20381,20672,20963,21254,21545,21836,22127,22418,22709,23000,23291,23582,23873,24164,24455,24746,25037,25328,25619,25910,26201,26492,26783,27074,27365,27656,27947,28238,28529,28820,29111,29402,29693,29984,30275,30566,30857,31148,31439,31730,32021,32312,32603,32894,33185,33476,33767,34058,34349,34640,34931,35222,35513,35804,36095,36386,36677,36968,37259,37550,37841,38132,38423,38714,39005,39296,39587,39878,40169,40460,40751,41042,41333,41624,41915,42206,-42184,-41893,-41602,-41311,-41020,-40729,-40438,-40147,-39856,-39565,-39274,-38983,-38692,-38401,-38110,-37819,-37528,-37237,-36946,-36655,-36364,-36073,-35782,-35491,-35200,-34909,-34618,-34327,-34036,-33745,-33454,-33163,-32872,-32581,-32290,-31999,-31708,-31417,-31126,-30835,-30544,-30253,-29962,-29671,-29380,-29089,-28798,-28507,-28216,-27925,-27634,-27343,-27052,-26761,-26470,-26179,-25888,-25597,-25306,-25015,-24724,-24433,-24142,-23851,-23560,-23269,-22978,-22687,-22396,-22105,-21814,-21523,-21232,-20941,-20650,-20359,-20068,-19777,-19486,-19195,-18904,-18613,-18322,-18031,-17740,-17449,-17158,-16867,-16576,-16285,-15994,-15703,-15412,-15121,-14830,-14539,-14248,-13957,-13666,-13375,-13084,-12793,-12502,-12211,-11920,-11629,-11338,-11047,-10756,-10465,-10174,-9883,-9592,-9301,-9010,-8719,-8428,-8137,-7846,-7555,-7264,-6973,-6682,-6391,-6100,-5809,-5518,-5227,-4936,-4645,-4354,-4063,-3772,-3481,-3201,-3190,-2899,-2608,-2317,-2026,-1735,-1444,-1153,-862,-571,-280
