1,48,95,142,189,236,283,330,377,424,471,518,565,612,659,706,753,800,847,894,941,988,1035,1082,-1080,-1033,-986,-939,-892,-845,-798,-751,-704,-657,-610,-563,-516,-469,-422,-375,-328,-281,-234,-187,-140,-93,-47,-46
2,49,96,143,190,237,284,331,378,425,472,519,566,613,660,707,754,801,848,895,942,989,1036,1083,-1079,-1032,-985,-938,-891,-844,-797,-750,-703,-656,-609,-562,-515,-468,-421,-374,-327,-280,-233,-186,-139,-94,-92,-45
3,50,97,144,191,238,285,332,379,426,473,520,567,614,661,708,755,802,849,896,943,990,1037,1084,-1078,-1031,-984,-937,-890,-843,-796,-749,-702,-655,-608,-561,-514,-467,-420,-373,-326,-279,-232,-185,-141,-138,-91,-44
4,51,98,145,192,239,286,333,380,427,474,521,568,615,662,709,756,803,850,897,944,991,1038,1085,-1077,-1030,-983,-936,-889,-842,-795,-748,-701,-654,-607,-560,-513,-466,-419,-372,-325,-278,-231,-188,-184,-137,-90,-43
5,52,99,146,193,240,287,334,381,428,475,522,569,616,663,710,757,804,851,898,945,992,1039,1086,-1076,-1029,-982,-935,-888,-841,-794,-747,-700,-653,-606,-559,-512,-465,-418,-371,-324,-277,-235,-230,-183,-136,-89,-42
6,53,100,147,194,241,288,335,382,429,476,523,570,617,664,711,758,805,852,899,946,993,1040,1087,-1075,-1028,-981,-934,-887,-840,-793,-746,-699,-652,-605,-558,-511,-464,-417,-370,-323,-282,-276,-229,-182,-135,-88,-41
7,54,101,148,195,242,289,336,383,430,477,524,571,618,665,712,759,806,853,900,947,994,1041,1088,-1074,-1027,-980,-933,-886,-839,-792,-745,-698,-651,-604,-557,-510,-463,-416,-369,-329,-322,-275,-228,-181,-134,-87,-40
8,55,102,149,196,243,290,337,384,431,478,525,572,619,666,713,760,807,854,901,948,995,1042,1089,-1073,-1026,-979,-932,-885,-838,-791,-744,-697,-650,-603,-556,-509,-462,-415,-376,-368,-321,-274,-227,-180,-133,-86,-39
9,56,103,150,197,244,291,338,385,432,479,526,573,620,667,714,761,808,855,902,949,996,1043,1090,-1072,-1025,-978,-931,-884,-837,-790,-743,-696,-649,-602,-555,-508,-461,-423,-414,-367,-320,-273,-226,-179,-132,-85,-38
10,57,104,151,198,245,292,339,386,433,480,527,574,621,668,715,762,809,856,903,950,997,1044,1091,-1071,-1024,-977,-930,-883,-836,-789,-742,-695,-648,-601,-554,-507,-470,-460,-413,-366,-319,-272,-225,-178,-131,-84,-37
11,58,105,152,199,246,293,340,387,434,481,528,575,622,669,716,763,810,857,904,951,998,1045,1092,-1070,-1023,-976,-929,-882,-835,-788,-741,-694,-647,-600,-553,-517,-506,-459,-412,-365,-318,-271,-224,-177,-130,-83,-36
12,59,106,153,200,247,294,341,388,435,482,529,576,623,670,717,764,811,858,905,952,999,1046,1093,-1069,-1022,-975,-928,-881,-834,-787,-740,-693,-646,-599,-564,-552,-505,-458,-411,-364,-317,-270,-223,-176,-129,-82,-35
13,60,107,154,201,248,295,342,389,436,483,530,577,624,671,718,765,812,859,906,953,1000,1047,1094,-1068,-1021,-974,-927,-880,-833,-786,-739,-692,-645,-611,-598,-551,-504,-457,-410,-363,-316,-269,-222,-175,-128,-81,-34
14,61,108,155,202,249,296,343,390,437,484,531,578,625,672,719,766,813,860,907,954,1001,1048,1095,-1067,-1020,-973,-926,-879,-832,-785,-738,-691,-658,-644,-597,-550,-503,-456,-409,-362,-315,-268,-221,-174,-127,-80,-33
15,62,109,156,203,250,297,344,391,438,485,532,579,626,673,720,767,814,861,908,955,1002,1049,1096,-1066,-1019,-972,-925,-878,-831,-784,-737,-705,-690,-643,-596,-549,-502,-455,-408,-361,-314,-267,-220,-173,-126,-79,-32
16,63,110,157,204,251,298,345,392,439,486,533,580,627,674,721,768,815,862,909,956,1003,1050,1097,-1065,-1018,-971,-924,-877,-830,-783,-752,-736,-689,-642,-595,-548,-501,-454,-407,-360,-313,-266,-219,-172,-125,-78,-31
17,64,111,158,205,252,299,346,393,440,487,534,581,628,675,722,769,816,863,910,957,1004,1051,1098,-1064,-1017,-970,-923,-876,-829,-799,-782,-735,-688,-641,-594,-547,-500,-453,-406,-359,-312,-265,-218,-171,-124,-77,-30
18,65,112,159,206,253,300,347,394,441,488,535,582,629,676,723,770,817,864,911,958,1005,1052,1099,-1063,-1016,-969,-922,-875,-846,-828,-781,-734,-687,-640,-593,-546,-499,-452,-405,-358,-311,-264,-217,-170,-123,-76,-29
19,66,113,160,207,254,301,348,395,442,489,536,583,630,677,724,771,818,865,912,959,1006,1053,1100,-1062,-1015,-968,-921,-893,-874,-827,-780,-733,-686,-639,-592,-545,-498,-451,-404,-357,-310,-263,-216,-169,-122,-75,-28
20,67,114,161,208,255,302,349,396,443,490,537,584,631,678,725,772,819,866,913,960,1007,1054,1101,-1061,-1014,-967,-940,-920,-873,-826,-779,-732,-685,-638,-591,-544,-497,-450,-403,-356,-309,-262,-215,-168,-121,-74,-27
21,68,115,162,209,256,303,350,397,444,491,538,585,632,679,726,773,820,867,914,961,1008,1055,1102,-1060,-1013,-987,-966,-919,-872,-825,-778,-731,-684,-637,-590,-543,-496,-449,-402,-355,-308,-261,-214,-167,-120,-73,-26
22,69,116,163,210,257,304,351,398,445,492,539,586,633,680,727,774,821,868,915,962,1009,1056,1103,-1059,-1034,-1012,-965,-918,-871,-824,-777,-730,-683,-636,-589,-542,-495,-448,-401,-354,-307,-260,-213,-166,-119,-72,-25
23,70,117,164,211,258,305,352,399,446,493,540,587,634,681,728,775,822,869,916,963,1010,1057,1104,-1081,-1058,-1011,-964,-917,-870,-823,-776,-729,-682,-635,-588,-541,-494,-447,-400,-353,-306,-259,-212,-165,-118,-71,-24
