1,194,387,580,773,966,1159,1352,1545,1738,1931,2124,2317,2510,2703,2896,3089,3282,3475,3668,3861,4054,4247,4440,4633,4826,5019,5212,5405,5598,5791,5984,6177,6370,6563,6756,6949,7142,7335,7528,7721,7914,8107,8300,8493,8686,8879,9072,9265,9458,9651,9844,10037,10230,10423,10616,10809,11002,11195,11388,11581,11774,11967,12160,12353,12546,12739,12932,13125,13318,13511,13704,13897,14090,14283,14476,14669,14862,15055,15248,15441,15634,15827,16020,16213,16406,16599,16792,16985,17178,17371,17564,17757,17950,18143,18336,18529,-18527,-18334,-18141,-17948,-17755,-17562,-17369,-17176,-16983,-16790,-16597,-16404,-16211,-16018,-15825,-15632,-15439,-15246,-15053,-14860,-14667,-14474,-14281,-14088,-13895,-13702,-13509,-13316,-13123,-12930,-12737,-12544,-12351,-12158,-11965,-11772,-11579,-11386,-11193,-11000,-10807,-10614,-10421,-10228,-10035,-9842,-9649,-9456,-9263,-9070,-8877,-8684,-8491,-8298,-8105,-7912,-7719,-7526,-7333,-7140,-6947,-6754,-6561,-6368,-6175,-5982,-5789,-5596,-5403,-5210,-5017,-4824,-4631,-4438,-4245,-4052,-3859,-3666,-3473,-3280,-3087,-2894,-2701,-2508,-2315,-2122,-1929,-1736,-1543,-1350,-1157,-964,-771,-578,-385,-193,-192
2,195,388,581,774,967,1160,1353,1546,1739,1932,2125,2318,2511,2704,2897,3090,3283,3476,3669,3862,4055,4248,4441,4634,4827,5020,5213,5406,5599,5792,5985,6178,6371,6564,6757,6950,7143,7336,7529,7722,7915,8108,8301,8494,8687,8880,9073,9266,9459,9652,9845,10038,10231,10424,10617,10810,11003,11196,11389,11582,11775,11968,12161,12354,12547,12740,12933,13126,13319,13512,13705,13898,14091,14284,14477,14670,14863,15056,15249,15442,15635,15828,16021,16214,16407,16600,16793,16986,17179,17372,17565,17758,17951,18144,18337,18530,-18526,-18333,-18140,-17947,-17754,-17561,-17368,-17175,-16982,-16789,-16596,-16403,-16210,-16017,-15824,-15631,-15438,-15245,-15052,-14859,-14666,-14473,-14280,-14087,-13894,-13701,-13508,-13315,-13122,-12929,-12736,-12543,-12350,-12157,-11964,-11771,-11578,-11385,-11192,-10999,-10806,-10613,-10420,-10227,-10034,-9841,-9648,-9455,-9262,-9069,-8876,-8683,-8490,-8297,-8104,-7911,-7718,-7525,-7332,-7139,-6946,-6753,-6560,-6367,-6174,-5981,-5788,-5595,-5402,-5209,-5016,-4823,-4630,-4437,-4244,-4051,-3858,-3665,-3472,-3279,-3086,-2893,-2700,-2507,-2314,-2121,-1928,-1735,-1542,-1349,-1156,-963,-770,-577,-386,-384,-191
3,196,389,582,775,968,1161,1354,1547,1740,1933,2126,2319,2512,2705,2898,3091,3284,3477,3670,3863,4056,4249,4442,4635,4828,5021,5214,5407,5600,5793,5986,6179,6372,6565,6758,6951,7144,7337,7530,7723,7916,8109,8302,8495,8688,8881,9074,9267,9460,9653,9846,10039,10232,10425,10618,10811,11004,11197,11390,11583,11776,11969,12162,12355,12548,12741,12934,13127,13320,13513,13706,13899,14092,14285,14478,14671,14864,15057,15250,15443,15636,15829,16022,16215,16408,16601,16794,16987,17180,17373,17566,17759,17952,18145,18338,18531,-18525,-18332,-18139,-17946,-17753,-17560,-17367,-17174,-16981,-16788,-16595,-16402,-16209,-16016,-15823,-15630,-15437,-15244,-15051,-14858,-14665,-14472,-14279,-14086,-13893,-13700,-13507,-13314,-13121,-12928,-12735,-12542,-12349,-12156,-11963,-11770,-11577,-11384,-11191,-10998,-10805,-10612,-10419,-10226,-10033,-9840,-9647,-9454,-9261,-9068,-8875,-8682,-8489,-8296,-8103,-7910,-7717,-7524,-7331,-7138,-6945,-6752,-6559,-6366,-6173,-5980,-5787,-5594,-5401,-5208,-5015,-4822,-4629,-4436,-4243,-4050,-3857,-3664,-3471,-3278,-3085,-2892,-2699,-2506,-2313,-2120,-1927,-1734,-1541,-1348,-1155,-962,-769,-579,-576,-383,-190
4,197,390,583,776,969,1162,1355,1548,1741,1934,2127,2320,2513,2706,2899,3092,3285,3478,3671,3864,4057,4250,4443,4636,4829,5022,5215,5408,5601,5794,5987,6180,6373,6566,6759,6952,7145,7338,7531,7724,7917,8110,8303,8496,8689,8882,9075,9268,9461,9654,9847,10040,10233,10426,10619,10812,11005,11198,11391,11584,11777,11970,12163,12356,12549,12742,12935,13128,13321,13514,13707,13900,14093,14286,14479,14672,14865,15058,15251,15444,15637,15830,16023,16216,16409,16602,16795,16988,17181,17374,17567,17760,17953,18146,18339,18532,-18524,-18331,-18138,-17945,-17752,-17559,-17366,-17173,-16980,-16787,-16594,-16401,-16208,-16015,-15822,-15629,-15436,-15243,-15050,-14857,-14664,-14471,-14278,-14085,-13892,-13699,-13506,-13313,-13120,-12927,-12734,-12541,-12348,-12155,-11962,-11769,-11576,-11383,-11190,-10997,-10804,-10611,-10418,-10225,-10032,-9839,-9646,-9453,-9260,-9067,-8874,-8681,-8488,-8295,-8102,-7909,-7716,-7523,-7330,-7137,-6944,-6751,-6558,-6365,-6172,-5979,-5786,-5593,-5400,-5207,-5014,-4821,-4628,-4435,-4242,-4049,-3856,-3663,-3470,-3277,-3084,-2891,-2698,-2505,-2312,-2119,-1926,-1733,-1540,-1347,-1154,-961,-772,-768,-575,-382,-189
5,198,391,584,777,970,1163,1356,1549,1742,1935,2128,2321,2514,2707,2900,3093,3286,3479,3672,3865,4058,4251,4444,4637,4830,5023,5216,5409,5602,5795,5988,6181,6374,6567,6760,6953,7146,7339,7532,7725,7918,8111,8304,8497,8690,8883,9076,9269,9462,9655,9848,10041,10234,10427,10620,10813,11006,11199,11392,11585,11778,11971,12164,12357,12550,12743,12936,13129,13322,13515,13708,13901,14094,14287,14480,14673,14866,15059,15252,15445,15638,15831,16024,16217,16410,16603,16796,16989,17182,17375,17568,17761,17954,18147,18340,18533,-18523,-18330,-18137,-17944,-17751,-17558,-17365,-17172,-16979,-16786,-16593,-16400,-16207,-16014,-15821,-15628,-15435,-15242,-15049,-14856,-14663,-14470,-14277,-14084,-13891,-13698,-13505,-13312,-13119,-12926,-12733,-12540,-12347,-12154,-11961,-11768,-11575,-11382,-11189,-10996,-10803,-10610,-10417,-10224,-10031,-9838,-9645,-9452,-9259,-9066,-8873,-8680,-8487,-8294,-8101,-7908,-7715,-7522,-7329,-7136,-6943,-6750,-6557,-6364,-6171,-5978,-5785,-5592,-5399,-5206,-5013,-4820,-4627,-4434,-4241,-4048,-3855,-3662,-3469,-3276,-3083,-2890,-2697,-2504,-2311,-2118,-1925,-1732,-1539,-1346,-1153,-965,-960,-767,-574,-381,-188
6,199,392,585,778,971,1164,1357,1550,1743,1936,2129,2322,2515,2708,2901,3094,3287,3480,3673,3866,4059,4252,4445,4638,4831,5024,5217,5410,5603,5796,5989,6182,6375,6568,6761,6954,7147,7340,7533,7726,7919,8112,8305,8498,8691,8884,9077,9270,9463,9656,9849,10042,10235,10428,10621,10814,11007,11200,11393,11586,11779,11972,12165,12358,12551,12744,12937,13130,13323,13516,13709,13902,14095,14288,14481,14674,14867,15060,15253,15446,15639,15832,16025,16218,16411,16604,16797,16990,17183,17376,17569,17762,17955,18148,18341,18534,-18522,-18329,-18136,-17943,-17750,-17557,-17364,-17171,-16978,-16785,-16592,-16399,-16206,-16013,-15820,-15627,-15434,-15241,-15048,-14855,-14662,-14469,-14276,-14083,-13890,-13697,-13504,-13311,-13118,-12925,-12732,-12539,-12346,-12153,-11960,-11767,-11574,-11381,-11188,-10995,-10802,-10609,-10416,-10223,-10030,-9837,-9644,-9451,-9258,-9065,-8872,-8679,-8486,-8293,-8100,-7907,-7714,-7521,-7328,-7135,-6942,-6749,-6556,-6363,-6170,-5977,-5784,-5591,-5398,-5205,-5012,-4819,-4626,-4433,-4240,-4047,-3854,-3661,-3468,-3275,-3082,-2889,-2696,-2503,-2310,-2117,-1924,-1731,-1538,-1345,-1158,-1152,-959,-766,-573,-380,-187
7,200,393,586,779,972,1165,1358,1551,1744,1937,2130,2323,2516,2709,2902,3095,3288,3481,3674,3867,4060,4253,4446,4639,4832,5025,5218,5411,5604,5797,5990,6183,6376,6569,6762,6955,7148,7341,7534,7727,7920,8113,8306,8499,8692,8885,9078,9271,9464,9657,9850,10043,10236,10429,10622,10815,11008,11201,11394,11587,11780,11973,12166,12359,12552,12745,12938,13131,13324,13517,13710,13903,14096,14289,14482,14675,14868,15061,15254,15447,15640,15833,16026,16219,16412,16605,16798,16991,17184,17377,17570,17763,17956,18149,18342,18535,-18521,-18328,-18135,-17942,-17749,-17556,-17363,-17170,-16977,-16784,-16591,-16398,-16205,-16012,-15819,-15626,-15433,-15240,-15047,-14854,-14661,-14468,-14275,-14082,-13889,-13696,-13503,-13310,-13117,-12924,-12731,-12538,-12345,-12152,-11959,-11766,-11573,-11380,-11187,-10994,-10801,-10608,-10415,-10222,-10029,-9836,-9643,-9450,-9257,-9064,-8871,-8678,-8485,-8292,-8099,-7906,-7713,-7520,-7327,-7134,-6941,-6748,-6555,-6362,-6169,-5976,-5783,-5590,-5397,-5204,-5011,-4818,-4625,-4432,-4239,-4046,-3853,-3660,-3467,-3274,-3081,-2888,-2695,-2502,-2309,-2116,-1923,-1730,-1537,-1351,-1344,-1151,-958,-765,-572,-379,-186
8,201,394,587,780,973,1166,1359,1552,1745,1938,2131,2324,2517,2710,2903,3096,3289,3482,3675,3868,4061,4254,4447,4640,4833,5026,5219,5412,5605,5798,5991,6184,6377,6570,6763,6956,7149,7342,7535,7728,7921,8114,8307,8500,8693,8886,9079,9272,9465,9658,9851,10044,10237,10430,10623,10816,11009,11202,11395,11588,11781,11974,12167,12360,12553,12746,12939,13132,13325,13518,13711,13904,14097,14290,14483,14676,14869,15062,15255,15448,15641,15834,16027,16220,16413,16606,16799,16992,17185,17378,17571,17764,17957,18150,18343,18536,-18520,-18327,-18134,-17941,-17748,-17555,-17362,-17169,-16976,-16783,-16590,-16397,-16204,-16011,-15818,-15625,-15432,-15239,-15046,-14853,-14660,-14467,-14274,-14081,-13888,-13695,-13502,-13309,-13116,-12923,-12730,-12537,-12344,-12151,-11958,-11765,-11572,-11379,-11186,-10993,-10800,-10607,-10414,-10221,-10028,-9835,-9642,-9449,-9256,-9063,-8870,-8677,-8484,-8291,-8098,-7905,-7712,-7519,-7326,-7133,-6940,-6747,-6554,-6361,-6168,-5975,-5782,-5589,-5396,-5203,-5010,-4817,-4624,-4431,-4238,-4045,-3852,-3659,-3466,-3273,-3080,-2887,-2694,-2501,-2308,-2115,-1922,-1729,-1544,-1536,-1343,-1150,-957,-764,-571,-378,-185
9,202,395,588,781,974,1167,1360,1553,1746,1939,2132,2325,2518,2711,2904,3097,3290,3483,3676,3869,4062,4255,4448,4641,4834,5027,5220,5413,5606,5799,5992,6185,6378,6571,6764,6957,7150,7343,7536,7729,7922,8115,8308,8501,8694,8887,9080,9273,9466,9659,9852,10045,10238,10431,10624,10817,11010,11203,11396,11589,11782,11975,12168,12361,12554,12747,12940,13133,13326,13519,13712,13905,14098,14291,14484,14677,14870,15063,15256,15449,15642,15835,16028,16221,16414,16607,16800,16993,17186,17379,17572,17765,17958,18151,18344,18537,-18519,-18326,-18133,-17940,-17747,-17554,-17361,-17168,-16975,-16782,-16589,-16396,-16203,-16010,-15817,-15624,-15431,-15238,-15045,-14852,-14659,-14466,-14273,-14080,-13887,-13694,-13501,-13308,-13115,-12922,-12729,-12536,-12343,-12150,-11957,-11764,-11571,-11378,-11185,-10992,-10799,-10606,-10413,-10220,-10027,-9834,-9641,-9448,-9255,-9062,-8869,-8676,-8483,-8290,-8097,-7904,-7711,-7518,-7325,-7132,-6939,-6746,-6553,-6360,-6167,-5974,-5781,-5588,-5395,-5202,-5009,-4816,-4623,-4430,-4237,-4044,-3851,-3658,-3465,-3272,-3079,-2886,-2693,-2500,-2307,-2114,-1921,-1737,-1728,-1535,-1342,-1149,-956,-763,-570,-377,-184
10,203,396,589,782,975,1168,1361,1554,1747,1940,2133,2326,2519,2712,2905,3098,3291,3484,3677,3870,4063,4256,4449,4642,4835,5028,5221,5414,5607,5800,5993,6186,6379,6572,6765,6958,7151,7344,7537,7730,7923,8116,8309,8502,8695,8888,9081,9274,9467,9660,9853,10046,10239,10432,10625,10818,11011,11204,11397,11590,11783,11976,12169,12362,12555,12748,12941,13134,13327,13520,13713,13906,14099,14292,14485,14678,14871,15064,15257,15450,15643,15836,16029,16222,16415,16608,16801,16994,17187,17380,17573,17766,17959,18152,18345,18538,-18518,-18325,-18132,-17939,-17746,-17553,-17360,-17167,-16974,-16781,-16588,-16395,-16202,-16009,-15816,-15623,-15430,-15237,-15044,-14851,-14658,-14465,-14272,-14079,-13886,-13693,-13500,-13307,-13114,-12921,-12728,-12535,-12342,-12149,-11956,-11763,-11570,-11377,-11184,-10991,-10798,-10605,-10412,-10219,-10026,-9833,-9640,-9447,-9254,-9061,-8868,-8675,-8482,-8289,-8096,-7903,-7710,-7517,-7324,-7131,-6938,-6745,-6552,-6359,-6166,-5973,-5780,-5587,-5394,-5201,-5008,-4815,-4622,-4429,-4236,-4043,-3850,-3657,-3464,-3271,-3078,-2885,-2692,-2499,-2306,-2113,-1930,-1920,-1727,-1534,-1341,-1148,-955,-762,-569,-376,-183
11,204,397,590,783,976,1169,1362,1555,1748,1941,2134,2327,2520,2713,2906,3099,3292,3485,3678,3871,4064,4257,4450,4643,4836,5029,5222,5415,5608,5801,5994,6187,6380,6573,6766,6959,7152,7345,7538,7731,7924,8117,8310,8503,8696,8889,9082,9275,9468,9661,9854,10047,10240,10433,10626,10819,11012,11205,11398,11591,11784,11977,12170,12363,12556,12749,12942,13135,13328,13521,13714,13907,14100,14293,14486,14679,14872,15065,15258,15451,15644,15837,16030,16223,16416,16609,16802,16995,17188,17381,17574,17767,17960,18153,18346,18539,-18517,-18324,-18131,-17938,-17745,-17552,-17359,-17166,-16973,-16780,-16587,-16394,-16201,-16008,-15815,-15622,-15429,-15236,-15043,-14850,-14657,-14464,-14271,-14078,-13885,-13692,-13499,-13306,-13113,-12920,-12727,-12534,-12341,-12148,-11955,-11762,-11569,-11376,-11183,-10990,-10797,-10604,-10411,-10218,-10025,-9832,-9639,-9446,-9253,-9060,-8867,-8674,-8481,-8288,-8095,-7902,-7709,-7516,-7323,-7130,-6937,-6744,-6551,-6358,-6165,-5972,-5779,-5586,-5393,-5200,-5007,-4814,-4621,-4428,-4235,-4042,-3849,-3656,-3463,-3270,-3077,-2884,-2691,-2498,-2305,-2123,-2112,-1919,-1726,-1533,-1340,-1147,-954,-761,-568,-375,-182
