Maximum values for m = 361 and d = 10:
172 : [-1, 18, 19, -20, 37, -39, 56, -58, 75, -77, 94, -96, 113, -115, 132, -134, 151, -153, 170]
173 : [-2, 17, -21, 36, 38, -40, 55, -59, 74, -78, 93, -97, 112, -116, 131, -135, 150, -154, 169]
174 : [-3, 16, -22, 35, -41, 54, 57, -60, 73, -79, 92, -98, 111, -117, 130, -136, 149, -155, 168]
175 : [-4, 15, -23, 34, -42, 53, -61, 72, 76, -80, 91, -99, 110, -118, 129, -137, 148, -156, 167]
176 : [-5, 14, -24, 33, -43, 52, -62, 71, -81, 90, 95, -100, 109, -119, 128, -138, 147, -157, 166]
177 : [-6, 13, -25, 32, -44, 51, -63, 70, -82, 89, -101, 108, 114, -120, 127, -139, 146, -158, 165]
178 : [-7, 12, -26, 31, -45, 50, -64, 69, -83, 88, -102, 107, -121, 126, 133, -140, 145, -159, 164]
179 : [-8, 11, -27, 30, -46, 49, -65, 68, -84, 87, -103, 106, -122, 125, -141, 144, 152, -160, 163]
180 : [-9, 10, -28, 29, -47, 48, -66, 67, -85, 86, -104, 105, -123, 124, -142, 143, -161, 162, 171]
-180 : [9, -10, 28, -29, 47, -48, 66, -67, 85, -86, 104, -105, 123, -124, 142, -143, 161, -162, -171]
-179 : [8, -11, 27, -30, 46, -49, 65, -68, 84, -87, 103, -106, 122, -125, 141, -144, -152, 160, -163]
-178 : [7, -12, 26, -31, 45, -50, 64, -69, 83, -88, 102, -107, 121, -126, -133, 140, -145, 159, -164]
-177 : [6, -13, 25, -32, 44, -51, 63, -70, 82, -89, 101, -108, -114, 120, -127, 139, -146, 158, -165]
-176 : [5, -14, 24, -33, 43, -52, 62, -71, 81, -90, -95, 100, -109, 119, -128, 138, -147, 157, -166]
-175 : [4, -15, 23, -34, 42, -53, 61, -72, -76, 80, -91, 99, -110, 118, -129, 137, -148, 156, -167]
-174 : [3, -16, 22, -35, 41, -54, -57, 60, -73, 79, -92, 98, -111, 117, -130, 136, -149, 155, -168]
-173 : [2, -17, 21, -36, -38, 40, -55, 59, -74, 78, -93, 97, -112, 116, -131, 135, -150, 154, -169]
-172 : [1, -18, -19, 20, -37, 39, -56, 58, -75, 77, -94, 96, -113, 115, -132, 134, -151, 153, -170]
